,NAME,SOURCE,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,NOTES
0,FS15R_FS4281,icraf-isric-soil-database,pervious,bare,soil,measured,-32.85,137.53333333333333,none
1,FS15R_FS4297,icraf-isric-soil-database,pervious,bare,soil,measured,-35.35,144.85,none
2,FS15R_FS4308,icraf-isric-soil-database,pervious,bare,soil,measured,-29.016666666666666,152.03333333333333,none
3,FS15R_FS4309,icraf-isric-soil-database,pervious,bare,soil,measured,-29.016666666666666,152.03333333333333,none
4,FS15R_FS4361,icraf-isric-soil-database,pervious,bare,soil,measured,-27.36666666666667,152.88333333333333,none
5,FS15R_FS4393,icraf-isric-soil-database,pervious,bare,soil,measured,-24.85,152.4,none
6,FS15R_FS4397,icraf-isric-soil-database,pervious,bare,soil,measured,-34.7,139.06666666666666,none
7,FS15R_FS4144,icraf-isric-soil-database,pervious,bare,soil,measured,-2.6,-54.95,none
8,FS15R_FS4152,icraf-isric-soil-database,pervious,bare,soil,measured,-2.9,-54.93333333333333,none
9,FS15R_FS4177,icraf-isric-soil-database,pervious,bare,soil,measured,-7.733333333333332,-35.25,none
10,FS15R_FS4180,icraf-isric-soil-database,pervious,bare,soil,measured,-7.733333333333332,-35.25,none
11,FS15R_FS4205,icraf-isric-soil-database,pervious,bare,soil,measured,-6.666666666666668,-35.13333333333333,none
12,FS15R_FS4218,icraf-isric-soil-database,pervious,bare,soil,measured,-8.35,-35.016666666666666,none
13,FS15R_FS4221,icraf-isric-soil-database,pervious,bare,soil,measured,-8.35,-35.016666666666666,none
14,FS15R_FS4261,icraf-isric-soil-database,pervious,bare,soil,measured,-12.0,-50.0,none
15,FS15R_FS5730,icraf-isric-soil-database,pervious,bare,soil,measured,5.883333333333333,-7.333333333333332,none
16,FS15R_FS5731,icraf-isric-soil-database,pervious,bare,soil,measured,5.883333333333333,-7.333333333333332,none
17,FS15R_FS5088,icraf-isric-soil-database,pervious,bare,soil,measured,23.216666666666665,113.46666666666668,none
