NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
lcxnxx.001-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.006-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.007-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.003-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.002-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.005-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.004-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.009-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lcxnxx.008-,pervious,bare,dirt,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mugexx.002-,pervious,bare,gravel,measured,34.43,-119.7633,asd,urban reflectance spectra from santa barbara
mugexx.001-,pervious,bare,gravel,measured,34.43,-119.7633,asd,urban reflectance spectra from santa barbara
mugexx.003-,pervious,bare,gravel,measured,34.43,-119.7633,asd,urban reflectance spectra from santa barbara
mucsye.002-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mucsye.001-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mucsye.004-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mucsye.005-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mucsye.003-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mugnxx.001-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
mugnxx.002-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
muakye.002-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
muakye.005-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
muakye.004-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
muakye.003-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
muakye.001-,pervious,bare,gravel,measured,34.4408,-119.8745,asd,urban reflectance spectra from santa barbara
lbxsxx.011-,pervious,bare,sand,measured,34.0131,-118.8196,asd,urban reflectance spectra from santa barbara
lbxsxx.020-,pervious,bare,sand,measured,34.0131,-118.8196,asd,urban reflectance spectra from santa barbara
lbxsxx.021-,pervious,bare,sand,measured,34.0131,-118.8196,asd,urban reflectance spectra from santa barbara
lbxsxx.012-,pervious,bare,sand,measured,34.0131,-118.8196,asd,urban reflectance spectra from santa barbara
lbxsxx.035-,pervious,bare,sand,measured,34.0131,-118.8196,asd,urban reflectance spectra from santa barbara
