NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
ash,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charduff,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
chartree,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
burncham,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charbark,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charlogs,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charrock,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charsoil,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
graysoil,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
ash_litter,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
ash,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
barkchar,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
black_charwood,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charbark,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charrock,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charsoil,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
charwood,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
cooney_charwood,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
light_charsoil,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
difubr,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
scorch_psme,pervious,burn,char,measured,0.0,0.0,asd,joint fire science program
