NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
deadneed,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadlitt,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadmanz,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
kellbark,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
deaddumo,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
crosscut,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
deadgras,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
goldgras,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadceon,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
bleachwd,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
coulbark,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
yewdead,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
deadcott,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadpond,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadbark,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
deadfern,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadneed,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
deadlitt,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
wdslash,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
stmpwood,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
deadtwig,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
deadlodg,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
innrbark,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
deadsfir,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
oldwood,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
deaddoug,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
needbrow,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
dedbirch,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
deadwood,pervious,npv,wood,measured,0.0,0.0,asd,joint fire science program
dedaspen,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
dedspruc,pervious,npv,bark,measured,0.0,0.0,asd,joint fire science program
brte_br,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
difubr,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
woodstrw,pervious,npv,litter,measured,0.0,0.0,asd,joint fire science program
