ISO,ID,WRB_RG,WRB_Q1,WRB_Q2,WRB_Q3,WRB_Q4,FAO_88,FSUB_88,PHA_88,FAOSTAT_88,FAO_74,PHA_74,FAOSTAT,USGG_99,USSG_99,USTX_92,USMIN_92,STR_92,OTH_92,SMR_92,USGG_75,USSG_75,USTX,USMIN,STR,OTH,SMR,LOCAL,REMARKS,EDITDATE,VER,,,,,
AU,1,SN,sz,gl,,,SNg,,,1,Sg,,1,jad,ty,,,,,,aqn,AA,126,34,TH,,AQ,HAS: Solonchak; FK: Dy 1.43,,12/17/03 12:00 AM,OSP,,,,,
AU,2,AR,fl,dy,,,ARo,dy,,1,Qf,,1,,,,,,,,esx,AA,,34,TH,,XE,HAS: Earthy Sand, Norpa Series; FK: Uc5.22,,03/17/03 12:00 AM,OSP,,,,
AU,3,GY,szn,cc,lv,,GYk,lu,,1,Xl,,1,,,,,,,,drb,XE08,,,,,,HAS: Desert Loam; FK: Shallow Dr1.33 over buried soil,,03/11/03 12:00 AM,OSP,,,,,
AU,4,VR,gm,cr,sow,,VRe,,,1,Vc,,1,,,,,,,,vur,UD05,126,34,TH,,US,HAS: Grey clay; FK: Ug5.24,,03/20/03 12:00 AM,OSP,,,,,
AU,5,VR,szw,mz,cr,,VRe,,,1,Vc,,1,,,,,,,,vxr,AA,134,34,TH,,XE,HAS: Brown clay; FK: Ug5.4,,03/20/03 12:00 AM,OSP,,,,,
AU,6,VR,ccw,pe,gm,,VRk,pe,,1,Vp,,1,,,,,,,,vul,UD02,126,37,TH,,US,HAS: Black Earth; FK: Ug5.16,,03/13/03 12:00 AM,OSP,,,,,
AU,7,CH,ch,cc,,,CHk,ch,,1,Ck,,1,,,,,,,,mxa,CA04,80,34,TH,,XE,HAS: Chernozem; FK: Um6.11,,03/13/03 12:00 AM,OSP,,,,,
AU,8,PH,lv,ha,,,PHl,or,,1,Hl,,1,,,,,,,,mur,UD02,68,34,TH,,US,HAS: Prarie soil; FK: Gn3.22,,03/18/03 12:00 AM,OSP,,,,,
AU,9,VR,cc,pe,gm,,VRk,pe,,1,Vp,,1,,,,,,,,vxl,AA,126,38,TH,,XE,HAS: Wiesenboden; FK: Ug5.16,,03/19/03 12:00 AM,OSP,,,,,
AU,10,SN,mg,st,ab,hu,SNj,ab,,1,Ws,,1,,,,,,,,axn,AA,114,34,TH,,XE,HAS: Solodized Solonetz; FK: Dr3.43,,03/20/03 12:00 AM,OSP,,,,,
