Wavelength	difu br.mn	std-	std+	difu br.st
350	1.73E-02	1.13E-02	2.33E-02	6.03E-03
351	1.71E-02	1.10E-02	2.31E-02	6.04E-03
352	1.68E-02	1.08E-02	2.28E-02	6.02E-03
353	1.73E-02	1.13E-02	2.33E-02	6.02E-03
354	1.75E-02	1.14E-02	2.35E-02	6.06E-03
355	1.73E-02	1.11E-02	2.34E-02	6.13E-03
356	0.017630136	1.15E-02	2.38E-02	6.13E-03
357	1.78E-02	1.16E-02	2.39E-02	6.15E-03
358	1.78E-02	1.16E-02	2.40E-02	6.17E-03
359	1.75E-02	1.14E-02	2.37E-02	6.15E-03
360	1.76E-02	1.15E-02	2.37E-02	6.10E-03
361	1.78E-02	1.17E-02	2.39E-02	6.09E-03
362	1.79E-02	1.18E-02	2.41E-02	6.14E-03
363	1.79E-02	1.18E-02	2.41E-02	6.15E-03
364	1.80E-02	1.18E-02	2.41E-02	6.16E-03
365	1.80E-02	1.19E-02	2.42E-02	6.18E-03
366	0.017889054	1.17E-02	2.41E-02	6.18E-03
367	1.80E-02	1.18E-02	2.42E-02	6.21E-03
368	1.82E-02	1.19E-02	2.44E-02	6.25E-03
369	1.83E-02	1.20E-02	2.45E-02	6.26E-03
370	0.018344983	1.21E-02	2.46E-02	6.29E-03
371	1.84E-02	1.21E-02	2.47E-02	6.31E-03
372	1.84E-02	1.21E-02	2.47E-02	6.29E-03
373	1.85E-02	1.22E-02	2.49E-02	6.36E-03
374	1.86E-02	1.22E-02	2.50E-02	6.38E-03
375	1.85E-02	1.21E-02	2.48E-02	6.34E-03
376	1.88E-02	1.24E-02	2.52E-02	6.36E-03
377	1.89E-02	1.25E-02	2.53E-02	6.37E-03
378	1.89E-02	1.25E-02	2.53E-02	6.37E-03
379	1.89E-02	1.25E-02	2.53E-02	6.38E-03
380	1.91E-02	1.27E-02	2.55E-02	6.40E-03
381	1.92E-02	1.28E-02	2.56E-02	6.43E-03
382	1.92E-02	1.27E-02	2.57E-02	6.49E-03
383	1.94E-02	1.28E-02	2.59E-02	6.52E-03
384	1.95E-02	1.30E-02	2.61E-02	6.54E-03
385	1.96E-02	1.30E-02	2.61E-02	6.56E-03
386	1.95E-02	1.30E-02	2.61E-02	6.59E-03
387	1.96E-02	1.30E-02	2.62E-02	6.61E-03
388	1.97E-02	1.31E-02	2.63E-02	6.61E-03
389	1.98E-02	1.32E-02	2.65E-02	6.65E-03
390	1.99E-02	1.33E-02	2.65E-02	6.63E-03
391	0.019935131	1.33E-02	2.66E-02	6.63E-03
392	2.01E-02	1.34E-02	2.68E-02	6.67E-03
393	2.04E-02	1.37E-02	2.71E-02	6.69E-03
394	2.05E-02	1.38E-02	2.72E-02	6.71E-03
395	2.04E-02	1.37E-02	2.72E-02	6.74E-03
396	2.07E-02	1.40E-02	2.74E-02	6.69E-03
397	2.07E-02	1.40E-02	2.74E-02	6.70E-03
398	2.07E-02	1.39E-02	2.74E-02	6.75E-03
399	2.08E-02	1.41E-02	2.76E-02	6.75E-03
400	2.09E-02	1.41E-02	2.77E-02	6.76E-03
401	2.10E-02	1.42E-02	2.78E-02	6.78E-03
402	2.12E-02	1.44E-02	2.80E-02	6.80E-03
