Wavelength	scorpsme.mn	std-	std+	scorpsme.st
350	2.20E-02	2.00E-02	2.40E-02	2.01E-03
351	2.19E-02	2.00E-02	2.39E-02	1.97E-03
352	2.16E-02	1.96E-02	2.36E-02	1.98E-03
353	2.16E-02	1.97E-02	2.36E-02	1.97E-03
354	2.17E-02	1.97E-02	2.36E-02	1.95E-03
355	0.021638498	1.97E-02	2.36E-02	1.92E-03
356	0.021438368	1.95E-02	2.34E-02	1.98E-03
357	2.15E-02	1.96E-02	2.35E-02	0.001935935
358	0.021719703	1.99E-02	2.36E-02	1.87E-03
359	2.18E-02	1.99E-02	2.37E-02	1.91E-03
360	2.16E-02	1.97E-02	2.36E-02	1.91E-03
361	2.15E-02	1.96E-02	2.35E-02	1.90E-03
362	2.16E-02	1.97E-02	2.35E-02	1.91E-03
363	2.15E-02	1.96E-02	2.34E-02	1.92E-03
364	2.16E-02	1.96E-02	2.35E-02	1.91E-03
365	0.021760905	1.99E-02	2.36E-02	1.88E-03
366	2.21E-02	2.02E-02	2.39E-02	1.87E-03
367	2.19E-02	2.00E-02	2.38E-02	1.90E-03
368	2.15E-02	1.96E-02	2.34E-02	1.93E-03
369	2.15E-02	1.96E-02	2.34E-02	1.90E-03
370	2.12E-02	1.94E-02	2.31E-02	1.86E-03
371	2.12E-02	1.94E-02	2.30E-02	1.82E-03
372	2.18E-02	2.00E-02	2.37E-02	1.81E-03
373	2.19E-02	2.00E-02	2.37E-02	1.85E-03
374	2.19E-02	2.01E-02	2.38E-02	1.86E-03
375	2.21E-02	2.02E-02	2.39E-02	1.84E-03
376	2.17E-02	1.98E-02	2.36E-02	1.90E-03
377	2.16E-02	1.98E-02	2.35E-02	1.88E-03
378	2.17E-02	1.99E-02	2.36E-02	1.83E-03
379	2.17E-02	1.98E-02	2.35E-02	1.86E-03
380	2.18E-02	2.00E-02	2.37E-02	1.86E-03
381	2.19E-02	2.01E-02	2.38E-02	1.86E-03
382	2.18E-02	1.99E-02	2.37E-02	1.88E-03
383	2.18E-02	2.00E-02	2.37E-02	1.86E-03
384	2.19E-02	2.01E-02	2.38E-02	1.86E-03
385	0.022092629	2.02E-02	2.40E-02	1.88E-03
386	0.021855092	1.99E-02	2.38E-02	1.91E-03
387	2.18E-02	1.99E-02	2.37E-02	1.93E-03
388	0.021907315	2.00E-02	2.39E-02	1.95E-03
389	2.23E-02	2.03E-02	2.43E-02	2.00E-03
390	2.22E-02	2.02E-02	2.41E-02	1.95E-03
391	2.21E-02	2.02E-02	2.40E-02	1.90E-03
392	2.25E-02	2.05E-02	2.45E-02	1.98E-03
393	0.022361608	2.04E-02	2.43E-02	1.96E-03
394	2.24E-02	2.04E-02	2.43E-02	1.96E-03
395	2.27E-02	2.07E-02	2.47E-02	1.98E-03
396	2.29E-02	2.09E-02	2.50E-02	2.04E-03
397	2.30E-02	2.09E-02	2.51E-02	2.08E-03
398	0.022999307	2.09E-02	2.51E-02	2.09E-03
399	2.31E-02	2.10E-02	2.52E-02	2.08E-03
400	2.31E-02	2.10E-02	2.52E-02	2.09E-03
401	2.32E-02	2.11E-02	2.53E-02	2.09E-03
402	2.34E-02	2.14E-02	2.54E-02	2.04E-03
403	2.36E-02	2.15E-02	2.56E-02	2.03E-03
404	2.37E-02	2.17E-02	2.57E-02	2.03E-03
405	2.38E-02	2.18E-02	2.58E-02	2.01E-03
406	2.41E-02	2.21E-02	2.61E-02	2.01E-03
407	0.024350781	2.23E-02	2.64E-02	2.02E-03
408	2.45E-02	2.25E-02	2.66E-02	2.03E-03
409	2.48E-02	2.28E-02	2.68E-02	2.01E-03
410	2.51E-02	2.31E-02	2.71E-02	2.02E-03
411	2.54E-02	2.33E-02	2.74E-02	2.04E-03
412	0.025530782	2.35E-02	2.76E-02	2.05E-03
413	2.58E-02	2.38E-02	2.79E-02	2.05E-03
414	2.61E-02	2.40E-02	2.81E-02	2.05E-03
415	2.64E-02	2.43E-02	2.84E-02	2.05E-03
416	2.66E-02	2.46E-02	2.87E-02	2.04E-03
417	2.69E-02	2.49E-02	2.89E-02	2.04E-03
418	2.72E-02	2.52E-02	2.93E-02	2.05E-03
419	2.75E-02	2.55E-02	2.96E-02	2.05E-03
420	2.78E-02	2.57E-02	2.98E-02	2.06E-03
421	2.80E-02	2.60E-02	3.01E-02	2.08E-03
422	0.028493695	2.64E-02	3.06E-02	2.08E-03
423	0.028775642	2.67E-02	3.09E-02	2.09E-03
424	2.90E-02	2.69E-02	3.11E-02	2.10E-03
425	2.93E-02	2.72E-02	3.15E-02	2.11E-03
426	2.96E-02	2.75E-02	3.17E-02	2.10E-03
427	2.99E-02	2.78E-02	3.20E-02	2.10E-03
428	3.02E-02	2.81E-02	3.24E-02	2.11E-03
429	3.06E-02	2.85E-02	3.27E-02	2.14E-03
