Wavelength	Mean	Std+	Std-
350	0.0279408	0.031186411	0.024695189
351	0.02818665	0.031459654	0.024913646
352	0.0281641	0.031410956	0.024917244
353	0.0282433	0.031525699	0.024960901
354	0.02831065	0.031627319	0.024993981
355	0.0283553	0.03169334	0.02501726
356	0.02831025	0.03160931	0.02501119
357	0.0285707	0.031890305	0.025251095
358	0.0288651	0.032233365	0.025496835
359	0.0286199	0.032016017	0.025223783
360	0.02869085	0.032099686	0.025282014
361	0.0288693	0.032289579	0.025449021
362	0.0290698	0.032503973	0.025635627
363	0.0289669	0.032411635	0.025522165
364	0.029043	0.032490284	0.025595716
365	0.02933405	0.032777315	0.025890785
366	0.0291823	0.032638905	0.025725695
367	0.0292686	0.032758798	0.025778402
368	0.0294773	0.033001459	0.025953141
369	0.0295577	0.03305977	0.02605563
370	0.02963325	0.033171284	0.026095216
371	0.02968805	0.033265021	0.026111079
372	0.0297043	0.033279068	0.026129532
373	0.02979525	0.033391387	0.026199113
374	0.02984215	0.033477001	0.026207299
375	0.0298278	0.033517518	0.026138082
376	0.0301212	0.033810252	0.026432148
377	0.0302976	0.033996879	0.026598321
378	0.03037325	0.034089132	0.026657368
379	0.0303527	0.034086797	0.026618603
380	0.03046005	0.034240865	0.026679235
381	0.030589	0.034415459	0.026762541
382	0.03066975	0.03451566	0.02682384
383	0.03110545	0.034970677	0.027240223
384	0.03132505	0.035205862	0.027444238
385	0.03120965	0.035103003	0.027316297
386	0.03147305	0.035396323	0.027549777
387	0.0317105	0.035642657	0.027778343
388	0.0318826	0.035814314	0.027950886
389	0.03179045	0.035759013	0.027821887
390	0.0319398	0.035943539	0.027936061
391	0.03213745	0.03617744	0.02809746
392	0.0322384	0.036321159	0.028155641
393	0.0325147	0.036606953	0.028422447
394	0.03273145	0.036850379	0.028612521
395	0.03282505	0.036997351	0.028652749
396	0.03306855	0.03726369	0.02887341
397	0.0332616	0.037482986	0.029040214
398	0.0334071	0.037652636	0.029161564
399	0.0334598	0.037699962	0.029219638
400	0.03362865	0.037891988	0.029365312
401	0.03380595	0.038104438	0.029507462
402	0.03390565	0.038243393	0.029567907
403	0.03405145	0.038428297	0.029674603
404	0.03423795	0.038659813	0.029816087
405	0.03446275	0.038938106	0.029987394
406	0.03456605	0.039074215	0.030057885
407	0.0347214	0.039253664	0.030189136
408	0.034906	0.039459285	0.030352715
409	0.0349807	0.039580655	0.030380745
410	0.03511375	0.039748517	0.030478983
411	0.03529635	0.039962436	0.030630264
412	0.03555145	0.040254294	0.030848606
413	0.03566655	0.040427049	0.030906051
414	0.0357931	0.040602425	0.030983775
415	0.0359842	0.040823195	0.031145205
416	0.03612875	0.041011592	0.031245908
417	0.03626095	0.041188755	0.031333145
