Wavelength	Mean	Std+	Std-
350	0.041927933	0.050393958	0.033461908
351	0.042015067	0.050480291	0.033549842
352	0.0420926	0.050486136	0.033699064
353	0.042115133	0.050705828	0.033524439
354	0.042174467	0.050839385	0.033509548
355	0.042260533	0.050859248	0.033661819
356	0.0421364	0.050750968	0.033521832
357	0.042144867	0.050804508	0.033485226
358	0.042258267	0.050967656	0.033548877
359	0.042490533	0.051202815	0.033778252
360	0.042597533	0.051242728	0.033952338
361	0.042706467	0.05131834	0.034094594
362	0.042892333	0.051573209	0.034211457
363	0.042707067	0.051435734	0.033978399
364	0.042677533	0.051423604	0.033931463
365	0.0428514	0.051583035	0.034119765
366	0.042814867	0.051509564	0.034120169
367	0.042918067	0.051619561	0.034216572
368	0.043125	0.051846875	0.034403125
369	0.0434102	0.052092474	0.034727926
370	0.043242467	0.051982675	0.034502258
371	0.0431118	0.051912285	0.034311315
372	0.043387133	0.052181521	0.034592745
373	0.043577933	0.052425385	0.034730481
374	0.043651667	0.052506211	0.034797123
375	0.043602867	0.052404069	0.034801664
376	0.043915667	0.052824007	0.035007326
377	0.043980267	0.052928734	0.035031799
378	0.043892867	0.052830268	0.034955465
379	0.043922933	0.052828162	0.035017705
380	0.044050733	0.052991883	0.035109584
381	0.044246267	0.053231796	0.035260737
382	0.044512467	0.053499995	0.035524939
383	0.044474533	0.053419173	0.035529894
384	0.044480667	0.053425315	0.035536019
385	0.044597867	0.053603778	0.035591955
386	0.044613667	0.053719881	0.035507452
387	0.0445864	0.053757775	0.035415025
388	0.044575	0.053773316	0.035376684
389	0.044841533	0.053998647	0.035684419
390	0.0450158	0.054175679	0.035855921
391	0.045125	0.054304689	0.035945311
392	0.0451674	0.054366478	0.035968322
393	0.045216133	0.054451264	0.035981003
394	0.045332067	0.054572503	0.03609163
395	0.0455256	0.054730468	0.036320732
396	0.0455272	0.054807313	0.036247087
397	0.0456626	0.054944762	0.036380438
398	0.045855933	0.055115284	0.036596583
399	0.045879	0.055252588	0.036505412
400	0.0459206	0.055306456	0.036534744
401	0.045978467	0.055353635	0.036603298
402	0.046063533	0.055471402	0.036655665
403	0.046127267	0.05550586	0.036748673
404	0.046232467	0.055605978	0.036858956
405	0.046400733	0.055816333	0.036985134
406	0.046428	0.055859914	0.036996086
407	0.04648	0.0559146	0.0370454
408	0.046558867	0.055988584	0.037129149
409	0.046667467	0.056115327	0.037219607
410	0.046732067	0.056200572	0.037263562
411	0.0468048	0.056296554	0.037313046
412	0.046958533	0.056477851	0.037439215
413	0.047035467	0.056582292	0.037488642
414	0.0471042	0.056680409	0.037527991
415	0.047186333	0.056795112	0.037577555
416	0.047217467	0.05684692	0.037588013
417	0.047279533	0.056918939	0.037640128
418	0.047375467	0.057017153	0.03773378
419	0.04752	0.057180747	0.037859253
420	0.047630133	0.057323591	0.037936675
421	0.047722067	0.057444924	0.037999209
422	0.047813533	0.057532682	0.038094385
423	0.047874933	0.057647073	0.038102794
424	0.047949067	0.057753849	0.038144284
425	0.048057067	0.057836985	0.038277148
426	0.048157133	0.057941117	0.038373149
427	0.048260867	0.058056745	0.038464988
428	0.0483688	0.058184896	0.038552704
429	0.0484794	0.0583426	0.0386162
430	0.048593533	0.058479942	0.038707125
431	0.048704467	0.058601071	0.038807862
432	0.048799667	0.05870875	0.038890584
433	0.0488978	0.058845281	0.038950319
434	0.049001267	0.058975369	0.039027165
435	0.049114	0.059081896	0.039146104
436	0.0492454	0.059242693	0.039248107
437	0.049350267	0.059378872	0.039321662
438	0.049427467	0.059486039	0.039368894
439	0.049489267	0.059565538	0.039412995
440	0.049597467	0.059694385	0.039500548
441	0.049727667	0.059842752	0.039612581
442	0.0498376	0.059955069	0.039720131
443	0.0499236	0.060072976	0.039774224
444	0.0500016	0.060189697	0.039813503
445	0.0500792	0.060300933	0.039857467
446	0.050188467	0.06040973	0.039967203
447	0.050300267	0.060532526	0.040068008
448	0.050409667	0.060668868	0.040150466
449	0.050480067	0.060752158	0.040207976
450	0.050573733	0.060869106	0.040278361
451	0.050672	0.060995173	0.040348827
452	0.050724533	0.061066268	0.040382799
453	0.0507956	0.06115868	0.04043252
454	0.050879867	0.061257258	0.040502475
455	0.050979267	0.061354858	0.040603675
456	0.051082733	0.061473137	0.04069233
457	0.051183333	0.061597591	0.040769076
458	0.0512788	0.06172488	0.04083272
459	0.051330267	0.061791117	0.040869417
460	0.051387733	0.061865739	0.040909728
461	0.051449067	0.061945791	0.040952343
462	0.051507467	0.062020622	0.040994311
463	0.051600133	0.062111655	0.041088612
464	0.051693133	0.062205218	0.041181048
465	0.051757333	0.062290858	0.041223809
466	0.051854867	0.062415863	0.04129387
467	0.0519242	0.062507741	0.041340659
468	0.051947467	0.062545298	0.041349635
469	0.052023267	0.062631391	0.041415142
470	0.052099067	0.062711433	0.0414867
471	0.052172333	0.062787863	0.041556804
472	0.052232533	0.062874301	0.041590765
473	0.0523236	0.062985535	0.041661665
474	0.052400133	0.063082165	0.041718102
475	0.052409867	0.063118513	0.04170122
476	0.052506933	0.063222319	0.041791547
477	0.052603133	0.0633156	0.041890667
478	0.052678533	0.063379999	0.041977068
479	0.052769267	0.063505875	0.042032658
480	0.052850533	0.063623618	0.042077448
481	0.0529234	0.063730083	0.042116717
482	0.052991267	0.063808239	0.042174294
483	0.053083667	0.063912978	0.042254355
484	0.0531806	0.064021797	0.042339403
485	0.053255933	0.064106783	0.042405084
486	0.053334	0.064201658	0.042466342
487	0.0534174	0.064307208	0.042527592
488	0.053507733	0.064425797	0.042589669
489	0.0535774	0.064522104	0.042632696
490	0.053657	0.064624324	0.042689676
491	0.053744133	0.064729909	0.042758358
492	0.053833	0.064830065	0.042835935
493	0.0539374	0.064945587	0.042929213
494	0.054042867	0.065065671	0.043020062
495	0.0541294	0.065176808	0.043081992
496	0.054197667	0.065257862	0.043137471
497	0.054275467	0.065351872	0.043199061
498	0.054376467	0.065479197	0.043273736
499	0.054488933	0.065604966	0.043372901
500	0.054583733	0.065721475	0.043445992
501	0.054665133	0.065832792	0.043497475
502	0.054777533	0.065969515	0.043585552
503	0.054885	0.066094085	0.043675915
504	0.054983467	0.066207558	0.043759375
505	0.0550618	0.066304932	0.043818668
506	0.0551562	0.066416849	0.043895551
507	0.055254533	0.066534317	0.04397475
508	0.0553544	0.066655896	0.044052904
509	0.055454533	0.066782075	0.044126992
510	0.055562667	0.066911381	0.044213952
511	0.055675867	0.067042128	0.044309605
512	0.055756533	0.067153358	0.044359709
513	0.055850533	0.067271827	0.044429239
514	0.0559544	0.067397324	0.044511476
515	0.056067133	0.067533502	0.044600765
516	0.056169867	0.067659763	0.04467997
517	0.056271	0.067782416	0.044759584
518	0.0563734	0.067902298	0.044844502
519	0.056470533	0.068021951	0.044919115
520	0.056573533	0.068149077	0.04499799
521	0.056681133	0.06828019	0.045082077
522	0.056771733	0.068376562	0.045166905
523	0.056876067	0.068507266	0.045244868
524	0.0569898	0.068657347	0.045322253
525	0.057107533	0.068801541	0.045413525
526	0.057216067	0.068929766	0.045502368
527	0.057317733	0.069055256	0.04558021
