Wavelength	Mean	Std+	Std-
350	0.0578174	0.068610455	0.047024345
351	0.058178867	0.068972846	0.047384888
352	0.058474333	0.069231543	0.047717124
353	0.057923333	0.068745245	0.047101421
354	0.0575824	0.068413747	0.046751053
355	0.057528067	0.068311014	0.046745119
356	0.057603733	0.0684195	0.046787966
357	0.057669667	0.068532308	0.046807025
358	0.0577532	0.068648356	0.046858044
359	0.057927667	0.068764604	0.047090729
360	0.057648667	0.06850363	0.046793704
361	0.057387667	0.068268609	0.046506724
362	0.057421533	0.068297123	0.046545944
363	0.057943733	0.068860741	0.047026726
364	0.058137	0.069070567	0.047203433
365	0.057937267	0.068855594	0.047018939
366	0.058231267	0.069162041	0.047300492
367	0.058088467	0.069024462	0.047152471
368	0.057824533	0.068760208	0.046888859
369	0.058244667	0.069175707	0.047313627
370	0.0579744	0.068905593	0.047043207
371	0.057727933	0.068660196	0.046795671
372	0.058032733	0.068962123	0.047103343
373	0.0579234	0.068867927	0.046978873
374	0.0579454	0.068897693	0.046993107
375	0.0581848	0.069133098	0.047236502
376	0.0581378	0.06908684	0.04718876
377	0.0582084	0.069175743	0.047241057
378	0.058333067	0.06933843	0.047327703
379	0.058300267	0.069376764	0.047223769
380	0.058292467	0.069362186	0.047222747
381	0.0583134	0.069354794	0.047272006
382	0.058378933	0.069408982	0.047348884
383	0.057974133	0.068999385	0.046948882
384	0.057932067	0.068949994	0.04691414
385	0.0584292	0.069435508	0.047422892
386	0.058585667	0.069635923	0.047535411
387	0.058798733	0.06988132	0.047716147
388	0.0589754	0.070085328	0.047865472
389	0.058707667	0.069868211	0.047547122
390	0.058621267	0.069783507	0.047459026
391	0.058596	0.069740866	0.047451134
392	0.0585446	0.069672129	0.047417071
393	0.058874533	0.069999912	0.047749154
394	0.059001533	0.070131096	0.04787197
395	0.058796133	0.069933925	0.047658342
396	0.059053533	0.070214274	0.047892792
397	0.059169733	0.070377669	0.047961798
398	0.059175267	0.070436245	0.047914288
399	0.059089667	0.070349075	0.047830258
400	0.059138	0.070397661	0.047878339
401	0.059224267	0.070483415	0.047965118
402	0.059282067	0.070535677	0.048028456
403	0.0593242	0.070549585	0.048098815
404	0.059272333	0.070474927	0.048069739
405	0.059097533	0.07028971	0.047905357
406	0.059281533	0.0704909	0.048072166
407	0.059379667	0.070593338	0.048165996
408	0.059398067	0.070606698	0.048189435
409	0.0593942	0.070613518	0.048174882
410	0.059369733	0.070600779	0.048138688
411	0.059369533	0.070610154	0.048128913
412	0.059462467	0.070704324	0.048220609
413	0.059564133	0.070821921	0.048306346
414	0.059583733	0.070849775	0.048317692
415	0.059475467	0.070733069	0.048217864
416	0.059567867	0.070821901	0.048313833
417	0.059626133	0.07087538	0.048376887
418	0.059645133	0.070889924	0.048400343
419	0.059660533	0.070910814	0.048410252
420	0.059676733	0.070937146	0.048416321
421	0.0596914	0.070962141	0.048420659
422	0.0597008	0.070974192	0.048427408
423	0.059758333	0.071040425	0.048476241
424	0.059805267	0.07109053	0.048520003
425	0.059815	0.071092372	0.048537628
426	0.0597668	0.071043011	0.048490589
427	0.059816733	0.071092595	0.048540872
428	0.059957533	0.071233549	0.048681518
429	0.059929333	0.071214868	0.048643799
430	0.059927867	0.071216627	0.048639107
431	0.059969267	0.071261055	0.048677479
432	0.060114333	0.07142015	0.048808517
433	0.060275867	0.071600545	0.048951188
434	0.060361733	0.071700156	0.04902331
435	0.060306667	0.071647343	0.04896599
436	0.0603522	0.071688947	0.049015453
437	0.060354533	0.071693568	0.049015499
438	0.06031	0.071656896	0.048963104
439	0.060332733	0.071673864	0.048991602
440	0.0603904	0.07172676	0.04905404
441	0.060453467	0.071788768	0.049118166
442	0.0604528	0.071801589	0.049104011
443	0.060498533	0.071853575	0.049143492
444	0.060558533	0.071913702	0.049203365
445	0.060617667	0.071966301	0.049269032
446	0.060641733	0.071998971	0.049284496
447	0.060687267	0.072049064	0.049325469
448	0.060758267	0.072119001	0.049397532
449	0.0607462	0.072119503	0.049372897
450	0.060716933	0.072089512	0.049344355
451	0.060707267	0.072072906	0.049341628
452	0.0608364	0.07220555	0.04946725
453	0.060812867	0.072176086	0.049449647
454	0.060777333	0.072137166	0.049417501
455	0.060834867	0.072204249	0.049465484
456	0.0608388	0.072211065	0.049466535
457	0.060847867	0.072223377	0.049472357
458	0.060873067	0.072252909	0.049493224
459	0.060930467	0.072306427	0.049554507
460	0.0610038	0.072384131	0.049623469
461	0.0610756	0.072466348	0.049684852
462	0.061079	0.072484058	0.049673942
