Wavelength	Mean	Std+	Std-
350	0.0525393	0.081617839	0.023460761
351	0.0526202	0.081762447	0.023477953
352	0.0522555	0.081408012	0.023102988
353	0.05256	0.081602511	0.023517489
354	0.0527168	0.081713156	0.023720444
355	0.0526712	0.081693558	0.023648842
356	0.0526018	0.081622443	0.023581157
357	0.0524143	0.081476325	0.023352275
358	0.0522849	0.081406216	0.023163584
359	0.0526472	0.081800721	0.023493679
360	0.0529184	0.082190773	0.023646027
361	0.0530008	0.082399307	0.023602293
362	0.0527654	0.082257347	0.023273453
363	0.0529463	0.082560801	0.023331799
364	0.0528227	0.082533145	0.023112255
365	0.0523636	0.08213323	0.02259397
366	0.0528884	0.082638025	0.023138775
367	0.0529859	0.082744986	0.023226814
368	0.0528867	0.082664791	0.023108609
369	0.0530892	0.082846345	0.023332055
370	0.053222	0.082957554	0.023486446
371	0.0532017	0.082957581	0.023445819
372	0.0529021	0.082768619	0.023035581
373	0.0529313	0.082887477	0.022975123
374	0.0530224	0.083094463	0.022950337
375	0.0531396	0.083361541	0.022917659
376	0.0532418	0.083568441	0.022915159
377	0.0535767	0.084018657	0.023134743
378	0.0539196	0.084466227	0.023372973
379	0.0534089	0.083955598	0.022862202
380	0.053236	0.083785384	0.022686616
381	0.0532751	0.083801132	0.022749068
382	0.0535069	0.083947231	0.023066569
383	0.0538472	0.084403987	0.023290413
384	0.053913	0.084657829	0.023168171
385	0.0536205	0.08460885	0.02263215
386	0.0539904	0.085208582	0.022772218
387	0.0541819	0.085584553	0.022779247
388	0.0542219	0.085767702	0.022676098
389	0.0541304	0.085770909	0.022489891
390	0.0543298	0.085942954	0.022716646
391	0.0545018	0.08605617	0.02294743
392	0.054335	0.085866753	0.022803247
393	0.0543639	0.08592412	0.02280368
394	0.0545533	0.086251044	0.022855556
395	0.0548936	0.086849063	0.022938137
396	0.0548055	0.086977124	0.022633876
397	0.0548408	0.087253027	0.022428573
398	0.0549551	0.087593822	0.022316378
399	0.0550505	0.087754376	0.022346624
400	0.0549541	0.087625562	0.022282638
401	0.0548547	0.087461341	0.022248059
402	0.0549292	0.087480146	0.022378254
403	0.0548709	0.087365961	0.022375839
404	0.0548831	0.087339495	0.022426705
405	0.0550243	0.087463728	0.022584872
406	0.0551871	0.087649649	0.022724551
407	0.0552938	0.087813875	0.022773725
408	0.0553471	0.087947887	0.022746313
409	0.055334	0.087995305	0.022672695
410	0.055376	0.088092574	0.022659426
411	0.0554304	0.088190779	0.022670021
412	0.0554522	0.088233592	0.022670808
413	0.0556316	0.088443604	0.022819596
414	0.0557101	0.088542415	0.022877785
415	0.0555846	0.088418127	0.022751073
416	0.0557025	0.088567886	0.022837114
417	0.0558028	0.088695331	0.022910269
418	0.0558722	0.088787169	0.022957231
419	0.0558912	0.088840886	0.022941514
420	0.0559522	0.088947881	0.022956519
421	0.056034	0.08908418	0.02298382
422	0.0561154	0.089230497	0.023000303
423	0.0561106	0.089257689	0.022963511
424	0.0561603	0.089325188	0.022995412
425	0.056338	0.089510754	0.023165246
426	0.0563464	0.089503854	0.023188946
427	0.0563691	0.089534117	0.023204083
428	0.0564278	0.089628313	0.023227287
429	0.0566226	0.089900435	0.023344765
430	0.0566841	0.090070724	0.023297476
431	0.056683	0.090199199	0.023166801
432	0.0567244	0.090383161	0.023065639
433	0.0568495	0.090614191	0.023084809
434	0.0569312	0.090766934	0.023095466
435	0.0568962	0.090759434	0.023032966
436	0.057052	0.090889414	0.023214586
437	0.0571331	0.090949172	0.023317028
438	0.0571288	0.090937317	0.023320283
439	0.0571854	0.091056329	0.023314471
440	0.0572825	0.091219975	0.023345025
441	0.0573973	0.091398332	0.023396268
442	0.0574856	0.091528149	0.023443051
443	0.0574686	0.091541506	0.023395694
444	0.0574596	0.091554983	0.023364217
445	0.0575311	0.091640541	0.023421659
446	0.0576564	0.091820219	0.023492581
447	0.0577729	0.09199136	0.02355444
448	0.0578725	0.092140636	0.023604364
449	0.0579286	0.092240658	0.023616542
450	0.0579594	0.092278976	0.023639824
451	0.0579667	0.092275063	0.023658337
452	0.0579394	0.092258467	0.023620333
453	0.0580207	0.092367632	0.023673768
454	0.0581286	0.092523669	0.023733531
455	0.05821	0.092684145	0.023735855
456	0.0582377	0.092765249	0.023710151
457	0.0582738	0.092853984	0.023693616
458	0.0583298	0.092965171	0.023694429
459	0.0584319	0.093096366	0.023767434
460	0.0585199	0.093219781	0.023820019
461	0.058576	0.093311926	0.023840074
462	0.0585174	0.093270988	0.023763812
463	0.0585354	0.093307151	0.023763649
464	0.0585723	0.093366451	0.023778149
465	0.0585878	0.093414386	0.023761214
466	0.0586587	0.093525552	0.023791848
467	0.0587249	0.093636468	0.023813332
468	0.0587723	0.093732861	0.023811739
469	0.0588472	0.093877351	0.023817049
470	0.058885	0.093968894	0.023801106
471	0.0588959	0.094023961	0.023767839
472	0.0589093	0.094097641	0.023720959
473	0.05899	0.094219997	0.023760003
474	0.0590768	0.094340894	0.023812706
475	0.0591105	0.094409462	0.023811538
476	0.0591965	0.094523736	0.023869264
477	0.0592552	0.094619038	0.023891362
478	0.0592654	0.094679121	0.023851679
479	0.0593035	0.094757298	0.023849702
480	0.0593449	0.094818257	0.023871543
481	0.0593883	0.094865474	0.023911126
482	0.0594292	0.094913863	0.023944537
483	0.0594601	0.094922891	0.023997309
484	0.0594882	0.094932271	0.024044129
485	0.0595206	0.094994884	0.024046316
486	0.0596125	0.095189806	0.024035194
487	0.0597131	0.095409835	0.024016365
488	0.0598073	0.095624683	0.023989917
489	0.0597786	0.095668265	0.023888935
490	0.0597999	0.095721695	0.023878105
491	0.0598653	0.095787864	0.023942736
492	0.0599272	0.095860713	0.023993687
493	0.0599887	0.095954033	0.024023367
494	0.0600499	0.096052601	0.024047199
495	0.0601116	0.096140082	0.024083118
496	0.0601605	0.096214872	0.024106128
497	0.0601961	0.096271601	0.024120599
498	0.0602156	0.096305422	0.024125778
499	0.0603591	0.09647998	0.02423822
500	0.0604405	0.096604752	0.024276248
501	0.0604654	0.096685595	0.024245205
502	0.0605565	0.096854995	0.024258005
503	0.060608	0.096973014	0.024242986
504	0.0606491	0.09706697	0.02423123
505	0.060726	0.097171194	0.024280806
506	0.0608038	0.097271645	0.024335955
507	0.0608527	0.097339695	0.024365705
508	0.0608517	0.097354437	0.024348963
509	0.060936	0.097457161	0.024414839
510	0.0610166	0.09756456	0.02446864
511	0.0610836	0.097665946	0.024501254
512	0.0611002	0.097702131	0.024498269
513	0.0611958	0.097812282	0.024579318
514	0.0613046	0.097932248	0.024676952
515	0.0612933	0.097930168	0.024656432
516	0.0613072	0.097989931	0.024624469
517	0.061363	0.098127435	0.024598565
518	0.0614851	0.098380006	0.024590194
519	0.0615386	0.098537788	0.024539412
520	0.0616019	0.09866609	0.02453771
521	0.0616798	0.098769687	0.024589913
522	0.0617319	0.098828067	0.024635733
