Wavelength	Mean	Std+	Std-
350	0.0340016	0.040819321	0.027183879
351	0.0341668	0.041020179	0.027313421
352	0.034292333	0.041172388	0.027412279
353	0.033962067	0.040878545	0.027045588
354	0.033996733	0.040907718	0.027085749
355	0.034403067	0.041273456	0.027532677
356	0.034389067	0.041346843	0.02743129
357	0.034557867	0.041499629	0.027616105
358	0.034643267	0.041532038	0.027754496
359	0.033994733	0.040912108	0.027077359
360	0.033806667	0.040760379	0.026852955
361	0.033989467	0.040965617	0.027013317
362	0.034638	0.041604929	0.027671071
363	0.0347332	0.041730749	0.027735651
364	0.034738467	0.04176941	0.027707523
365	0.034700067	0.041756772	0.027643362
366	0.034385667	0.04137079	0.027400544
367	0.0343224	0.041335406	0.027309394
368	0.0344694	0.041556568	0.027382232
369	0.0348682	0.041954254	0.027782146
370	0.0348758	0.041944947	0.027806653
371	0.034835667	0.041892515	0.027778818
372	0.0349746	0.042039396	0.027909804
373	0.0352082	0.042306582	0.028109818
374	0.035354867	0.042485237	0.028224496
375	0.035379667	0.042534899	0.028224434
376	0.035317333	0.04243585	0.028198816
377	0.035333533	0.042488061	0.028179006
378	0.035353	0.042574911	0.028131089
379	0.035090267	0.042273527	0.027907007
380	0.035379267	0.042563576	0.028194958
381	0.035782067	0.042993273	0.028570861
382	0.035966267	0.043230187	0.028702347
383	0.035750867	0.042989514	0.028512219
384	0.035722333	0.042968567	0.0284761
385	0.035997733	0.04330775	0.028687717
386	0.0358116	0.04319218	0.02843102
387	0.0359544	0.043349704	0.028559096
388	0.0362392	0.04362601	0.02885239
389	0.0359708	0.043442584	0.028499016
390	0.035890933	0.043363294	0.028418573
391	0.035989867	0.043447435	0.028532299
392	0.036343867	0.04382893	0.028858804
393	0.036077867	0.04358902	0.028566713
394	0.0360858	0.043624873	0.028546727
395	0.0365592	0.044127193	0.028991207
396	0.036833867	0.044463106	0.029204628
397	0.036744867	0.044414769	0.029074965
398	0.036475867	0.044171508	0.028780226
399	0.0365374	0.044249713	0.028825087
400	0.036513467	0.044253845	0.028773088
401	0.0365644	0.044325695	0.028803105
402	0.036890533	0.044645842	0.029135225
403	0.036905267	0.044666114	0.029144419
404	0.036951267	0.044717561	0.029184972
405	0.037118867	0.044886487	0.029351246
406	0.037144	0.044910133	0.029377867
407	0.037216533	0.044996098	0.029436969
408	0.037319067	0.045122524	0.02951561
409	0.037334733	0.045153037	0.029516429
410	0.037404933	0.04524996	0.029559907
411	0.037464067	0.045336198	0.029591935
412	0.037427267	0.045314063	0.02954047
413	0.037620733	0.045517631	0.029723836
414	0.037774	0.045679418	0.029868582
415	0.037795133	0.04570745	0.029882817
416	0.0379352	0.045864825	0.030005575
417	0.038017133	0.045959002	0.030075264
418	0.0380444	0.045995599	0.030093201
419	0.038083733	0.046057703	0.030109764
420	0.038180533	0.046165465	0.030195602
421	0.038275	0.046268875	0.030281125
422	0.038269	0.046284326	0.030253674
423	0.0383506	0.046376164	0.030325036
424	0.038437733	0.046474886	0.03040058
425	0.0384994	0.046554916	0.030443884
426	0.038601733	0.046653276	0.030550191
427	0.038724867	0.046787578	0.030662155
428	0.038858333	0.046949034	0.030767633
429	0.0388884	0.046997292	0.030779508
430	0.0389528	0.047080082	0.030825518
431	0.039038133	0.047187109	0.030889158
432	0.039131933	0.047314255	0.030949612
433	0.039124133	0.04732863	0.030919637
434	0.0391742	0.047406729	0.030941671
435	0.039377267	0.047653905	0.031100628
436	0.0394906	0.047778584	0.031202616
437	0.039604333	0.047893397	0.03131527
438	0.0397218	0.048007632	0.031435968
439	0.039760867	0.048073936	0.031447797
440	0.039852867	0.048186536	0.031519198
441	0.039970267	0.048319534	0.031621
442	0.0400642	0.048424354	0.031704046
443	0.040172667	0.048562357	0.031782977
444	0.040247467	0.048665087	0.031829847
445	0.040246667	0.048677997	0.031815336
446	0.040442467	0.048880147	0.032004786
447	0.0405744	0.049028506	0.032120294
448	0.040615333	0.049096983	0.032133684
449	0.040702933	0.04920447	0.032201397
450	0.040810867	0.049330772	0.032290962
451	0.040912533	0.049448536	0.032376531
452	0.040926267	0.049472451	0.032380082
453	0.0410332	0.049590112	0.032476288
454	0.041139667	0.049714466	0.032564868
455	0.041171933	0.049780323	0.032563544
456	0.041322867	0.049948646	0.032697087
457	0.041427333	0.050073867	0.0327808
458	0.0414542	0.05012714	0.03278126
459	0.0415464	0.050238585	0.032854215
460	0.041648733	0.050344455	0.032953012
461	0.041751067	0.050446673	0.033055461
462	0.0418148	0.050544804	0.033084796
463	0.041864667	0.050611964	0.033117369
464	0.0419392	0.050697587	0.033180813
465	0.042083733	0.050852941	0.033314526
466	0.0421538	0.050947985	0.033359615
467	0.042245	0.051060022	0.033429978
468	0.042380133	0.051206685	0.033553582
469	0.0424878	0.051337076	0.033638524
470	0.0425198	0.05138676	0.03365284
471	0.042503867	0.05138486	0.033622873
472	0.042543533	0.051438523	0.033648543
473	0.042629333	0.051538379	0.033720288
474	0.042731333	0.051653665	0.033809002
475	0.042828067	0.051762291	0.033893843
476	0.0429588	0.051908577	0.034009023
477	0.043023667	0.051992901	0.034054432
478	0.042990667	0.05198366	0.033997673
479	0.043101467	0.052104405	0.034098529
480	0.043195933	0.052203428	0.034188439
481	0.043272733	0.052281017	0.034264449
482	0.043333933	0.052347362	0.034320504
483	0.043376133	0.052401346	0.03435092
484	0.0434222	0.052458355	0.034386045
485	0.0435026	0.052538312	0.034466888
486	0.043644867	0.052698114	0.034591619
487	0.043729867	0.05281178	0.034647953
488	0.0437098	0.052831205	0.034588395
489	0.0437932	0.052921734	0.034664666
490	0.043881267	0.053021489	0.034741044
491	0.043971533	0.05312661	0.034816456
492	0.044076067	0.053235336	0.034916798
493	0.0441606	0.053331112	0.034990088
494	0.044237867	0.053424265	0.035051468
495	0.0443226	0.053528646	0.035116554
496	0.044419333	0.053633688	0.035204979
497	0.044501	0.053721751	0.035280249
498	0.044553867	0.053781969	0.035325764
499	0.044658067	0.053901605	0.035414529
500	0.044767267	0.054028874	0.03550566
501	0.0448744	0.054157337	0.035591463
502	0.044938933	0.054253484	0.035624383
503	0.045040867	0.054367973	0.03571376
504	0.045148667	0.054481823	0.035815511
505	0.0452122	0.054563225	0.035861175
506	0.045327267	0.054694018	0.035960516
507	0.045458933	0.054840239	0.036077628
508	0.045597133	0.054991795	0.036202471
509	0.0456688	0.055087891	0.036249709
510	0.045736267	0.055173334	0.036299199
511	0.0458104	0.055258855	0.036361945
512	0.045961867	0.055428102	0.036495631
513	0.046048	0.055526061	0.036569939
514	0.0461208	0.055607469	0.036634131
515	0.046281133	0.05577862	0.036783647
516	0.046367867	0.055901645	0.036834088
517	0.0464586	0.056027152	0.036890048
518	0.046596133	0.056182963	0.037009303
519	0.046712267	0.056338899	0.037085634
520	0.046809467	0.056467873	0.03715106
521	0.0468926	0.056572126	0.037213074
522	0.0470514	0.056759986	0.037342814
523	0.047174267	0.056900435	0.037448099
524	0.047281467	0.057018724	0.037544209
525	0.047408267	0.05715777	0.037658763
526	0.047555	0.057322343	0.037787657
527	0.047673067	0.057464782	0.037881351
528	0.047722667	0.057549209	0.037896124
529	0.047871133	0.057730459	0.038011808
530	0.048024267	0.057906122	0.038142411
531	0.048169867	0.058062803	0.038276931
532	0.048291067	0.058203651	0.038378482
533	0.0484278	0.058364587	0.038491013
534	0.048567133	0.058531131	0.038603135
535	0.0486668	0.058657948	0.038675652
536	0.0487848	0.058805539	0.038764061
537	0.048919667	0.058965561	0.038873773
538	0.049079267	0.059139542	0.039018991
539	0.049252267	0.059336619	0.039167915
540	0.049400867	0.059510786	0.039290948
541	0.049515733	0.059652245	0.039379222
542	0.049596733	0.059768362	0.039425105
543	0.049728	0.059927513	0.039528487
544	0.0498936	0.060115659	0.039671541
545	0.050054867	0.060297408	0.039812325
546	0.050156	0.060419289	0.039892711
547	0.0502644	0.060550023	0.039978777
548	0.0504464	0.060757658	0.040135142
549	0.050557067	0.060894068	0.040220066
550	0.050697267	0.061059341	0.040335192
551	0.050891333	0.061278044	0.040504623
552	0.050988533	0.061400198	0.040576869
553	0.051112067	0.061550682	0.040673452
554	0.051260267	0.061726246	0.040794287
555	0.051437933	0.061923485	0.040952382
556	0.0515756	0.062077309	0.041073891
557	0.051701333	0.062220977	0.04118169
558	0.051838933	0.062385274	0.041292592
559	0.0519718	0.062546848	0.041396752
560	0.052098867	0.062703954	0.041493779
561	0.052218	0.062853414	0.041582586
562	0.0523288	0.062988648	0.041668952
563	0.0524678	0.063144123	0.041791477
564	0.052622867	0.06331115	0.041934584
565	0.0527204	0.063432842	0.042007958
566	0.0528796	0.063616598	0.042142602
567	0.0530374	0.063800807	0.042273993
568	0.0531094	0.063901293	0.042317507
569	0.053251933	0.06406058	0.042443287
570	0.053401267	0.064229409	0.042573124
571	0.053537	0.06439303	0.04268097
572	0.0536488	0.064528703	0.042768897
573	0.053775867	0.064672277	0.042879456
574	0.053914	0.064821353	0.043006647
575	0.054019933	0.064944541	0.043095326
576	0.054166867	0.065110207	0.043223526
577	0.054326267	0.065291279	0.043361255
578	0.054459867	0.065454344	0.043465389
579	0.054547267	0.065558678	0.043535855
580	0.054654533	0.065684446	0.04362462
581	0.0548114	0.065867296	0.043755504
582	0.054959733	0.066028027	0.04389144
583	0.055092533	0.066171728	0.044013339
584	0.055211	0.066301124	0.044120876
585	0.055321533	0.066423314	0.044219752
586	0.0554186	0.066530747	0.044306453
587	0.055521733	0.066645774	0.044397693
588	0.055671	0.066815078	0.044526922
589	0.055760733	0.066927717	0.044593749
590	0.0558288	0.067024345	0.044633255
591	0.0558868	0.067118597	0.044655003
592	0.0560556	0.067289231	0.044821969
593	0.056176667	0.067414414	0.044938919
594	0.0562522	0.067500027	0.045004373
595	0.056458667	0.067732983	0.04518435
596	0.056529	0.067826583	0.045231417
597	0.05655	0.067868001	0.045231999
598	0.056701067	0.06803662	0.045365513
599	0.0568034	0.068160069	0.045446731
600	0.056894733	0.068273697	0.045515769
601	0.056992467	0.068393879	0.045591054
602	0.057133533	0.06856891	0.045698157
603	0.0572248	0.068690424	0.045759176
604	0.057260733	0.068750727	0.04577074
605	0.0573952	0.068907684	0.045882716
606	0.0575176	0.069038146	0.045997054
607	0.057621467	0.069142386	0.046100547
608	0.0576726	0.069200125	0.046145075
609	0.0577716	0.0693198	0.0462234
610	0.0578686	0.06943678	0.04630042
611	0.057923133	0.069500336	0.04634593
612	0.058096867	0.069681229	0.046512504
613	0.058201333	0.069788902	0.046613765
614	0.0582052	0.069791132	0.046619268
615	0.058312	0.069900355	0.046723645
616	0.058457533	0.07004946	0.046865607
617	0.0586044	0.070200146	0.047008654
618	0.058626733	0.070223232	0.047030235
619	0.058790533	0.070386271	0.047194796
620	0.0589562	0.07054964	0.04736276
621	0.0590106	0.070599901	0.047421299
622	0.059131533	0.070717996	0.04754507
623	0.0592756	0.070860221	0.047690979
624	0.059434267	0.071018269	0.047850265
625	0.0594932	0.071076804	0.047909596
626	0.059552267	0.071149646	0.047954888
627	0.059634	0.071249235	0.048018765
628	0.059843467	0.071440759	0.048246174
629	0.0599918	0.071590001	0.048393599
630	0.060104267	0.071707684	0.048500849
631	0.0601878	0.071789428	0.048586172
632	0.060257667	0.071862223	0.04865311
633	0.060338467	0.071951669	0.048725264
634	0.060435667	0.072064295	0.048807039
635	0.060583333	0.072207427	0.048959239
636	0.060652733	0.072273605	0.049031862
637	0.060679467	0.072298629	0.049060304
638	0.060813733	0.072435434	0.049192032
639	0.060984867	0.072615834	0.049353899
640	0.061120733	0.072761503	0.049479964
641	0.061123267	0.072766697	0.049479837
642	0.061265733	0.072923242	0.049608225
643	0.061364867	0.073037143	0.049692591
644	0.0613678	0.073052695	0.049682905
645	0.061551267	0.073242312	0.049860221
646	0.061665067	0.07337358	0.049956554
647	0.0617232	0.073458635	0.049987765
648	0.061807067	0.07357184	0.050042293
649	0.0619364	0.073719717	0.050153083
