Wavelength	Mean	Std+	Std-
350	0.047988133	0.054994766	0.040981501
351	0.048255933	0.055266506	0.04124536
352	0.048500867	0.055503107	0.041498626
353	0.0486288	0.055657751	0.041599849
354	0.048748133	0.055806437	0.04168983
355	0.048879533	0.055967207	0.04179186
356	0.049174	0.056298577	0.042049423
357	0.0493194	0.056439826	0.042198974
358	0.0494392	0.05654927	0.04232913
359	0.049794933	0.056958305	0.042631562
360	0.049886	0.057073442	0.042698558
361	0.049922467	0.05713557	0.042709364
362	0.050005267	0.057264604	0.042745929
363	0.0503092	0.057588979	0.043029421
364	0.050541667	0.057850864	0.043232469
365	0.050680933	0.058031238	0.043330629
366	0.0511076	0.058477054	0.043738146
367	0.0513878	0.058774139	0.044001461
368	0.051556333	0.058962296	0.04415037
369	0.051622733	0.059062766	0.044182701
370	0.051704467	0.059167552	0.044241381
371	0.0518636	0.059359663	0.044367537
372	0.052175667	0.059732956	0.044618378
373	0.052609	0.060165906	0.045052094
374	0.052988733	0.060561666	0.045415801
375	0.053280933	0.06089917	0.045662697
376	0.053377667	0.061031121	0.045724213
377	0.053615	0.061314885	0.045915115
378	0.0539778	0.061735681	0.046219919
379	0.0544706	0.06230291	0.04663829
380	0.054724133	0.062582912	0.046865354
381	0.0549282	0.062806011	0.047050389
382	0.055225733	0.063147046	0.04730442
383	0.0555188	0.06348801	0.04754959
384	0.0558824	0.063898823	0.047865977
385	0.056335467	0.064397947	0.048272987
386	0.056694533	0.064825959	0.048563107
387	0.0570088	0.065221195	0.048796405
388	0.0573264	0.065623832	0.049028968
389	0.057870733	0.066231102	0.049510365
390	0.058056667	0.06644492	0.049668413
391	0.058195667	0.066605734	0.049785599
392	0.0585692	0.067021241	0.050117159
393	0.058817867	0.067289388	0.050346345
394	0.059135533	0.067638628	0.050632439
395	0.059554933	0.068108101	0.051001766
396	0.060073467	0.06869447	0.051452464
397	0.060356867	0.069046272	0.051667461
398	0.060519267	0.069275594	0.051762939
399	0.0609054	0.06972824	0.05208256
400	0.061148267	0.069989347	0.052307186
401	0.0613544	0.070207309	0.052501491
402	0.061627133	0.070524514	0.052729753
403	0.061894	0.070816647	0.052971353
404	0.062158933	0.071107126	0.053210741
405	0.062429667	0.071409204	0.053450129
406	0.0627454	0.071757006	0.053733794
407	0.0629918	0.072040696	0.053942904
408	0.063196067	0.072287358	0.054104776
409	0.0635122	0.072655309	0.054369091
410	0.0638454	0.073028997	0.054661803
411	0.064175667	0.073396151	0.054955183
412	0.0644878	0.073751132	0.055224468
413	0.0647552	0.07405215	0.05545825
414	0.065008333	0.07434044	0.055676227
415	0.0652588	0.074631199	0.055886401
416	0.065565267	0.074980894	0.056149639
417	0.065892067	0.07534532	0.056438813
418	0.066228933	0.07571545	0.056742417
419	0.066523333	0.076045661	0.057001006
420	0.066829467	0.076394571	0.057264363
421	0.067131867	0.076743288	0.057520445
422	0.067405133	0.077063627	0.05774664
423	0.0677686	0.077470337	0.058066863
424	0.068091	0.077833849	0.058348151
425	0.068311667	0.078094752	0.058528581
426	0.0686564	0.078487708	0.058825092
427	0.069010267	0.078891528	0.059129006
428	0.069369467	0.079301439	0.059437495
429	0.0697778	0.079757931	0.059797669
430	0.070119467	0.08015587	0.060083063
431	0.070444533	0.080543001	0.060346066
432	0.070852933	0.081019149	0.060686718
433	0.071221	0.081454432	0.060987568
434	0.071561867	0.081858975	0.061264759
435	0.071878733	0.082234382	0.061523085
436	0.072234667	0.082638914	0.06183042
437	0.072581	0.083032953	0.062129047
438	0.072922267	0.083422592	0.062421941
439	0.0733484	0.083905994	0.062790806
440	0.0737398	0.084345035	0.063134565
441	0.0740942	0.084744191	0.063444209
442	0.074389	0.085097714	0.063680286
443	0.074718667	0.085484408	0.063952925
444	0.0750498	0.08586854	0.06423106
445	0.075364067	0.08622958	0.064498554
446	0.0757092	0.086617224	0.064801176
447	0.076034267	0.086986687	0.065081847
448	0.0763354	0.087334918	0.065335882
449	0.0766508	0.087695365	0.065606235
450	0.076947733	0.088034674	0.065860793
451	0.077235467	0.088362397	0.066108537
452	0.0775348	0.088700027	0.066369573
453	0.0778318	0.089035006	0.066628594
454	0.078126867	0.089369814	0.06688392
455	0.078419933	0.089706953	0.067132914
456	0.078688667	0.09000975	0.067367584
457	0.078961267	0.090318028	0.067604505
458	0.079240467	0.090636571	0.067844362
459	0.079502867	0.090937608	0.068068126
460	0.079729733	0.091195168	0.068264298
461	0.079937933	0.091429525	0.068446342
462	0.0801766	0.091698373	0.068654827
463	0.080371333	0.091914531	0.068828135
464	0.080571867	0.092133969	0.069009764
465	0.080822667	0.092404057	0.069241276
466	0.081042467	0.092649309	0.069435625
467	0.081234467	0.092867909	0.069601024
468	0.081395533	0.093055214	0.069735853
469	0.0816334	0.093319265	0.069947535
470	0.081831	0.093538927	0.070123073
471	0.0820096	0.093736648	0.070282552
472	0.082260933	0.094008482	0.070513385
473	0.082432933	0.094202738	0.070663129
474	0.0825788	0.094372015	0.070785585
475	0.0827396	0.094557393	0.070921807
476	0.0830244	0.09485985	0.07118895
477	0.083270333	0.095125693	0.071414974
478	0.083435533	0.095316497	0.071554569
479	0.083724533	0.095633962	0.071815105
480	0.083957867	0.095891823	0.07202391
481	0.0841518	0.096107035	0.072196565
482	0.084401333	0.096377342	0.072425324
483	0.084613	0.096613391	0.072612609
484	0.084836067	0.096863193	0.07280894
485	0.085138267	0.097193845	0.073082688
486	0.0854466	0.097529541	0.073363659
487	0.085724733	0.097839917	0.073609549
488	0.085954267	0.098109485	0.073799048
489	0.0862106	0.098417408	0.074003792
490	0.086495	0.098743209	0.074246791
491	0.086796	0.099075554	0.074516446
492	0.0870784	0.09938769	0.07476911
493	0.0873938	0.099733271	0.075054329
494	0.087705667	0.100079011	0.075332322
495	0.087956533	0.100373468	0.075539599
496	0.0882652	0.100722919	0.075807481
497	0.088591733	0.101087936	0.07609553
498	0.0889276	0.101460108	0.076395092
499	0.089246667	0.101810836	0.076682497
500	0.089576	0.102181116	0.076970884
501	0.089915	0.102569094	0.077260906
502	0.090251933	0.102942297	0.07756157
503	0.0905822	0.103319888	0.077844512
504	0.0909086	0.10369624	0.07812096
505	0.0912406	0.104068967	0.078412233
506	0.091551133	0.104420771	0.078681495
507	0.091887933	0.104797649	0.078978218
508	0.092282867	0.105230281	0.079335453
509	0.092611	0.105593075	0.079628925
510	0.092912	0.105935635	0.079888365
511	0.093199933	0.106271463	0.080128404
512	0.0935908	0.10669668	0.08048492
513	0.093946933	0.10708828	0.080805586
514	0.0942956	0.107473229	0.081117971
515	0.094682733	0.10789707	0.081468397
516	0.095035	0.108291304	0.081778696
517	0.0953768	0.108680597	0.082073003
518	0.095714	0.109072436	0.082355564
519	0.096047933	0.10946289	0.082632977
520	0.096386933	0.109853294	0.082920573
521	0.096729533	0.110241671	0.083217396
522	0.097097667	0.110649083	0.08354625
523	0.097458133	0.111046145	0.083870121
524	0.097816	0.111441351	0.084190649
525	0.098175267	0.111844955	0.084505579
526	0.0985496	0.112260935	0.084838265
527	0.098912333	0.112664898	0.085159769
528	0.099246	0.113041259	0.085450741
529	0.099602733	0.113448691	0.085756776
530	0.0999662	0.113855317	0.086077083
531	0.100333933	0.114256828	0.086411039
532	0.100692667	0.114653573	0.08673176
533	0.101052467	0.115053486	0.087051448
534	0.101406667	0.11545012	0.087363213
535	0.101727533	0.115818931	0.087636136
536	0.102078733	0.116208575	0.087948891
537	0.102440533	0.11660731	0.088273756
538	0.102805667	0.117013516	0.088597817
539	0.103160067	0.117402391	0.088917743
540	0.103522933	0.117803607	0.08924226
541	0.103894067	0.118218526	0.089569608
542	0.1041928	0.118562227	0.089823373
543	0.104522133	0.11893095	0.090113316
544	0.1048724	0.119317526	0.090427274
545	0.105228133	0.119716209	0.090740058
546	0.105571333	0.120096565	0.091046101
547	0.105914533	0.120475562	0.091353504
548	0.106271067	0.120871926	0.091670207
549	0.106596333	0.121238167	0.0919545
550	0.106929267	0.121610474	0.092248059
551	0.107279067	0.121997577	0.092560556
552	0.107626867	0.122383739	0.092869994
553	0.107980267	0.122775213	0.093185321
554	0.108334933	0.123167517	0.09350235
555	0.108667667	0.123534074	0.09380126
556	0.109000467	0.123899986	0.094100948
557	0.109327733	0.124261099	0.094394367
558	0.109635733	0.124606468	0.094664999
559	0.109996333	0.125004389	0.094988278
560	0.110349067	0.125396309	0.095301825
561	0.1106744	0.125762978	0.095585822
562	0.1109874	0.126111668	0.095863132
563	0.111317267	0.126475842	0.096158691
564	0.1116604	0.126851659	0.096469141
565	0.1119932	0.127213832	0.096772568
566	0.112309533	0.127560646	0.097058421
567	0.112616867	0.127900145	0.097333588
568	0.112917267	0.128235714	0.097598819
569	0.1132662	0.128616348	0.097916052
570	0.113600733	0.128982057	0.098219409
571	0.113895533	0.129308923	0.098482144
572	0.114195267	0.129643081	0.098747452
573	0.114501533	0.129981009	0.099022057
574	0.114817667	0.130325514	0.09930982
575	0.115169067	0.130699141	0.099638992
576	0.115474067	0.131031134	0.099917
577	0.115763067	0.13135136	0.100174773
578	0.116070933	0.131696247	0.10044562
579	0.116405933	0.13205973	0.100752137
580	0.116728333	0.132411292	0.101045375
581	0.117019133	0.132735488	0.101302778
582	0.117327067	0.133069685	0.101584449
583	0.1176406	0.133408156	0.101873044
584	0.117960267	0.133751048	0.102169485
585	0.1182796	0.134089375	0.102469825
586	0.118536267	0.134361968	0.102710565
587	0.118773867	0.134615539	0.102932194
588	0.119060533	0.134923616	0.103197451
589	0.119311733	0.135194346	0.10342912
590	0.119567667	0.135475649	0.103659684
591	0.1198454	0.135788934	0.103901866
592	0.120155	0.136124359	0.104185641
593	0.120457933	0.136448514	0.104467353
594	0.120752067	0.136760219	0.104743915
595	0.121017733	0.137048573	0.104986894
596	0.121308533	0.137366572	0.105250494
597	0.121601	0.1376882	0.1055138
598	0.121835733	0.13794745	0.105724016
599	0.122128867	0.138266112	0.105991621
600	0.1224342	0.138596395	0.106272005
601	0.1227248	0.138909583	0.106540017
602	0.122976933	0.139191207	0.10676266
603	0.1232388	0.139482358	0.106995242
604	0.123515667	0.139787159	0.107244175
605	0.123790867	0.140085485	0.107496249
606	0.124054733	0.140372411	0.107737056
607	0.124318133	0.140657697	0.107978569
608	0.124603267	0.140958551	0.108247982
609	0.1248812	0.141250685	0.108511715
610	0.125154	0.14153699	0.10877101
611	0.125415867	0.141811401	0.109020332
612	0.125705933	0.142117483	0.109294383
613	0.126005267	0.142427395	0.109583138
614	0.126310133	0.142735995	0.109884272
615	0.1265362	0.142972465	0.110099935
616	0.126806333	0.143252461	0.110360206
617	0.127105667	0.143561249	0.110650084
618	0.127398933	0.143863143	0.110934723
619	0.127660867	0.144124585	0.111197148
