Wavelength	Mean	Std+	Std-
350	0.062862733	0.072769216	0.052956251
351	0.0630562	0.073006755	0.053105645
352	0.063143667	0.073140793	0.05314654
353	0.0632494	0.073259357	0.053239443
354	0.063385133	0.073438792	0.053331475
355	0.063553867	0.073679153	0.05342858
356	0.063788667	0.073903685	0.053673649
357	0.063858	0.073986346	0.053729654
358	0.063906733	0.074067806	0.05374566
359	0.064245333	0.074463369	0.054027298
360	0.0645044	0.074735745	0.054273055
361	0.064842867	0.075088187	0.054597546
362	0.0653872	0.075674676	0.055099724
363	0.0655308	0.075829596	0.055232004
364	0.065682	0.076010907	0.055353093
365	0.065884867	0.076266583	0.05550315
366	0.066030467	0.076460878	0.055600055
367	0.066118867	0.076605772	0.055631962
368	0.0662402	0.076785802	0.055694598
369	0.066671933	0.077260984	0.056082883
370	0.066949133	0.077588855	0.056309412
371	0.067208533	0.077903502	0.056513565
372	0.067538933	0.078292252	0.056785615
373	0.067936733	0.078772383	0.057101083
374	0.068215533	0.079114223	0.057316844
375	0.068344	0.079280039	0.057407961
376	0.068723867	0.079713499	0.057734234
377	0.069036867	0.080083095	0.057990638
378	0.069331733	0.080441875	0.058221591
379	0.069759667	0.080956891	0.058562442
380	0.070104533	0.08136484	0.058844226
381	0.0703696	0.081700331	0.059038869
382	0.0705224	0.081960102	0.059084698
383	0.070931467	0.082436586	0.059426347
384	0.0713788	0.082948182	0.059809418
385	0.071827133	0.08346483	0.060189437
386	0.0721968	0.08391467	0.06047893
387	0.072512467	0.084302359	0.060722574
388	0.072782867	0.084644347	0.060921386
389	0.073031733	0.084999454	0.061064013
390	0.0732942	0.085332932	0.061255468
391	0.073637667	0.085749435	0.061525899
392	0.074177	0.086401873	0.061952127
393	0.074539267	0.086821087	0.062257446
394	0.074845067	0.087198396	0.062491738
395	0.075110867	0.087562824	0.062658909
396	0.075439467	0.087969467	0.062909466
397	0.075762733	0.08833979	0.063185677
398	0.0760824	0.088694395	0.063470405
399	0.076430667	0.089126807	0.063734526
400	0.076703667	0.089481407	0.063925926
401	0.076964867	0.089824642	0.064105091
402	0.0772946	0.090248097	0.064341103
403	0.0775492	0.090583254	0.064515146
404	0.077783933	0.090897505	0.064670361
405	0.078017267	0.091214446	0.064820088
406	0.078333933	0.091610855	0.065057012
407	0.078617	0.091962726	0.065271274
408	0.078884	0.092290695	0.065477305
409	0.079252533	0.092728988	0.065776079
410	0.079555267	0.093104472	0.066006061
411	0.079835267	0.09345442	0.066216114
412	0.080144133	0.093823496	0.066464771
413	0.080455133	0.094197053	0.066713214
414	0.080762467	0.094567657	0.066957276
415	0.081070333	0.094940513	0.067200154
416	0.0813686	0.095286574	0.067450626
417	0.081645467	0.095618897	0.067672036
418	0.081911467	0.095947522	0.067875411
419	0.082248867	0.096339442	0.068158291
420	0.0825792	0.096723112	0.068435288
421	0.082902933	0.097095819	0.068710048
422	0.083220533	0.097451935	0.068989132
423	0.083589467	0.097868238	0.069310695
424	0.083948867	0.09827624	0.069621493
425	0.084275067	0.098650192	0.069899942
426	0.084530533	0.098966404	0.070094662
427	0.084829667	0.099322753	0.070336581
428	0.085177933	0.099724094	0.070631773
429	0.085519667	0.100108526	0.070930808
430	0.085922467	0.100540929	0.071304005
431	0.086341933	0.100983735	0.071700131
432	0.086709	0.10137808	0.07203992
433	0.087078467	0.101782595	0.072374338
434	0.087443733	0.102185646	0.072701821
435	0.087805867	0.102587263	0.07302447
436	0.088155867	0.10299479	0.073316943
437	0.088495	0.103387162	0.073602838
438	0.088827867	0.103767575	0.073888158
439	0.089174333	0.104155454	0.074193213
440	0.0895186	0.104539224	0.074497976
441	0.089866133	0.104924484	0.074807782
442	0.090241667	0.105333252	0.075150081
443	0.0905882	0.105724233	0.075452167
444	0.0909316	0.106113443	0.075749757
445	0.091287333	0.106510674	0.076063993
446	0.091645267	0.106912234	0.076378299
