Wavelength	Mean	Std+	Std-
350	0.038382533	0.043237925	0.033527141
351	0.038490267	0.043341216	0.033639318
352	0.0387012	0.043542583	0.033859817
353	0.038849333	0.043731325	0.033967342
354	0.038865467	0.043762175	0.033968759
355	0.038780133	0.0436575	0.033902766
356	0.039067267	0.043895183	0.03423935
357	0.039181133	0.044020546	0.03434172
358	0.0391998	0.044073929	0.034325671
359	0.039233133	0.044093167	0.0343731
360	0.039435533	0.044332899	0.034538167
361	0.039679267	0.044593615	0.034764919
362	0.039910467	0.044772958	0.035047975
363	0.0399472	0.044838069	0.035056331
364	0.039995467	0.044880941	0.035109992
365	0.0400938	0.044931831	0.035255769
366	0.0405446	0.045427696	0.035661504
367	0.040630467	0.045528142	0.035732792
368	0.0405374	0.045428145	0.035646655
369	0.040653533	0.045527831	0.035779235
370	0.040883933	0.045755845	0.036012022
371	0.041108	0.045983594	0.036232406
372	0.0412338	0.046115636	0.036351964
373	0.041391933	0.046273109	0.036510758
374	0.0416368	0.04651826	0.03675534
375	0.041977733	0.046862183	0.037093284
376	0.0421024	0.047012468	0.037192332
377	0.042324933	0.047240496	0.037409371
378	0.042587533	0.047493768	0.037681299
379	0.042681267	0.047574614	0.037787919
380	0.042621933	0.04752244	0.037721427
381	0.042624467	0.04753618	0.037712754
382	0.042903133	0.047817387	0.03798888
383	0.043353533	0.048222204	0.038484862
384	0.043737333	0.048575839	0.038898827
385	0.044005133	0.048840741	0.039169526
386	0.044158533	0.049007787	0.03930928
387	0.044431067	0.049310466	0.039551667
388	0.044776467	0.049690532	0.039862401
389	0.045064467	0.049977187	0.040151747
390	0.045084933	0.049995837	0.040174029
391	0.045177	0.050081275	0.040272725
392	0.045702733	0.050589137	0.040816329
393	0.0460064	0.050854258	0.041158542
394	0.0461416	0.050964648	0.041318552
395	0.0461128	0.050933419	0.041292181
396	0.046607667	0.051427749	0.041787584
397	0.0470918	0.051920793	0.042262807
398	0.047504067	0.052345091	0.042663043
399	0.047584933	0.052420012	0.042749855
400	0.047859933	0.052665788	0.043054078
401	0.048150133	0.052930771	0.043369496
402	0.0483138	0.053098688	0.043528912
403	0.048485733	0.05322557	0.043745896
404	0.048690067	0.053389682	0.043990451
405	0.048940267	0.053615899	0.044264634
406	0.049281533	0.05392711	0.044635957
407	0.0495632	0.054187901	0.044938499
408	0.0498104	0.054421962	0.045198838
409	0.050180933	0.054782294	0.045579573
410	0.050466	0.055041593	0.045890407
411	0.050717067	0.055264342	0.046169791
412	0.0509876	0.055519936	0.046455264
413	0.051284933	0.055797357	0.04677251
414	0.051566533	0.056058421	0.047074646
415	0.051822067	0.056293461	0.047350672
416	0.0521514	0.056586764	0.047716036
417	0.052452867	0.05685459	0.048051143
418	0.052730933	0.057102116	0.04835975
419	0.0530482	0.057392284	0.048704116
420	0.053340467	0.057661525	0.049019409
421	0.053626467	0.057925844	0.049327089
422	0.0539362	0.058211456	0.049660944
423	0.0542218	0.058483562	0.049960038
424	0.0545102	0.058756959	0.050263441
425	0.0548156	0.059038992	0.050592208
426	0.05511	0.059306089	0.050913911
427	0.0554328	0.059603051	0.051262549
428	0.0557812	0.059926189	0.051636211
429	0.056067867	0.060182803	0.051952931
430	0.056418933	0.06051191	0.052325956
431	0.056796867	0.060874981	0.052718753
432	0.0571532	0.061224793	0.053081607
433	0.057464	0.061519127	0.053408873
434	0.057761733	0.061804448	0.053719019
435	0.0580622	0.062103353	0.054021047
436	0.058430733	0.062443264	0.054418202
437	0.0587238	0.062711349	0.054736251
438	0.0589464	0.062914558	0.054978242
439	0.0592788	0.063224563	0.055333037
440	0.0596098	0.063536236	0.055683364
441	0.059929133	0.06384177	0.056016496
442	0.060211733	0.064126315	0.056297152
443	0.060517467	0.064414718	0.056620216
444	0.060841067	0.064718402	0.056963731
445	0.061186867	0.065052029	0.057321704
446	0.061487533	0.065340145	0.057634921
447	0.061803533	0.065642645	0.057964421
448	0.062141467	0.065966688	0.058316245
449	0.062440467	0.066254755	0.058626179
450	0.062710667	0.066509297	0.058912037
451	0.062971533	0.066753527	0.059189539
452	0.063269933	0.067042711	0.059497155
453	0.0635838	0.067345881	0.059821719
454	0.0639026	0.067652654	0.060152546
455	0.0642206	0.067955501	0.060485699
456	0.064535533	0.068266626	0.060804441
457	0.064852	0.068578557	0.061125443
458	0.065166667	0.068886193	0.06144714
459	0.065436267	0.069146825	0.061725708
460	0.065725533	0.069429048	0.062022019
461	0.066034733	0.069731681	0.062337786
462	0.066374933	0.070060906	0.06268896
463	0.066636333	0.070313645	0.062959022
464	0.066883133	0.070553944	0.063212322
465	0.067163133	0.070830707	0.06349556
466	0.067445533	0.071106407	0.063784659
467	0.067761	0.07141957	0.06410243
468	0.068120067	0.071782012	0.064458121
469	0.068405133	0.072063542	0.064746725
470	0.068662733	0.072318346	0.065007121
471	0.068909933	0.072564188	0.065255679
472	0.0692242	0.072883869	0.065564531
473	0.069518	0.073180418	0.065855582
474	0.069818867	0.073484051	0.066153682
475	0.070158667	0.073828384	0.066488949
476	0.070405333	0.074074139	0.066736528
477	0.070672667	0.074343712	0.067001621
478	0.0709908	0.074669113	0.067312487
479	0.0712732	0.074959039	0.067587361
480	0.071543133	0.07522942	0.067856846
481	0.071810067	0.07549266	0.068127473
482	0.072122933	0.07581668	0.068429187
483	0.0724054	0.076103293	0.068707507
484	0.072682933	0.076380295	0.068985572
485	0.072979	0.076670442	0.069287558
486	0.073307333	0.077013046	0.069601621
487	0.0736386	0.077359943	0.069917257
488	0.073962733	0.077695723	0.070229743
489	0.074253933	0.078006166	0.070501701
490	0.074533933	0.078297101	0.070770765
491	0.0748038	0.078572519	0.071035081
492	0.0750882	0.078873896	0.071302504
493	0.0754076	0.079202693	0.071612507
494	0.075728467	0.079530955	0.071925978
495	0.076001867	0.079813709	0.072190024
496	0.076328067	0.080149316	0.072506817
497	0.076640933	0.080472603	0.072809264
498	0.076914733	0.080758866	0.073070601
499	0.0772552	0.081113407	0.073396993
500	0.077574667	0.081451926	0.073697407
501	0.077869867	0.081770462	0.073969271
502	0.078154933	0.082078163	0.074231704
503	0.078499667	0.082442157	0.074557176
504	0.078847867	0.082808409	0.074887325
505	0.079110333	0.083089481	0.075131185
506	0.0793948	0.08339198	0.07539762
507	0.0797028	0.083717848	0.075687752
508	0.080043	0.084076554	0.076009446
509	0.080337533	0.084391517	0.076283549
510	0.0806402	0.084718397	0.076562003
511	0.080953933	0.085058241	0.076849626
512	0.081242733	0.085358837	0.07712663
513	0.0815604	0.085692369	0.077428431
514	0.081892133	0.086044197	0.07774007
515	0.082207467	0.086386804	0.078028129
516	0.0825436	0.08675185	0.07833535
517	0.082876333	0.087113986	0.07863868
518	0.083188067	0.087453964	0.07892217
519	0.083542067	0.087850166	0.079233967
520	0.0838674	0.088208007	0.079526793
521	0.084158667	0.088520454	0.079796879
522	0.0844926	0.088878825	0.080106375
523	0.0848142	0.089226178	0.080402222
524	0.085124867	0.089563754	0.080685979
525	0.085415067	0.089881505	0.080948628
526	0.085749133	0.090249993	0.081248274
527	0.086096267	0.090633928	0.081558605
528	0.086445733	0.09102023	0.081871236
529	0.086775267	0.091383403	0.082167131
530	0.087081267	0.091717677	0.082444857
531	0.087365533	0.09202478	0.082706287
532	0.087747067	0.092437525	0.083056608
533	0.0880718	0.092797062	0.083346538
534	0.08837	0.093133318	0.083606682
535	0.088717133	0.093522206	0.083912061
536	0.089040133	0.093875953	0.084204314
537	0.089350133	0.094213978	0.084486288
538	0.0896516	0.094545919	0.084757281
539	0.090010733	0.094943799	0.085077667
540	0.090374	0.095347101	0.085400899
541	0.090729733	0.095743105	0.085716361
542	0.091055133	0.096113255	0.085997012
543	0.0913772	0.096474745	0.086279655
544	0.091692133	0.096825166	0.0865591
545	0.091989333	0.097160195	0.086818472
546	0.092325933	0.097536694	0.087115172
547	0.092676667	0.097927333	0.087426
548	0.0930258	0.098314264	0.087737336
549	0.093353867	0.098681662	0.088026072
550	0.093692133	0.099060633	0.088323634
551	0.094047533	0.099458116	0.08863695
552	0.094374	0.099828514	0.088919486
553	0.0947044	0.100199693	0.089209107
554	0.095038867	0.100573921	0.089503813
555	0.095372933	0.100953893	0.089791974
556	0.095690333	0.101312018	0.090068649
557	0.0960154	0.101678379	0.090352421
558	0.096377867	0.102088989	0.090666745
559	0.0967396	0.102499286	0.090979914
560	0.0970878	0.102894702	0.091280898
561	0.097414667	0.103266512	0.091562822
562	0.097731667	0.103626547	0.091836786
563	0.098070333	0.104010121	0.092130546
564	0.098425933	0.104411788	0.092440078
565	0.098770733	0.104798795	0.092742672
566	0.0991026	0.1051799	0.0930253
567	0.099438267	0.105565964	0.093310569
568	0.099798	0.105968815	0.093627185
569	0.100140733	0.106358582	0.093922885
570	0.100483133	0.106751288	0.094214979
571	0.100829733	0.107152117	0.09450735
572	0.101130133	0.107506586	0.094753681
573	0.1014528	0.107880733	0.095024867
