Wavelength	Mean	Std+	Std-
350	0.01575035	0.020387367	0.011113333
351	0.0158595	0.020516914	0.011202086
352	0.01621585	0.020802307	0.011629393
353	0.016181	0.020754276	0.011607724
354	0.0160756	0.020688269	0.011462931
355	0.015944	0.02063784	0.01125016
356	0.0159948	0.020661898	0.011327702
357	0.01620605	0.020910716	0.011501384
358	0.01644975	0.02122994	0.01166956
359	0.0164642	0.021287502	0.011640898
360	0.01654555	0.0212677	0.0118234
361	0.01660385	0.021287438	0.011920262
362	0.0165798	0.021385012	0.011774588
363	0.0163921	0.021169825	0.011614375
364	0.0164658	0.021259027	0.011672573
365	0.0168227	0.021691949	0.011953451
366	0.0167568	0.02164975	0.01186385
367	0.0168084	0.021682933	0.011933867
368	0.0169345	0.021773041	0.012095959
369	0.017067	0.021910819	0.012223181
370	0.0170979	0.022011583	0.012184217
371	0.01714535	0.022146828	0.012143872
372	0.01730095	0.022357781	0.012244119
373	0.01711265	0.02218891	0.01203639
374	0.0171011	0.022176991	0.012025209
375	0.0173559	0.022416556	0.012295244
376	0.01755225	0.022658786	0.012445714
377	0.0176477	0.022773786	0.012521614
378	0.01769985	0.022835986	0.012563714
379	0.01789275	0.023088816	0.012696684
380	0.0179311	0.023198429	0.012663771
381	0.0180258	0.023320508	0.012731092
382	0.0183851	0.023604218	0.013165982
383	0.01853925	0.023910673	0.013167827
384	0.0185718	0.024004968	0.013138632
385	0.01849195	0.023814657	0.013169243
386	0.01859235	0.023967128	0.013217572
387	0.01873855	0.024142702	0.013334398
388	0.01889055	0.024319238	0.013461862
389	0.0188894	0.024412756	0.013366044
390	0.0191256	0.024700652	0.013550548
391	0.0193547	0.024950018	0.013759382
392	0.0193471	0.024928118	0.013766082
393	0.01954865	0.025190994	0.013906306
394	0.0197227	0.025418896	0.014026504
395	0.01981515	0.025538417	0.014091883
396	0.01999785	0.025809762	0.014185938
397	0.02007655	0.025966526	0.014186574
398	0.0201299	0.026078375	0.014181425
399	0.02045365	0.026390808	0.014516492
400	0.020615	0.026582645	0.014647355
401	0.0207211	0.026721528	0.014720672
402	0.02085945	0.02686056	0.01485834
403	0.02103865	0.027094058	0.014983242
404	0.02124225	0.027354905	0.015129595
405	0.02147415	0.027637021	0.015311279
406	0.021638	0.027856808	0.015419192
407	0.021831	0.028095234	0.015566766
408	0.0220323	0.028338406	0.015726194
409	0.02211165	0.028496105	0.015727195
410	0.0223347	0.028778805	0.015890595
411	0.0226217	0.029120081	0.016123319
412	0.0229176	0.029478997	0.016356203
413	0.02311915	0.029740727	0.016497573
414	0.0233032	0.029983969	0.016622431
415	0.023494	0.030234415	0.016753585
416	0.02371035	0.030519812	0.016900888
417	0.0239325	0.030801436	0.017063564
418	0.02416495	0.031089416	0.017240484
419	0.02446015	0.03149003	0.01743027
420	0.02471005	0.031818417	0.017601683
421	0.02494735	0.032119251	0.017775449
422	0.0252186	0.03244834	0.01798886
423	0.02547655	0.032793774	0.018159326
424	0.02569575	0.033095809	0.018295691
425	0.02585805	0.033321244	0.018394856
426	0.02613355	0.033660342	0.018606758
427	0.02646835	0.034071176	0.018865524
428	0.02684225	0.03453353	0.01915097
429	0.0270192	0.034799539	0.019238861
430	0.0273077	0.035170009	0.019445391
431	0.027627	0.035573334	0.019680666
432	0.02784035	0.035895693	0.019785007
433	0.0281221	0.036260191	0.019984009
434	0.02838525	0.036603122	0.020167378
435	0.0285861	0.03689261	0.02027959
436	0.02882405	0.037201694	0.020446406
437	0.0290826	0.037530189	0.020635011
438	0.029358	0.037875626	0.020840374
439	0.02960275	0.038182605	0.021022895
440	0.02985095	0.038504847	0.021197053
441	0.03009195	0.038823124	0.021360776
442	0.0303011	0.039095472	0.021506728
443	0.0305154	0.039389425	0.021641375
444	0.03073955	0.039688048	0.021791052
445	0.03098105	0.039982247	0.021979853
446	0.0312142	0.040270071	0.022158329
447	0.0314258	0.040541981	0.022309619
448	0.0316146	0.040797163	0.022432037
449	0.0317899	0.041036701	0.022543099
450	0.0319718	0.04127978	0.02266382
451	0.03216105	0.04152629	0.02279581
452	0.0323644	0.041779218	0.022949582
453	0.03249145	0.041947051	0.023035849
454	0.03263445	0.042131158	0.023137742
455	0.0328727	0.042419206	0.023326194
456	0.0330566	0.042645906	0.023467294
457	0.0331972	0.042826393	0.023568007
458	0.03329375	0.042960173	0.023627327
459	0.0334385	0.043156676	0.023720324
460	0.0335725	0.043342559	0.023802441
