Wavelength	Mean	Std+	Std-
350	0.0578659	0.06516927	0.05056253
351	0.05825	0.065580374	0.050919626
352	0.0586104	0.06598918	0.05123162
353	0.0591083	0.066537682	0.051678918
354	0.0594346	0.06693517	0.05193403
355	0.0595817	0.067168058	0.051995342
356	0.0597289	0.067314075	0.052143725
357	0.0601289	0.067728637	0.052529163
358	0.0605817	0.068214564	0.052948836
359	0.0606792	0.068388551	0.052969849
360	0.061116	0.068880657	0.053351343
361	0.0616106	0.069436016	0.053785184
362	0.06203	0.069941276	0.054118724
363	0.0623529	0.070334646	0.054371154
364	0.0627489	0.070802503	0.054695297
365	0.0632265	0.071353859	0.055099141
366	0.0635592	0.071744906	0.055373494
367	0.0640075	0.072245664	0.055769336
368	0.0644704	0.07275658	0.05618422
369	0.0646618	0.072990364	0.056333236
370	0.0652089	0.073591034	0.056826766
371	0.0658312	0.074272461	0.057389939
372	0.0663516	0.074855959	0.057847241
373	0.0667168	0.075304302	0.058129298
374	0.0672834	0.075978108	0.058588692
375	0.0681106	0.076938029	0.059283171
376	0.0685327	0.077444203	0.059621197
377	0.0690232	0.077998705	0.060047695
378	0.0695839	0.078620795	0.060547005
379	0.0702328	0.079390235	0.061075365
380	0.0708123	0.080087201	0.061537399
381	0.0714107	0.080776104	0.062045296
382	0.0721121	0.081506681	0.062717519
383	0.0728356	0.082330698	0.063340502
384	0.0734951	0.083099525	0.063890675
385	0.074076	0.083787235	0.064364765
386	0.0750117	0.084832079	0.065191321
387	0.0756808	0.085602896	0.065758704
388	0.0761784	0.086196807	0.066159993
389	0.0768309	0.086950981	0.066710819
390	0.0774043	0.087603881	0.067204719
391	0.0779437	0.088213654	0.067673746
392	0.0784943	0.088836032	0.068152568
393	0.0792121	0.089651053	0.068773147
394	0.0799189	0.090463488	0.069374312
395	0.0805585	0.091211184	0.069905816
396	0.0812709	0.092027784	0.070514016
397	0.0819292	0.092783114	0.071075286
398	0.0825171	0.093461997	0.071572203
399	0.0829544	0.093986716	0.071922084
400	0.0834323	0.094541382	0.072323218
401	0.0839276	0.095104872	0.072750328
402	0.0844723	0.095713103	0.073231497
403	0.0848924	0.096171664	0.073613136
404	0.0853509	0.096672656	0.074029144
405	0.0859042	0.097280789	0.074527611
406	0.0863585	0.097795684	0.074921316
407	0.0868879	0.098395453	0.075380347
408	0.0874697	0.099056158	0.075883242
409	0.0879852	0.099662194	0.076308206
410	0.0885115	0.10026114	0.07676186
411	0.0890366	0.100851973	0.077221227
412	0.0895626	0.101448215	0.077676985
413	0.0901359	0.102096877	0.078174923
414	0.0906615	0.102698345	0.078624655
415	0.0911099	0.103222637	0.078997163
416	0.0917473	0.103932834	0.079561766
417	0.0923701	0.104634158	0.080106042
418	0.092971	0.105318927	0.080623073
419	0.0935636	0.105991065	0.081136135
420	0.0941749	0.106695997	0.081653803
421	0.0948149	0.107433538	0.082196262
422	0.0955239	0.108230972	0.082816828
423	0.096236	0.109044952	0.083427048
424	0.0969194	0.109830668	0.084008132
425	0.0975612	0.110570143	0.084552257
426	0.0982918	0.111401442	0.085182158
427	0.0990788	0.112298214	0.085859386
428	0.0999209	0.113261402	0.086580398
429	0.1007863	0.11427655	0.08729605
430	0.101688	0.115317671	0.088058329
431	0.1026086	0.116378119	0.088839081
432	0.1035525	0.117486436	0.089618564
433	0.1045372	0.118636732	0.090437668
434	0.1054924	0.119747551	0.091237249
435	0.1063886	0.120783637	0.091993563
436	0.1073287	0.121868827	0.092788573
437	0.1082653	0.122944059	0.093586541
438	0.1092011	0.124013988	0.094388212
439	0.1101516	0.125113557	0.095189643
440	0.1110893	0.12620281	0.09597579
441	0.1120043	0.127269956	0.096738644
442	0.1128769	0.128292573	0.097461227
443	0.113776	0.129333879	0.098218121
444	0.114646	0.130340257	0.098951743
445	0.1154466	0.131269943	0.099623257
446	0.1162566	0.132210659	0.100302541
447	0.1169981	0.133077082	0.100919118
448	0.1176689	0.133867375	0.101470425
449	0.1183744	0.134684349	0.102064451
450	0.119041	0.135457484	0.102624516
451	0.1196742	0.136190331	0.103158069
452	0.1202615	0.136860615	0.103662385
453	0.120821	0.13750596	0.10413604
454	0.1213541	0.138121966	0.104586234
455	0.121851	0.138694377	0.105007623
456	0.1223092	0.13923885	0.10537955
457	0.1227713	0.139781885	0.105760715
458	0.1232387	0.140320984	0.106156416
459	0.1236258	0.140765355	0.106486245
460	0.1239988	0.141191874	0.106805726
461	0.1243508	0.141596149	0.107105451
462	0.1246366	0.141936514	0.107336686
463	0.1249633	0.142309087	0.107617513
464	0.1252894	0.142680434	0.107898366
465	0.125577	0.143018845	0.108135155
466	0.1258909	0.143364115	0.108417685
467	0.1261893	0.143700172	0.108678428
468	0.1264599	0.144020755	0.108899045
469	0.126803	0.144409562	0.109196438
470	0.1270809	0.144736039	0.109425761
471	0.1273309	0.145036552	0.109625248
472	0.1277128	0.145463952	0.109961648
473	0.1280652	0.145867537	0.110262863
474	0.1284182	0.146271749	0.110564651
475	0.1288055	0.146704051	0.110906949
476	0.12918	0.147138038	0.111221962
477	0.129549	0.147567766	0.111530234
478	0.1299154	0.147992998	0.111837802
479	0.1303481	0.148497892	0.112198308
480	0.1307851	0.149005828	0.112564372
481	0.1312336	0.149522674	0.112944526
482	0.1317549	0.15010362	0.11340618
483	0.1322701	0.15068674	0.11385346
484	0.1327946	0.151286121	0.114303079
485	0.1333412	0.151914932	0.114767468
486	0.1339399	0.152609931	0.115269869
487	0.1345676	0.153344659	0.115790541
488	0.1352197	0.154115218	0.116324182
489	0.135907	0.15491825	0.11689575
490	0.1365947	0.155720767	0.117468633
491	0.1372782	0.156516476	0.118039924
492	0.1380021	0.157349659	0.118654541
493	0.1387596	0.158222727	0.119296473
494	0.1395446	0.159131225	0.119957975
495	0.1403699	0.160097011	0.120642789
496	0.1412414	0.161103091	0.121379709
497	0.142076	0.162071724	0.122080276
498	0.1428418	0.162973193	0.122710407
499	0.1437076	0.163985658	0.123429542
500	0.1446127	0.16504341	0.12418199
501	0.1455481	0.166137519	0.124958681
502	0.1464775	0.167238011	0.125716989
503	0.1474146	0.168335866	0.126493334
504	0.1483556	0.169434524	0.127276676
505	0.1493165	0.170566186	0.128066814
506	0.1502679	0.171687556	0.128848244
507	0.1512067	0.172792145	0.129621255
508	0.1521369	0.173883199	0.130390601
509	0.1531312	0.175052788	0.131209612
510	0.1541201	0.17620861	0.13203159
511	0.1551051	0.177352738	0.132857462
512	0.1561274	0.178544043	0.133710757
513	0.1571089	0.179692734	0.134525066
514	0.1580749	0.180824913	0.135324887
515	0.1590473	0.18196082	0.13613378
516	0.160051	0.183143095	0.136958905
517	0.1610791	0.18435313	0.13780507
518	0.1621245	0.185576815	0.138672185
519	0.1631647	0.186815431	0.139513969
520	0.1641853	0.18803019	0.14034041
521	0.1651786	0.189208019	0.141149181
522	0.1662038	0.19039364	0.14201396
523	0.1672004	0.191552847	0.142847953
524	0.1681909	0.192708298	0.143673502
525	0.1692087	0.193892612	0.144524788
526	0.1702392	0.195094759	0.145383641
527	0.1712684	0.196297595	0.146239205
528	0.1722975	0.197502555	0.147092445
529	0.1733166	0.198699474	0.147933726
530	0.1743272	0.199879	0.1487754
531	0.1753265	0.201037167	0.149615833
532	0.1763207	0.20219217	0.15044923
533	0.1773189	0.203354632	0.151283168
534	0.1783181	0.204522941	0.152113259
535	0.179298	0.205679153	0.152916847
536	0.180292	0.206832661	0.153751339
537	0.1812771	0.207970762	0.154583438
538	0.1822379	0.209084647	0.155391153
539	0.1832123	0.210223435	0.156201165
540	0.1841768	0.211353126	0.157000474
541	0.1851226	0.212462631	0.157782569
542	0.1860854	0.213583415	0.158587385
543	0.1870308	0.214687757	0.159373843
544	0.187956	0.215769765	0.160142235
545	0.1888662	0.216826509	0.160905891
546	0.1897756	0.217884002	0.161667198
547	0.1906875	0.21894129	0.16243371
548	0.1916077	0.220000389	0.163215011
549	0.1924894	0.221035128	0.163943672
550	0.1933625	0.222057017	0.164667983
551	0.1942307	0.223066058	0.165395342
552	0.1950771	0.224041923	0.166112277
553	0.1959093	0.225005954	0.166812646
554	0.1967293	0.225957736	0.167500864
555	0.1975312	0.226881035	0.168181365
556	0.1983149	0.227785798	0.168844002
557	0.1990941	0.228688141	0.169500059
558	0.1998741	0.229595805	0.170152395
559	0.2006498	0.23049875	0.17080085
560	0.2014052	0.231380424	0.171429976
561	0.2021287	0.232228291	0.172029109
562	0.2028549	0.233069609	0.172640191
563	0.2035522	0.233872978	0.173231422
564	0.2042259	0.234646265	0.173805535
565	0.2048882	0.235412117	0.174364283
566	0.2055165	0.236139944	0.174893056
567	0.2061308	0.236854162	0.175407438
568	0.2067435	0.237571507	0.175915493
569	0.2073607	0.238283642	0.176437758
570	0.20797	0.238987471	0.176952529
571	0.2085622	0.239675549	0.177448851
572	0.209119	0.240329865	0.177908135
573	0.2096838	0.240981721	0.178385879
574	0.2102492	0.2416243	0.1788741
575	0.2107409	0.242191423	0.179290377
576	0.2112611	0.242790661	0.179731539
577	0.2117803	0.243389141	0.180171459
578	0.2122405	0.243920062	0.180560938
579	0.2127224	0.244475809	0.180968991
580	0.213186	0.245011309	0.181360691
581	0.2136105	0.245503434	0.181717566
582	0.2140674	0.24601758	0.18211722
583	0.2145072	0.246510152	0.182504248
584	0.2149259	0.246977113	0.182874687
585	0.2152848	0.24738067	0.18318893
586	0.215615	0.247752464	0.183477536
587	0.2159454	0.24812384	0.18376696
588	0.2163228	0.248543079	0.184102521
589	0.2166671	0.248934478	0.184399722
590	0.2170193	0.249342684	0.184695916
591	0.2173967	0.249787953	0.185005447
592	0.2177934	0.250226694	0.185360106
593	0.218162	0.250642935	0.185681065
594	0.2185057	0.251041616	0.185969784
595	0.2188787	0.251460455	0.186296945
596	0.219241	0.251876793	0.186605207
597	0.2196051	0.252299507	0.186910693
598	0.2199967	0.252744971	0.187248429
599	0.2203772	0.253175393	0.187579007
600	0.2207217	0.253575468	0.187867932
601	0.2209977	0.253919667	0.188075733
602	0.2213239	0.254304203	0.188343597
603	0.2216487	0.254685549	0.188611851
604	0.2219652	0.255057438	0.188872962
605	0.222247	0.255390345	0.189103655
606	0.2224928	0.255675014	0.189310586
607	0.2227197	0.255936718	0.189502682
608	0.2229572	0.256225313	0.189689087
609	0.2231652	0.256466361	0.189864039
610	0.2233671	0.256697429	0.190036771
611	0.2235742	0.256937886	0.190210514
612	0.2238157	0.257206597	0.190424803
613	0.2240324	0.257446597	0.190618203
614	0.2242147	0.257648112	0.190781288
615	0.2244597	0.257918725	0.191000675
616	0.2246992	0.258195425	0.191202975
617	0.2249435	0.258481937	0.191405063
618	0.2252321	0.258800522	0.191663678
619	0.2255141	0.259101158	0.191927042
620	0.2257807	0.259383774	0.192177626
621	0.2260172	0.259638739	0.192395661
622	0.2262565	0.259892128	0.192620872
623	0.2265454	0.26020113	0.19288967
624	0.2268963	0.260580446	0.193212154
625	0.2271757	0.260894594	0.193456806
626	0.227477	0.261221858	0.193732142
627	0.227795	0.261562234	0.194027766
628	0.2281259	0.261933053	0.194318747
629	0.2284559	0.262294717	0.194617083
630	0.2287597	0.262628744	0.194890656
631	0.2290032	0.262905426	0.195100974
632	0.2293206	0.263252975	0.195388225
633	0.2296354	0.263601273	0.195669527
634	0.2299322	0.263937194	0.195927206
635	0.2302372	0.264264206	0.196210194
636	0.2305307	0.264584597	0.196476803
637	0.2308119	0.264896351	0.196727449
638	0.23107	0.265186914	0.196953086
