Wavelength	Mean	Std+	Std-
350	0.124348225	0.135279192	0.113417258
351	0.12484565	0.135765558	0.113925742
352	0.125322425	0.136325344	0.114319506
353	0.126011475	0.137039535	0.114983415
354	0.12659735	0.137703357	0.115491343
355	0.1270729	0.138300204	0.115845596
356	0.1276554	0.138771099	0.116539701
357	0.128193425	0.139315172	0.117071678
358	0.12872595	0.139913265	0.117538635
359	0.12934195	0.140566535	0.118117365
360	0.1300487	0.141302374	0.118795026
361	0.13073075	0.142004212	0.119457288
362	0.131320925	0.142600741	0.120041109
363	0.13188515	0.143290253	0.120480047
364	0.13248665	0.143915457	0.121057843
365	0.133130125	0.144466921	0.121793329
366	0.133871825	0.145305906	0.122437744
367	0.13452945	0.146033233	0.123025667
368	0.135161525	0.146710773	0.123612277
369	0.1358958	0.147456277	0.124335323
370	0.13665215	0.148266723	0.125037577
371	0.13739405	0.149029595	0.125758505
372	0.1380796	0.14963421	0.12652499
373	0.139007725	0.150597503	0.127417947
374	0.139979875	0.151623266	0.128336484
375	0.140966875	0.152667931	0.129265819
376	0.141847075	0.153561067	0.130133083
377	0.142801025	0.15452938	0.13107267
378	0.143783575	0.155520874	0.132046276
379	0.144581475	0.156290615	0.132872335
380	0.14543075	0.157107398	0.133754102
381	0.146406425	0.158070255	0.134742595
382	0.1476239	0.159324301	0.135923499
383	0.14849665	0.160294235	0.136699065
384	0.149490825	0.161335147	0.137646503
385	0.150703125	0.162519746	0.138886504
386	0.151782225	0.163609938	0.139954512
387	0.152899375	0.164710019	0.141088731
388	0.1539976	0.165786967	0.142208233
389	0.1548854	0.166749132	0.143021668
390	0.155812275	0.167710123	0.143914427
391	0.156737925	0.168631277	0.144844573
392	0.1576531	0.169486535	0.145819665
393	0.158604025	0.170448158	0.146759892
394	0.1596121	0.171464023	0.147760177
395	0.160657	0.172499159	0.148814841
396	0.1617086	0.173570881	0.149846319
397	0.1627277	0.174617829	0.150837571
398	0.1636908	0.175609846	0.151771754
399	0.16453345	0.176458202	0.152608698
400	0.165285425	0.177183805	0.153387045
401	0.165986075	0.177856615	0.154115535
402	0.1667114	0.178578712	0.154844088
403	0.16745435	0.179359399	0.155549301
404	0.1682016	0.180128859	0.156274341
405	0.16896945	0.18088818	0.15705072
406	0.169815825	0.18173931	0.15789234
407	0.170632125	0.182564221	0.158700029
408	0.171422825	0.183361172	0.159484478
409	0.172225275	0.184132555	0.160317995
410	0.173028775	0.184951282	0.161106268
411	0.173829575	0.185776199	0.161882951
412	0.174646825	0.186586234	0.162707416
413	0.175461725	0.187427673	0.163495777
414	0.1762603	0.188240851	0.164279749
415	0.177050025	0.189016602	0.165083448
416	0.17790525	0.189838718	0.165971782
417	0.178759575	0.190683298	0.166835852
418	0.17960725	0.19154352	0.16767098
419	0.1804284	0.192389192	0.168467608
420	0.181302425	0.193264748	0.169340102
421	0.182203575	0.194157014	0.170250136
422	0.183117025	0.195064852	0.171169198
423	0.18404945	0.195980219	0.172118681
424	0.184974775	0.196894691	0.173054859
425	0.185890025	0.197814165	0.173965885
426	0.18680055	0.198720282	0.174880818
427	0.187754025	0.199674208	0.175833842
428	0.18875895	0.200682884	0.176835016
429	0.189831725	0.201726522	0.177936928
430	0.190931075	0.20279971	0.17906244
431	0.19204	0.203884503	0.180195497
432	0.193161025	0.204981919	0.181340131
433	0.1942694	0.206072227	0.182466573
434	0.195342375	0.20712219	0.18356256
435	0.196375025	0.208120175	0.184629875
436	0.1973864	0.209126305	0.185646495
437	0.198401375	0.210116591	0.186686159
438	0.1994295	0.211099869	0.187759131
439	0.20049195	0.21213811	0.18884579
440	0.20150725	0.213119887	0.189894613
441	0.202489975	0.214069928	0.190910022
442	0.20347605	0.215048013	0.191904087
443	0.20442945	0.215984593	0.192874307
444	0.20534715	0.216879735	0.193814565
445	0.206217375	0.217720899	0.194713851
446	0.207084575	0.218557387	0.195611763
447	0.207942725	0.219385818	0.196499632
448	0.2087922	0.220207598	0.197376802
449	0.209552125	0.220954349	0.198149901
450	0.210280025	0.221668912	0.198891138
451	0.210986825	0.222360243	0.199613407
452	0.21168395	0.22303365	0.20033425
453	0.212365925	0.223686065	0.201045785
454	0.213034225	0.224327411	0.201741039
455	0.21368535	0.22496173	0.20240897
456	0.21426335	0.225525806	0.203000894
457	0.214822225	0.226072972	0.203571478
458	0.215364325	0.226605901	0.204122749
459	0.215888925	0.227118423	0.204659427
460	0.216391275	0.22760936	0.20517319
461	0.216873975	0.22808245	0.2056655
462	0.217328375	0.228535803	0.206120947
463	0.21776555	0.228961576	0.206569524
464	0.218192425	0.229375297	0.207009553
465	0.218607475	0.229781736	0.207433214
466	0.219013925	0.230191643	0.207836207
467	0.2194297	0.230601332	0.208258068
468	0.21985895	0.231009542	0.208708358
469	0.2202438	0.231399825	0.209087775
