Wavelength	Mean	Std+	Std-	FWHM
350	0.14248275	0.160029401	0.124936099	0.006
351	0.14298535	0.160563007	0.125407693	0.006
352	0.143471425	0.161007286	0.125935564	0.006
353	0.143862825	0.161388875	0.126336775	0.006
354	0.144349925	0.161888189	0.126811661	0.006
355	0.144941575	0.162508406	0.127374744	0.006
356	0.14552185	0.163074443	0.127969257	0.006
357	0.1460661	0.163660664	0.128471536	0.006
358	0.1466056	0.164266167	0.128945033	0.006
359	0.147215725	0.164911577	0.129519873	0.006
360	0.14785095	0.165548649	0.130153251	0.006
361	0.14854955	0.166261137	0.130837963	0.006
362	0.1493671	0.16713557	0.13159863	0.006
363	0.1498997	0.167721142	0.132078258	0.006
364	0.1505427	0.168424304	0.132661096	0.006
365	0.151330425	0.169275845	0.133385005	0.006
366	0.15205855	0.16996974	0.13414736	0.006
367	0.152787575	0.170667172	0.134907978	0.006
368	0.15349655	0.1713666	0.1356265	0.006
369	0.15409395	0.172051573	0.136136327	0.006
370	0.15501205	0.172957792	0.137066308	0.006
371	0.15603565	0.173975796	0.138095504	0.006
372	0.1570427	0.175058732	0.139026668	0.006
373	0.158005125	0.176059661	0.139950589	0.006
374	0.159139025	0.177221108	0.141056942	0.006
375	0.160483925	0.178587987	0.142379863	0.006
376	0.16165055	0.179886634	0.143414466	0.006
377	0.16288555	0.181212158	0.144558942	0.006
378	0.164154825	0.182539866	0.145769784	0.006
379	0.1652831	0.183708595	0.146857605	0.006
380	0.16654795	0.185035486	0.148060414	0.006
381	0.167884875	0.186438265	0.149331485	0.006
382	0.16925865	0.187866758	0.150650542	0.006
383	0.1706558	0.189342219	0.151969381	0.006
384	0.171999575	0.190809049	0.153190101	0.006
385	0.17328155	0.192266322	0.154296778	0.006
386	0.17494885	0.194032758	0.155864942	0.006
387	0.176428475	0.195629536	0.157227414	0.006
388	0.17776545	0.197082051	0.158448849	0.006
389	0.179163675	0.198517649	0.159809701	0.006
390	0.18032115	0.199748046	0.160894254	0.006
391	0.1813876	0.20091603	0.16185917	0.006
392	0.18249485	0.202163265	0.162826435	0.006
393	0.1837893	0.203512745	0.164065855	0.006
394	0.185124625	0.204932941	0.165316309	0.006
395	0.186437425	0.206382918	0.166491932	0.006
396	0.1877215	0.207785793	0.167657207	0.006
397	0.188967675	0.209142819	0.168792531	0.006
398	0.190156675	0.210439966	0.169873384	0.006
