Wavelength	Mean	Std+	Std-
350	0.0606541	0.065407998	0.055900202
351	0.0610368	0.065802647	0.056270953
352	0.0612939	0.066066741	0.056521059
353	0.0617296	0.06653596	0.05692324
354	0.0620657	0.066920813	0.057210587
355	0.0623115	0.067225345	0.057397655
356	0.0628934	0.067821428	0.057965372
357	0.0632509	0.068170378	0.058331422
358	0.0635239	0.068435081	0.058612719
359	0.0639717	0.06893084	0.05901256
360	0.0644378	0.069417084	0.059458516
361	0.064904	0.069913834	0.059894166
362	0.0653663	0.07044227	0.06029033
363	0.0655907	0.070697686	0.060483714
364	0.0660084	0.071154016	0.060862784
365	0.0666532	0.07184713	0.06145927
366	0.0671553	0.072340801	0.061969799
367	0.0675363	0.072720093	0.062352507
368	0.0678971	0.073095391	0.062698809
369	0.0684949	0.073761717	0.063228083
370	0.0690077	0.074306674	0.063708726
371	0.069533	0.074852523	0.064213477
372	0.0701402	0.075480403	0.064799997
373	0.070823	0.076206024	0.065439976
374	0.0715146	0.07692018	0.06610902
375	0.0722047	0.077605535	0.066803865
376	0.0728615	0.07830061	0.06742239
377	0.0735785	0.079079789	0.068077211
378	0.07432	0.079893807	0.068746193
379	0.0749214	0.080523789	0.069319011
380	0.075585	0.081216421	0.069953579
381	0.0763622	0.082020666	0.070703734
382	0.0773439	0.083025385	0.071662415
383	0.0778254	0.083535603	0.072115197
384	0.0784623	0.084211038	0.072713562
385	0.0793881	0.085186706	0.073589494
386	0.0801962	0.086033821	0.074358579
387	0.0810897	0.08696072	0.07521868
388	0.0819788	0.08788461	0.07607299
389	0.0825292	0.088508923	0.076549477
390	0.0832047	0.089240424	0.077168976
391	0.0839353	0.090008677	0.077861923
392	0.0847034	0.09078876	0.07861804
393	0.0853968	0.09152721	0.07926639
394	0.0861596	0.092313203	0.080005997
395	0.0870034	0.093145878	0.080860922
396	0.087801	0.094020037	0.081581963
397	0.0885617	0.094834125	0.082289275
398	0.0892741	0.095581815	0.082966385
399	0.0899069	0.096238545	0.083575255
400	0.0905246	0.09688791	0.08416129
401	0.091105	0.097498239	0.084711761
402	0.09166	0.098073212	0.085246788
403	0.0921636	0.098597872	0.085729328
404	0.0927	0.099165477	0.086234523
405	0.0933072	0.099816858	0.086797542
406	0.0939589	0.100506595	0.087411205
407	0.0945831	0.101160969	0.088005231
408	0.0951911	0.101793725	0.088588475
409	0.0958575	0.102492252	0.089222748
410	0.0964589	0.103118657	0.089799143
411	0.0970471	0.103735833	0.090358367
412	0.0976971	0.104433647	0.090960553
413	0.0983163	0.105079002	0.091553598
414	0.098936	0.105720195	0.092151805
415	0.0995794	0.106384919	0.092773881
416	0.1003297	0.107168201	0.093491199
417	0.1010533	0.107930408	0.094176192
418	0.101744	0.108661486	0.094826514
419	0.1023835	0.109322151	0.095444849
420	0.1031125	0.110083962	0.096141038
421	0.1038937	0.110900151	0.096887249
422	0.1047088	0.111739128	0.097678472
423	0.1055594	0.112629987	0.098488813
424	0.1063984	0.113502216	0.099294584
425	0.107212	0.114330691	0.100093309
426	0.1080497	0.115204076	0.100895324
427	0.1089197	0.116113613	0.101725787
428	0.1098355	0.117071891	0.102599109
429	0.1109057	0.118189253	0.103622147
430	0.1120144	0.11933963	0.10468917
431	0.1131439	0.120505399	0.105782401
432	0.1143033	0.121694818	0.106911782
433	0.1154503	0.122875603	0.108024997
434	0.1165753	0.124035344	0.109115256
435	0.1176835	0.125179248	0.110187752
436	0.1187137	0.126249767	0.111177633
437	0.119785	0.127358095	0.112211905
438	0.1209113	0.128518121	0.113304479
439	0.1220744	0.129714396	0.114434404
440	0.1231972	0.130868475	0.115525925
441	0.1242877	0.131989408	0.116585992
442	0.1253664	0.133101137	0.117631663
443	0.1264208	0.134188684	0.118652916
444	0.1274417	0.135239845	0.119643555
445	0.1284159	0.136237772	0.120594028
446	0.1293942	0.137245755	0.121542645
447	0.1303519	0.138232894	0.122470906
448	0.1312865	0.139196305	0.123376695
449	0.1321053	0.140031091	0.124179509
450	0.1328834	0.14082988	0.12493692
451	0.1336353	0.141605305	0.125665295
452	0.1343821	0.142375265	0.126388935
453	0.1351168	0.143127999	0.127105601
454	0.135827	0.143855764	0.127798236
455	0.1364929	0.144543364	0.128442436
456	0.1370849	0.145148687	0.129021113
457	0.1376435	0.145719197	0.129567803
458	0.138168	0.146255774	0.130080226
459	0.1386927	0.146811854	0.130573546
460	0.1391828	0.147319941	0.131045659
461	0.1396371	0.147782783	0.131491417
462	0.1400245	0.148176246	0.131872754
463	0.1404309	0.148600104	0.132261696
464	0.1408323	0.14901842	0.13264618
465	0.1412024	0.14939539	0.13300941
466	0.1415462	0.149757558	0.133334842
467	0.1419259	0.150152402	0.133699398
468	0.1423588	0.150593107	0.134124493
469	0.142698	0.150949313	0.134446687
470	0.1430488	0.151310966	0.134786634
471	0.1434137	0.151682464	0.135144936
472	0.1438178	0.152094932	0.135540668
473	0.1442096	0.152509552	0.135909648
474	0.1446109	0.152932931	0.136288869
475	0.1450501	0.153377276	0.136722924
476	0.1454861	0.15383223	0.13713997
477	0.1459342	0.154294772	0.137573628
478	0.146401	0.154766717	0.138035283
479	0.1469364	0.155317347	0.138555453
480	0.1474686	0.15586537	0.13907183
481	0.1480028	0.156415534	0.139590066
482	0.1485877	0.157018999	0.140156401
483	0.1491831	0.157638075	0.140728125
484	0.149811	0.158289748	0.141332252
485	0.150503	0.159000192	0.142005808
486	0.1512378	0.159744861	0.142730739
487	0.1519958	0.160516155	0.143475445
488	0.1527722	0.161313788	0.144230612
489	0.1536369	0.162201865	0.145071935
490	0.1544655	0.163058794	0.145872206
491	0.1552637	0.163886342	0.146641058
492	0.1561684	0.164798075	0.147538725
493	0.1570962	0.165743217	0.148449183
494	0.1580395	0.166707264	0.149371736
495	0.1590025	0.167686999	0.150318001
496	0.1600239	0.168729522	0.151318278
497	0.1610661	0.169796178	0.152336022
