Wavelength	Mean	Std+	Std-
350	0.1037329	0.113670175	0.093795625
351	0.104242825	0.114200357	0.094285293
352	0.104835125	0.114808266	0.094861984
353	0.105125325	0.115131457	0.095119193
354	0.105576375	0.115604732	0.095548018
355	0.106208325	0.116250277	0.096166373
356	0.1067426	0.11680715	0.09667805
357	0.1071742	0.117264473	0.097083927
358	0.107609075	0.117723595	0.097494555
359	0.1082936	0.118416865	0.098170335
360	0.108785975	0.118938441	0.098633509
361	0.1093605	0.119543686	0.099177314
362	0.110216775	0.120421652	0.100011898
363	0.110732575	0.120972394	0.100492756
364	0.11127125	0.121529735	0.101012765
365	0.111868675	0.122126696	0.101610654
366	0.1124267	0.122708979	0.102144421
367	0.112997325	0.123308493	0.102686157
368	0.1135828	0.123923811	0.103241789
369	0.1141833	0.124541878	0.103824722
370	0.11485475	0.125237012	0.104472488
371	0.11554655	0.125956427	0.105136673
372	0.116221925	0.126662448	0.105781402
373	0.11712005	0.127598674	0.106641426
374	0.11794865	0.128459179	0.107438121
375	0.118660825	0.129194579	0.108127071
376	0.11952285	0.130108011	0.108937689
377	0.120320125	0.130956962	0.109683288
378	0.121091875	0.131778227	0.110405523
379	0.12192155	0.132640599	0.111202501
380	0.1227249	0.133480909	0.111968891
381	0.123532025	0.134324705	0.112739345
382	0.124366625	0.135192517	0.113540733
383	0.1252546	0.136128775	0.114380425
384	0.126204325	0.137139126	0.115269524
385	0.1272233	0.13823107	0.11621553
386	0.12817015	0.139242671	0.117097629
387	0.129065875	0.140198602	0.117933148
388	0.1299192	0.141106668	0.118731732
389	0.130788775	0.142020928	0.119556622
390	0.1315006	0.142781631	0.120219569
391	0.132201675	0.143527671	0.120875679
392	0.1330511	0.144409906	0.121692294
393	0.133899725	0.145300704	0.122498746
394	0.134722525	0.146175138	0.123269912
395	0.13549155	0.147004693	0.123978407
396	0.13639485	0.147955995	0.124833705
397	0.137238125	0.148853689	0.125622561
398	0.13802805	0.149700493	0.126355607
399	0.138809475	0.150529048	0.127089902
400	0.13945895	0.151209625	0.127708275
401	0.140030025	0.151804314	0.128255736
402	0.1405872	0.152384436	0.128789964
403	0.141176375	0.152994084	0.129358666
404	0.141784725	0.153619979	0.129949471
405	0.142426525	0.154276737	0.130576313
406	0.1430813	0.15496251	0.13120009
407	0.143750875	0.155668612	0.131833138
408	0.14443205	0.156389963	0.132474137
409	0.145122475	0.157115393	0.133129557
410	0.145799225	0.157825371	0.133773079
411	0.146467425	0.158524646	0.134410204
412	0.147151525	0.159236936	0.135066114
413	0.147832275	0.159948123	0.135716427
414	0.1485012	0.160647737	0.136354663
415	0.149166	0.161343526	0.136988474
416	0.149837925	0.162043697	0.137632153
417	0.15052615	0.162760873	0.138291427
418	0.1512327	0.163497439	0.138967961
419	0.151986	0.164284942	0.139687058
420	0.152718275	0.165055789	0.140380761
421	0.153443575	0.165820542	0.141066608
422	0.15418745	0.166599388	0.141775512
423	0.15494265	0.167394432	0.142490868
424	0.155724025	0.168213519	0.143234531
425	0.156553075	0.169074552	0.144031598
426	0.157303575	0.169867149	0.144740001
427	0.1581151	0.170720474	0.145509726
428	0.158996325	0.171643438	0.146349212
429	0.15988795	0.172586293	0.147189607
430	0.160823725	0.173577547	0.148069903
431	0.161785575	0.174596849	0.148974301
432	0.16277725	0.175645755	0.149908745
433	0.1637436	0.176675341	0.150811859
434	0.164673225	0.177662202	0.151684248
435	0.16556325	0.178597115	0.152529385
436	0.16646885	0.179543047	0.153394653
437	0.167368175	0.180486791	0.154249559
438	0.1682667	0.1814346	0.1550988
439	0.169183775	0.182403826	0.155963724
440	0.170098725	0.183367632	0.156829818
441	0.17100585	0.184322606	0.157689094
442	0.171905725	0.185273753	0.158537697
443	0.172771375	0.186180955	0.159361795
444	0.173615875	0.187063475	0.160168275
445	0.17444295	0.187926963	0.160958937
446	0.175267325	0.188788306	0.161746344
447	0.17608005	0.189639248	0.162520852
448	0.176881175	0.190479632	0.163282718
449	0.177602875	0.191235525	0.163970225
450	0.17833405	0.191998026	0.164670074
451	0.1790648	0.192757027	0.165372573
452	0.179759525	0.193474667	0.166044383
453	0.18041175	0.194151189	0.166672311
454	0.18105595	0.194821548	0.167290352
455	0.181716575	0.195511388	0.167921762
456	0.18235045	0.196167345	0.168533555
457	0.18296235	0.196798521	0.169126179
458	0.183544725	0.197397835	0.169691615
459	0.184076875	0.197947008	0.170206742
460	0.184624025	0.19850835	0.1707397
461	0.185174375	0.19907113	0.17127762
462	0.18568105	0.199591997	0.171770103
463	0.18614895	0.200068604	0.172229296
464	0.1866122	0.200539675	0.172684725
465	0.18709545	0.201033123	0.173157777
466	0.187560025	0.201503445	0.173616605
467	0.188006275	0.201957424	0.174055126
468	0.188431175	0.202393541	0.174468809
469	0.188908	0.202873559	0.174942441
470	0.189363025	0.20333713	0.17538892
471	0.189800175	0.203786724	0.175813626
472	0.19023875	0.204236957	0.176240543
473	0.190705525	0.204710218	0.176700832
474	0.19117565	0.205186592	0.177164708
475	0.191627525	0.205649886	0.177605164
476	0.192118275	0.206151366	0.178085184
477	0.19261995	0.20666549	0.17857441
478	0.19312915	0.207189991	0.179068309
479	0.193627525	0.207707616	0.179547434
480	0.1941492	0.208243453	0.180054947
481	0.19468495	0.208789443	0.180580457
482	0.195191	0.209306433	0.181075567
483	0.19573035	0.209861626	0.181599074
484	0.1963004	0.210450946	0.182149854
485	0.1969006	0.211074333	0.182726867
486	0.19751045	0.21171147	0.18330943
487	0.198143425	0.212376004	0.183910846
488	0.19880545	0.213074296	0.184536604
489	0.1994603	0.213760858	0.185159742
490	0.200126725	0.214455016	0.185798434
491	0.200797075	0.215150188	0.186443962
492	0.201490175	0.215874134	0.187106216
493	0.202190325	0.216603211	0.187777439
494	0.202902775	0.217346123	0.188459427
495	0.20364605	0.218127226	0.189164874
496	0.204350125	0.218864767	0.189835483
497	0.205064625	0.219609864	0.190519386
498	0.205816525	0.220388884	0.191244166
499	0.206606625	0.221217906	0.191995344
500	0.207391325	0.222041202	0.192741448
501	0.208171375	0.222858907	0.193483843
502	0.208984	0.223709585	0.194258415
503	0.209778725	0.224546219	0.195011231
504	0.2105665	0.225375852	0.195757148
505	0.21137775	0.226221942	0.196533558
506	0.212152125	0.227031347	0.197272903
507	0.2129349	0.227848388	0.198021412
508	0.213755525	0.228702196	0.198808854
509	0.2145736	0.229560186	0.199587014
510	0.2153681	0.230393424	0.200342776
511	0.216144875	0.231207137	0.201082613
512	0.2169606	0.232054396	0.201866804
513	0.2177619	0.232890325	0.202633475
514	0.21855605	0.233721073	0.203391027
515	0.219336925	0.23453897	0.20413488
516	0.220163425	0.235401959	0.204924891
517	0.220998425	0.236278074	0.205718776
518	0.221815725	0.237144637	0.206486813
519	0.222663475	0.238038278	0.207288672
520	0.223515	0.238932105	0.208097895
521	0.224356825	0.239812681	0.208900969
522	0.22515615	0.240648695	0.209663605
523	0.225970025	0.241495465	0.210444585
524	0.2267963	0.242353072	0.211239528
525	0.22762615	0.243215357	0.212036943
526	0.228451075	0.244076181	0.212825969
527	0.229279775	0.244944515	0.213615035
528	0.23012765	0.245837809	0.214417491
529	0.23094885	0.246700658	0.215197042
530	0.2317682	0.24755715	0.21597925
531	0.23258675	0.248408079	0.216765421
532	0.2333823	0.249240437	0.217524163
533	0.2342035	0.250101833	0.218305167
534	0.23503695	0.250978107	0.219095793
535	0.23583705	0.251823415	0.219850685
536	0.2366575	0.252681823	0.220633177
537	0.23747325	0.253532733	0.221413767
538	0.2382689	0.254363344	0.222174456
539	0.239071875	0.255206307	0.222937443
540	0.239880925	0.25605812	0.22370373
541	0.240691125	0.256913567	0.224468683
542	0.241501125	0.257770642	0.225231608
543	0.24231415	0.258626467	0.226001833
544	0.2431248	0.25947709	0.22677251
545	0.243931425	0.260326711	0.227536139
546	0.244724525	0.261162416	0.228286634
547	0.245516525	0.261997419	0.229035631
548	0.24632095	0.262846659	0.229795241
549	0.247134925	0.26370494	0.23056491
550	0.2479354	0.264549672	0.231321128
551	0.24871525	0.265373865	0.232056635
552	0.249507175	0.266212144	0.232802206
553	0.250306175	0.267057992	0.233554358
554	0.251109225	0.267907329	0.234311121
555	0.251894575	0.268733551	0.235055599
556	0.252671075	0.269553034	0.235789116
557	0.25345245	0.270378483	0.236526417
558	0.2542499	0.271220184	0.237279616
559	0.255034225	0.272055026	0.238013424
560	0.255818	0.272888457	0.238747543
561	0.256601025	0.273718127	0.239483923
562	0.257382575	0.274543553	0.240221597
563	0.258151925	0.27535485	0.240949
564	0.25891395	0.27615777	0.24167013
565	0.259679025	0.276966103	0.242391947
566	0.260442725	0.277771327	0.243114123
567	0.261207075	0.278577634	0.243836516
568	0.261968375	0.279384328	0.244552422
569	0.262695375	0.280149565	0.245241185
570	0.263422075	0.280916341	0.245927809
571	0.26415695	0.281696112	0.246617788
572	0.264880925	0.282455877	0.247305973
573	0.2655904	0.283200463	0.247980337
574	0.266288625	0.283933173	0.248644077
575	0.26699145	0.284667246	0.249315654
576	0.267673025	0.285379796	0.249966254
577	0.268351825	0.286090103	0.250613547
578	0.2690429	0.286814117	0.251271683
579	0.269722375	0.287524196	0.251920554
580	0.270399625	0.288229956	0.252569294
581	0.271075775	0.28893206	0.25321949
582	0.271718975	0.289597346	0.253840604
583	0.272359225	0.290257744	0.254460706
584	0.27299795	0.290915109	0.255080791
585	0.273598225	0.291532251	0.255664199
586	0.274192075	0.292138654	0.256245496
587	0.27478265	0.292739353	0.256825947
588	0.275354175	0.293320613	0.257387737
589	0.2759233	0.29390327	0.25794333
590	0.276506025	0.294502237	0.258509813
591	0.27710625	0.295121182	0.259091318
592	0.277686825	0.295705505	0.259668145
593	0.278244725	0.296269292	0.260220158
594	0.278789175	0.296822725	0.260755625
595	0.279373925	0.297412011	0.261335839
596	0.279919475	0.297961219	0.261877731
597	0.280437675	0.298482757	0.262392593
598	0.280934075	0.29898397	0.26288418
599	0.2814461	0.299498008	0.263394192
600	0.281978625	0.300031012	0.263926238
601	0.28253665	0.30058796	0.26448534
602	0.283030825	0.301083574	0.264978076
603	0.283524625	0.301576581	0.265472669
604	0.2840238	0.302072706	0.265974894
605	0.28450315	0.302549201	0.266457099
606	0.284968375	0.3030059	0.26693085
607	0.285429175	0.303454518	0.267403832
608	0.285892875	0.303907986	0.267877764
609	0.286340425	0.304338836	0.268342014
610	0.286786025	0.304767232	0.268804818
611	0.2872315	0.305199154	0.269263846
612	0.287648075	0.305595285	0.269700865
613	0.28804875	0.305973069	0.270124431
614	0.28843575	0.306334861	0.270536639
615	0.288871675	0.306751903	0.270991447
616	0.289327875	0.307188636	0.271467114
617	0.2897921	0.307633728	0.271950472
618	0.290228025	0.308052697	0.272403353
619	0.29064345	0.308441902	0.272844998
620	0.291033725	0.308803707	0.273263743
621	0.29138245	0.309126649	0.273638251
622	0.291814825	0.309534001	0.274095649
623	0.292267825	0.309965091	0.274570559
624	0.292728025	0.310407286	0.275048764
625	0.2931516	0.31081001	0.27549319
626	0.293616675	0.311253574	0.275979776
627	0.294103675	0.311718632	0.276488718
628	0.294558575	0.312152068	0.276965082
629	0.295021825	0.312595791	0.277447859
630	0.2954683	0.313022881	0.277913719
631	0.295869625	0.313403455	0.278335795
632	0.2962388	0.313749365	0.278728235
633	0.2966292	0.31411583	0.27914257
634	0.297054125	0.314516385	0.279591865
635	0.297501675	0.314944941	0.280058409
636	0.2979398	0.315362445	0.280517155
637	0.2983686	0.315768719	0.280968481
638	0.29878385	0.316157785	0.281409915
639	0.29921555	0.316565297	0.281865803
640	0.299661025	0.316987437	0.282334613
641	0.3001256	0.317429603	0.282821597
642	0.300559925	0.317847456	0.283272394
643	0.300983225	0.318251915	0.283714535
644	0.301401925	0.318646889	0.284156961
645	0.3018654	0.319089476	0.284641324
646	0.30231445	0.31952065	0.28510825
647	0.30275505	0.319945717	0.285564383
648	0.30322425	0.320398121	0.286050379
649	0.303634175	0.320793804	0.286474546
650	0.304036025	0.321180385	0.286891665
651	0.304498525	0.321621445	0.287375605
652	0.304913725	0.322016806	0.287810644
653	0.30531855	0.322397568	0.288239532
654	0.305731	0.322778806	0.288683194
655	0.306132325	0.323163427	0.289101223
656	0.306548575	0.323564313	0.289532837
657	0.3069687	0.323968503	0.289968897
658	0.307426625	0.324395409	0.290457841
659	0.307910725	0.324849319	0.290972131
660	0.3084031	0.325313065	0.291493135
661	0.308883925	0.32576828	0.29199957
662	0.309332325	0.326189536	0.292475114
663	0.30977605	0.326606395	0.292945705
664	0.31022385	0.327028446	0.293419254
665	0.310683175	0.327457575	0.293908775
666	0.3111206	0.327866674	0.294374526
