Wavelength	Mean	Std+	Std-
350	0.1007671	0.105841415	0.095692785
351	0.1008913	0.105953968	0.095828632
352	0.1012361	0.10629009	0.09618211
353	0.1013053	0.10636916	0.09624144
354	0.1014101	0.106479679	0.096340521
355	0.1015721	0.106641997	0.096502203
356	0.1017117	0.106789248	0.096634152
357	0.1022057	0.107302178	0.097109222
358	0.1028066	0.107899701	0.097713499
359	0.1030419	0.108016006	0.098067794
360	0.103047	0.108008008	0.098085992
361	0.1031442	0.108116432	0.098171968
362	0.1035568	0.108527055	0.098586545
363	0.1035008	0.108532848	0.098468752
364	0.1038229	0.108863016	0.098782784
365	0.1045751	0.109559658	0.099590542
366	0.1046144	0.109582796	0.099646004
367	0.1048299	0.109807172	0.099852628
368	0.1051381	0.110129988	0.100146212
369	0.1053654	0.110332563	0.100398237
370	0.1058191	0.110809682	0.100828518
371	0.1063551	0.111345036	0.101365164
372	0.1068969	0.111795497	0.101998303
373	0.1072436	0.112205175	0.102282025
374	0.1076079	0.112619525	0.102596275
375	0.1080263	0.113048104	0.103004496
376	0.1086519	0.113700268	0.103603532
377	0.109168	0.1142192	0.1041168
378	0.1096528	0.114692695	0.104612905
379	0.1103491	0.115390827	0.105307373
380	0.1108751	0.115931803	0.105818397
381	0.111354	0.116447002	0.106260998
382	0.1118729	0.117034069	0.106711731
383	0.1128571	0.117956098	0.107758102
384	0.1135002	0.118575762	0.108424638
385	0.1136378	0.118761028	0.108514572
386	0.1144307	0.119656243	0.109205157
387	0.1151719	0.120408434	0.109935366
388	0.1158349	0.121034954	0.110634846
389	0.1162952	0.121564015	0.111026385
390	0.1169701	0.122291516	0.111648684
391	0.1176008	0.122948977	0.112252623
392	0.1179412	0.123268128	0.112614272
393	0.1187234	0.124047742	0.113399058
394	0.1194232	0.124763414	0.114082986
395	0.1199114	0.12528487	0.11453793
396	0.1206875	0.126041385	0.115333615
397	0.1212769	0.126678812	0.115874988
398	0.1217415	0.127224314	0.116258686
399	0.122242	0.127747456	0.116736544
400	0.122772	0.128279655	0.117264345
401	0.1232319	0.128740391	0.117723409
402	0.1235278	0.129054359	0.118001241
403	0.1239787	0.129525409	0.118431991
404	0.1244871	0.130038304	0.118935896
405	0.1250465	0.13058164	0.11951136
406	0.1255809	0.131124929	0.120036871
407	0.1260918	0.131643642	0.120539958
408	0.1265865	0.13214639	0.12102661
409	0.1271029	0.132683566	0.121522234
410	0.1276699	0.133273534	0.122066266
411	0.1282547	0.13388229	0.12262711
412	0.128847	0.134498198	0.123195802
413	0.1293627	0.135001837	0.123723563
414	0.1298759	0.135519503	0.124232297
415	0.1304204	0.136104519	0.124736281
416	0.1309287	0.136623906	0.125233494
417	0.1314506	0.137154846	0.125746354
418	0.1320026	0.137717116	0.126288084
419	0.1327179	0.138458834	0.126976966
420	0.1333248	0.139082982	0.127566618
421	0.1338914	0.139663358	0.128119442
422	0.1345096	0.140296669	0.128722531
423	0.1351869	0.140985188	0.129388612
424	0.1357993	0.141610814	0.129987786
425	0.1362859	0.142115886	0.130455914
426	0.1369287	0.142764061	0.131093339
427	0.1376484	0.143500174	0.131796626
428	0.1384306	0.144311039	0.132550161
429	0.1391212	0.145022613	0.133219787
430	0.1399017	0.145832038	0.133971362
431	0.1407279	0.146688206	0.134767594
432	0.1415593	0.147537637	0.135580963
433	0.1423791	0.148394432	0.136363768
434	0.1431585	0.149215329	0.137101671
435	0.1438827	0.149980322	0.137785078
436	0.1446181	0.150714356	0.138521844
437	0.1453666	0.15147097	0.13926223
438	0.1461298	0.152255191	0.140004409
439	0.1468659	0.153012827	0.140718973
440	0.1476445	0.153814394	0.141474606
441	0.1484341	0.154627538	0.142240662
442	0.1491829	0.155400744	0.142965056
443	0.1499436	0.15619094	0.14369626
444	0.1506852	0.156959108	0.144411292
445	0.1513854	0.157677434	0.145093366
446	0.1520264	0.158343568	0.145709232
447	0.1526958	0.159037	0.1463546
448	0.1534047	0.159767873	0.147041527
449	0.1540491	0.160430747	0.147667453
450	0.1546867	0.161079835	0.148293565
451	0.1553177	0.161721766	0.148913634
452	0.1559345	0.16236764	0.14950136
453	0.1564219	0.162867292	0.149976508
454	0.1569289	0.163384773	0.150473027
455	0.1575822	0.164058607	0.151105793
456	0.1581077	0.16461484	0.15160056
457	0.1585877	0.165110272	0.152065128
458	0.1590295	0.165547208	0.152511792
459	0.1595202	0.166062057	0.152978343
460	0.1599715	0.166535163	0.153407837
461	0.1603919	0.16697403	0.15380977
462	0.1607847	0.16737757	0.15419183
463	0.1611852	0.167790901	0.154579499
464	0.1615653	0.168182698	0.154947902
465	0.1618886	0.168512218	0.155264982
466	0.1622436	0.168874582	0.155612618
467	0.1626035	0.169247384	0.155959616
468	0.1629623	0.169626202	0.156298398
469	0.1633883	0.170077342	0.156699258
470	0.163807	0.170508491	0.157105509
471	0.1642041	0.170908693	0.157499507
472	0.1645113	0.17122232	0.15780028
473	0.1648542	0.171575153	0.158133247
474	0.165225	0.171959266	0.158490734
475	0.1656322	0.172384147	0.158880253
476	0.1660467	0.172811774	0.159281626
477	0.1664729	0.1732487	0.1596971
478	0.1669143	0.17369943	0.16012917
479	0.1673185	0.174125061	0.160511939
480	0.1677478	0.174564399	0.160931201
481	0.1681984	0.175016754	0.161380046
482	0.1686529	0.175482897	0.161822903
483	0.1691269	0.175969082	0.162284718
484	0.1696301	0.176488115	0.162772085
485	0.1701807	0.177064744	0.163296656
486	0.1707449	0.177645286	0.163844514
487	0.1713217	0.178238059	0.164405341
488	0.1719109	0.178844982	0.164976818
489	0.1724611	0.179412098	0.165510102
490	0.1730678	0.180046426	0.166089174
491	0.1737166	0.180729948	0.166703252
