Wavelength	Mean	Std+	Std-
350	0.068202143	0.081732329	0.054671956
351	0.068372429	0.08197659	0.054768267
352	0.068188	0.0817996	0.0545764
353	0.068523286	0.082150041	0.05489653
354	0.068920143	0.082537027	0.055303258
355	0.069324143	0.082905432	0.055742854
356	0.069544857	0.083062271	0.056027443
357	0.069703714	0.083244885	0.056162544
358	0.069966571	0.083588034	0.056345108
359	0.070778714	0.084507095	0.057050333
360	0.071203571	0.085052553	0.05735459
361	0.071490714	0.085428016	0.057553413
362	0.071736	0.085691308	0.057780692
363	0.072192286	0.086185603	0.058198968
364	0.072667571	0.086683417	0.058651726
365	0.073125857	0.087149847	0.059101867
366	0.073360714	0.087510237	0.059211192
367	0.073586571	0.087834382	0.059338761
368	0.073849571	0.088151017	0.059548126
369	0.074301429	0.08852182	0.060081037
370	0.074689	0.088945238	0.060432762
371	0.075047429	0.089355588	0.060739269
372	0.075384714	0.089693031	0.061076398
373	0.075796143	0.090222557	0.061369728
374	0.076248571	0.090766343	0.0617308
375	0.076735429	0.091296473	0.062174384
376	0.077031143	0.09168201	0.062380276
377	0.077361714	0.09207102	0.062652409
378	0.077729286	0.092474545	0.062984026
379	0.078141857	0.092918203	0.063365511
380	0.078459857	0.093308349	0.063611365
381	0.078696429	0.093625991	0.063766867
382	0.078827286	0.093821637	0.063832934
383	0.079573286	0.094561339	0.064585233
384	0.080017571	0.095066177	0.064968966
385	0.079981429	0.09518599	0.064776867
386	0.080818286	0.096180925	0.065455646
387	0.081437571	0.096953385	0.065921758
388	0.081889857	0.097554315	0.066225399
389	0.082304143	0.098123536	0.066484749
390	0.082684571	0.098518002	0.066851141
391	0.083045571	0.098845099	0.067246044
392	0.083403714	0.099188316	0.067619113
393	0.083589714	0.099449521	0.067729907
394	0.083873857	0.099860761	0.067886954
395	0.084305857	0.100461634	0.06815008
396	0.085069429	0.101409505	0.068729352
397	0.085533714	0.102006247	0.069061181
398	0.085844286	0.102418887	0.069269685
399	0.086452286	0.103161653	0.069742919
400	0.086735143	0.103447122	0.070023164
401	0.086907857	0.103599051	0.070216663
402	0.087139143	0.103880497	0.070397788
403	0.087317857	0.10403274	0.070602974
404	0.087519857	0.104219708	0.070820006
405	0.087771571	0.104491415	0.071051728
406	0.088334429	0.105143824	0.071525034
407	0.088764143	0.105640704	0.071887582
408	0.089083571	0.106011322	0.072155821
409	0.089431	0.106436593	0.072425407
410	0.089742286	0.10683743	0.072647141
411	0.090044143	0.107222183	0.072866103
412	0.090375857	0.107606182	0.073145532
413	0.090797143	0.108047583	0.073546703
414	0.091151	0.108438599	0.073863401
415	0.091381143	0.108742818	0.074019468
416	0.091778857	0.109181264	0.074376451
417	0.092095571	0.109541192	0.074649951
418	0.092348714	0.109842238	0.074855191
419	0.092744429	0.110294875	0.075193982
420	0.093103429	0.110713731	0.075493126
421	0.093443143	0.111113195	0.075773091
422	0.093783143	0.111508857	0.076057429
423	0.094057571	0.111835083	0.07628006
424	0.094355143	0.112180437	0.076529849
425	0.094722571	0.112591119	0.076854024
426	0.094940714	0.112838649	0.077042779
427	0.095234286	0.113165232	0.07730334
428	0.095611143	0.113582111	0.077640175
429	0.095942143	0.113995471	0.077888814
430	0.096324571	0.114464264	0.078184879
431	0.096709	0.114945583	0.078472417
432	0.097007	0.115375739	0.078638261
433	0.097408571	0.115876489	0.078940654
434	0.097786571	0.11632706	0.079246083
435	0.098078429	0.116660812	0.079496045
436	0.098303571	0.116884272	0.079722871
437	0.098589143	0.117184895	0.07999339
438	0.098934	0.117566605	0.080301395
439	0.099160857	0.117841324	0.080480391
440	0.099462143	0.118194448	0.080729837
