Wavelength	Mean	Std+	Std-
350	0.076289467	0.094718602	0.057860331
351	0.076093333	0.095387995	0.056798672
352	0.086364667	0.105880277	0.066849057
353	0.081507733	0.100685918	0.062329549
354	0.081722267	0.100884082	0.062560452
355	0.0875146	0.107012465	0.068016735
356	0.084871733	0.103605737	0.06613773
357	0.085112533	0.104037528	0.066187539
358	0.0857098	0.105009132	0.066410468
359	0.081411667	0.099587317	0.063236016
360	0.0830394	0.101070891	0.065007909
361	0.087776333	0.106466221	0.069086446
362	0.095217467	0.115439054	0.074995879
363	0.091396067	0.11178267	0.071009464
364	0.0881368	0.108712467	0.067561133
365	0.0868074	0.107717054	0.065897746
366	0.085302	0.106088982	0.064515018
367	0.085590267	0.105820677	0.065359856
368	0.0866662	0.106076625	0.067255775
369	0.0863068	0.104999572	0.067614028
370	0.085952533	0.104998944	0.066906123
371	0.0867652	0.106499459	0.067030941
372	0.089992733	0.110258702	0.069726764
373	0.082641	0.103451822	0.061830178
374	0.082253667	0.102652516	0.061854818
375	0.091468067	0.110447545	0.072488588
376	0.0891352	0.108919064	0.069351336
377	0.0878272	0.10725902	0.06839538
378	0.0879562	0.106592337	0.069320063
379	0.0918882	0.111572555	0.072203845
380	0.089536533	0.109675738	0.069397329
381	0.086083467	0.105994027	0.066172906
382	0.0853	0.103756703	0.066843297
383	0.088627867	0.107292084	0.069963649
384	0.0871764	0.106290966	0.068061834
385	0.079299867	0.098920633	0.0596791
386	0.0826886	0.102389136	0.062988064
387	0.0848414	0.104959007	0.064723793
388	0.085879533	0.106516737	0.06524233
389	0.085596267	0.105594975	0.065597559
390	0.085473333	0.105314786	0.065631881
391	0.085635067	0.105603975	0.065666158
392	0.0863344	0.106676183	0.065992617
393	0.086102133	0.106506426	0.06569784
394	0.086195333	0.106556249	0.065834417
395	0.0868848	0.107154217	0.066615383
396	0.091824933	0.112364837	0.07128503
397	0.092374467	0.113194216	0.071554717
398	0.090365067	0.111501644	0.06922849
399	0.0913156	0.112608327	0.070022873
400	0.092117333	0.113121706	0.07111296
401	0.093056533	0.11393299	0.072180077
402	0.094568733	0.116115621	0.073021846
403	0.093438	0.115388328	0.071487672
404	0.093242533	0.115324884	0.071160183
405	0.094976133	0.116923713	0.073028554
406	0.096167733	0.118259047	0.074076419
407	0.095596533	0.117777966	0.0734151
408	0.0941438	0.116394322	0.071893278
409	0.096336867	0.118845692	0.073828041
410	0.096234	0.118734633	0.073733367
411	0.0958066	0.118283071	0.073330129
412	0.097266	0.119992469	0.074539531
413	0.097560933	0.120388606	0.074733261
414	0.097122533	0.11997153	0.074273536
415	0.095941	0.118736248	0.073145752
416	0.0950316	0.117908832	0.072154368
417	0.094509733	0.117490828	0.071528639
418	0.094439067	0.117504021	0.071374112
419	0.0956468	0.118409927	0.072883673
420	0.0960576	0.11892173	0.07319347
421	0.0960206	0.119089564	0.072951636
422	0.095794133	0.118766468	0.072821798
423	0.0944896	0.117554835	0.071424365
424	0.093419333	0.116605446	0.070233221
425	0.0931372	0.116407567	0.069866833
426	0.092753333	0.115966871	0.069539796
427	0.092963267	0.116119642	0.069806892
428	0.0936606	0.116786383	0.070534817
429	0.093220133	0.116568725	0.069871542
430	0.0932336	0.116596681	0.069870519
431	0.093307333	0.11666463	0.069950037
432	0.092711667	0.116381479	0.069041854
433	0.093589867	0.117340069	0.069839664
434	0.094459867	0.118310957	0.070608776
435	0.094614867	0.11870493	0.070524803
436	0.094816533	0.119005345	0.070627721
437	0.095227267	0.11950609	0.070948444
438	0.095822467	0.120203576	0.071441358
439	0.096100533	0.120678773	0.071522294
440	0.0957304	0.120522278	0.070938522
441	0.095335067	0.120301699	0.070368434
442	0.096442067	0.121367262	0.071516871
443	0.096298333	0.121255161	0.071341506
444	0.096378267	0.121361509	0.071395024
445	0.097666	0.122621441	0.072710559
446	0.097671733	0.122871211	0.072472255
447	0.0974788	0.122935982	0.072021618
448	0.097241	0.122932817	0.071549183
449	0.097476467	0.12320012	0.071752814
450	0.0980348	0.123866306	0.072203294
451	0.098584933	0.124538309	0.072631558
452	0.098191267	0.124112411	0.072270122
453	0.0981324	0.124093442	0.072171358
454	0.098202467	0.124259226	0.072145707
455	0.0983006	0.124519566	0.072081634
456	0.098151333	0.124324627	0.071978039
457	0.098003533	0.124185789	0.071821278
458	0.097901867	0.124190434	0.0716133
459	0.0980048	0.124421718	0.071587882
460	0.0981308	0.124653562	0.071608038
461	0.098185667	0.124798639	0.071572694
462	0.0977874	0.124485921	0.071088879
463	0.097526867	0.124296006	0.070757727
464	0.0973372	0.124179297	0.070495103
465	0.097194333	0.124121196	0.070267471
466	0.096932667	0.123863477	0.070001857
467	0.096910267	0.12384619	0.069974343
468	0.097222267	0.124182984	0.07026155
469	0.0968896	0.12391053	0.06986867
470	0.0965264	0.123642381	0.069410419
471	0.096259867	0.123488701	0.069031032
472	0.096708133	0.124004701	0.069411566
473	0.0968254	0.124110562	0.069540238
