Wavelength	Mean	Std+	Std-
350	0.0140252	0.015061066	0.012989334
351	0.014188	0.015271662	0.013104338
352	0.0139732	0.015072255	0.012874145
353	0.014203	0.015241147	0.013164853
354	0.0142998	0.015281154	0.013318446
355	0.014211	0.015150475	0.013271525
356	0.0138464	0.014854059	0.012838741
357	0.0141226	0.015141641	0.013103559
358	0.0145632	0.015578346	0.013548054
359	0.014229	0.015258458	0.013199542
360	0.0144218	0.015428202	0.013415398
361	0.0145998	0.015599149	0.013600451
362	0.014448	0.015475308	0.013420692
363	0.0141788	0.015226686	0.013130914
364	0.0141566	0.015232371	0.013080829
365	0.0144018	0.015503704	0.013299896
366	0.0143736	0.01550069	0.01324651
367	0.0140972	0.015218063	0.012976337
368	0.0138456	0.014934748	0.012756452
369	0.0144098	0.015470852	0.013348748
370	0.0142842	0.015396318	0.013172082
371	0.0140478	0.015189289	0.012906311
372	0.0140704	0.015142277	0.012998523
373	0.014234	0.015335017	0.013132983
374	0.014409	0.015515181	0.013302819
375	0.014568	0.015622245	0.013513755
376	0.0142952	0.015228583	0.013361817
377	0.014256	0.015256593	0.013255407
378	0.0143294	0.015489987	0.013168813
379	0.0141396	0.015240404	0.013038796
380	0.0142306	0.015329331	0.013131869
381	0.0142504	0.015340384	0.013160416
382	0.0138628	0.014880996	0.012844604
383	0.0140368	0.015038135	0.013035465
384	0.0141092	0.015169012	0.013049388
385	0.0139524	0.015154435	0.012750365
386	0.0139514	0.015035835	0.012866965
387	0.0142562	0.015371485	0.013140915
388	0.0146324	0.015845893	0.013418907
389	0.0141586	0.015274562	0.013042638
390	0.0143806	0.015453954	0.013307246
391	0.0146748	0.015742559	0.013607041
392	0.014488	0.015593492	0.013382508
393	0.0143496	0.015542178	0.013157022
394	0.014319	0.015544618	0.013093382
395	0.014412	0.015596869	0.013227131
396	0.0141268	0.015340823	0.012912777
397	0.0141998	0.015426275	0.012973325
398	0.0144368	0.015660488	0.013213112
399	0.0142586	0.015435162	0.013082038
400	0.0142566	0.015428152	0.013085048
401	0.0143418	0.015522229	0.013161371
402	0.0144786	0.015661905	0.013295295
403	0.01446	0.015652997	0.013267003
404	0.0144432	0.015645872	0.013240528
405	0.0144672	0.015678911	0.013255489
406	0.014459	0.015646062	0.013271938
407	0.0145024	0.015701868	0.013302932
408	0.014572	0.015801149	0.013342851
409	0.0145276	0.01571247	0.01334273
410	0.0144744	0.015658833	0.013289967
411	0.0144514	0.015654398	0.013248402
412	0.0145246	0.01574654	0.01330266
413	0.0144944	0.015716461	0.013272339
414	0.0144812	0.015699979	0.013262421
415	0.0145268	0.015741202	0.013312398
416	0.014526	0.015766791	0.013285209
417	0.0144944	0.01573437	0.01325443
418	0.0144522	0.015671743	0.013232657
419	0.0145408	0.015788743	0.013292857
420	0.0145222	0.015774573	0.013269827
421	0.0144752	0.015718829	0.013231571
422	0.0145084	0.015737797	0.013279003
423	0.0146162	0.015842317	0.013390083
424	0.014657	0.015887028	0.013426972
425	0.014554	0.015795503	0.013312497
426	0.0145546	0.015809916	0.013299284
427	0.0145738	0.015829037	0.013318563
428	0.0146018	0.015843129	0.013360471
429	0.0145792	0.015826956	0.013331444
430	0.0146192	0.015877935	0.013360465
431	0.0146756	0.015948035	0.013403165
432	0.0146688	0.01595826	0.01337934
433	0.0146716	0.01595162	0.01339158
434	0.0146646	0.015948574	0.013380626
435	0.0146354	0.015957478	0.013313322
436	0.0146518	0.015948715	0.013354885
437	0.0146676	0.01595646	0.01337874
438	0.0146794	0.015979873	0.013378927
439	0.0147076	0.015993834	0.013421366
440	0.0147206	0.016003501	0.013437699
441	0.014718	0.0160014	0.0134346
442	0.0146888	0.015963506	0.013414094
443	0.0147258	0.016015914	0.013435686
444	0.0147478	0.016050593	0.013445007
445	0.0146998	0.015993968	0.013405632
446	0.0147254	0.016014499	0.013436301
447	0.0147658	0.016058861	0.013472739
448	0.0148142	0.016120414	0.013507986
449	0.0148766	0.016187862	0.013565338
450	0.0148586	0.016167684	0.013549516
451	0.0148022	0.016107316	0.013497084
452	0.0148014	0.016111142	0.013491658
453	0.0148082	0.016117639	0.013498761
454	0.0148032	0.016111389	0.013495011
455	0.0147656	0.016074884	0.013456316
456	0.014862	0.016172827	0.013551173
457	0.0149066	0.016231776	0.013581424
458	0.0148666	0.016220199	0.013513001
459	0.0148976	0.016227662	0.013567538
460	0.014912	0.016227207	0.013596793
461	0.0149158	0.016226651	0.013604949
462	0.0149198	0.016247638	0.013591962
463	0.0149004	0.016237321	0.013563479
464	0.0148918	0.016228324	0.013555276
465	0.014929	0.016249182	0.013608818
466	0.0149524	0.016274559	0.013630241
467	0.0149888	0.016310838	0.013666762
468	0.0150472	0.016363949	0.013730451
469	0.0149778	0.016299912	0.013655688
470	0.0149936	0.016334359	0.013652841
471	0.01506	0.016421339	0.013698661
472	0.0150452	0.016379857	0.013710543
473	0.0150262	0.016369662	0.013682738
474	0.0150216	0.016380745	0.013662455
475	0.0150562	0.016412255	0.013700145
476	0.0150562	0.01640151	0.01371089
477	0.0150696	0.016403801	0.013735399
478	0.015108	0.016433359	0.013782641
479	0.0151134	0.016475017	0.013751783
480	0.015102	0.016471556	0.013732444
481	0.0150786	0.016434567	0.013722633
482	0.0150612	0.016409836	0.013712564
483	0.0151274	0.016467827	0.013786973
484	0.0152032	0.01654063	0.01386577
485	0.0151956	0.016544363	0.013846837
486	0.0151902	0.016548183	0.013832217
487	0.0152142	0.01657501	0.01385339
488	0.0152812	0.016636057	0.013926343
489	0.0152568	0.016609514	0.013904086
490	0.0152426	0.016597267	0.013887933
491	0.015235	0.016595044	0.013874956
492	0.0151952	0.016554995	0.013835405
493	0.015225	0.016591551	0.013858449
494	0.0152666	0.016638526	0.013894674
495	0.015241	0.016603517	0.013878483
496	0.0152844	0.016641026	0.013927774
497	0.0153114	0.016669171	0.013953629
498	0.0152866	0.016654231	0.013918969
499	0.015308	0.016673267	0.013942733
500	0.0153332	0.016701798	0.013964602
501	0.0153556	0.016731964	0.013979236
502	0.0153394	0.016707995	0.013970805
503	0.0153682	0.01673869	0.01399771
504	0.0154284	0.016804149	0.014052651
505	0.0155198	0.016893025	0.014146575
506	0.0154648	0.016833675	0.014095925
507	0.0154126	0.016782869	0.014042331
508	0.0154314	0.016815303	0.014047497
509	0.0154406	0.016819827	0.014061373
510	0.0154362	0.0168111	0.0140613
511	0.0154228	0.016795364	0.014050236
512	0.0154514	0.016835615	0.014067185
513	0.015474	0.016846955	0.014101045
514	0.015502	0.016859121	0.014144879
515	0.0155638	0.016936048	0.014191552
516	0.015584	0.016952661	0.014215339
517	0.015586	0.016954451	0.014217549
518	0.015574	0.016956753	0.014191247
519	0.0155822	0.016964094	0.014200306
520	0.0156036	0.016978984	0.014228216
521	0.0156348	0.017000863	0.014268737
522	0.01564	0.017019997	0.014260003
523	0.0156414	0.017024567	0.014258233
524	0.0156486	0.017026322	0.014270878
525	0.0156896	0.017054212	0.014324988
526	0.015682	0.017051877	0.014312123
527	0.0156718	0.017046073	0.014297527
528	0.0156858	0.017050956	0.014320644
529	0.0157162	0.017086398	0.014346002
530	0.0157274	0.017104159	0.014350641
531	0.0157156	0.017099233	0.014331967
532	0.0157582	0.017126831	0.014389569
533	0.0158034	0.017170333	0.014436467
534	0.015842	0.017212997	0.014471003
535	0.015842	0.017201581	0.014482419
536	0.015856	0.017215228	0.014496772
537	0.0158704	0.017233943	0.014506857
538	0.0158746	0.017242271	0.014506929
539	0.0158792	0.017252539	0.014505861
540	0.015917	0.017293774	0.014540226
541	0.015992	0.017370558	0.014613442
542	0.015944	0.017326645	0.014561355
543	0.0159376	0.017316644	0.014558556
544	0.0159584	0.017330328	0.014586472
545	0.0159688	0.017347994	0.014589606
546	0.016006	0.017373823	0.014638177
547	0.0160368	0.017395711	0.014677889
548	0.0160264	0.017399648	0.014653152
549	0.0160392	0.017406663	0.014671737
550	0.016054	0.017413123	0.014694877
551	0.0160662	0.017417999	0.014714401
552	0.0160628	0.01742093	0.01470467
553	0.0160776	0.017437813	0.014717387
554	0.0161122	0.01747227	0.01475213
555	0.016184	0.017543648	0.014824352
556	0.0162028	0.017560561	0.014845039
