Wavelength	Mean	Std+	Std-
350	0.0254134	0.032124797	0.018702003
351	0.0253012	0.031990341	0.018612059
352	0.0249354	0.031733265	0.018137535
353	0.0251948	0.032031058	0.018358542
354	0.025388	0.032216725	0.018559275
355	0.025465	0.032250699	0.018679301
356	0.0255608	0.032293994	0.018827606
357	0.0255	0.032219821	0.018780179
358	0.0254174	0.032155188	0.018679612
359	0.0255958	0.032384509	0.018807091
360	0.025636	0.032505718	0.018766282
361	0.0256834	0.032568445	0.018798355
362	0.0258238	0.032578239	0.019069361
363	0.0259474	0.032774133	0.019120667
364	0.0261134	0.033009849	0.019216951
365	0.026304	0.033244049	0.019363951
366	0.0260146	0.033020018	0.019009182
367	0.0260488	0.033053037	0.019044563
368	0.0262452	0.033204117	0.019286283
369	0.026274	0.03316847	0.01937953
370	0.0263868	0.033277934	0.019495666
371	0.0265584	0.033446429	0.019670371
372	0.026795	0.033633832	0.019956168
373	0.0266652	0.03359036	0.01974004
374	0.0266576	0.033666396	0.019648804
375	0.0268492	0.033918161	0.019780239
376	0.0268568	0.033916814	0.019796786
377	0.0269172	0.033986601	0.019847799
378	0.027011	0.034120783	0.019901217
379	0.0270794	0.034330629	0.019828171
380	0.027135	0.034381829	0.019888171
381	0.0272042	0.034409478	0.019998922
382	0.0273158	0.034517771	0.020113829
383	0.0272126	0.03441508	0.02001012
384	0.0272252	0.03443139	0.02001901
385	0.0274212	0.034636237	0.020206163
386	0.0275386	0.034897695	0.020179505
387	0.0276758	0.035151996	0.020199604
388	0.0277948	0.035359135	0.020230465
389	0.027724	0.035324416	0.020123584
390	0.0277306	0.035258877	0.020202323
391	0.0277814	0.035233943	0.020328857
392	0.027867	0.035334811	0.020399189
393	0.0281044	0.035650779	0.020558021
394	0.0282786	0.035887449	0.020669751
395	0.0283392	0.035975958	0.020702442
396	0.0285124	0.036252221	0.020772579
397	0.0286082	0.036465771	0.020750629
398	0.0286546	0.036618031	0.020691169
399	0.0287096	0.036661489	0.020757711
400	0.0287056	0.036679797	0.020731403
401	0.0287234	0.036715521	0.020731279
402	0.0288542	0.036822401	0.020885999
403	0.0287934	0.036733611	0.020853189
