Wavelength	Mean	Std+	Std-
350	0.05099065	0.086909204	0.015072096
351	0.05136525	0.087390968	0.015339532
352	0.051277	0.087419051	0.015134949
353	0.05124505	0.087533771	0.014956329
354	0.0513209	0.087758213	0.014883587
355	0.05148705	0.088073031	0.014901069
356	0.0514677	0.08820122	0.01473418
357	0.05159575	0.088454651	0.014736849
358	0.0517527	0.088740088	0.014765312
359	0.0516968	0.088875192	0.014518408
360	0.0518241	0.089148757	0.014499443
361	0.05184535	0.089329899	0.014360801
362	0.05155235	0.089251219	0.013853481
363	0.05172325	0.08959344	0.01385306
364	0.05190185	0.089955725	0.013847975
365	0.05203255	0.090282506	0.013782594
366	0.05216545	0.090494876	0.013836024
367	0.05236265	0.090800658	0.013924642
368	0.05250375	0.091062763	0.013944737
369	0.05220155	0.090853941	0.013549159
370	0.0524053	0.091156323	0.013654277
371	0.0526937	0.091571404	0.013815996
372	0.05279855	0.091858545	0.013738555
373	0.05261555	0.091839467	0.013391633
374	0.0525777	0.091950422	0.013204978
375	0.0527532	0.092259996	0.013246404
376	0.05258255	0.092282903	0.012882197
377	0.05259825	0.092425307	0.012771193
378	0.05274835	0.092664798	0.012831902
379	0.05291675	0.092962765	0.012870735
380	0.05307225	0.093264941	0.012879559
381	0.0531697	0.093491278	0.012848122
382	0.05314395	0.093538316	0.012749584
383	0.0531507	0.093668111	0.012633289
384	0.05318585	0.093859578	0.012512122
385	0.0532483	0.094111405	0.012385195
386	0.05312835	0.094166408	0.012090292
387	0.05324385	0.094436138	0.012051562
388	0.05347585	0.094803109	0.012148591
389	0.05340595	0.094854947	0.011956953
390	0.05348805	0.095016335	0.011959765
391	0.05358495	0.095186209	0.011983691
392	0.05357565	0.095277918	0.011873382
393	0.05353965	0.095355822	0.011723478
394	0.0535196	0.095484989	0.011554211
395	0.05352595	0.095677127	0.011374773
396	0.0536748	0.095981515	0.011368085
397	0.05378295	0.096232735	0.011333165
398	0.05386925	0.096450944	0.011287556
399	0.05399785	0.096703513	0.011292187
400	0.05407155	0.096871014	0.011272086
401	0.0541197	0.096983993	0.011255407
402	0.0541636	0.097056035	0.011271165
403	0.05423545	0.097172577	0.011298323
404	0.0542427	0.097230715	0.011254685
405	0.05415765	0.097201656	0.011113644
406	0.0542315	0.097347634	0.011115366
407	0.0542783	0.09747307	0.01108353
408	0.05430615	0.097587544	0.011024756
409	0.05437925	0.097772156	0.010986344
410	0.0544295	0.097924242	0.010934758
411	0.054464	0.098051476	0.010876524
412	0.0544834	0.098153415	0.010813385
413	0.0544885	0.09823308	0.01074392
414	0.05451025	0.098317415	0.010703085
415	0.05456325	0.098418388	0.010708112
416	0.0546604	0.098590151	0.010730649
417	0.05471145	0.098723129	0.010699771
418	0.05472585	0.098822994	0.010628706
419	0.0547935	0.098962575	0.010624425
420	0.05479375	0.099034103	0.010553397
421	0.0547968	0.099108432	0.010485168
422	0.05492015	0.099304065	0.010536235
423	0.05493585	0.099391068	0.010480632
424	0.05494655	0.099468639	0.010424461
425	0.05499265	0.099574692	0.010410608
426	0.05501925	0.099665894	0.010372606
427	0.05508275	0.099793272	0.010372228
428	0.0551777	0.099953014	0.010402386
429	0.0551697	0.100039686	0.010299714
430	0.05521795	0.100173935	0.010261965
431	0.05529515	0.100337127	0.010253173
432	0.0553651	0.100513305	0.010216895
433	0.05540165	0.100652021	0.010151279
434	0.05541985	0.100758162	0.010081538
435	0.05542265	0.100826825	0.010018475
436	0.05546695	0.100924736	0.010009164
437	0.0555252	0.101030946	0.010019454
438	0.055591	0.101142764	0.010039236
439	0.0556094	0.101241738	0.009977062
440	0.05564215	0.101345526	0.009938774
441	0.0557019	0.101470778	0.009933022
442	0.0558414	0.101677543	0.010005257
443	0.05581415	0.101720742	0.009907558
444	0.0557785	0.101752795	0.009804205
445	0.05582885	0.101863506	0.009794194
446	0.0558724	0.101973205	0.009771595
447	0.05592775	0.102096178	0.009759322
448	0.05599605	0.102233069	0.009759031
449	0.05604095	0.102348516	0.009733384
450	0.0560905	0.102450622	0.009730378
451	0.05614175	0.10254508	0.00973842
452	0.0561852	0.102642082	0.009728318
453	0.0561981	0.102714305	0.009681895
454	0.05620585	0.102784107	0.009627593
455	0.0562264	0.102867874	0.009584926
456	0.05628815	0.102999501	0.009576799
457	0.0563323	0.103112364	0.009552236
458	0.05634785	0.103193429	0.009502271
459	0.05638715	0.103289999	0.009484301
460	0.05641105	0.103372572	0.009449528
461	0.0564209	0.103440149	0.009401651
462	0.0564124	0.103479739	0.009345061
