Wavelength	Mean	Std+	Std-
350	0.0103687	0.017280004	0.003457396
351	0.0105008	0.017402734	0.003598866
352	0.0105407	0.017410937	0.003670463
353	0.0105316	0.017361641	0.003701559
354	0.0104305	0.017237998	0.003623002
355	0.0102605	0.01706256	0.00345844
356	0.0103809	0.017158302	0.003603498
357	0.0104611	0.017251279	0.003670921
358	0.010463	0.017288478	0.003637522
359	0.0102508	0.017115763	0.003385837
360	0.0103744	0.017224048	0.003524752
361	0.010521	0.017325706	0.003716294
362	0.0105203	0.017251475	0.003789125
363	0.0104635	0.017207518	0.003719482
364	0.0103801	0.017129881	0.003630319
365	0.0102776	0.017015488	0.003539712
366	0.0102212	0.016932881	0.003509519
367	0.0102559	0.01698258	0.00352922
368	0.0103297	0.017080697	0.003578703
369	0.0103226	0.017022386	0.003622814
370	0.010434	0.017141735	0.003726265
371	0.0104653	0.017179669	0.003750931
372	0.0102383	0.016914348	0.003562252
373	0.0102785	0.01696355	0.00359345
374	0.0103823	0.017061024	0.003703576
375	0.0105176	0.017163973	0.003871227
376	0.0103678	0.016986216	0.003749384
377	0.0102504	0.016835913	0.003664887
378	0.0101737	0.016730437	0.003616963
379	0.0102004	0.016771098	0.003629702
380	0.0101447	0.016719065	0.003570335
381	0.0102099	0.016786147	0.003633653
382	0.0106263	0.017210586	0.004042014
383	0.0105382	0.017105168	0.003971232
384	0.0104341	0.016974461	0.003893739
385	0.0104042	0.016912167	0.003896233
386	0.0104388	0.016959382	0.003918218
387	0.0103207	0.016845552	0.003795848
388	0.0101172	0.016637267	0.003597133
389	0.0100531	0.016554661	0.003551539
390	0.0100848	0.016585797	0.003583803
391	0.0102133	0.016711235	0.003715365
392	0.0104908	0.016960128	0.004021472
393	0.0103703	0.016841844	0.003898756
394	0.0102168	0.016687119	0.003746481
395	0.0101098	0.016567917	0.003651683
396	0.0100442	0.016479001	0.003609399
397	0.010063	0.016478137	0.003647863
398	0.01013	0.016530104	0.003729896
399	0.0101616	0.016559502	0.003763698
400	0.0100808	0.016475686	0.003685914
401	0.010019	0.016409113	0.003628887
402	0.0101098	0.01649101	0.00372859
403	0.010201	0.016578387	0.003823613
404	0.0102246	0.016601125	0.003848075
405	0.0101577	0.016536361	0.003779039
406	0.0101602	0.016540342	0.003780058
407	0.0101401	0.016518629	0.003761571
408	0.0101087	0.016482459	0.003734941
409	0.0101399	0.016506236	0.003773564
410	0.0101533	0.016513911	0.003792689
411	0.0101711	0.016525637	0.003816563
412	0.010224	0.016569061	0.003878939
413	0.0102093	0.016539207	0.003879393
414	0.0101712	0.016490413	0.003851987
415	0.0101188	0.01643519	0.00380241
416	0.0101563	0.016475214	0.003837386
417	0.0101784	0.016493894	0.003862906
418	0.0101784	0.016484352	0.003872448
419	0.0101353	0.016430878	0.003839722
420	0.0101714	0.016460121	0.003882679
421	0.0102182	0.016505422	0.003930978
422	0.010171	0.016468146	0.003873854
423	0.0101773	0.016461811	0.003892789
424	0.0101629	0.016432449	0.003893351
425	0.0100909	0.016349929	0.003831871
426	0.0101198	0.016387104	0.003852496
427	0.0101722	0.016436943	0.003907457
428	0.0102343	0.016484706	0.003983894
429	0.0101916	0.016428553	0.003954647
430	0.0101693	0.016405108	0.003933492
431	0.0101562	0.016394081	0.003918319
432	0.0101328	0.016360016	0.003905584
433	0.0101451	0.016364355	0.003925845
434	0.0101596	0.016371612	0.003947588
435	0.0101616	0.016366879	0.003956321
436	0.0101547	0.016361889	0.003947511
437	0.0101448	0.01634855	0.00394105
438	0.0101324	0.0163264	0.0039384
439	0.010121	0.016303343	0.003938657
440	0.0101333	0.016316839	0.003949761
441	0.0101632	0.016350867	0.003975533
442	0.0102075	0.016381325	0.004033675
443	0.0101367	0.016301788	0.003971612
444	0.0100786	0.016241139	0.003916061
445	0.010116	0.016284225	0.003947775
446	0.01012	0.016275485	0.003964515
447	0.0101342	0.016283677	0.003984723
448	0.0101618	0.016313672	0.004009928
449	0.0101581	0.016297159	0.004019041
450	0.0101359	0.01626851	0.00400329
451	0.0101109	0.016242952	0.003978848
452	0.0101274	0.016266619	0.003988181
453	0.0101109	0.016242414	0.003979386
454	0.010089	0.016211767	0.003966233
455	0.0100808	0.016205083	0.003956517
456	0.0100986	0.01621273	0.00398447
457	0.0101006	0.016204468	0.003996732
458	0.0100804	0.016175086	0.003985714
459	0.0101139	0.016211008	0.004016792
460	0.0101065	0.016203587	0.004009413
461	0.0100814	0.016175249	0.003987551
462	0.0101097	0.016193493	0.004025907
463	0.0101155	0.016195161	0.004035839
464	0.0101133	0.016187887	0.004038713
465	0.0101118	0.016174792	0.004048808
466	0.010115	0.016170655	0.004059345
467	0.0100964	0.01614939	0.00404341
468	0.0100475	0.016102641	0.003992359
469	0.0100745	0.016122787	0.004026213
470	0.01009	0.016131489	0.004048511
471	0.010092	0.016126958	0.004057042
472	0.0100667	0.016097917	0.004035483
473	0.010078	0.016101273	0.004054727
474	0.0100717	0.016088073	0.004055327
475	0.0099844	0.016000698	0.003968102
476	0.0100298	0.016036494	0.004023106
477	0.0100542	0.016053017	0.004055383
478	0.0100192	0.016015031	0.004023369
479	0.0100164	0.016004523	0.004028277
480	0.0100203	0.016006546	0.004034054
481	0.0100274	0.016015964	0.004038836
482	0.0100215	0.016006018	0.004036982
483	0.0100212	0.016003348	0.004039052
484	0.0100275	0.016007643	0.004047357
485	0.0100461	0.016025513	0.004066687
486	0.0100444	0.016016095	0.004072705
487	0.0100453	0.016009999	0.004080601
488	0.0100556	0.01601758	0.00409362
489	0.0099882	0.015938186	0.004038214
490	0.0099493	0.015893502	0.004005098
491	0.0099416	0.015885419	0.003997781
492	0.0099774	0.015923161	0.004031639
493	0.0100068	0.015944414	0.004069186
494	0.010029	0.015956485	0.004101515
495	0.0100389	0.015964583	0.004113217
496	0.0100018	0.015928846	0.004074754
497	0.0099708	0.015895705	0.004045895
498	0.009968	0.015883985	0.004052015
499	0.0099801	0.01589422	0.00406598
500	0.0099687	0.015880424	0.004056976
501	0.0099411	0.015849242	0.004032958
502	0.0099775	0.015875021	0.004079979
503	0.0099707	0.015860607	0.004080793
504	0.0099499	0.015834616	0.004065184
505	0.0099546	0.015838437	0.004070763
506	0.0099674	0.015846884	0.004087916
507	0.0099813	0.015857049	0.004105551
508	0.0099925	0.015866233	0.004118767
509	0.0099778	0.015849858	0.004105742
510	0.0099749	0.015848265	0.004101535
511	0.0099829	0.015859493	0.004106307
512	0.0099615	0.015827909	0.004095091
513	0.009976	0.01584069	0.00411131
514	0.0099975	0.015864194	0.004130806
515	0.0099693	0.01583288	0.00410572
516	0.0099995	0.015859204	0.004139796
517	0.0100175	0.015870652	0.004164348
518	0.0099791	0.015820381	0.004137819
519	0.009957	0.01579575	0.00411825
520	0.0099543	0.015792293	0.004116307
521	0.0099679	0.015805918	0.004129882
522	0.0099562	0.01578421	0.00412819
523	0.0099606	0.015785805	0.004135395
524	0.0099705	0.015796035	0.004144965
525	0.0099622	0.015785226	0.004139174
526	0.0099965	0.015816275	0.004176725
527	0.0100266	0.015843216	0.004209984
528	0.0100221	0.015835207	0.004208993
529	0.0099955	0.015801582	0.004189418
530	0.0099808	0.015783603	0.004177997
531	0.009983	0.015787079	0.004178921
532	0.0100019	0.015799831	0.004203969
533	0.0100082	0.015802877	0.004213523
534	0.010007	0.015800019	0.004213981
535	0.0100129	0.015801631	0.004224169
536	0.0100169	0.01580504	0.00422876
537	0.0100195	0.015806387	0.004232613
538	0.01002	0.015800667	0.004239333
539	0.0100214	0.015793915	0.004248885
540	0.0100159	0.015782588	0.004249212
541	0.0100035	0.015767058	0.004239942
542	0.0100356	0.015801098	0.004270102
543	0.0100261	0.015791538	0.004260662
544	0.0099958	0.015759154	0.004232446
545	0.0100139	0.015769387	0.004258413
546	0.0100262	0.015778909	0.004273491
