Wavelength	Mean	Std+	Std-
350	0.0235609	0.034127725	0.012994075
351	0.02369155	0.034303682	0.013079418
352	0.0236483	0.034282132	0.013014468
353	0.02411055	0.034760457	0.013460643
354	0.0241469	0.034813171	0.013480629
355	0.02374805	0.034433468	0.013062632
356	0.0237765	0.034512635	0.013040365
357	0.02398605	0.034765751	0.013206349
358	0.02419975	0.035021775	0.013377725
359	0.02402935	0.034904592	0.013154108
360	0.0241675	0.035092246	0.013242754
361	0.02430565	0.035277935	0.013333365
362	0.0242681	0.03528701	0.01324919
363	0.02447665	0.035553065	0.013400235
364	0.02471415	0.03585653	0.01357177
365	0.02494245	0.03615605	0.01372885
366	0.0249469	0.036199799	0.013694001
367	0.02509795	0.036378479	0.013817421
368	0.02530235	0.036619228	0.013985472
369	0.02533205	0.036754129	0.013909971
370	0.02533615	0.036845331	0.013826969
371	0.0254587	0.037046852	0.013870548
372	0.02585405	0.037515818	0.014192282
373	0.0260774	0.037834789	0.014320011
374	0.02620565	0.038051405	0.014359895
375	0.02624775	0.038170927	0.014324573
376	0.02644925	0.038490313	0.014408187
377	0.0268344	0.038985346	0.014683454
378	0.02729945	0.039562911	0.015035989
379	0.0274748	0.039883013	0.015066587
380	0.02765275	0.04019156	0.01511394
381	0.0278779	0.040549871	0.015205929
382	0.02820835	0.041030939	0.015385761
383	0.02831665	0.041287652	0.015345648
384	0.0286275	0.04175361	0.01550139
385	0.02923305	0.042524119	0.015941981
386	0.02987365	0.043383139	0.016364161
387	0.0302344	0.043953828	0.016514972
388	0.03044175	0.044363019	0.016520481
389	0.0309425	0.045059379	0.016825621
390	0.03124285	0.045553353	0.016932347
391	0.03154985	0.046056285	0.017043415
392	0.0320749	0.046791706	0.017358094
393	0.0327659	0.047730631	0.017801169
394	0.0333531	0.04859665	0.01810955
395	0.03376445	0.049310278	0.018218622
396	0.0346556	0.050507436	0.018803764
397	0.03535775	0.051529176	0.019186324
398	0.0359221	0.052417318	0.019426882
399	0.0364758	0.053289523	0.019662077
400	0.03720745	0.054316516	0.020098384
401	0.03793345	0.055319787	0.020547113
402	0.0385375	0.05620331	0.02087169
403	0.03930275	0.057266563	0.021338937
404	0.0400724	0.058337651	0.021807149
405	0.04082775	0.059402249	0.022253251
406	0.04183525	0.060788475	0.022882025
407	0.0427978	0.062148697	0.023446903
408	0.0437366	0.06350237	0.02397083
409	0.04482595	0.065034212	0.024617688
410	0.04589595	0.066543716	0.025248184
411	0.04694195	0.068023096	0.025860804
412	0.0479812	0.0694958	0.0264666
413	0.04913985	0.07107964	0.02720006
414	0.0503038	0.072660493	0.027947107
415	0.0514603	0.074232129	0.028688471
416	0.05267895	0.075884187	0.029473713
417	0.05389725	0.077530011	0.030264489
418	0.05511045	0.079167402	0.031053498
419	0.0563018	0.080804975	0.031798625
420	0.05754565	0.082474125	0.032617175
421	0.0588016	0.084144055	0.033459145
422	0.0600267	0.085781214	0.034272186
423	0.06120775	0.087373366	0.035042134
424	0.0623958	0.088955316	0.035836284
425	0.06362775	0.090556856	0.036698644
426	0.06472645	0.092004292	0.037448608
427	0.0658762	0.09351444	0.03823796
428	0.06709035	0.095101993	0.039078707
429	0.06834445	0.096725604	0.039963296
430	0.0694769	0.098245141	0.040708659
431	0.07055805	0.099720193	0.041395907
432	0.07172355	0.101277439	0.042169661
433	0.0728746	0.102781696	0.042967504
434	0.0739436	0.104179696	0.043707504
435	0.0748902	0.105434661	0.044345739
436	0.0758349	0.106619497	0.045050303
437	0.07669955	0.10772554	0.04567356
438	0.07749495	0.108771932	0.046217968
439	0.0783436	0.109880312	0.046806888
440	0.0792119	0.111000966	0.047422834
441	0.0800694	0.112104183	0.048034617
442	0.0808501	0.113127484	0.048572716
443	0.08163285	0.114137593	0.049128107
444	0.0823811	0.115103377	0.049658823
445	0.0830636	0.115994412	0.050132788
446	0.0837437	0.11687368	0.05061372
447	0.08440385	0.117739936	0.051067764
448	0.08504605	0.118597077	0.051495023
449	0.08568755	0.11942893	0.05194617
450	0.0862878	0.120201951	0.052373649
451	0.0868613	0.12093723	0.05278537
452	0.08742825	0.121666932	0.053189568
453	0.08799235	0.122395432	0.053589268
454	0.0885369	0.123108074	0.053965726
455	0.08904065	0.123786447	0.054294853
456	0.0895996	0.124526978	0.054672222
457	0.09015095	0.125255125	0.055046775
458	0.0906767	0.125948874	0.055404526
459	0.0910974	0.126526396	0.055668404
460	0.0915761	0.127157254	0.055994946
461	0.0920895	0.127821196	0.056357804
462	0.0925665	0.128452166	0.056680834
463	0.0930483	0.129079933	0.057016667
464	0.09351705	0.129688018	0.057346082
465	0.0939472	0.130247305	0.057647095
466	0.09437155	0.130811845	0.057931255
467	0.09481535	0.131407067	0.058223633
468	0.09528535	0.132039942	0.058530758
469	0.0957395	0.132658224	0.058820776
470	0.0961754	0.133255477	0.059095323
471	0.0965955	0.133833033	0.059357967
472	0.09701555	0.134401709	0.059629391
473	0.0974656	0.1349942	0.059937
474	0.097918	0.135587718	0.060248282
475	0.09834655	0.136161447	0.060531653
476	0.09875105	0.136699143	0.060802957
477	0.09917225	0.137259073	0.061085427
478	0.0996239	0.137860228	0.061387572
