Wavelength	Mean	Std+	Std-
350	0.0151807	0.019107605	0.011253795
351	0.015323333	0.019273762	0.011372905
352	0.015248	0.019233041	0.011262959
353	0.0150817	0.0190341	0.0111293
354	0.0151577	0.019099996	0.011215404
355	0.015457733	0.019413308	0.011502159
356	0.015392333	0.019330107	0.01145456
357	0.0153986	0.01933605	0.01146115
358	0.0154233	0.019361145	0.011485455
359	0.0153589	0.019259735	0.011458065
360	0.015476467	0.019411238	0.011541695
361	0.0155185	0.019491439	0.011545561
362	0.015306967	0.019286095	0.011327838
363	0.015255533	0.01926234	0.011248727
364	0.015313133	0.019330565	0.011295702
365	0.015466333	0.01947496	0.011457707
366	0.015542733	0.019563997	0.01152147
367	0.015442967	0.019476349	0.011409584
368	0.015311767	0.01935162	0.011271913
369	0.015538967	0.019550333	0.0115276
370	0.015601633	0.019629699	0.011573568
371	0.015576067	0.019611981	0.011540152
372	0.015478867	0.019471253	0.01148648
373	0.015582233	0.019561277	0.01160319
374	0.015588467	0.019598165	0.011578768
375	0.015450267	0.019547636	0.011352897
376	0.015554833	0.019614436	0.011495231
377	0.015615467	0.019681635	0.011549298
378	0.0156472	0.019745172	0.011549228
379	0.015687533	0.019798846	0.01157622
380	0.0157402	0.019844608	0.011635792
381	0.015759333	0.019858057	0.011660609
382	0.0156905	0.01979398	0.01158702
383	0.015606233	0.019705	0.011507466
384	0.015575933	0.019682372	0.011469494
385	0.0156159	0.019750339	0.011481461
386	0.015679133	0.019841265	0.011517002
387	0.015821367	0.020011681	0.011631052
388	0.015950867	0.020171667	0.011730066
389	0.015668167	0.019915218	0.011421115
390	0.0157665	0.020025354	0.011507646
391	0.0159919	0.020244297	0.011739503
392	0.016167967	0.020401118	0.011934815
393	0.015895133	0.020156097	0.01163417
394	0.0158354	0.020126385	0.011544415
395	0.016131967	0.020438209	0.011825724
396	0.016283433	0.020631159	0.011935708
397	0.0162897	0.020669053	0.011910347
398	0.0162253	0.020630414	0.011820186
399	0.016304567	0.020736459	0.011872675
400	0.016341167	0.020797777	0.011884556
401	0.0163984	0.02087481	0.01192199
402	0.016554967	0.021042992	0.012066941
403	0.0166634	0.021160837	0.012165963
404	0.016752633	0.021256965	0.012248302
405	0.016831367	0.021341089	0.012321644
406	0.016977133	0.021500613	0.012453654
407	0.017104533	0.021659115	0.012549952
408	0.0172311	0.021830116	0.012632084
409	0.0174779	0.022122565	0.012833235
410	0.017704067	0.022398627	0.013009506
411	0.017904467	0.022652868	0.013156066
412	0.018064967	0.022874266	0.013255667
413	0.018318933	0.023178514	0.013459353
414	0.0185779	0.023489455	0.013666345
415	0.0188191	0.023788774	0.013849426
416	0.019141	0.024177474	0.014104526
417	0.019440667	0.024544374	0.01433696
418	0.019721533	0.024893582	0.014549485
419	0.0200464	0.025302431	0.014790369
420	0.020406933	0.025744856	0.015069011
