Wavelength	Mean	Std+	Std-
350	0.011409333	0.013643018	0.009175648
351	0.011601667	0.013798618	0.009404716
352	0.011276833	0.013392714	0.009160953
353	0.011464833	0.013554404	0.009375263
354	0.011534833	0.013648305	0.009421362
355	0.011438167	0.013626033	0.0092503
356	0.0112105	0.013482674	0.008938326
357	0.011623833	0.013909549	0.009338117
358	0.012137167	0.014409794	0.00986454
359	0.011621167	0.013923886	0.009318447
360	0.011833667	0.01412191	0.009545424
361	0.0120285	0.014308099	0.009748901
362	0.011774	0.014066376	0.009481624
363	0.011627167	0.013945863	0.009308471
364	0.011750833	0.014040501	0.009461166
365	0.012127667	0.014337242	0.009918092
366	0.0119505	0.014276554	0.009624446
367	0.011644167	0.01399086	0.009297474
368	0.0114215	0.013734807	0.009108193
369	0.011951167	0.014263165	0.009639169
370	0.011927833	0.014218646	0.00963702
371	0.011801333	0.014115143	0.009487524
372	0.0118505	0.014271757	0.009429243
373	0.012016333	0.014494497	0.00953817
374	0.012191333	0.014661044	0.009721622
375	0.012349667	0.014742778	0.009956555
376	0.012004	0.014357305	0.009650695
377	0.012063	0.014429339	0.009696661
378	0.012304	0.014709255	0.009898745
379	0.011998	0.014384034	0.009611966
380	0.0121675	0.014574382	0.009760618
381	0.0122745	0.014720439	0.009828561
382	0.011826833	0.014312038	0.009341628
383	0.0120325	0.014478759	0.009586241
384	0.012166667	0.014559645	0.009773689
385	0.012092	0.014426307	0.009757693
386	0.012081833	0.014443291	0.009720376
387	0.0123255	0.0147299	0.0099211
388	0.012640333	0.015083457	0.01019721
389	0.012318	0.01470696	0.00992904
390	0.012570333	0.014987076	0.010153591
391	0.012849667	0.015296504	0.010402829
392	0.012652833	0.01506101	0.010244657
393	0.012620167	0.014999579	0.010240755
394	0.012654833	0.015029487	0.010280179
395	0.012737167	0.015134037	0.010340296
396	0.012468333	0.01482418	0.010112486
397	0.012541833	0.014873921	0.010209746
398	0.012777667	0.015103504	0.010451829
399	0.012641833	0.014981549	0.010302117
400	0.012712167	0.015051545	0.010372789
401	0.012895667	0.015230108	0.010561225
402	0.013176	0.015507101	0.010844899
403	0.01331	0.015642385	0.010977615
404	0.013444167	0.015773051	0.011115282
405	0.0136195	0.015937884	0.011301116
406	0.013783833	0.016158842	0.011408824
407	0.014060833	0.016467486	0.011654181
408	0.014421833	0.016838139	0.012005527
409	0.014747167	0.017144876	0.012349457
410	0.015047	0.017444182	0.012649818
411	0.0153805	0.017793971	0.012967029
412	0.015853333	0.018305077	0.01340159
413	0.016323667	0.018833104	0.01381423
414	0.016823	0.01938781	0.01425819
415	0.017377333	0.019984304	0.014770363
416	0.018047833	0.020720146	0.015375521
417	0.018689667	0.021430945	0.015948389
418	0.019317833	0.022132298	0.016503368
419	0.02012	0.023033978	0.017206022
420	0.0208865	0.02391025	0.01786275
421	0.021653833	0.024784035	0.018523631
422	0.022489667	0.025704287	0.019275047
423	0.023461167	0.026773968	0.020148365
424	0.0243575	0.027774866	0.020940134
425	0.0250835	0.02860851	0.02155849
426	0.025934333	0.029594268	0.022274399
427	0.02682	0.030605872	0.023034128
428	0.027733167	0.031633321	0.023833012
429	0.028645833	0.032656029	0.024635637
430	0.029600333	0.033730113	0.025470554
431	0.030551167	0.034811532	0.026290801
432	0.031431333	0.035847058	0.027015608
433	0.032286667	0.036821429	0.027751904
434	0.033086333	0.037721683	0.028450984
435	0.0338115	0.038531222	0.029091778
436	0.034534333	0.039341527	0.02972714
437	0.0352595	0.040141143	0.030377857
438	0.03599	0.040933855	0.031046145
439	0.036683167	0.041702283	0.03166405
440	0.037351167	0.042453485	0.032248849
441	0.0379885	0.043178634	0.032798366
442	0.038578333	0.043854285	0.033302381
443	0.039187167	0.044532608	0.033841725
444	0.039758833	0.045164867	0.0343528
445	0.0402485	0.045707675	0.034789325
446	0.0407785	0.046296563	0.035260437
447	0.041315833	0.046892133	0.035739534
448	0.041857833	0.047492288	0.036223379
449	0.042363667	0.048061085	0.036666248
450	0.042776167	0.048520269	0.037032064
451	0.0431415	0.048924043	0.037358957
452	0.043560833	0.049392456	0.037729211
453	0.043978333	0.049847664	0.038109003
454	0.044370667	0.05027645	0.038464884
455	0.0447095	0.050659482	0.038759518
456	0.045170333	0.051170112	0.039170555
457	0.0455745	0.051632974	0.039516026
458	0.045886167	0.052012229	0.039760104
459	0.046239167	0.052382393	0.04009594
460	0.046596333	0.052772163	0.040420503
461	0.046949	0.053165553	0.040732447
462	0.047257833	0.053501663	0.041014003
463	0.047571667	0.053838053	0.041305281
464	0.047889	0.054183216	0.041594784
465	0.048209167	0.054547905	0.041870429
466	0.048527667	0.054903928	0.042151406
467	0.048855333	0.055267207	0.04244346
468	0.049194833	0.0556415	0.042748166
469	0.0494165	0.055891665	0.042941335
470	0.049725833	0.056228303	0.043223364
471	0.050082667	0.056614314	0.043551019
472	0.050339167	0.056920704	0.04375763
473	0.050624167	0.057239182	0.044009152
474	0.05092	0.057562414	0.044277586
475	0.051213333	0.057884335	0.044542331
476	0.0514515	0.058147616	0.044755384
477	0.051729667	0.058455521	0.045003812
478	0.052075667	0.058838882	0.045312451
479	0.052349833	0.059142045	0.045557622
480	0.052609167	0.059416827	0.045801507
481	0.052860333	0.05967294	0.046047727
482	0.053131667	0.059951396	0.046311937
483	0.053465667	0.060292729	0.046638604
484	0.053809167	0.060646208	0.046972126
485	0.054089833	0.060943242	0.047236425
486	0.054349	0.061240792	0.047457208
487	0.054642833	0.061588897	0.047696769
488	0.054994833	0.06201181	0.047977856
489	0.055264167	0.062338796	0.048189537
490	0.055537167	0.062647117	0.048427217
491	0.055814833	0.062939811	0.048689856
492	0.056117333	0.063247266	0.0489874
493	0.056436667	0.063583378	0.049289955
494	0.056754667	0.063923642	0.049585691
495	0.057044167	0.064233614	0.04985472
496	0.0573865	0.064584935	0.050188065
497	0.057720667	0.064928131	0.050513202
498	0.058025	0.065246017	0.050803983
499	0.0583625	0.065592126	0.051132874
500	0.058710167	0.065960337	0.051459996
501	0.059060667	0.066344607	0.051776726
502	0.059367333	0.066697953	0.052036714
503	0.059741667	0.067106258	0.052377075
504	0.0601505	0.067540759	0.052760241
505	0.0605705	0.067982613	0.053158387
506	0.060894833	0.068319471	0.053470196
507	0.061228333	0.068668589	0.053788078
508	0.061623667	0.069089172	0.054158161
509	0.062026667	0.069514784	0.054538549
510	0.062409167	0.069921421	0.054896912
511	0.062778	0.070312858	0.055243142
512	0.063218	0.07073801	0.05569799
513	0.063653333	0.071180295	0.056126372
514	0.064098833	0.071638541	0.056559126
515	0.064582667	0.072110037	0.057055296
516	0.065051667	0.072621222	0.057482111
517	0.065518167	0.073146161	0.057890172
518	0.065981333	0.073668699	0.058293967
519	0.066498167	0.07425157	0.058744764
520	0.067016	0.074816101	0.059215899
521	0.067525667	0.075349292	0.059702041
522	0.068057167	0.075882164	0.060232169
523	0.068565167	0.076391038	0.060739295
524	0.069078167	0.076905518	0.061250816
525	0.069657833	0.077491508	0.061824159
526	0.0701965	0.078040663	0.062352337
527	0.070728	0.078597202	0.062858798
528	0.0712795	0.079201052	0.063357948
529	0.071875167	0.079804876	0.063945457
530	0.072440167	0.080359102	0.064521231
531	0.0729665	0.08085897	0.06507403
532	0.073582167	0.081462051	0.065702282
533	0.074179167	0.082048999	0.066309334
534	0.074762667	0.082628164	0.06689717
535	0.075330667	0.083209462	0.067451871
536	0.075910333	0.083776187	0.06804448
537	0.0764935	0.084333202	0.068653798
538	0.077077833	0.084882627	0.06927304
539	0.077674333	0.085478751	0.069869915
540	0.078310667	0.086119132	0.070502201
541	0.078987833	0.086800808	0.071174859
542	0.079549833	0.087374036	0.071725631
543	0.080160833	0.087990723	0.072330944
544	0.080802	0.088629921	0.072974079
545	0.081434167	0.089244276	0.073624057
546	0.082098667	0.089891888	0.074305445
547	0.082758	0.090545302	0.074970698
548	0.0833775	0.091185498	0.075569502
549	0.0840465	0.09184263	0.07625037
550	0.084705	0.092491424	0.076918576
551	0.085339167	0.093124276	0.077554058
552	0.085978833	0.093751348	0.078206319
553	0.086632333	0.094386393	0.078878273
554	0.087300833	0.095033068	0.079568599
555	0.087993	0.095710621	0.080275379
556	0.088647833	0.096344144	0.080951523
557	0.0892905	0.096965916	0.081615084
558	0.089936333	0.097599309	0.082273358
559	0.090575	0.098246035	0.082903965
560	0.091214167	0.098893651	0.083534683
561	0.091853167	0.099536616	0.084169717
562	0.092530167	0.100178789	0.084881544
563	0.093160167	0.100781263	0.085539071
564	0.0937615	0.101360563	0.086162437
565	0.094420833	0.101994222	0.086847445
566	0.095054	0.102609016	0.087498984
567	0.095670833	0.103210611	0.088131055
568	0.096270333	0.103793853	0.088746814
569	0.096923167	0.104427208	0.089419125
570	0.097566333	0.105059717	0.09007295
571	0.098174167	0.105672175	0.090676159
572	0.098801833	0.106302941	0.091300726
573	0.099422333	0.106903601	0.091941066
574	0.100037	0.10748125	0.09259275
575	0.100657	0.108091963	0.093222037
576	0.101303667	0.108730171	0.093877163
577	0.1019675	0.109382326	0.094552674
578	0.1026315	0.110022226	0.095240774
579	0.1032585	0.110654391	0.095862609
580	0.103887167	0.111288028	0.096486306
581	0.104531333	0.111925425	0.097137241
582	0.105135333	0.112489763	0.097780904
583	0.105755	0.113067848	0.098442152
584	0.106393667	0.113665176	0.099122157
585	0.107010333	0.114245618	0.099775048
586	0.107601833	0.11478785	0.100415817
587	0.108198833	0.115331847	0.101065819
588	0.108845667	0.115939063	0.101752271
589	0.1094305	0.116512134	0.102348866
590	0.110024667	0.117108583	0.10294075
591	0.1106555	0.117751654	0.103559346
592	0.111283667	0.118320511	0.104246823
593	0.111885167	0.11885979	0.104910543
594	0.112466333	0.119381355	0.105551312
595	0.113061667	0.119936073	0.106187261
596	0.113655667	0.120495867	0.106815467
597	0.1142515	0.121057518	0.107445482
598	0.114855	0.121613739	0.108096261
599	0.115526833	0.122243936	0.108809731
600	0.116176833	0.122856426	0.10949724
601	0.116735833	0.123381625	0.110090041
602	0.117446333	0.124067498	0.110825169
603	0.118121833	0.124716495	0.111527172
604	0.118742	0.125307232	0.112176768
605	0.1193775	0.125904014	0.112850986
606	0.120065	0.126550296	0.113579704
607	0.120785	0.127226279	0.114343721
608	0.121477667	0.127869084	0.115086249
609	0.1221545	0.128491895	0.115817105
610	0.122854333	0.129137047	0.11657162
611	0.1236025	0.129832995	0.117372005
612	0.124344	0.130506802	0.118181198
613	0.125098833	0.131192707	0.11900496
614	0.125870667	0.131896648	0.119844686
615	0.126634167	0.132600036	0.120668297
616	0.127397667	0.133322018	0.121473315
617	0.128157833	0.134040964	0.122274703
618	0.128899	0.134678038	0.123119962
619	0.129654167	0.135355829	0.123952504
620	0.130405333	0.136036447	0.124774219
621	0.131133833	0.136689125	0.125578542
622	0.131854	0.137341215	0.126366785
623	0.132579167	0.138003286	0.127155047
624	0.133308333	0.138674559	0.127942108
625	0.134020833	0.139305566	0.128736101
626	0.134751333	0.139957785	0.129544881
627	0.135472333	0.140602804	0.130341863
628	0.136086833	0.141136782	0.131036885
629	0.136796833	0.141760458	0.131833209
630	0.137503833	0.142379485	0.132628182
631	0.138122167	0.142910831	0.133333502
632	0.138691167	0.143339817	0.134042517
633	0.1393	0.143834904	0.134765096
634	0.139971333	0.144435535	0.135507132
635	0.140573667	0.144917642	0.136229691
636	0.141161833	0.145405506	0.136918161
637	0.141736667	0.145891541	0.137581792
638	0.142291167	0.146322804	0.138259529
639	0.142814167	0.146752347	0.138875987
640	0.143315667	0.14717837	0.139452963
641	0.143796833	0.147597951	0.139995716
642	0.144277667	0.148003459	0.140551874
643	0.144722333	0.148370361	0.141074306
644	0.145121167	0.148690503	0.14155183
645	0.1455285	0.149026318	0.142030682
646	0.145923667	0.1493564	0.142490933
647	0.1463105	0.149686212	0.142934788
648	0.146701333	0.150047463	0.143355204
649	0.147121333	0.15044885	0.143793816
650	0.147548167	0.150852479	0.144243854
651	0.1479635	0.151215822	0.144711178
652	0.148359833	0.151573524	0.145146143
653	0.148731667	0.151889815	0.145573519
654	0.149077667	0.152150818	0.146004515
655	0.149471167	0.15251299	0.146429343
656	0.1499165	0.152943695	0.146889305
657	0.150384	0.153409901	0.147358099
658	0.150803167	0.153775574	0.147830759
659	0.151209	0.15411742	0.14830058
660	0.1516235	0.154471634	0.148775366
661	0.152085667	0.154891006	0.149280328
662	0.1525295	0.155282088	0.149776912
663	0.152985167	0.155696331	0.150274002
664	0.153468333	0.156158425	0.150778242
665	0.153964	0.156636571	0.151291429
666	0.154485833	0.15712592	0.151845747
667	0.155039333	0.157635172	0.152443494
668	0.155652167	0.158235931	0.153068402
669	0.1562475	0.158818049	0.153676951
670	0.156864	0.159424838	0.154303162
671	0.1575845	0.16014848	0.15502052
672	0.158334333	0.160910168	0.155758499
673	0.159077333	0.161659354	0.156495313
674	0.1597955	0.162368303	0.157222697
675	0.160591667	0.163177725	0.158005609
676	0.161423	0.164020472	0.158825528
677	0.162283667	0.164890539	0.159676794
678	0.1631415	0.16580003	0.16048297
679	0.164067	0.166763666	0.161370334
680	0.165047833	0.16777415	0.162321517
681	0.166090333	0.168842639	0.163338027
682	0.167085333	0.169893521	0.164277146
683	0.168086	0.170966785	0.165205215
684	0.169142	0.172113329	0.166170671
685	0.170107167	0.173225252	0.166989082
686	0.171212667	0.174430555	0.167994779
687	0.172474333	0.175731153	0.169217514
