Wavelength	Mean	Std+	Std-
350	0.0197266	0.025894486	0.013558714
351	0.0196206	0.02572639	0.01351481
352	0.019448	0.02553985	0.01335615
353	0.0191502	0.025234948	0.013065452
354	0.0191942	0.025293099	0.013095301
355	0.0195478	0.025676526	0.013419074
356	0.0193232	0.025420497	0.013225903
357	0.0193594	0.025410225	0.013308575
358	0.019431	0.025432955	0.013429045
359	0.0190628	0.025034609	0.013090991
360	0.0189112	0.024848613	0.012973787
361	0.0187812	0.024692341	0.012870059
362	0.0185672	0.024468499	0.012665901
363	0.0185598	0.024301404	0.012818196
364	0.0185884	0.024229166	0.012947634
365	0.0186206	0.024243734	0.012997466
366	0.0183988	0.024064503	0.012733097
367	0.0183326	0.023984776	0.012680424
368	0.018333	0.023943263	0.012722737
369	0.0181984	0.023791907	0.012604893
370	0.018083	0.023698279	0.012467721
371	0.017969	0.023581369	0.012356631
372	0.0178446	0.02337132	0.01231788
373	0.0181088	0.023602682	0.012614918
374	0.0181382	0.023596878	0.012679522
375	0.0178354	0.023246735	0.012424065
376	0.0181436	0.023490648	0.012796552
377	0.0180482	0.023353499	0.012742901
378	0.0177404	0.02302038	0.01246042
379	0.0178228	0.023079616	0.012565984
380	0.0177806	0.023024336	0.012536864
381	0.0177206	0.02295945	0.01248175
382	0.017727	0.022964942	0.012489058
383	0.0175984	0.022906317	0.012290483
384	0.01744	0.022750898	0.012129102
385	0.017273	0.022489087	0.012056913
386	0.017469	0.022524769	0.012413231
387	0.017478	0.022460374	0.012495626
388	0.017343	0.022321161	0.012364839
389	0.0171456	0.02216973	0.01212147
390	0.0171196	0.022126705	0.012112495
391	0.0171318	0.02212019	0.01214341
392	0.017074	0.022100692	0.012047308
393	0.0173332	0.022282937	0.012383463
394	0.0174666	0.022356527	0.012576673
395	0.0173762	0.02225311	0.01249929
396	0.0171488	0.021981451	0.012316149
397	0.0170192	0.021820642	0.012217758
398	0.016973	0.021751058	0.012194942
399	0.017028	0.021774702	0.012281298
400	0.0170818	0.021799782	0.012363818
401	0.017168	0.021871801	0.012464199
402	0.0173438	0.022067179	0.012620421
403	0.0173238	0.022089014	0.012558586
404	0.017331	0.02212958	0.01253242
405	0.0174246	0.022240795	0.012608405
406	0.0175316	0.022381681	0.012681519
407	0.0176388	0.022520274	0.012757326
408	0.0177496	0.022658739	0.012840461
409	0.0178908	0.022827108	0.012954492
410	0.018115	0.023078666	0.013151334
411	0.0183358	0.023344633	0.013326967
412	0.018453	0.023554919	0.013351081
413	0.018638	0.023782275	0.013493725
414	0.0188606	0.024067598	0.013653602
415	0.0191244	0.024442946	0.013805854
416	0.019423	0.024820612	0.014025388
417	0.0197002	0.025180282	0.014220118
418	0.0199564	0.025525149	0.014387651
419	0.0201954	0.0258703	0.0145205
420	0.020466	0.026245016	0.014686984
421	0.020763	0.02665005	0.01487595
422	0.0211008	0.027112231	0.015089369
423	0.0213752	0.027487974	0.015262426
424	0.0216604	0.027879315	0.015441485
425	0.0219922	0.028335827	0.015648573
426	0.022217	0.028681037	0.015752963
427	0.022448	0.029033102	0.015862898
428	0.0226982	0.029404389	0.015992011
429	0.0230212	0.029843672	0.016198728
430	0.0233398	0.030287907	0.016391693
431	0.0236336	0.03070955	0.01655765
432	0.0238534	0.031047188	0.016659612
433	0.0241866	0.031492021	0.016881179
434	0.0244648	0.031881181	0.017048419
435	0.0245958	0.03212636	0.01706524
436	0.0248568	0.032468974	0.017244626
437	0.0250844	0.032794084	0.017374716
