Wavelength	Mean	Std+	Std-
350	0.0369729	0.048263485	0.025682315
351	0.03714815	0.048501614	0.025794686
352	0.0373776	0.048738861	0.026016339
353	0.03748475	0.048846162	0.026123338
354	0.03759125	0.048946395	0.026236105
355	0.0377085	0.04905547	0.02636153
356	0.037838	0.049233654	0.026442346
357	0.03790925	0.049310139	0.026508361
358	0.03802635	0.049439014	0.026613686
359	0.0384543	0.050002977	0.026905623
360	0.03870125	0.050308354	0.027094146
361	0.03890795	0.050597214	0.027218686
362	0.03914365	0.051007601	0.027279699
363	0.03934665	0.051328464	0.027364836
364	0.039521	0.051600797	0.027441203
365	0.0396605	0.051821261	0.027499739
366	0.03966375	0.051864263	0.027463237
367	0.03992755	0.05215267	0.02770243
368	0.0403137	0.052552109	0.028075291
369	0.04051675	0.052758541	0.028274959
370	0.04071375	0.052957559	0.028469941
371	0.0409395	0.053194883	0.028684117
372	0.0412282	0.05351516	0.02894124
373	0.04132225	0.053727412	0.028917088
374	0.0415264	0.054074429	0.028978371
375	0.0418894	0.054595469	0.029183331
376	0.0420184	0.054827322	0.029209478
377	0.0423494	0.05526116	0.02943764
378	0.0428154	0.05582163	0.02980917
379	0.04322225	0.056270364	0.030174136
380	0.04347765	0.056568854	0.030386446
381	0.0436787	0.056810881	0.030546519
382	0.0438863	0.057052694	0.030719906
383	0.04418115	0.057431628	0.030930672
384	0.04464535	0.05803701	0.03125369
385	0.04530135	0.058897392	0.031705308
386	0.04557465	0.059408214	0.031741086
387	0.04593385	0.059958992	0.031908708
388	0.04635235	0.060520212	0.032184488
389	0.04677165	0.060996666	0.032546634
390	0.04704165	0.061292284	0.032791016
391	0.047339	0.061601122	0.033076878
392	0.0478568	0.062126292	0.033587308
393	0.0482067	0.062559817	0.033853583
394	0.04861565	0.063090413	0.034140887
395	0.04912075	0.063745145	0.034496355
396	0.04933045	0.064191634	0.034469266
397	0.04964175	0.064730271	0.034553229
398	0.05002535	0.065318691	0.034732009
399	0.0504656	0.065886708	0.035044492
