Wavelength	Mean	Std+	Std-
350	0.04460015	0.069810642	0.019389658
351	0.04468305	0.070063306	0.019302794
352	0.0451182	0.070649757	0.019586643
353	0.0453767	0.071048231	0.019705169
354	0.0455825	0.071414115	0.019750885
355	0.0457521	0.071763489	0.019740711
356	0.04592185	0.07208142	0.01976228
357	0.04621145	0.072524689	0.019898211
358	0.04653225	0.073016278	0.020048222
359	0.0467103	0.073421928	0.019998672
360	0.04692455	0.07387199	0.01997711
361	0.0472035	0.074390699	0.020016301
362	0.04759215	0.075025063	0.020159237
363	0.04787535	0.075588852	0.020161848
364	0.04813875	0.076105896	0.020171604
365	0.0484023	0.076585066	0.020219534
366	0.04894395	0.077291084	0.020596816
367	0.0492266	0.07774999	0.02070321
368	0.0493329	0.078043435	0.020622365
369	0.0493552	0.078262132	0.020448268
370	0.0496309	0.07872927	0.02053253
371	0.05003215	0.079325116	0.020739184
372	0.0505154	0.080010238	0.021020562
373	0.05067175	0.080428403	0.020915097
374	0.0509006	0.080939315	0.020861885
375	0.0512687	0.081604941	0.020932459
376	0.0516991	0.082352521	0.021045679
377	0.052045	0.082971757	0.021118243
378	0.0523696	0.083547621	0.021191579
379	0.0528771	0.084334668	0.021419532
380	0.05325445	0.084947752	0.021561148
381	0.05352525	0.085442301	0.021608199
382	0.05366315	0.085813392	0.021512908
383	0.05421235	0.086579943	0.021844757
384	0.05468045	0.087327767	0.022033133
385	0.05497235	0.087981986	0.021962714
386	0.055312	0.088751697	0.021872303
387	0.05584945	0.089673455	0.022025445
388	0.0564735	0.090636066	0.022310934
389	0.0567943	0.09123789	0.02235071
390	0.05706285	0.091715231	0.022410469
391	0.05732955	0.092175961	0.022483139
392	0.05765175	0.092732896	0.022570604
393	0.0581574	0.093517977	0.022796823
394	0.05863755	0.094318349	0.022956751
395	0.0590356	0.095069146	0.023002054
396	0.05940115	0.095827245	0.022975055
397	0.0598781	0.096713553	0.023042647
398	0.06040675	0.097645376	0.023168124
399	0.06085095	0.098428202	0.023273698
400	0.06116185	0.098972119	0.023351581
401	0.06142325	0.099418093	0.023428407
402	0.0617164	0.099894491	0.023538309
403	0.0620451	0.100363413	0.023726787
404	0.06237295	0.100838776	0.023907124
405	0.06269985	0.101337845	0.024061855
406	0.0631154	0.101987839	0.024242961
407	0.06352385	0.102663765	0.024383935
408	0.06391435	0.103350187	0.024478513
409	0.06423425	0.103998082	0.024470418
410	0.06472245	0.104787295	0.024657605
411	0.0652362	0.105584462	0.024887938
412	0.06563005	0.106256232	0.025003868
413	0.06597145	0.106854055	0.025088845
414	0.0663458	0.107475941	0.025215659
415	0.06679555	0.108170987	0.025420113
416	0.06714705	0.108787074	0.025507026
417	0.06755375	0.109452418	0.025655082
418	0.0680094	0.110162728	0.025856072
419	0.06843435	0.110864546	0.026004154
420	0.0688634	0.111579285	0.026147515
421	0.06930745	0.112309365	0.026305535
422	0.0698007	0.113079024	0.026522376
423	0.0702411	0.113791881	0.026690319
424	0.0706408	0.114452239	0.026829361
425	0.07099975	0.115056886	0.026942614
426	0.07144535	0.115724989	0.027165711
427	0.0718884	0.11642188	0.02735492
428	0.07232895	0.117151663	0.027506237
429	0.0728292	0.117960021	0.027698379
430	0.0733138	0.118775709	0.027851891
431	0.07379725	0.119611583	0.027982917
432	0.0743214	0.120529275	0.028113525
433	0.07481385	0.121399946	0.028227754
434	0.07529875	0.122235303	0.028362197
435	0.0757931	0.123043235	0.028542965
436	0.0761595	0.123610181	0.028708819
437	0.07657085	0.12423058	0.02891112
438	0.07703965	0.124931022	0.029148278
439	0.07750435	0.125680538	0.029328162
440	0.07800735	0.1264736	0.0295411
441	0.0785179	0.127281709	0.029754091
442	0.07897575	0.128062376	0.029889124
443	0.07944215	0.12883569	0.03004861
