Wavelength	Mean	Std+	Std-
350	0.025185429	0.032621278	0.017749579
351	0.024924429	0.032313867	0.017534991
352	0.025003857	0.032361515	0.0176462
353	0.025199	0.032585822	0.017812178
354	0.025271857	0.032630208	0.017913507
355	0.025210571	0.032479769	0.017941374
356	0.025068286	0.032285061	0.01785151
357	0.024944143	0.032165544	0.017722742
358	0.024862	0.032117593	0.017606407
359	0.024903143	0.032175748	0.017630538
360	0.024865857	0.032141805	0.017589909
361	0.024844143	0.032110491	0.017577795
362	0.024898143	0.03213641	0.017659876
363	0.025134714	0.032335691	0.017933737
364	0.025235571	0.032440149	0.018030994
365	0.025162714	0.032414142	0.017911287
366	0.024962286	0.032274742	0.017649829
367	0.024867571	0.032161339	0.017573804
368	0.024847143	0.032079298	0.017614988
369	0.024873571	0.032063601	0.017683542
370	0.025008	0.032162343	0.017853657
371	0.025114143	0.03226382	0.017964466
372	0.025082571	0.032292207	0.017872936
373	0.025013	0.032142733	0.017883267
374	0.025014714	0.032138162	0.017891267
375	0.025107286	0.032331306	0.017883266
376	0.025128429	0.032344906	0.017911951
377	0.025230571	0.032466181	0.017994962
378	0.025351	0.032612314	0.018089686
379	0.025259571	0.032475644	0.018043499
380	0.025167429	0.032407057	0.0179278
381	0.025145143	0.032409456	0.01788083
382	0.025286	0.032518962	0.018053038
383	0.025309	0.032544879	0.018073121
384	0.025391429	0.032628179	0.018154679
385	0.025568429	0.032797082	0.018339775
386	0.025536	0.032798688	0.018273312
387	0.025365714	0.032681413	0.018050015
388	0.02516	0.03252691	0.01779309
389	0.025316143	0.032650889	0.017981396
390	0.025398714	0.032730599	0.01806683
391	0.025479286	0.032829085	0.018129487
392	0.025626857	0.033017876	0.018235838
393	0.025776143	0.033171954	0.018380332
394	0.025752857	0.033175178	0.018330536
395	0.025518429	0.033001352	0.018035505
396	0.025604714	0.033097537	0.018111891
397	0.025642429	0.033164316	0.018120541
398	0.025656857	0.033222184	0.01809153
399	0.025738857	0.033354629	0.018123085
400	0.026017429	0.033646856	0.018388001
401	0.026264714	0.033905392	0.018624036
402	0.026264857	0.033945881	0.018583833
403	0.026429	0.034143014	0.018714986
404	0.026631571	0.034375956	0.018887187
405	0.026848857	0.034623254	0.01907446
406	0.027173143	0.035010321	0.019335965
407	0.027561429	0.035482357	0.0196405
408	0.028005143	0.03602762	0.019982666
409	0.028520286	0.036664237	0.020376334
410	0.029005714	0.037288926	0.020722503
411	0.029502857	0.037930977	0.021074738
412	0.030086571	0.038662198	0.021510945
413	0.030828857	0.039584306	0.022073408
414	0.031603	0.040541343	0.022664657
415	0.032390714	0.041508401	0.023273027
416	0.033370571	0.042695014	0.024046129
417	0.034348143	0.043905392	0.024790894
418	0.035324429	0.045139833	0.025509025
419	0.036392	0.046507872	0.026276128
420	0.037469571	0.047880497	0.027058646
421	0.038582714	0.049298544	0.027866884
422	0.039807857	0.050868958	0.028746756
423	0.041082857	0.05249159	0.029674124
424	0.042321	0.054079831	0.030562169
425	0.043491286	0.055603447	0.031379124
426	0.044664286	0.057083371	0.032245201
427	0.045940571	0.058704891	0.033176252
428	0.047319	0.060473504	0.034164496
429	0.048620429	0.062207276	0.035033581
430	0.049962143	0.06396914	0.035955146
431	0.051304429	0.06573382	0.036875037
432	0.052607143	0.067505966	0.03770832
433	0.053812571	0.069148775	0.038476368
434	0.054984	0.070711507	0.039256493
435	0.056160571	0.072218483	0.04010266
436	0.057208571	0.073519596	0.040897547
437	0.058189143	0.074757737	0.041620549
438	0.059122571	0.075960658	0.042284485
439	0.060085857	0.077191906	0.042979808
440	0.061041429	0.078419449	0.043663408
441	0.061970714	0.079624258	0.044317171
442	0.062829143	0.0807646	0.044893686
443	0.063697857	0.081891959	0.045503756
444	0.064524714	0.082950389	0.046099039
445	0.065267143	0.083885234	0.046649052
446	0.065995857	0.084797591	0.047194123
447	0.066685286	0.085690554	0.047680017
448	0.067338143	0.086569016	0.04810727
449	0.068028571	0.087437391	0.048619752
450	0.068659286	0.088227251	0.04909132
451	0.069256571	0.08897088	0.049542263
452	0.069866714	0.089720918	0.05001251
453	0.070440286	0.090432858	0.050447714
454	0.071004429	0.091140172	0.050868685
455	0.071577143	0.091868428	0.051285857
456	0.072135429	0.092613538	0.051657319
457	0.072681143	0.09334175	0.052020536
458	0.073207857	0.094038466	0.052377248
459	0.073721571	0.094669626	0.052773517
460	0.074197571	0.095269758	0.053125385
461	0.074659714	0.095858955	0.053460474
462	0.075175571	0.09648838	0.053862763
463	0.075627	0.097051763	0.054202237
464	0.076074	0.09761344	0.05453456
465	0.076565429	0.098227152	0.054903705
466	0.077023143	0.098791608	0.055254678
467	0.077457857	0.099343354	0.05557236
468	0.077867714	0.099886711	0.055848717
469	0.078349429	0.100518249	0.056180608
470	0.078807571	0.101113024	0.056502118
471	0.079247	0.10168007	0.05681393
472	0.079689143	0.102258332	0.057119953
473	0.080129571	0.102825508	0.057433635
474	0.080569429	0.103381856	0.057757001
475	0.081011714	0.103925008	0.058098421
476	0.081396286	0.104412416	0.058380156
477	0.081794857	0.104913048	0.058676666
478	0.082226714	0.105445628	0.059007801
479	0.082641	0.105961745	0.059320255
480	0.083070286	0.106478746	0.059661826
481	0.083507	0.106987023	0.060026977
482	0.083909714	0.107420343	0.060399086
483	0.084293	0.107820208	0.060765792
484	0.084682	0.108235296	0.061128704
485	0.085104429	0.108729002	0.061479855
486	0.085533	0.109298909	0.061767091
487	0.085973429	0.109916674	0.062030184
488	0.086427857	0.110579843	0.062275872
489	0.086908286	0.111247853	0.062568718
490	0.087338143	0.111795909	0.062880377
491	0.087727286	0.11224483	0.063209742
492	0.088172714	0.112744227	0.063601202
493	0.088607143	0.113258947	0.063955338
494	0.089040286	0.113787206	0.064293365
495	0.089488714	0.11433928	0.064638149
496	0.089969429	0.114891294	0.065047563
497	0.090422714	0.115403162	0.065442267
498	0.090824714	0.115855798	0.065793631
499	0.091269857	0.116374638	0.066165076
500	0.091735143	0.116939446	0.06653084
501	0.092217429	0.117546585	0.066888272
502	0.092715286	0.118193957	0.067236614
503	0.093217	0.118841825	0.067592175
504	0.093715286	0.119474783	0.067955789
505	0.094207857	0.120072328	0.068343387
506	0.094726429	0.120675613	0.068777244
507	0.095248143	0.121274439	0.069221847
508	0.095767429	0.121868065	0.069666792
509	0.096315143	0.122512369	0.070117917
510	0.096857857	0.123166395	0.070549319
511	0.097399571	0.123829529	0.070969614
512	0.098005857	0.124516381	0.071495334
513	0.098555857	0.125135016	0.071976699
514	0.099102286	0.125749671	0.072454901
515	0.099740571	0.126481723	0.072999419
516	0.100407	0.127300356	0.073513644
517	0.101101429	0.128191279	0.074011578
518	0.101825429	0.129163214	0.074487643
519	0.102540857	0.13013557	0.074946144
520	0.103254857	0.131067036	0.075442679
521	0.103960143	0.131942565	0.07597772
522	0.104641429	0.132716771	0.076566086
523	0.105340857	0.133510892	0.077170822
524	0.10606	0.134327536	0.077792464
525	0.106806	0.135177774	0.078434226
526	0.107574714	0.136109239	0.079040189
527	0.108348286	0.137079202	0.07961737
528	0.109127	0.138086238	0.080167762
529	0.109922429	0.139091638	0.080753219
530	0.110701429	0.140017426	0.081385431
531	0.111457	0.140851529	0.082062471
532	0.112185429	0.141711889	0.082658968
533	0.112947286	0.142644469	0.083250103
534	0.113739	0.143633912	0.083844088
535	0.114557286	0.144653248	0.084461323
536	0.115352571	0.14560357	0.085101572
537	0.116137	0.146523971	0.085750029
538	0.116921857	0.147438018	0.086405696
539	0.117753857	0.148447733	0.087059981
540	0.118609714	0.149515683	0.087703746
541	0.119481143	0.150631759	0.088330527
542	0.120364143	0.151754919	0.088973366
543	0.121235714	0.152842888	0.089628541
544	0.122101143	0.153904103	0.090298183
545	0.122998714	0.154974502	0.091022927
546	0.123923857	0.156079654	0.09176806
547	0.124851286	0.157196173	0.092506398
548	0.125760143	0.158308357	0.093211929
549	0.126679714	0.159444975	0.093914453
550	0.127604571	0.160576967	0.094632176
551	0.128533714	0.161698643	0.095368785
552	0.129462286	0.162845826	0.096078746
553	0.130384429	0.163973158	0.096795699
554	0.131305857	0.165085294	0.09752642
555	0.132241429	0.166184678	0.098298179
556	0.133142286	0.167251564	0.099033008
557	0.134046429	0.1683367	0.099756157
558	0.134990714	0.169496403	0.100485026
559	0.135955429	0.17072852	0.101182337
560	0.136920857	0.171953046	0.101888669
561	0.137877	0.173140833	0.102613167
562	0.138776286	0.174215965	0.103336606
563	0.139687	0.175300996	0.104073004
564	0.140612143	0.176403739	0.104820547
565	0.141548	0.177533183	0.105562817
566	0.142492143	0.178678439	0.106305847
567	0.143434571	0.179822882	0.107046261
568	0.144351286	0.180933619	0.107768952
569	0.145280571	0.182068553	0.108492589
570	0.146226857	0.183234781	0.109218933
571	0.147190857	0.18443727	0.109944444
572	0.148130571	0.185613766	0.110647377
573	0.14908	0.186758928	0.111401072
574	0.150037143	0.187876127	0.112198159
575	0.150976857	0.188981894	0.11297182
576	0.151950714	0.190163672	0.113737757
577	0.152938857	0.19138392	0.114493794
578	0.153901714	0.192584199	0.115219229
579	0.154864429	0.193781925	0.115946932
580	0.155832429	0.194977549	0.116687308
581	0.156807429	0.196167554	0.117447303
582	0.157748857	0.197271843	0.118225871
