Wavelength	Mean	Std+	Std-
350	0.0890443	0.124164421	0.053924179
351	0.0893228	0.12456181	0.05408379
352	0.08959965	0.124957659	0.054241641
353	0.0900457	0.125517719	0.054573681
354	0.09034745	0.125914941	0.054779959
355	0.0904972	0.126147405	0.054846995
356	0.09069625	0.126495113	0.054897387
357	0.0911816	0.127097178	0.055266022
358	0.0917453	0.127760474	0.055730126
359	0.09198515	0.128105619	0.055864681
360	0.09231495	0.128527926	0.056101974
361	0.09265445	0.128980562	0.056328338
362	0.09296805	0.129456785	0.056479315
363	0.0933831	0.129980752	0.056785448
364	0.09386065	0.130578019	0.057143281
365	0.09438375	0.13123764	0.05752986
366	0.0947647	0.131745708	0.057783692
367	0.0951033	0.132185304	0.058021296
368	0.0954116	0.132593778	0.058229422
369	0.0956894	0.133037008	0.058341792
370	0.09588495	0.133375369	0.058394531
371	0.0962325	0.133861481	0.058603519
372	0.09696085	0.134732647	0.059189053
373	0.09730345	0.135248447	0.059358453
374	0.09783115	0.135926116	0.059736184
375	0.09863095	0.136843879	0.060418021
376	0.09889475	0.137278707	0.060510793
377	0.099205	0.137758098	0.060651902
378	0.09957295	0.13829175	0.06085415
379	0.10005145	0.138915103	0.061187797
380	0.1005842	0.139642367	0.061526033
381	0.10111685	0.140370109	0.061863591
382	0.1016015	0.141006987	0.062196013
383	0.1021074	0.141676338	0.062538462
384	0.1026381	0.142371377	0.062904823
385	0.1031977	0.143094643	0.063300757
386	0.10385035	0.143901517	0.063799183
387	0.10435015	0.144562801	0.064137499
388	0.1047286	0.145104115	0.064353085
389	0.1050571	0.145578358	0.064535842
390	0.1054883	0.146183244	0.064793356
391	0.1059358	0.146803183	0.065068417
392	0.10634165	0.147358116	0.065325184
393	0.10665695	0.14784036	0.06547354
394	0.1071555	0.148492488	0.065818512
395	0.10788305	0.14934945	0.06641665
396	0.1083499	0.149915645	0.066784155
397	0.10870835	0.150391885	0.067024815
398	0.10902185	0.150832683	0.067211017
399	0.10951015	0.151440387	0.067579913
400	0.10979	0.151831286	0.067748714
401	0.11001755	0.152163925	0.067871175
402	0.1103405	0.152596674	0.068084326
403	0.11054605	0.152914627	0.068177473
404	0.1108088	0.153279045	0.068338555
405	0.1111844	0.153743941	0.068624859
406	0.1114978	0.154157876	0.068837724
407	0.11184365	0.154614146	0.069073154
408	0.1122114	0.155097134	0.069325666
409	0.11254765	0.155530535	0.069564765
410	0.11285765	0.155947578	0.069767722
411	0.11314255	0.156342085	0.069943015
412	0.11339975	0.156707693	0.070091807
413	0.1138066	0.157228861	0.070384339
