Wavelength	Mean	Std+	Std-
350	0.0140605	0.019473397	0.008647603
351	0.0143975	0.019868811	0.008926189
352	0.014475167	0.019959855	0.008990478
353	0.014587	0.020072855	0.009101145
354	0.014211667	0.019694693	0.00872864
355	0.013419667	0.018899608	0.007939725
356	0.013685333	0.019243269	0.008127398
357	0.013920833	0.019495088	0.008346579
358	0.014139333	0.019706863	0.008571804
359	0.014362833	0.019956729	0.008768938
360	0.014578	0.020239375	0.008916625
361	0.014620167	0.020331371	0.008908962
362	0.014330167	0.020016252	0.008644081
363	0.014482333	0.020145552	0.008819114
364	0.014576	0.020221819	0.008930181
365	0.014562333	0.020200423	0.008924244
366	0.014734	0.020446101	0.009021899
367	0.014842833	0.020593805	0.009091862
368	0.014898167	0.020663238	0.009133095
369	0.014882333	0.020641504	0.009123163
370	0.014758	0.020531277	0.008984723
371	0.014754	0.020560569	0.008947431
372	0.015082333	0.020950096	0.00921457
373	0.015044333	0.020977458	0.009111209
374	0.0150645	0.021041508	0.009087492
375	0.01521	0.021205201	0.009214799
376	0.015373667	0.021436366	0.009310967
377	0.015381	0.021445584	0.009316416
378	0.015315333	0.021344323	0.009286344
379	0.015441667	0.021476044	0.00940729
380	0.015404333	0.021528075	0.009280592
381	0.0154165	0.02157938	0.00925362
382	0.015683167	0.021692298	0.009674035
383	0.015660167	0.021692099	0.009628234
384	0.015710167	0.021799197	0.009621136
385	0.015902167	0.022061541	0.009742792
386	0.015748333	0.022059304	0.009437363
387	0.0157575	0.0221676	0.0093474
388	0.015905	0.022376214	0.009433786
389	0.016187833	0.022730732	0.009644935
390	0.016144667	0.022676807	0.009612526
391	0.016057667	0.02258237	0.009532963
392	0.016171	0.022778318	0.009563682
393	0.016375667	0.023035308	0.009716025
394	0.0164885	0.023177535	0.009799465
395	0.016467167	0.023162369	0.009771964
396	0.0165955	0.023483468	0.009707532
397	0.016795167	0.023786034	0.009804299
398	0.017000333	0.024035802	0.009964865
399	0.016983667	0.024070384	0.00989695
400	0.017069667	0.024203578	0.009935755
401	0.017206667	0.024392919	0.010020415
402	0.0173825	0.024643017	0.010121983
403	0.0173725	0.02466347	0.01008153
404	0.017463667	0.02479382	0.010133514
405	0.017738833	0.02513211	0.010345557
406	0.017895333	0.025329596	0.010461071
407	0.0181145	0.025635421	0.010593579
408	0.018367667	0.02601479	0.010720543
409	0.018483	0.026279322	0.010686678
410	0.018654667	0.026580886	0.010728448
411	0.018875	0.026922463	0.010827537
412	0.019171167	0.027344837	0.010997497
413	0.019435667	0.027706462	0.011164872
414	0.019687833	0.028067039	0.011308628
415	0.019936	0.028450861	0.011421139
416	0.020206	0.028890432	0.011521568
417	0.020514167	0.029338483	0.01168985
418	0.020860167	0.029806276	0.011914057
419	0.021264	0.030417211	0.012110789
420	0.021507667	0.030830983	0.01218435
421	0.021718833	0.031200477	0.01223719
422	0.022089167	0.031750225	0.012428108
423	0.022492167	0.032306874	0.012677459
424	0.022872167	0.03285678	0.012887554
425	0.023206167	0.033399161	0.013013173
426	0.023647833	0.033989334	0.013306332
427	0.024058833	0.034560353	0.013557314
428	0.024435833	0.035118442	0.013753225
429	0.024862167	0.035792587	0.013931746
430	0.0253115	0.036450114	0.014172886
431	0.025771333	0.037112444	0.014430223
432	0.026238833	0.037848944	0.014628723
433	0.026751667	0.038585131	0.014918202
434	0.027280333	0.039314675	0.015245991
