Wavelength	Mean	Std+	Std-
350	0.107092425	0.111917598	0.102267252
351	0.107142825	0.112000997	0.102284653
352	0.10750215	0.112362889	0.102641411
353	0.107644475	0.11247523	0.10281372
354	0.10781775	0.112627767	0.103007733
355	0.108050375	0.11285203	0.10324872
356	0.108441275	0.113268628	0.103613922
357	0.1087286	0.113563335	0.103893865
358	0.108999	0.113836921	0.104161079
359	0.10943675	0.114294213	0.104579287
360	0.10968825	0.114532056	0.104844444
361	0.1099584	0.114794319	0.105122481
362	0.1103767	0.115230024	0.105523376
363	0.11069035	0.115586653	0.105794047
364	0.1110465	0.115957919	0.106135081
365	0.11145995	0.116359885	0.106560015
366	0.1119309	0.116835215	0.107026585
367	0.112289725	0.117218689	0.107360761
368	0.1126194	0.117577889	0.107660911
369	0.1131213	0.118062922	0.108179678
370	0.113740375	0.118703419	0.108777331
371	0.114341	0.119339974	0.109342026
372	0.1148134	0.119855103	0.109771697
373	0.11551825	0.120583692	0.110452808
374	0.116257575	0.12134189	0.11117326
375	0.117004825	0.122102235	0.111907415
376	0.1178167	0.122946213	0.112687187
377	0.118636125	0.123797215	0.113475035
378	0.119466425	0.124658816	0.114274034
379	0.12027175	0.125506954	0.115036546
380	0.120920575	0.126197873	0.115643277
381	0.12163925	0.126947557	0.116330943
382	0.12265225	0.127963535	0.117340965
383	0.1233179	0.128664627	0.117971173
384	0.124121375	0.129522513	0.118720237
385	0.12516005	0.130634387	0.119685713
386	0.126060425	0.131585347	0.120535503
387	0.12688455	0.132470073	0.121299027
388	0.1276595	0.133313877	0.122005123
389	0.128501725	0.134201784	0.122801666
390	0.129326475	0.135045644	0.123607306
391	0.13011935	0.135858076	0.124380624
392	0.1308824	0.136666654	0.125098146
393	0.131660675	0.137493212	0.125828138
394	0.1325252	0.138411934	0.126638466
395	0.13346985	0.139421969	0.127517731
396	0.134297025	0.140298469	0.128295581
397	0.13514235	0.141197186	0.129087514
398	0.135959025	0.142069915	0.129848135
399	0.13660445	0.142777235	0.130431665
400	0.137177025	0.143387576	0.130966474
401	0.137769175	0.144010207	0.131528143
402	0.13853605	0.144815461	0.132256639
403	0.139147375	0.145442206	0.132852544
404	0.139742375	0.146050989	0.133433761
405	0.140370375	0.146696557	0.134044193
406	0.14101955	0.147379751	0.134659349
407	0.14168305	0.14807957	0.13528653
408	0.1423596	0.148795088	0.135924112
409	0.143065025	0.149545082	0.136584968
410	0.143773	0.150294352	0.137251648
411	0.144469975	0.151029652	0.137910298
412	0.145159125	0.151753885	0.138564365
413	0.1458135	0.152439406	0.139187594
414	0.1464551	0.153113483	0.139796717
415	0.14710075	0.153795995	0.140405505
416	0.1478101	0.154548465	0.141071735
417	0.148538	0.155317675	0.141758325
418	0.149279375	0.156099186	0.142459564
419	0.150024375	0.156889613	0.143159137
420	0.1507972	0.157699335	0.143895065
421	0.1515835	0.158522424	0.144644576
422	0.152378775	0.159368549	0.145389001
423	0.153193675	0.160238429	0.146148921
424	0.1540227	0.161116575	0.146928825
425	0.1548774	0.162009463	0.147745337
426	0.155745425	0.162926936	0.148563914
427	0.156650825	0.16388617	0.14941548
428	0.1576005	0.164893646	0.150307354
429	0.158620925	0.165980822	0.151261028
430	0.1596728	0.167104881	0.152240719
431	0.160741825	0.168248477	0.153235173
432	0.1618392	0.169421286	0.154257114
433	0.162897525	0.170556799	0.155238251
434	0.163946175	0.171677293	0.156215057
435	0.165012875	0.172806935	0.157218815
436	0.165959775	0.173812223	0.158107327
437	0.166949925	0.174860213	0.159039637
438	0.167997825	0.175966833	0.160028817
439	0.1690313	0.177068858	0.160993742
440	0.170015425	0.178112919	0.161917931
441	0.170976625	0.179129559	0.162823691
442	0.171985725	0.180197676	0.163773774
443	0.1729374	0.181206426	0.164668374
444	0.1738519	0.182177288	0.165526512
445	0.17473215	0.183113814	0.166350486
446	0.175557375	0.183978644	0.167136106
447	0.176354125	0.184816021	0.167892229
448	0.17712905	0.18563534	0.16862276
449	0.177862675	0.186411226	0.169314124
450	0.1785645	0.187144531	0.169984469
451	0.1792373	0.187843794	0.170630806
452	0.179864	0.188505328	0.171222672
453	0.18045305	0.189118176	0.171787924
454	0.18101115	0.189694716	0.172327584
455	0.181530175	0.190228461	0.172831889
456	0.182019625	0.190741452	0.173297798
457	0.18249085	0.19122991	0.17375179
458	0.182939	0.191685962	0.174192038
459	0.1833511	0.192113566	0.174588634
460	0.18373985	0.192519964	0.174959736
461	0.1841127	0.192909472	0.175315928
462	0.184481975	0.193280312	0.175683638
463	0.184812375	0.193615993	0.176008757
464	0.185135275	0.193947797	0.176322753
465	0.185472425	0.194299263	0.176645587
466	0.185805925	0.194633279	0.176978571
467	0.186160625	0.194997884	0.177323366
468	0.18654405	0.19540632	0.17768178
469	0.1868035	0.195676026	0.177930974
470	0.1871113	0.195999285	0.178223315
471	0.187456875	0.196363505	0.178550245
472	0.1878194	0.196738464	0.178900336
473	0.1881921	0.197119932	0.179264268
474	0.188565425	0.197504066	0.179626784
475	0.18893225	0.197890881	0.179973619
476	0.189341525	0.1983082	0.18037485
477	0.1897521	0.198734421	0.180769779
478	0.190156675	0.199167355	0.181145995
479	0.190628625	0.199669963	0.181587287
480	0.191102925	0.200164916	0.182040934
481	0.1915821	0.200658142	0.182506058
482	0.19209405	0.201192102	0.182995998
483	0.1926431	0.201763158	0.183523042
484	0.1932175	0.202362843	0.184072157
485	0.193801575	0.202980809	0.184622341
486	0.194401025	0.203616501	0.185185549
487	0.195030775	0.204284983	0.185776567
488	0.195698625	0.204994742	0.186402508
489	0.1963895	0.205738972	0.187040028
490	0.19708425	0.206474726	0.187693774
491	0.197775725	0.207197477	0.188353973
492	0.1984957	0.207959783	0.189031617
493	0.199254725	0.208760484	0.189748966
494	0.200024525	0.209572772	0.190476278
495	0.20077325	0.210367961	0.191178539
496	0.201542175	0.211179816	0.191904534
497	0.202327375	0.212006078	0.192648672
498	0.203138075	0.212856972	0.193419178
499	0.20400395	0.213763096	0.194244804
500	0.2048486	0.214656263	0.195040937
501	0.20567395	0.215536814	0.195811086
502	0.206532825	0.216440466	0.196625184
503	0.207397325	0.217359987	0.197434663
504	0.2082518	0.218270515	0.198233085
505	0.209080975	0.219141839	0.199020111
506	0.209954925	0.220061402	0.199848448
507	0.210837925	0.220995161	0.200680689
508	0.21172445	0.221940336	0.201508564
509	0.212626625	0.222882926	0.202370324
510	0.21352105	0.223827993	0.203214107
511	0.2144107	0.224778951	0.204042449
512	0.2153148	0.225725871	0.204903729
513	0.2162057	0.226660792	0.205750608
514	0.2170967	0.227596214	0.206597186
