Wavelength	Mean	Std+	Std-
350	0.160027325	0.16709352	0.15296113
351	0.160092375	0.167156855	0.153027895
352	0.160426825	0.16747924	0.15337441
353	0.160484725	0.167564589	0.153404861
354	0.16056525	0.167699176	0.153431324
355	0.1606849	0.167888688	0.153481112
356	0.160706875	0.167870837	0.153542913
357	0.160996125	0.168161839	0.153830411
358	0.161369075	0.168557023	0.154181127
359	0.1614836	0.168680233	0.154286967
360	0.161683375	0.168890478	0.154476272
361	0.1619065	0.169123607	0.154689393
362	0.1621302	0.169354781	0.154905619
363	0.162344	0.169498913	0.155189087
364	0.1625989	0.169765752	0.155432048
365	0.162888125	0.170161487	0.155614763
366	0.16297305	0.170267104	0.155678996
367	0.163423875	0.170763174	0.156084576
368	0.164048525	0.171419297	0.156677753
369	0.16443105	0.17169885	0.15716325
370	0.1647304	0.172040533	0.157420267
371	0.16519685	0.172596022	0.157797678
372	0.166074525	0.173552868	0.158596182
373	0.16666095	0.174068355	0.159253545
374	0.167391275	0.174845531	0.159937019
375	0.168328125	0.175984202	0.160672048
376	0.168758675	0.176280996	0.161236354
377	0.169362325	0.176980107	0.161744543
378	0.170100425	0.177931135	0.162269715
379	0.1708735	0.178653214	0.163093786
380	0.171567525	0.179301463	0.163833587
381	0.17231455	0.180077237	0.164551863
382	0.1732501	0.181206607	0.165293593
383	0.174279625	0.182245137	0.166314113
384	0.1750984	0.183084631	0.167112169
385	0.1756458	0.183701775	0.167589825
386	0.176769825	0.185049785	0.168489865
387	0.1776531	0.185960739	0.169345461
388	0.178392025	0.186624956	0.170159094
389	0.179337225	0.187688472	0.170985978
390	0.180103575	0.188471804	0.171735346
391	0.1808042	0.189195137	0.172413263
392	0.181541	0.190064088	0.173017912
393	0.182283925	0.190883266	0.173684584
394	0.18307955	0.191725812	0.174433288
395	0.1839174	0.192585152	0.175249648
396	0.18476455	0.193478567	0.176050533
397	0.185520975	0.194300457	0.176741493
398	0.1861941	0.195048113	0.177340087
399	0.186789475	0.195705937	0.177873013
400	0.18735565	0.196346441	0.178364859
401	0.187931525	0.196985764	0.178877286
402	0.1886137	0.197697414	0.179529986
403	0.189131925	0.198241498	0.180022352
404	0.189657125	0.198775336	0.180538914
405	0.190247025	0.199353154	0.181140896
406	0.190837575	0.199969215	0.181705935
407	0.19149085	0.200688595	0.182293105
408	0.1921627	0.201453358	0.182872042
409	0.192608625	0.201955694	0.183261556
410	0.193187275	0.202579344	0.183795206
411	0.193821625	0.203257932	0.184385318
412	0.19446935	0.203963318	0.184975382
413	0.19508955	0.204609971	0.185569129
414	0.19570335	0.20526815	0.18613855
415	0.196328375	0.205975519	0.186681231
416	0.1969784	0.206665039	0.187291761
417	0.197608825	0.207349975	0.187867675
418	0.198233325	0.208041806	0.188424844
419	0.19898155	0.208829923	0.189133177
420	0.199662925	0.209551007	0.189774843
421	0.200339225	0.210277913	0.190400537
422	0.201116725	0.211141754	0.191091696
423	0.201825425	0.211924453	0.191726397
424	0.202531325	0.21269389	0.19236876
425	0.203269125	0.213483848	0.193054402
426	0.20410035	0.214372898	0.193827802
427	0.20491095	0.215235293	0.194586607
428	0.205703225	0.216076337	0.195330113
429	0.20658575	0.217050076	0.196121424
430	0.207482225	0.218031987	0.196932463
431	0.208376075	0.219008807	0.197743343
432	0.2092588	0.219980087	0.198537513
433	0.2101872	0.221003337	0.199371063
434	0.2110855	0.221981226	0.200189774
435	0.211922825	0.222869567	0.200976083
436	0.212758825	0.223780293	0.201737357
437	0.21362225	0.224717481	0.202527019
438	0.2145121	0.22567856	0.20334564
439	0.215307625	0.226544811	0.204070439
440	0.21610295	0.227412505	0.204793395
441	0.216890125	0.228270597	0.205509653
442	0.21766165	0.229103785	0.206219515
443	0.21838945	0.229892895	0.206886005
444	0.2191018	0.230667926	0.207535674
445	0.219813725	0.231445239	0.208182211
446	0.22046885	0.232166835	0.208770865
447	0.22110425	0.232868257	0.209340243
448	0.2217265	0.233555162	0.209897838
449	0.2222974	0.234156915	0.210437885
450	0.2228611	0.234770903	0.210951297
451	0.2234117	0.235379788	0.211443612
452	0.223918525	0.235925224	0.211911826
453	0.224429425	0.23647109	0.21238776
454	0.224939175	0.23702131	0.21285704
455	0.225444675	0.237583399	0.213305951
456	0.225832225	0.23800937	0.21365508
457	0.226237325	0.238459999	0.214014651
458	0.2266785	0.238957985	0.214399015
459	0.227030975	0.239342357	0.214719593
460	0.227388775	0.239732287	0.215045263
461	0.227753425	0.24013138	0.21537547
462	0.228129325	0.240550277	0.215708373
463	0.2284864	0.240942394	0.216030406
464	0.22881785	0.241305235	0.216330465
465	0.229104425	0.241621805	0.216587045
466	0.22940265	0.241957435	0.216847865
467	0.229734525	0.242321359	0.217147691
468	0.230108075	0.242718112	0.217498038
469	0.230444	0.243100377	0.217787623
470	0.23076025	0.243456188	0.218064312
471	0.231062725	0.243791285	0.218334165
472	0.2313785	0.244130526	0.218626474
473	0.231731075	0.244529132	0.218933018
474	0.232107525	0.244958632	0.219256418
475	0.2325083	0.245406578	0.219610022
476	0.232896225	0.245828069	0.219964381
477	0.233297475	0.246266289	0.220328661
478	0.233721225	0.24673502	0.22070743
479	0.234093425	0.247139098	0.221047752
480	0.234491025	0.247573599	0.221408451
481	0.2349189	0.248043085	0.221794715
482	0.23541375	0.248584581	0.222242919
483	0.235911275	0.24912893	0.22269362
484	0.23641245	0.249674531	0.223150369
485	0.236907625	0.25020564	0.22360961
486	0.23739765	0.250735537	0.224059763
487	0.23789855	0.251289398	0.224507702
488	0.238414775	0.251876821	0.224952729
489	0.238925775	0.252459681	0.225391869
490	0.239440825	0.253037246	0.225844404
491	0.23995535	0.25360494	0.22630576
492	0.2404946	0.254189882	0.226799318
493	0.241023125	0.254757628	0.227288622
494	0.241556125	0.25533243	0.22777982
495	0.242121725	0.255957083	0.228286367
496	0.242688025	0.256585675	0.228790375
497	0.2432719	0.257228315	0.229315485
498	0.2438889	0.257897225	0.229880575
499	0.2445146	0.258564697	0.230464503
500	0.245124	0.259227776	0.231020224
501	0.245721725	0.259889798	0.231553652
502	0.246359625	0.260586112	0.232133138
503	0.246982325	0.261276661	0.232687989
504	0.2475985	0.261962059	0.233234941
505	0.24823205	0.262654687	0.233809413
506	0.248852025	0.263325861	0.234378189
507	0.249467375	0.263992818	0.234941932
508	0.2500865	0.264667873	0.235505127
509	0.250723175	0.265362233	0.236084117
510	0.2513462	0.266040489	0.236651911
511	0.25195695	0.266704721	0.237209179
512	0.252565675	0.267373744	0.237757606
513	0.253167775	0.268019516	0.238316034
514	0.253772725	0.26866119	0.23888426
515	0.254387625	0.269320341	0.239454909
516	0.2549871	0.269981966	0.239992234
517	0.2555908	0.270653698	0.240527902
518	0.256204775	0.271336682	0.241072868
519	0.256826775	0.272031293	0.241622257
520	0.25743295	0.272705176	0.242160724
521	0.25801735	0.273350127	0.242684573
522	0.258617675	0.273998789	0.243236561
523	0.259203875	0.274631857	0.243775893
524	0.2597939	0.275271338	0.244316462
525	0.260425	0.27596494	0.24488506
526	0.26103835	0.276634201	0.245442499
527	0.261638425	0.277287601	0.245989249
528	0.262230325	0.277932345	0.246528305
529	0.26281955	0.278593979	0.247045121
530	0.263416975	0.279249186	0.247584764
531	0.264022975	0.279893732	0.248152218
532	0.264618275	0.280534681	0.248701869
533	0.265232825	0.281201695	0.249263955
534	0.265859575	0.281884422	0.249834728
535	0.266475975	0.282551415	0.250400535
536	0.2670714	0.283204745	0.250938055
537	0.267676275	0.283864795	0.251487755
538	0.2683224	0.284554368	0.252090432
539	0.268951425	0.285244782	0.252658068
540	0.269578075	0.285930646	0.253225504
541	0.2702014	0.286607264	0.253795536
542	0.270861625	0.287331212	0.254392038
543	0.27152775	0.288053487	0.255002013
544	0.27219355	0.288770612	0.255616488
545	0.27285235	0.28948742	0.25621728
546	0.273545125	0.29023992	0.25685033
547	0.274249025	0.291004888	0.257493162
548	0.274951125	0.291770104	0.258132146
549	0.27567515	0.292558835	0.258791465
550	0.27640475	0.293349022	0.259460478
551	0.2771365	0.294135534	0.260137466
552	0.2778944	0.294954031	0.260834769
553	0.278669575	0.295789761	0.261549389
554	0.2794589	0.296641498	0.262276302
555	0.2802451	0.297500379	0.262989821
556	0.28106165	0.298382258	0.263741042
557	0.281892875	0.299275359	0.264510391
558	0.282723225	0.300166292	0.265280158
559	0.2835901	0.301099772	0.266080428
560	0.284466075	0.302050033	0.266882117
561	0.28534085	0.303007724	0.267673976
562	0.286229775	0.303971529	0.268488021
563	0.287138275	0.304953977	0.269322573
564	0.28806495	0.305953563	0.270176337
565	0.288985	0.306943328	0.271026672
566	0.28991015	0.30794432	0.27187598
567	0.2908524	0.308964761	0.272740039
568	0.291828325	0.310016629	0.273640021
569	0.292785075	0.311045741	0.274524409
570	0.293748375	0.312087565	0.275409185
571	0.294724525	0.313152603	0.276296447
572	0.295677825	0.314182402	0.277173248
573	0.296623075	0.315203381	0.278042769
574	0.2975646	0.316220441	0.278908759
575	0.298523	0.317253489	0.279792511
576	0.299473675	0.318276313	0.280671037
577	0.30041905	0.319295819	0.281542281
578	0.3013428	0.320301984	0.282383616
579	0.302293825	0.321329894	0.283257756
580	0.3032218	0.322333451	0.284110149
581	0.30409845	0.323285345	0.284911555
582	0.30497455	0.324217051	0.285732049
583	0.3058335	0.325136725	0.286530275
584	0.3066733	0.326044336	0.287302264
585	0.307425375	0.326870683	0.287980067
586	0.308171325	0.327676799	0.288665851
587	0.308909025	0.328467439	0.289350611
588	0.30959945	0.32921034	0.28998856
589	0.3102789	0.329957595	0.290600205
590	0.310963625	0.330711382	0.291215868
591	0.31165105	0.331460767	0.291841333
592	0.31228775	0.33215308	0.29242242
593	0.312910925	0.33282837	0.29299348
594	0.313523875	0.333490792	0.293556958
595	0.314057425	0.334078369	0.294036481
596	0.3145935	0.334662725	0.294524275
597	0.315123925	0.335238292	0.295009558
598	0.315623175	0.335782504	0.295463846
599	0.316081825	0.336285167	0.295878483
600	0.3165189	0.336771409	0.296266391
601	0.316933325	0.337245733	0.296620917
602	0.31731955	0.337684071	0.296955029
603	0.317680275	0.338091454	0.297269096
604	0.318016275	0.338468158	0.297564392
605	0.318357775	0.338841529	0.297874021
606	0.318665125	0.339184382	0.298145868
607	0.31895515	0.339513026	0.298397274
608	0.319253525	0.339851905	0.298655145
609	0.31953805	0.340174811	0.298901289
610	0.319825575	0.340503766	0.299147384
611	0.320125425	0.340852924	0.299397926
612	0.3204286	0.341191924	0.299665276
613	0.320709475	0.341504182	0.299914768
614	0.320962825	0.34178589	0.30013976
615	0.32123365	0.342098642	0.300368658
616	0.321525475	0.342430193	0.300620757
617	0.32182315	0.342762945	0.300883355
618	0.322077825	0.343037136	0.301118514
619	0.322334125	0.34332475	0.3013435
620	0.3225821	0.343597926	0.301566274
621	0.32280895	0.343825866	0.301792034
622	0.3230686	0.344109852	0.302027348
623	0.323358925	0.344436836	0.302281014
624	0.323680925	0.344806722	0.302555128
625	0.32396905	0.345131038	0.302807062
626	0.324294725	0.345497722	0.303091728
627	0.324631	0.345878344	0.303383656
628	0.324881875	0.346172393	0.303591357
629	0.325161175	0.346483582	0.303838768
630	0.3254346	0.346788495	0.304080705
631	0.325669925	0.347065828	0.304274022
632	0.325859225	0.347281015	0.304437435
633	0.32605355	0.347497856	0.304609244
634	0.326264125	0.347729438	0.304798812
635	0.32648865	0.347983956	0.304993344
636	0.3266989	0.348225221	0.305172579
637	0.3268929	0.348449306	0.305336494
638	0.327052	0.348629145	0.305474855
639	0.3271878	0.34877611	0.30559949
640	0.327323875	0.348926017	0.305721733
641	0.327486525	0.34912076	0.30585229
642	0.327623875	0.349290087	0.305957663
643	0.327756525	0.349448717	0.306064333
644	0.327890275	0.349600558	0.306179992
645	0.3280312	0.349766611	0.306295789
646	0.3281584	0.34992131	0.30639549
647	0.32827815	0.350070295	0.306486005
648	0.328424075	0.350245694	0.306602456
649	0.328584925	0.350447183	0.306722667
650	0.328747575	0.350651718	0.306843432
651	0.3288975	0.350833181	0.306961819
652	0.32908025	0.35104213	0.30711837
653	0.32925255	0.351233742	0.307271358
654	0.329401125	0.351393082	0.307409168
655	0.32955495	0.35157832	0.30753158
656	0.329719275	0.351798536	0.307640014
657	0.32989185	0.352041492	0.307742208
658	0.330107225	0.352289034	0.307925416
659	0.3303397	0.352546435	0.308132965
660	0.330572125	0.352799732	0.308344518
661	0.330779275	0.353024841	0.308533709
662	0.33096625	0.353240813	0.308691687
663	0.3311631	0.353470631	0.308855569
664	0.331384675	0.353727576	0.309041774
665	0.331637125	0.354006765	0.309267485
666	0.331865025	0.35426403	0.30946602
667	0.3320694	0.354499995	0.309638805
668	0.3322913	0.354741806	0.309840794
669	0.332492875	0.354971992	0.310013758
670	0.332695775	0.355204586	0.310186964
671	0.33294105	0.35546591	0.31041619
672	0.333134275	0.355696061	0.310572489
673	0.33333975	0.355941633	0.310737867
674	0.333594725	0.356233133	0.310956317
675	0.333762875	0.356430424	0.311095326
676	0.333964925	0.356659691	0.311270159
677	0.334210225	0.356931176	0.311489274
678	0.334460175	0.357212503	0.311707847
679	0.3346784	0.357457761	0.311899039
680	0.3348824	0.357687258	0.312077542
681	0.335103775	0.357937986	0.312269564
682	0.335325525	0.358195674	0.312455376
683	0.33554845	0.35844607	0.31265083
684	0.33577715	0.358681844	0.312872456
685	0.335992025	0.358914168	0.313069882
686	0.336184875	0.359139838	0.313229912
687	0.3363488	0.359354144	0.313343456
688	0.336593225	0.359653737	0.313532713
689	0.33686985	0.35996777	0.31377193
690	0.33716235	0.360287569	0.314037131
691	0.337457375	0.360614927	0.314299823
692	0.337779075	0.360958133	0.314600017
693	0.33810255	0.361306594	0.314898506
694	0.33840795	0.361651034	0.315164866
695	0.338688125	0.361973026	0.315403224
696	0.338989425	0.362303203	0.315675647
697	0.33932275	0.362650823	0.315994677
698	0.339629275	0.362987521	0.316271029
699	0.339918225	0.363309225	0.316527225
700	0.3401986	0.36362477	0.31677243
701	0.3404947	0.363958901	0.317030499
702	0.34081055	0.364311257	0.317309843
703	0.34112255	0.364654107	0.317590993
704	0.341414925	0.364966577	0.317863273
705	0.3417507	0.365325834	0.318175566
706	0.34208835	0.365691033	0.318485667
707	0.342419775	0.366054712	0.318784838
708	0.342746925	0.366416505	0.319077345
709	0.343068375	0.366770854	0.319365896
710	0.343385625	0.367118842	0.319652408
711	0.343703575	0.36746247	0.31994468
712	0.344038625	0.367825114	0.320252136
713	0.34438715	0.368202375	0.320571925
714	0.344757175	0.368602623	0.320911727
715	0.345074225	0.368935012	0.321213438
716	0.345368375	0.369257072	0.321479678
717	0.345634925	0.369576026	0.321693824
718	0.3459132	0.369931822	0.321894578
719	0.3462208	0.370298759	0.322142841
720	0.346547175	0.370661272	0.322433078
721	0.34700215	0.371120195	0.322884105
722	0.34737715	0.371504698	0.323249602
723	0.347724425	0.371874336	0.323574514
724	0.34803485	0.372233978	0.323835722
725	0.34835585	0.372598959	0.324112741
726	0.34866765	0.372943045	0.324392255
727	0.348966725	0.37325889	0.32467456
728	0.34935775	0.373679204	0.325036296
729	0.34971445	0.374075944	0.325352956
730	0.350040475	0.374446591	0.325634359
731	0.350407425	0.374828703	0.325986147
732	0.350784575	0.375226672	0.326342478
733	0.35115235	0.375619395	0.326685305
734	0.351494575	0.375992826	0.326996324
735	0.351802175	0.376326736	0.327277614
736	0.35212065	0.376675185	0.327566115
737	0.3524677	0.377059399	0.327876001
738	0.3528139	0.377421182	0.328206618
739	0.353156	0.377790477	0.328521523
740	0.3534909	0.378162538	0.328819262
741	0.353804825	0.378497894	0.329111756
742	0.354113025	0.378827732	0.329398318
743	0.354426525	0.379163287	0.329689763
744	0.35477075	0.37953072	0.33001078
745	0.35504875	0.379835243	0.330262257
746	0.3553302	0.3801417	0.3305187
747	0.355647525	0.380479764	0.330815286
748	0.355920525	0.380771291	0.331069759
749	0.35620005	0.381077329	0.331322771
750	0.356484625	0.381395773	0.331573477
751	0.3567366	0.381675909	0.331797291
752	0.3570067	0.381974811	0.332038589
753	0.3572863	0.382284162	0.332288438
754	0.357566075	0.382596425	0.332535725
755	0.357839875	0.38289151	0.33278824
756	0.358115725	0.383175376	0.333056074
757	0.35841885	0.383466285	0.333371415
758	0.358429325	0.383414178	0.333444472
759	0.35835255	0.383353109	0.333351991
760	0.358199775	0.383390381	0.333009169
761	0.35837625	0.383652359	0.333100141
762	0.358618175	0.383926512	0.333309838
763	0.358911675	0.384229215	0.333594135
764	0.359223275	0.384548619	0.333897931
765	0.359681975	0.385013071	0.334350879
766	0.3601069	0.385438428	0.334775372
767	0.3604705	0.385794817	0.335146183
768	0.36076995	0.386114946	0.335424954
769	0.361041575	0.386408857	0.335674293
770	0.361292325	0.386680942	0.335903708
771	0.361515125	0.386927618	0.336102632
772	0.36171675	0.387155397	0.336278103
773	0.361903575	0.38736972	0.33643743
774	0.362079825	0.387570404	0.336589246
775	0.362257975	0.387761076	0.336754874
776	0.362432925	0.387946564	0.336919286
777	0.3626009	0.388129603	0.337072197
778	0.36277065	0.388315783	0.337225517
779	0.362944525	0.388502924	0.337386126
780	0.363122875	0.388691013	0.337554737
781	0.363309425	0.388920248	0.337698602
782	0.36343915	0.389065036	0.337813264
783	0.363535875	0.389161949	0.337909801
784	0.36366785	0.389317924	0.338017776
785	0.363792675	0.389461079	0.338124271
786	0.36390505	0.38959464	0.33821546
787	0.363992325	0.389714002	0.338270648
788	0.36411675	0.389862399	0.338371101
789	0.3642163	0.389980914	0.338451686
790	0.36427455	0.390052757	0.338496343
791	0.364432275	0.390251967	0.338612583
792	0.364542475	0.390375395	0.338709555
793	0.364622375	0.390449317	0.338795433
794	0.36474315	0.390579981	0.338906319
795	0.3648249	0.390681874	0.338967926
796	0.36488805	0.39076539	0.33901071
797	0.364944225	0.390831942	0.339056508
798	0.365030875	0.390930534	0.339131216
799	0.36509165	0.391000599	0.339182701
800	0.36510665	0.391020614	0.339192686
801	0.365173725	0.391103637	0.339243813
802	0.365221575	0.391165484	0.339277666
803	0.365257725	0.391215558	0.339299892
804	0.365322325	0.391305248	0.339339402
805	0.365376875	0.391392907	0.339360843
806	0.365417125	0.391459211	0.339375039
807	0.365429525	0.391466446	0.339392604
808	0.365425525	0.391466236	0.339384814
809	0.365429875	0.391479876	0.339379874
810	0.36545235	0.391517431	0.339387269
811	0.36545985	0.391558732	0.339360968
812	0.365483675	0.391607617	0.339359733
813	0.365511125	0.391653465	0.339368785
814	0.3654289	0.391602787	0.339255013
815	0.36539	0.391573559	0.339206441
816	0.36537165	0.391553431	0.339189869
817	0.36534735	0.391526431	0.339168269
818	0.36527935	0.391460777	0.339097923
819	0.36525665	0.391441865	0.339071435
820	0.365319125	0.391508836	0.339129414
821	0.36533585	0.391558178	0.339113522
822	0.3652979	0.391528305	0.339067495
823	0.36521395	0.391430458	0.338997442
824	0.365149525	0.391394367	0.338904683
825	0.365147	0.391414547	0.338879453
826	0.365155125	0.391441552	0.338868698
827	0.3650945	0.391393341	0.338795659
828	0.3650337	0.391340582	0.338726818
829	0.36500755	0.391321162	0.338693938
830	0.3650432	0.391362703	0.338723697
831	0.36497985	0.39131021	0.33864949
832	0.364888175	0.391230471	0.338545879
833	0.3647819	0.391136421	0.338427379
834	0.364741675	0.391104388	0.338378962
835	0.36470705	0.39108565	0.33832845
836	0.3646691	0.391065927	0.338272273
837	0.3646083	0.391015335	0.338201265
