Wavelength	Mean	Std+	Std-
350	0.0698245	0.073791177	0.065857823
351	0.0699629	0.073994408	0.065931392
352	0.0699547	0.073970132	0.065939268
353	0.0701604	0.074213339	0.066107461
354	0.0703634	0.074448551	0.066278249
355	0.0705472	0.07465851	0.06643589
356	0.0707342	0.074907428	0.066560972
357	0.0709565	0.075172529	0.066740471
358	0.0711726	0.075424024	0.066921176
359	0.0712875	0.07558617	0.06698883
360	0.0714676	0.075776375	0.067158825
361	0.0716906	0.076014429	0.067366771
362	0.0719638	0.076333553	0.067594047
363	0.0720642	0.076482077	0.067646323
364	0.0723158	0.076780038	0.067851562
365	0.0727333	0.07724151	0.06822509
366	0.0727651	0.077329701	0.068200499
367	0.0728218	0.077404176	0.068239424
368	0.0729297	0.07751438	0.06834502
369	0.0731962	0.077818766	0.068573634
370	0.0734204	0.078042173	0.068798627
371	0.073694	0.078340075	0.069047925
372	0.0741002	0.078849727	0.069350673
373	0.0743612	0.079119645	0.069602755
374	0.0746079	0.079397418	0.069818382
375	0.0748575	0.079717333	0.069997667
376	0.075037	0.079889512	0.070184488
377	0.0753751	0.080260834	0.070489366
378	0.0758086	0.0807553	0.0708619
379	0.0761357	0.081139766	0.071131634
380	0.0764895	0.081566109	0.071412891
381	0.0768086	0.081952924	0.071664276
382	0.0770241	0.082208236	0.071839964
383	0.0774158	0.082631966	0.072199634
384	0.077828	0.083074442	0.072581558
385	0.0782331	0.083509877	0.072956323
386	0.0785566	0.083891153	0.073222047
387	0.0789137	0.084294437	0.073532963
388	0.079299	0.084721859	0.073876141
389	0.0797169	0.085213682	0.074220118
390	0.0799073	0.085441879	0.074372721
391	0.080085	0.085645857	0.074524143
392	0.0804551	0.086048105	0.074862095
393	0.0809254	0.08658509	0.07526571
394	0.0813068	0.087024913	0.075588687
395	0.08155	0.087307794	0.075792206
396	0.0820009	0.087800725	0.076201075
397	0.0823839	0.088218337	0.076549463
398	0.0827019	0.088569605	0.076834195
399	0.0829358	0.088861147	0.077010453
400	0.0831259	0.089083862	0.077167938
401	0.0832783	0.089263694	0.077292906
402	0.0833928	0.089419388	0.077366212
403	0.083587	0.089666391	0.077507609
404	0.083735	0.089853475	0.077616525
405	0.0838046	0.089941485	0.077667715
406	0.0839124	0.090076434	0.077748366
407	0.0840696	0.090250371	0.077888829
408	0.0842498	0.090441069	0.078058531
409	0.0843125	0.09053537	0.07808963
410	0.0844199	0.090688148	0.078151652
411	0.0845303	0.090841009	0.078219591
412	0.0845965	0.09092622	0.07826678
413	0.0846453	0.091005422	0.078285178
414	0.0847222	0.091112201	0.078332199
415	0.0848488	0.091264734	0.078432866
416	0.084921	0.091374523	0.078467477
417	0.0849767	0.091460011	0.078493389
418	0.0850205	0.091526723	0.078514277
419	0.0850731	0.09160197	0.07854423
420	0.0851493	0.09170612	0.07859248
421	0.0852456	0.091832271	0.078658929
422	0.0853698	0.09198653	0.07875307
423	0.0854186	0.092067832	0.078769368
424	0.0854616	0.092142149	0.078781051
425	0.0855276	0.092237097	0.078818103
426	0.0855491	0.092281215	0.078816985
427	0.0856081	0.092363407	0.078852793
428	0.0857055	0.092485583	0.078925417
429	0.0857653	0.092576646	0.078953954
430	0.0858193	0.092653696	0.078984904
431	0.0858835	0.092736532	0.079030468
432	0.0859971	0.09287177	0.07912243
433	0.0860777	0.092983837	0.079171563
434	0.0861711	0.093105452	0.079236748
435	0.0863044	0.093256656	0.079352144
436	0.0863167	0.093313603	0.079319797
437	0.0863231	0.093346997	0.079299203
438	0.086336	0.093369685	0.079302315
439	0.0863737	0.093442486	0.079304914
440	0.0864434	0.093539724	0.079347076
441	0.0865166	0.093634097	0.079399103
442	0.0865263	0.093662418	0.079390182
443	0.0865807	0.09374972	0.07941168
444	0.086616	0.093815591	0.079416409
445	0.086587	0.093803361	0.079370639
446	0.0866025	0.093839881	0.079365119
447	0.0866418	0.093903033	0.079380567
448	0.0867001	0.093987299	0.079412901
449	0.0866987	0.094004806	0.079392594
450	0.0867368	0.094063033	0.079410567
451	0.0867788	0.094126047	0.079431553
452	0.0867247	0.094095607	0.079353793
453	0.0867398	0.094131307	0.079348293
454	0.0867709	0.094181036	0.079360764
455	0.0867845	0.094211207	0.079357793
456	0.0867816	0.094224047	0.079339153
457	0.0867886	0.094247846	0.079329354
458	0.0868103	0.094287468	0.079333132
459	0.0867797	0.094277671	0.079281729
460	0.0867561	0.094269004	0.079243196
461	0.0867368	0.094260822	0.079212778
462	0.0867119	0.094246482	0.079177318
463	0.0866608	0.094209322	0.079112278
464	0.0866144	0.094177781	0.079051019
465	0.0866015	0.094178991	0.079024009
466	0.0865353	0.09412867	0.07894193
467	0.0864951	0.09409875	0.07889145
468	0.0865018	0.09410843	0.07889517
469	0.0864393	0.094065052	0.078813548
470	0.0863611	0.093997719	0.078724481
471	0.0862801	0.093921399	0.078638801
472	0.0862494	0.093900921	0.078597879
473	0.086207	0.093870138	0.078543862
474	0.0861737	0.093848517	0.078498883
475	0.0861768	0.093863097	0.078490503
476	0.0861171	0.093812938	0.078421262
477	0.0860919	0.093798007	0.078385793
478	0.0861274	0.093845068	0.078409732
479	0.0860742	0.093803907	0.078344493
480	0.0860088	0.093748978	0.078268622
481	0.0859429	0.093692956	0.078192844
482	0.0859385	0.093704608	0.078172392
483	0.0858971	0.093684915	0.078109285
484	0.0858494	0.093658416	0.078040384
485	0.0858334	0.093653668	0.078013132
