Wavelength	Mean	Std+	Std-
350	0.0484203	0.062459242	0.034381358
351	0.0490209	0.063153282	0.034888518
352	0.0489837	0.063149516	0.034817884
353	0.0491813	0.063383874	0.034978726
354	0.0490842	0.063312486	0.034855914
355	0.0487341	0.062976449	0.034491751
356	0.0492558	0.063513807	0.034997793
357	0.0492829	0.063562871	0.035002929
358	0.0491917	0.063507214	0.034876186
359	0.0497288	0.064120629	0.035336971
360	0.0502211	0.064682801	0.035759399
361	0.0504593	0.064995569	0.035923031
362	0.0502296	0.064853578	0.035605622
363	0.0504307	0.065046474	0.035814926
364	0.0505837	0.06525394	0.03591346
365	0.0506414	0.065435512	0.035847288
366	0.0508745	0.065604312	0.036144688
367	0.0510747	0.065812657	0.036336743
368	0.0512301	0.066025324	0.036434876
369	0.0512685	0.066140812	0.036396188
370	0.0514251	0.066325107	0.036525093
371	0.0515783	0.066506725	0.036649875
372	0.0516389	0.066631291	0.036646509
373	0.0519688	0.067007113	0.036930487
374	0.0523431	0.06744716	0.03723904
375	0.0527193	0.067915901	0.037522699
376	0.0525317	0.067848715	0.037214685
377	0.0525306	0.067866121	0.037195079
378	0.0526468	0.067966354	0.037327246
379	0.0526951	0.068191669	0.037198531
380	0.0527739	0.068266591	0.037281209
381	0.0529979	0.068482103	0.037513697
382	0.0535269	0.069147946	0.037905854
383	0.053835	0.069463528	0.038206472
384	0.0539312	0.069638907	0.038223493
385	0.0538092	0.069706993	0.037911407
386	0.0541828	0.070189857	0.038175743
387	0.0544926	0.070548064	0.038437136
388	0.0547549	0.070817444	0.038692356
389	0.0550231	0.071099623	0.038946577
390	0.0551144	0.071258202	0.038970598
391	0.055122	0.071351365	0.038892635
392	0.0550966	0.071409292	0.038783908
393	0.0553113	0.071667186	0.038955414
394	0.0556294	0.072071085	0.039187715
395	0.0560153	0.072600514	0.039430086
396	0.0560432	0.072638992	0.039447408
397	0.0562133	0.072874208	0.039552392
398	0.0564373	0.073193413	0.039681187
399	0.0564304	0.073251055	0.039609745
400	0.0565583	0.073404508	0.039712092
401	0.0567165	0.073575766	0.039857234
402	0.056832	0.073711187	0.039952813
403	0.0568321	0.0737106	0.0399536
404	0.056867	0.073754645	0.039979355
405	0.0569777	0.073893738	0.040061662
406	0.0570748	0.074017007	0.040132593
407	0.0571528	0.074133639	0.040171961
408	0.0572137	0.074240248	0.040187152
409	0.0572578	0.074311057	0.040204543
410	0.0573241	0.074411877	0.040236323
411	0.057425	0.074544803	0.040305197
412	0.057599	0.074735914	0.040462086
413	0.0576278	0.074822158	0.040433442
414	0.0576598	0.074898464	0.040421136
415	0.0577445	0.074995994	0.040493006
416	0.05785	0.075107772	0.040592228
417	0.0578926	0.075174903	0.040610297
418	0.0578913	0.075211225	0.040571375
419	0.0580114	0.075342642	0.040680158
420	0.0580658	0.075430763	0.040700837
421	0.0581079	0.075516653	0.040699147
422	0.0582183	0.075667726	0.040768874
423	0.0582862	0.07575767	0.04081473
424	0.0583369	0.075828152	0.040845648
425	0.0583759	0.075891424	0.040860376
426	0.0584621	0.075991319	0.040932881
427	0.0585218	0.07607538	0.04096822
428	0.0585562	0.076146047	0.040966353
429	0.0586515	0.076274279	0.041028721
430	0.0587062	0.07638602	0.04102638
431	0.0587605	0.076503894	0.041017106
432	0.058897	0.076679336	0.041114664
433	0.0589795	0.076790762	0.041168238
434	0.0590394	0.076877741	0.041201059
435	0.059086	0.076952854	0.041219146
436	0.0591576	0.077047314	0.041267886
437	0.0592284	0.077137801	0.041318999
438	0.0592932	0.077221371	0.041365029
439	0.0593026	0.077267956	0.041337244
440	0.0593851	0.077370485	0.041399715
441	0.0594842	0.077479556	0.041488844
442	0.0594716	0.077478793	0.041464407
443	0.0594599	0.077487302	0.041432498
444	0.0594721	0.077523305	0.041420895
445	0.0595322	0.077608212	0.041456188
446	0.0596265	0.077721951	0.041531049
447	0.059685	0.077801694	0.041568306
448	0.0597019	0.07784273	0.04156107
449	0.059764	0.077917467	0.041610533
450	0.0597924	0.077973565	0.041611235
451	0.0598018	0.078012286	0.041591314
452	0.0598232	0.078029553	0.041616847
453	0.0598939	0.078109043	0.041678757
454	0.0599586	0.078189008	0.041728192
455	0.0599709	0.078220657	0.041721143
456	0.060102	0.078370855	0.041833145
457	0.0601579	0.078448375	0.041867425
458	0.0601019	0.078416865	0.041786935
459	0.0601248	0.078451119	0.041798481
460	0.0601599	0.078494484	0.041825316
461	0.0602005	0.078543592	0.041857408
462	0.0602225	0.078585445	0.041859555
463	0.0602191	0.078598013	0.041840187
464	0.0602207	0.07861534	0.04182606
465	0.0602572	0.078670481	0.041843919
466	0.060268	0.078701682	0.041834318
467	0.060316	0.07876244	0.04186956
468	0.0604194	0.078867863	0.041970937
469	0.0603946	0.078857183	0.041932017
470	0.0604029	0.078883114	0.041922686
471	0.0604291	0.078928643	0.041929557
472	0.0604125	0.078926727	0.041898273
473	0.0604218	0.078950571	0.041893029
474	0.0604467	0.078990212	0.041903188
475	0.0604851	0.07904417	0.04192603
476	0.0605233	0.079095684	0.041950916
477	0.0605397	0.07912608	0.04195332
