Wavelength	mean	Std+	Std-
350	0.091511	0.125007573	0.058014427
351	0.092013	0.125883714	0.058142286
352	0.091864833	0.125891127	0.057838539
353	0.092497167	0.12694006	0.058054273
354	0.0929495	0.127776314	0.058122686
355	0.093154833	0.128311167	0.0579985
356	0.093249167	0.128683715	0.057814618
357	0.093888	0.129622617	0.058153383
358	0.094648333	0.130712528	0.058584139
359	0.094684333	0.13114878	0.058219887
360	0.0952025	0.132021775	0.058383225
361	0.095686333	0.132843227	0.05852944
362	0.095833667	0.133326317	0.058341017
363	0.096092	0.133983282	0.058200718
364	0.096501667	0.134761929	0.058241405
365	0.097048333	0.135632949	0.058463718
366	0.0973845	0.136232864	0.058536136
367	0.0974435	0.136637299	0.058249701
368	0.097523	0.137120433	0.057925567
369	0.098466833	0.138493909	0.058439758
370	0.098782667	0.139147422	0.058417911
371	0.099021333	0.139776615	0.058266052
372	0.0995405	0.140862712	0.058218288
373	0.100290167	0.142065613	0.058514721
374	0.101080333	0.143381256	0.058779411
375	0.101875833	0.144802697	0.05894897
376	0.102246333	0.145576542	0.058916125
377	0.102880833	0.146717952	0.059043715
378	0.103628	0.148045115	0.059210885
379	0.103952167	0.148923879	0.058980455
380	0.104668333	0.150209097	0.05912757
381	0.105344667	0.151458144	0.059231189
382	0.10559	0.152270345	0.058909655
383	0.106534167	0.153916648	0.059151685
384	0.107383833	0.155442853	0.059324813
385	0.107991167	0.156672852	0.059309481
386	0.108839333	0.158313382	0.059365285
387	0.109883167	0.160136188	0.059630145
388	0.110929833	0.161909214	0.059950452
389	0.1112315	0.16273173	0.05973127
390	0.112203167	0.164237821	0.060168512
391	0.113166833	0.165766239	0.060567427
392	0.1135015	0.166744418	0.060258582
393	0.1140935	0.167996288	0.060190712
394	0.114793167	0.169384515	0.060201818
395	0.11555	0.170842149	0.060257851
396	0.116036333	0.172024231	0.060048436
397	0.1168045	0.173445788	0.060163212
398	0.117670167	0.174920913	0.06041942
399	0.118079833	0.175892868	0.060266798
400	0.118566167	0.176864812	0.060267521
401	0.119079333	0.177833446	0.060325221
402	0.1196315	0.178879155	0.060383845
403	0.120041167	0.179747047	0.060335287
404	0.120455333	0.180602991	0.060307675
405	0.120922833	0.181511706	0.06033396
