Wavelength	Mean	Std+	Std-
350	0.071937692	0.095221142	0.048654242
351	0.071372538	0.095393352	0.047351724
352	0.065650846	0.092175862	0.03912583
353	0.068983731	0.094073831	0.04389363
354	0.070681462	0.095308322	0.046054601
355	0.070561692	0.095590708	0.045532676
356	0.075221346	0.097747718	0.052694974
357	0.075300769	0.097896052	0.052705487
358	0.073123808	0.097072857	0.049174758
359	0.071650577	0.096552553	0.046748601
360	0.070076385	0.095563144	0.044589625
361	0.070503769	0.095760826	0.045246713
362	0.074747192	0.098478413	0.051015971
363	0.075432	0.099166213	0.051697787
364	0.074236654	0.098669553	0.049803755
365	0.071506269	0.097184426	0.045828112
366	0.070783885	0.097269194	0.044298576
367	0.073576038	0.099058848	0.048093229
368	0.076707077	0.100933221	0.052480933
369	0.072123962	0.098628853	0.04561907
370	0.073894538	0.099573442	0.048215635
371	0.075980885	0.100785635	0.051176134
372	0.074637692	0.100400071	0.048875313
373	0.073828846	0.100206503	0.047451189
374	0.074316385	0.100760212	0.047872557
375	0.076157346	0.102118524	0.050196169
376	0.074970115	0.101852034	0.048088197
377	0.076689846	0.103095955	0.050283738
378	0.079848154	0.105086454	0.054609853
379	0.080893038	0.105787998	0.055998079
380	0.077329269	0.104120535	0.050538003
381	0.074707077	0.103088014	0.04632614
382	0.077732077	0.105046295	0.050417859
383	0.076195577	0.104521429	0.047869725
384	0.075298885	0.104415948	0.046181822
385	0.075954808	0.10519463	0.046714985
386	0.0802225	0.107602959	0.052842041
387	0.080431808	0.108017064	0.052846551
388	0.078261654	0.107236396	0.049286912
389	0.078521	0.107581087	0.049460913
390	0.079475577	0.108307054	0.0506441
391	0.0798645	0.108725482	0.051003518
392	0.078292846	0.108031381	0.048554312
393	0.080475231	0.109465136	0.051485325
394	0.081994885	0.110587125	0.053402644
395	0.081930308	0.110861959	0.052998657
396	0.081059346	0.110691156	0.051427536
397	0.080894077	0.110874036	0.050914118
398	0.081305615	0.111334769	0.051276462
399	0.082178385	0.111971899	0.05238487
400	0.082637192	0.112412046	0.052862338
401	0.083003154	0.112793219	0.053213088
402	0.083595346	0.113257667	0.053933025
403	0.083161769	0.113190142	0.053133396
404	0.083259808	0.113401007	0.053118609
405	0.084342308	0.114128979	0.054555636
406	0.084006308	0.114153113	0.053859503
407	0.084513115	0.114604682	0.054421549
408	0.085477846	0.115276651	0.055679041
409	0.084826615	0.115039203	0.054614027
410	0.084885077	0.11526549	0.054504664
411	0.085313769	0.115700498	0.05492704
412	0.085928269	0.116163982	0.055692557
413	0.085933231	0.116327648	0.055538813
414	0.086123346	0.11659958	0.055647112
415	0.086775885	0.117129703	0.056422066
416	0.087140077	0.117489769	0.056790385
417	0.087295192	0.117735854	0.05685453
418	0.087331154	0.117920494	0.056741814
419	0.087783385	0.118360869	0.0572059
420	0.087651962	0.11842269	0.056881233
421	0.0874025	0.11839987	0.05640513
422	0.087655769	0.118677661	0.056633878
423	0.087859885	0.11899644	0.056723329
424	0.088134192	0.119339283	0.056929102
425	0.088541385	0.119706204	0.057376565
426	0.089185269	0.120230908	0.05813963
427	0.089566692	0.120604259	0.058529125
