Wavelength	Mean	Std+	Std-
350	0.084383575	0.090239857	0.078527293
351	0.084839425	0.090687993	0.078990857
352	0.085373	0.091156704	0.079589296
353	0.085531725	0.091359732	0.079703718
354	0.08571995	0.091637587	0.079802313
355	0.08597105	0.092017956	0.079924144
356	0.086256325	0.092463301	0.080049349
357	0.086510225	0.092775016	0.080245434
358	0.086807025	0.093057913	0.080556137
359	0.0873454	0.093533427	0.081157373
360	0.087543375	0.093761001	0.081325749
361	0.087694225	0.093976098	0.081412352
362	0.087950475	0.094313377	0.081587573
363	0.088286075	0.094755942	0.081816208
364	0.08863745	0.095165551	0.082109349
365	0.0889845	0.095518378	0.082450622
366	0.089123525	0.095750603	0.082496447
367	0.0894648	0.096059604	0.082869996
368	0.089889275	0.096420326	0.083358224
369	0.09011485	0.096777575	0.083452125
370	0.090592875	0.097340699	0.083845051
371	0.091135175	0.097968371	0.084301979
372	0.091630075	0.098582264	0.084677886
373	0.09230385	0.099371115	0.085236585
374	0.0928232	0.099966145	0.085680255
375	0.093140225	0.100312987	0.085967463
376	0.094045075	0.10130113	0.08678902
377	0.0947453	0.102062376	0.087428224
378	0.09534585	0.102740476	0.087951224
379	0.0961368	0.103781071	0.088492529
380	0.096976975	0.104672765	0.089281185
381	0.09777495	0.105460565	0.090089335
382	0.098434725	0.106139961	0.090729489
383	0.099242375	0.107089042	0.091395708
384	0.100019125	0.10803536	0.09200289
385	0.100732575	0.108931448	0.092533702
386	0.10153565	0.10985559	0.09321571
387	0.10250925	0.110898159	0.094120341
388	0.10355505	0.111999358	0.095110742
389	0.104347275	0.112983314	0.095711236
390	0.104925525	0.113649339	0.096201711
391	0.105507275	0.114256881	0.096757669
392	0.1063238	0.115050856	0.097596744
393	0.107229725	0.116074077	0.098385373
394	0.1081627	0.117150681	0.099174719
395	0.1090862	0.118217586	0.099954814
396	0.11001995	0.119342476	0.100697424
397	0.110897175	0.120328866	0.101465484
398	0.11169635	0.121186581	0.102206119
399	0.112321625	0.121892623	0.102750627
400	0.11294605	0.122588241	0.103303859
401	0.113558725	0.123270397	0.103847053
402	0.11419935	0.123991728	0.104406972
403	0.1148119	0.124660118	0.104963682
404	0.11541525	0.125310675	0.105519825
405	0.116029275	0.125967819	0.106090731
406	0.1166301	0.126652948	0.106607252
407	0.117226875	0.127321969	0.107131781
408	0.117832925	0.127992226	0.107673624
409	0.118542825	0.128784935	0.108300715
410	0.1192015	0.12951763	0.10888537
411	0.119833125	0.130217844	0.109448406
412	0.1204747	0.130926489	0.110022911
413	0.1210822	0.13156565	0.11059875
414	0.121681925	0.132226836	0.111137014
415	0.1222924	0.132956823	0.111627977
416	0.122963675	0.133627764	0.112299586
417	0.1236471	0.134368319	0.112925881
418	0.124338575	0.13516937	0.11350778
419	0.12503355	0.135942617	0.114124483
420	0.125701325	0.136698139	0.114704511
421	0.126378975	0.137456634	0.115301316
422	0.127141925	0.138263371	0.116020479
423	0.127967725	0.139187144	0.116748306
424	0.128779	0.140098378	0.117459622
425	0.129550975	0.140952511	0.118149439
426	0.13034925	0.141832163	0.118866337
427	0.131208025	0.142784202	0.119631848
428	0.132128875	0.143811358	0.120446392
429	0.13306825	0.14486855	0.12126795
430	0.134085325	0.145990375	0.122180275
431	0.135147725	0.147160585	0.123134865
432	0.136247575	0.148407444	0.124087706
433	0.137295025	0.149603485	0.124986565
434	0.138307925	0.150730868	0.125884982
435	0.139300875	0.151778454	0.126823296
436	0.14025025	0.152859879	0.127640621
437	0.141192675	0.153911041	0.128474309
438	0.14214525	0.154943689	0.129346811
439	0.143207175	0.156085861	0.130328489
440	0.1441864	0.157175077	0.131197723
441	0.145106125	0.158212487	0.131999763
442	0.14600245	0.159186701	0.132818199
443	0.146859675	0.160124051	0.133595299
444	0.147706725	0.161063011	0.134350439
445	0.148562175	0.162032553	0.135091797
446	0.149346825	0.162878646	0.135815004
447	0.15013925	0.163739307	0.136539193
448	0.150952025	0.164634265	0.137269785
449	0.151739125	0.165505571	0.137972679
450	0.15246865	0.166308825	0.138628475
451	0.15315825	0.167065212	0.139251288
452	0.153827225	0.167799479	0.139854971
453	0.154493025	0.168534576	0.140451474
454	0.155141825	0.169250961	0.141032689
455	0.155756325	0.169926508	0.141586142
456	0.156338175	0.170575651	0.142100699
457	0.156858625	0.171173751	0.142543499
458	0.157304125	0.171706498	0.142901752
459	0.157738075	0.172167585	0.143308565
460	0.15812655	0.172591852	0.143661248
461	0.15847755	0.172981725	0.143973375
462	0.1587893	0.173317727	0.144260873
463	0.159074525	0.173639904	0.144509146
464	0.159337225	0.173940616	0.144733834
465	0.1595685	0.174201871	0.144935129
466	0.159814725	0.174485667	0.145143783
467	0.160044875	0.174742115	0.145347635
468	0.1602491	0.174956051	0.145542149
469	0.16050275	0.175255524	0.145749976
470	0.1607448	0.175534959	0.145954641
471	0.160977025	0.175797464	0.146156586
472	0.16120705	0.176053505	0.146360595
473	0.161488225	0.176375327	0.146601123
474	0.1617898	0.176717538	0.146862062
475	0.1620922	0.177045475	0.147138925
476	0.16241155	0.177419484	0.147403616
477	0.162766075	0.177826298	0.147705852
478	0.163165725	0.178268375	0.148063075
479	0.1635562	0.178693607	0.148418793
480	0.16396945	0.179151415	0.148787485
481	0.164408175	0.179642473	0.149173877
482	0.16489725	0.180183216	0.149611284
483	0.165403	0.18073568	0.15007032
484	0.165943275	0.181331862	0.150554688
485	0.166547675	0.182023223	0.151072127
486	0.167159475	0.182698718	0.151620232
487	0.1678212	0.183431908	0.152210492
488	0.168552625	0.184252838	0.152852412
489	0.169252625	0.1850471	0.15345815
490	0.16996735	0.185850196	0.154084504
491	0.170693125	0.186656938	0.154729312
492	0.17148745	0.187522307	0.155452593
493	0.17229855	0.188398974	0.156198126
494	0.17312485	0.189298231	0.156951469
495	0.17397675	0.190254589	0.157698911
496	0.174831025	0.191192524	0.158469526
497	0.1756894	0.192140444	0.159238356
498	0.176560675	0.193119562	0.160001788
499	0.1775128	0.194138921	0.160886679
500	0.178484325	0.195192189	0.161776461
501	0.179470225	0.196273964	0.162666486
502	0.1804714	0.197362263	0.163580537
503	0.1814735	0.198473926	0.164473074
504	0.182479625	0.199590564	0.165368686
505	0.18351985	0.200707762	0.166331938
506	0.184544425	0.20182433	0.16726452
507	0.1855688	0.202940723	0.168196877
508	0.1866092	0.20406699	0.16915141
509	0.18770625	0.205235477	0.170177023
510	0.188773425	0.206398108	0.171148742
511	0.189812875	0.2075546	0.17207115
512	0.1908809	0.208700291	0.173061509
513	0.191934175	0.209846753	0.174021597
514	0.192991325	0.210997608	0.174985042
515	0.1940712	0.21213739	0.17600501
516	0.195135875	0.213270611	0.177001139
