Wavelength	Mean	Std+	Std-
350	0.12020915	0.126311967	0.114106333
351	0.12063735	0.126765487	0.114509213
352	0.1210512	0.127228379	0.114874021
353	0.121404675	0.127556971	0.115252379
354	0.1217832	0.127895286	0.115671114
355	0.12218335	0.128249743	0.116116957
356	0.122432325	0.128530549	0.116334101
357	0.1228665	0.128995584	0.116737416
358	0.123363475	0.129509094	0.117217856
359	0.123698325	0.129805395	0.117591255
360	0.12402415	0.13012179	0.11792651
361	0.124389025	0.13048348	0.11829457
362	0.1248427	0.130929456	0.118755944
363	0.1250086	0.131101877	0.118915323
364	0.12523215	0.131348398	0.119115902
365	0.125547425	0.131700547	0.119394303
366	0.125792875	0.131915294	0.119670456
367	0.126183525	0.132293767	0.120073283
368	0.12664755	0.132764113	0.120530987
369	0.12702475	0.133183884	0.120865616
370	0.127277825	0.133448479	0.121107171
371	0.12759675	0.133766582	0.121426918
372	0.1281428	0.134307949	0.121977651
373	0.1286372	0.134760522	0.122513878
374	0.129125	0.135249057	0.123000943
375	0.129613525	0.135795896	0.123431154
376	0.1301496	0.136339569	0.123959631
377	0.13059555	0.136787926	0.124403174
378	0.13100695	0.137198709	0.124815191
379	0.131541375	0.137735467	0.125347283
380	0.13209275	0.138316101	0.125869399
381	0.132616275	0.138858295	0.126374255
382	0.1330588	0.139268972	0.126848628
383	0.13357365	0.139785337	0.127361963
384	0.13411275	0.14031766	0.12790784
385	0.1346702	0.140854515	0.128485885
386	0.1353006	0.141504971	0.129096229
387	0.135963	0.142194417	0.129731583
388	0.136622625	0.14287937	0.13036588
389	0.1371521	0.14339334	0.13091086
390	0.137617925	0.143851728	0.131384122
391	0.138081575	0.144320689	0.131842461
392	0.1386185	0.144886798	0.132350202
393	0.1391608	0.145462915	0.132858685
394	0.139716375	0.1460288	0.13340395
395	0.14027405	0.1465669	0.1339812
396	0.1407435	0.147002639	0.134484361
397	0.141242675	0.147524201	0.134961149
398	0.14174375	0.148077718	0.135409782
399	0.1421802	0.148525153	0.135835247
400	0.142553075	0.148888462	0.136217688
401	0.142904575	0.149237392	0.136571758
402	0.1432978	0.149665194	0.136930406
403	0.143559025	0.149891099	0.137226951
404	0.1438218	0.150131586	0.137512014
405	0.14412685	0.150445926	0.137807774
406	0.144429175	0.150758171	0.138100179
407	0.144715825	0.151044332	0.138387318
408	0.14499225	0.151313097	0.138671403
409	0.145290925	0.151612659	0.138969191
410	0.14552945	0.151847596	0.139211304
411	0.1457536	0.152066963	0.139440237
412	0.146020175	0.152329972	0.139710378
413	0.1462759	0.152584877	0.139966923
414	0.146517425	0.152831346	0.140203504
415	0.146745675	0.153072082	0.140419268
416	0.146971075	0.153291966	0.140650184
417	0.147206625	0.153522649	0.140890601
418	0.147444725	0.153756913	0.141132537
419	0.1476189	0.153923681	0.141314119
420	0.147842275	0.154145807	0.141538743
421	0.148082925	0.154386944	0.141778906
422	0.1483032	0.154603079	0.142003321
423	0.1485285	0.154829811	0.142227189
424	0.148743225	0.155044976	0.142441474
425	0.1489408	0.155239251	0.142642349
426	0.149140375	0.155429524	0.142851226
427	0.149350775	0.155635118	0.143066432
428	0.149573925	0.155858667	0.143289183
429	0.14981555	0.156101958	0.143529142
430	0.1500395	0.1563267	0.1437523
431	0.150256875	0.156544618	0.143969132
432	0.15049235	0.156780207	0.144204493
433	0.15072085	0.157011438	0.144430262
434	0.150925075	0.157221344	0.144628806
435	0.151092725	0.157398013	0.144787437
436	0.151280825	0.157584915	0.144976735
437	0.151469725	0.157770277	0.145169173
438	0.151659325	0.15795547	0.14536318
439	0.151854125	0.158152747	0.145555503
440	0.15201835	0.158318932	0.145717768
441	0.15217265	0.158477589	0.145867711
442	0.15236605	0.158686314	0.146045786
443	0.152554325	0.158878733	0.146229917
444	0.152731225	0.1590561	0.14640635
445	0.1528897	0.159214383	0.146565017
446	0.1530537	0.159375803	0.146731597
447	0.153227625	0.159553828	0.146901422
448	0.153412425	0.159749767	0.147075083
449	0.1535877	0.159938096	0.147237304
450	0.153782325	0.160140616	0.147424034
451	0.153985275	0.160348662	0.147621888
452	0.154169075	0.160538457	0.147799693
453	0.1543428	0.160713099	0.147972501
454	0.15451275	0.160883452	0.148142048
455	0.154682525	0.161056052	0.148308998
456	0.15486035	0.161250088	0.148470612
457	0.155018825	0.161424909	0.148612741
458	0.155150875	0.161571086	0.148730664
459	0.155289175	0.161720375	0.148857975
460	0.155415425	0.161850773	0.148980077
461	0.15553345	0.161971644	0.149095256
462	0.1556507	0.162108035	0.149193365
463	0.15575725	0.162219063	0.149295437
464	0.155864475	0.162328986	0.149399964
465	0.15598235	0.16245859	0.14950611
466	0.1560792	0.162567228	0.149591172
467	0.1561682	0.162669254	0.149667146
468	0.156251075	0.162766652	0.149735498
469	0.15636045	0.162881253	0.149839647
470	0.15644985	0.162981762	0.149917938
471	0.15652775	0.163074023	0.149981477
472	0.15662775	0.163182809	0.150072691
473	0.156721325	0.163294578	0.150148072
474	0.1568099	0.16339942	0.15022038
475	0.156892825	0.163483522	0.150302128
476	0.15694625	0.163549582	0.150342918
477	0.157030275	0.163645829	0.150414721
478	0.157163125	0.16378801	0.15053824
479	0.157263025	0.163903075	0.150622975
480	0.157358475	0.164013995	0.150702955
481	0.15745205	0.164121956	0.150782144
482	0.157553375	0.164230578	0.150876172
483	0.157647475	0.164324353	0.150970597
484	0.15774845	0.164424361	0.151072539
485	0.1578761	0.164557966	0.151194234
486	0.158006275	0.164712883	0.151299667
487	0.158128175	0.164859388	0.151396962
488	0.1582365	0.164986289	0.151486711
489	0.158319975	0.165089055	0.151550895
490	0.158441025	0.165227269	0.151654781
491	0.15858835	0.165388346	0.151788354
492	0.1587036	0.165508683	0.151898517
493	0.158840625	0.165657385	0.152023865
494	0.158983375	0.165816097	0.152150653
495	0.159111375	0.165964202	0.152258548
496	0.1592615	0.166130385	0.152392615
497	0.15939195	0.166273457	0.152510443
