Wavelength	Mean	Std+	Std-
350	0.063433925	0.068493664	0.058374186
351	0.063623275	0.06865722	0.05858933
352	0.063888325	0.068945873	0.058830777
353	0.063890725	0.068981065	0.058800385
354	0.063912775	0.069126742	0.058698808
355	0.06398135	0.069411135	0.058551565
356	0.0641429	0.069550724	0.058735076
357	0.0642096	0.069491875	0.058927325
358	0.06427665	0.069447034	0.059106266
359	0.06455675	0.069837264	0.059276236
360	0.064728675	0.070022665	0.059434685
361	0.064879325	0.070144515	0.059614135
362	0.065053375	0.070261334	0.059845416
363	0.065139525	0.070393608	0.059885442
364	0.06535285	0.070640115	0.060065585
365	0.06570025	0.070992223	0.060408277
366	0.0657801	0.071008449	0.060551751
367	0.06595295	0.071229404	0.060676496
368	0.066146375	0.071536202	0.060756548
369	0.066169	0.071635173	0.060702827
370	0.066456875	0.071918027	0.060995723
371	0.06677495	0.072180434	0.061369466
372	0.066964925	0.072259891	0.061669959
373	0.067414875	0.072795469	0.062034281
374	0.06775605	0.073231157	0.062280943
375	0.067928375	0.073477117	0.062379633
376	0.0682294	0.073840713	0.062618087
377	0.06840435	0.074006811	0.062801889
378	0.068502725	0.074073648	0.062931802
379	0.068653025	0.074306765	0.062999285
380	0.0691155	0.074783594	0.063447406
381	0.06965845	0.075356145	0.063960755
382	0.070113525	0.075936522	0.064290528
383	0.07040885	0.076179185	0.064638515
384	0.07060035	0.076331645	0.064869055
385	0.07069635	0.076436359	0.064956341
386	0.071187925	0.076997363	0.065378487
387	0.0717517	0.077580705	0.065922695
388	0.0723484	0.078176217	0.066520583
389	0.0728647	0.07874968	0.06697972
390	0.073129075	0.079071299	0.067186851
391	0.073315325	0.079305939	0.067324711
392	0.073559075	0.079577292	0.067540858
393	0.0738642	0.079874689	0.067853711
394	0.07412225	0.080119883	0.068124617
395	0.07430355	0.080289791	0.068317309
396	0.07489195	0.080962189	0.068821711
397	0.075343825	0.081475832	0.069211818
398	0.07570375	0.081881192	0.069526308
399	0.07610035	0.082329738	0.069870962
400	0.076297	0.082582591	0.070011409
401	0.076408675	0.082733643	0.070083707
402	0.076515175	0.082836257	0.070194093
403	0.076756875	0.08306301	0.07045074
404	0.07693485	0.083230428	0.070639272
405	0.0769989	0.083290767	0.070707033
406	0.07725285	0.083557579	0.070948121
407	0.077514775	0.08383831	0.07119124
408	0.0777562	0.084101267	0.071411133
409	0.077828025	0.084182921	0.071473129
410	0.078096175	0.084465188	0.071727162
411	0.078393725	0.084781928	0.072005522
412	0.0785401	0.08495551	0.07212469
413	0.07865225	0.08510438	0.07220012
414	0.078796775	0.085269976	0.072323574
415	0.079004525	0.085472407	0.072536643
416	0.0791835	0.085684165	0.072682835
417	0.079355775	0.085878404	0.072833146
418	0.079529475	0.086064413	0.072994537
419	0.07976485	0.086328265	0.073201435
420	0.07993875	0.086514706	0.073362794
421	0.0801038	0.086683668	0.073523932
422	0.08034225	0.086923235	0.073761265
423	0.080561875	0.087168372	0.073955378
424	0.080746475	0.08738164	0.07411131
425	0.0808823	0.087542298	0.074222302
426	0.08111405	0.087791717	0.074436383
427	0.081341975	0.088034467	0.074649483
428	0.0815585	0.088264723	0.074852277
429	0.0817485	0.088483044	0.075013956
430	0.081982	0.08873534	0.07522866
431	0.08222975	0.088995276	0.075464224
432	0.0824498	0.089222994	0.075676606
433	0.0826727	0.089470004	0.075875396
434	0.082897525	0.08972421	0.07607084
435	0.08312775	0.089985571	0.076269929
436	0.083326975	0.090208898	0.076445052
437	0.083538925	0.090442246	0.076635604
438	0.083762875	0.090684739	0.076841011
439	0.083926825	0.090849875	0.077003775
440	0.084154425	0.091086465	0.077222385
441	0.08439295	0.09134178	0.07744412
442	0.084524275	0.091505073	0.077543477
443	0.084729375	0.091740081	0.077718669
444	0.084927325	0.091963063	0.077891587
445	0.08506645	0.092119099	0.078013801
446	0.085217475	0.092278432	0.078156518
447	0.085388125	0.092462993	0.078313257
448	0.085578125	0.092673935	0.078482315
449	0.08572125	0.092833212	0.078609288
450	0.085873775	0.093009754	0.078737796
451	0.086024475	0.093186908	0.078862042
452	0.086138025	0.093314527	0.078961523
453	0.086256225	0.093448739	0.079063711
454	0.08636985	0.093576185	0.079163515
455	0.086469575	0.093683866	0.079255284
456	0.086546675	0.093788902	0.079304448
457	0.0866507	0.09392663	0.07937477
458	0.086788625	0.094101652	0.079475598
459	0.08682315	0.094150201	0.079496099
460	0.086861925	0.094204253	0.079519597
461	0.08690785	0.094266561	0.079549139
462	0.086976675	0.094352776	0.079600574
463	0.08706535	0.094455332	0.079675368
464	0.087144175	0.094545754	0.079742596
465	0.087181325	0.094591945	0.079770705
466	0.08719605	0.094632118	0.079759982
467	0.08721495	0.094671253	0.079758647
468	0.08724425	0.09471033	0.07977817
469	0.087297425	0.094781715	0.079813135
470	0.087349575	0.094854497	0.079844653
471	0.087402625	0.094930993	0.079874257
472	0.087466975	0.095023909	0.079910041
473	0.08753505	0.095102168	0.079967932
474	0.0875964	0.095171606	0.080021194
475	0.0876366	0.095233692	0.080039508
476	0.087680575	0.09528566	0.08007549
477	0.08773305	0.095352393	0.080113707
478	0.087796425	0.09544198	0.08015087
479	0.087868925	0.095521909	0.080215941
480	0.087941225	0.095614183	0.080268267
481	0.088013025	0.095712637	0.080313413
482	0.088084575	0.095782916	0.080386234
483	0.0882002	0.095911935	0.080488465
484	0.0882985	0.096028534	0.080568466
485	0.088285825	0.096029392	0.080542258
486	0.088387075	0.09614339	0.08063076
487	0.088518175	0.09628752	0.08074883
488	0.088657975	0.096440908	0.080875042
489	0.0887743	0.096592818	0.080955782
490	0.088863125	0.096706705	0.081019545
491	0.088935725	0.096794378	0.081077072
492	0.089070575	0.096940266	0.081200884
493	0.089202675	0.097085179	0.081320171
494	0.0893329	0.09723115	0.08143465
495	0.089463025	0.097383743	0.081542307
496	0.08962825	0.097567293	0.081689207
497	0.0897704	0.097721528	0.081819272
498	0.08986325	0.097818919	0.081907581
499	0.090068125	0.098043567	0.082092683
500	0.090201125	0.098191178	0.082211072
501	0.090273225	0.098273902	0.082272548
502	0.09045545	0.098480529	0.082430371
503	0.09061955	0.098672285	0.082566815
504	0.090769175	0.098849143	0.082689207
505	0.090904425	0.099004921	0.082803929
506	0.09109085	0.099199977	0.082981723
507	0.09125725	0.099376847	0.083137653
508	0.0913678	0.099506142	0.083229458
509	0.0914918	0.099654547	0.083329053
510	0.09164475	0.09982452	0.08346498
511	0.091821875	0.100012046	0.083631704
512	0.09194665	0.100159423	0.083733877
513	0.092116725	0.100347024	0.083886426
514	0.0923074	0.100551564	0.084063236
515	0.092477425	0.100731072	0.084223778
516	0.092621325	0.100892715	0.084349935
517	0.09276895	0.1010617	0.0844762
518	0.0929362	0.101252605	0.084619795
519	0.0930927	0.101433874	0.084751526
520	0.093249375	0.101612158	0.084886592
521	0.09340515	0.101785914	0.085024386
522	0.09354805	0.101944638	0.085151462
523	0.093696875	0.102108793	0.085284957
524	0.093856825	0.102284864	0.085428786
525	0.094046075	0.102495091	0.085597059
526	0.0942107	0.10267476	0.08574664
527	0.09438445	0.102865422	0.085903478
528	0.0945928	0.103098227	0.086087373
529	0.094761325	0.10329145	0.0862312
530	0.0949399	0.103485145	0.086394655
531	0.09513365	0.103684205	0.086583095
532	0.095293525	0.10386955	0.0867175
533	0.09548105	0.104078548	0.086883552
534	0.0956835	0.104300553	0.087066447
535	0.0958686	0.104507866	0.087229334
536	0.09606805	0.104722313	0.087413787
537	0.096266825	0.104934396	0.087599254
538	0.0964541	0.105136886	0.087771314
539	0.096653875	0.105368227	0.087939523
540	0.09687315	0.105613705	0.088132595
541	0.0971119	0.105869621	0.088354179
542	0.09730995	0.106098255	0.088521645
543	0.09752775	0.106337338	0.088718162
544	0.0977641	0.106590517	0.088937683
545	0.098032025	0.106887648	0.089176402
546	0.098265175	0.107148335	0.089382015
547	0.09848665	0.107395031	0.089578269
548	0.098713875	0.107643707	0.089784043
549	0.09900975	0.107970257	0.090049243
550	0.09931135	0.108301111	0.090321589
551	0.099605525	0.108620868	0.090590182
552	0.09989095	0.108933338	0.090848562
553	0.100189825	0.109262896	0.091116754
554	0.1005035	0.10960893	0.09139807
555	0.10084385	0.109972528	0.091715172
556	0.10118745	0.110346674	0.092028226
557	0.1015452	0.110737117	0.092353283
558	0.10193475	0.111157164	0.092712336
559	0.102315575	0.111576813	0.093054337
560	0.10271295	0.112013565	0.093412335
561	0.103134775	0.112472504	0.093797046
562	0.103543	0.112918182	0.094167818
563	0.1039641	0.113376501	0.094551699
564	0.104403725	0.113854055	0.094953395
565	0.1048887	0.114381467	0.095395933
566	0.105360425	0.114892986	0.095827864
567	0.105837375	0.115408893	0.096265857
568	0.10634215	0.115952775	0.096731525
569	0.10686715	0.116523443	0.097210857
570	0.1074001	0.117103089	0.097697111
571	0.10793665	0.117685806	0.098187494
572	0.108495	0.11829003	0.09869997
573	0.109037525	0.118876699	0.099198351
574	0.10956785	0.119449391	0.099686309
575	0.110120775	0.120043104	0.100198446
576	0.110695025	0.120657436	0.100732614
577	0.11128405	0.121289863	0.101278237
578	0.111876175	0.121936288	0.101816062
579	0.112448625	0.122552387	0.102344863
580	0.113021425	0.123170029	0.102872821
581	0.113601	0.123800391	0.103401609
582	0.114160675	0.124395519	0.103925831
583	0.11471325	0.124989745	0.104436755
584	0.115262375	0.125586573	0.104938177
585	0.115800975	0.126159488	0.105442462
586	0.11633525	0.126729545	0.105940955
587	0.11687195	0.127306047	0.106437853
588	0.11740405	0.127887817	0.106920283
589	0.117936575	0.128463635	0.107409515
590	0.118458275	0.129029833	0.107886717
591	0.1189513	0.129572183	0.108330417
592	0.1194337	0.130091251	0.108776149
593	0.119918975	0.130614137	0.109223813
594	0.120408625	0.131143424	0.109673826
595	0.120859925	0.131630489	0.110089361
596	0.12131725	0.132130869	0.110503631
597	0.12177555	0.132635629	0.110915471
598	0.122219525	0.133120488	0.111318562
599	0.1226415	0.133581964	0.111701036
600	0.1230542	0.134033701	0.112074699
601	0.12345785	0.134476258	0.112439442
602	0.12384745	0.134901006	0.112793894
603	0.12422595	0.135319656	0.113132244
604	0.12459315	0.135732157	0.113454143
605	0.12495175	0.136129865	0.113773635
606	0.12529375	0.136507019	0.114080481
607	0.125623275	0.136869978	0.114376572
608	0.12593245	0.137215254	0.114649646
609	0.126244825	0.13756086	0.11492879
610	0.126542	0.137888118	0.115195882
611	0.12679845	0.138169573	0.115427327
612	0.127087975	0.138490078	0.115685872
613	0.127369475	0.13879769	0.11594126
614	0.127635575	0.139083414	0.116187736
615	0.127871175	0.139355556	0.116386794
616	0.1281228	0.139633682	0.116611918
617	0.1283989	0.13992999	0.11686781
618	0.128742025	0.140295723	0.117188327
619	0.128966075	0.140533531	0.117398619
620	0.1291909	0.140770967	0.117610833
621	0.129512625	0.141109311	0.117915939
622	0.1297495	0.141372273	0.118126727
623	0.129999675	0.141643907	0.118355443
624	0.130281675	0.141939201	0.118624149
625	0.130463925	0.142148504	0.118779346
626	0.13067465	0.142378835	0.118970465
627	0.130908	0.142627524	0.119188476
628	0.13115735	0.142899251	0.119415449
629	0.131387675	0.143160594	0.119614756
630	0.131599675	0.143400123	0.119799227
631	0.131787275	0.14359832	0.11997623
632	0.13201215	0.143845409	0.120178891
633	0.132217275	0.144073235	0.120361315
634	0.1323899	0.144267219	0.120512581
635	0.132599025	0.144496157	0.120701893
636	0.132785225	0.144704555	0.120865895
637	0.1329604	0.144903624	0.121017176
638	0.133178875	0.145144346	0.121213404
639	0.133401775	0.145393777	0.121409773
640	0.1336114	0.145631347	0.121591453
641	0.13378045	0.145827419	0.121733481
642	0.1339742	0.146038343	0.121910057
643	0.1341756	0.14625873	0.12209247
644	0.134383025	0.146489596	0.122276454
645	0.1345607	0.146693604	0.122427796
646	0.134772625	0.146931233	0.122614017
647	0.135003825	0.147187775	0.122819875
648	0.1351609	0.147371861	0.122949939
649	0.1353278	0.147557784	0.123097816
650	0.1355185	0.147768565	0.123268435
651	0.135769725	0.148052655	0.123486795
652	0.13596855	0.148274697	0.123662403
653	0.136161625	0.148493404	0.123829846
654	0.136366925	0.148731883	0.124001967
655	0.1366039	0.148993072	0.124214728
656	0.136832775	0.149259025	0.124406525
657	0.13705005	0.149522016	0.124578084
658	0.1373067	0.149803977	0.124809423
659	0.137578725	0.150099351	0.125058099
660	0.137853375	0.15039621	0.12531054
661	0.13811535	0.150678249	0.125552451
662	0.138361425	0.150946496	0.125776354
663	0.1386047	0.151215406	0.125993994
664	0.1388497	0.151491218	0.126208182
665	0.1391153	0.151780297	0.126450303
666	0.139386025	0.152075501	0.126696549
667	0.139661375	0.152376602	0.126946148
668	0.1399446	0.1526863	0.1272029
669	0.140220175	0.152986727	0.127453623
670	0.140484375	0.153275509	0.127693241
671	0.140721225	0.153538347	0.127904103
672	0.140985525	0.153827129	0.128143921
673	0.141256825	0.154122884	0.128390766
674	0.1415282	0.154419747	0.128636653
675	0.1418067	0.154727255	0.128886145
676	0.142109625	0.155056813	0.129162437
677	0.142433225	0.155404627	0.129461823
678	0.142688475	0.155689159	0.129687791
679	0.1429897	0.156014095	0.129965305
680	0.143302625	0.156348873	0.130256377
681	0.143555725	0.156628211	0.130483239
682	0.14385365	0.15695845	0.13074885
683	0.14417195	0.157308933	0.131034967
684	0.14450875	0.157673885	0.131343615
685	0.1448256	0.15800893	0.13164227
686	0.145136775	0.158354368	0.131919182
687	0.14543515	0.158706223	0.132164077
688	0.14575805	0.15906598	0.13245012
689	0.146096925	0.159433962	0.132759888
690	0.14643875	0.159800296	0.133077204
691	0.14677795	0.160168111	0.133387789
692	0.14710385	0.160518187	0.133689513
693	0.147442925	0.160884106	0.134001744
694	0.147815525	0.16129171	0.13433934
695	0.14819045	0.16169275	0.13468815
696	0.148549425	0.162077597	0.135021253
697	0.148897475	0.162453339	0.135341611
698	0.14930035	0.162889759	0.135710941
699	0.1496745	0.163297551	0.136051449
700	0.1500309	0.163686975	0.136374825
701	0.15039255	0.164077141	0.136707959
702	0.150787	0.164507731	0.137066269
703	0.1511651	0.164922468	0.137407732
704	0.1514856	0.16527537	0.13769583
705	0.15188075	0.165709141	0.138052359
706	0.1522689	0.166129433	0.138408367
707	0.152634275	0.166517294	0.138751256
708	0.153018975	0.166943445	0.139094505
709	0.153399325	0.167360628	0.139438022
710	0.1537745	0.167769392	0.139779608
711	0.1541394	0.168168537	0.140110263
712	0.154532825	0.168592773	0.140472877
713	0.154916925	0.169003779	0.140830071
714	0.155250325	0.169357991	0.141142659
715	0.155525975	0.169664496	0.141387454
716	0.1558444	0.170018428	0.141670372
717	0.1562433	0.170456532	0.142030068
718	0.156610975	0.170873866	0.142348084
719	0.157016075	0.171326698	0.142705452
720	0.15741385	0.171764146	0.143063554
721	0.157777125	0.172146673	0.143407577
722	0.15813225	0.172532402	0.143732098
723	0.158497075	0.17293138	0.14406277
724	0.158844975	0.173305942	0.144384008
725	0.159182425	0.173683614	0.144681236
726	0.159548675	0.174088065	0.145009285
727	0.1599666	0.174537849	0.145395351
728	0.160339575	0.174947585	0.145731565
729	0.1606999	0.17534693	0.14605287
730	0.161049475	0.17573685	0.1463621
731	0.161427125	0.176154759	0.146699491
732	0.161792875	0.176554213	0.147031537
733	0.162144525	0.17693613	0.14735292
734	0.162486525	0.177308353	0.147664697
735	0.162836275	0.177685133	0.147987417
736	0.1631714	0.178047993	0.148294807
737	0.163480125	0.178386786	0.148573464
738	0.16380945	0.17875402	0.14886488
739	0.164152275	0.179131858	0.149172692
740	0.16449745	0.179508198	0.149486702
741	0.1647623	0.179800694	0.149723906
742	0.1650511	0.180116949	0.149985251
743	0.165350575	0.180444736	0.150256414
744	0.165650425	0.180775993	0.150524857
745	0.165912275	0.181064661	0.150759889
746	0.166184075	0.181364042	0.151004108
747	0.1664909	0.181701305	0.151280495
748	0.166739575	0.18198179	0.15149736
749	0.166988225	0.182258509	0.151717941
750	0.1672363	0.182531119	0.151941481
751	0.167447225	0.182768647	0.152125803
752	0.167661275	0.18301239	0.15231016
753	0.167877275	0.183257071	0.152497479
754	0.1680948	0.183492973	0.152696627
755	0.168321	0.183735677	0.152906323
756	0.16854155	0.1839701	0.153113
757	0.168759575	0.184200003	0.153319147
758	0.168832025	0.184289454	0.153374596
759	0.168902275	0.184426726	0.153377824
760	0.168976875	0.184642652	0.153311098
761	0.169149875	0.184828253	0.153471497
762	0.16938435	0.185073918	0.153694782
763	0.169642725	0.185343489	0.153941961
764	0.16983475	0.18554481	0.15412469
765	0.17000795	0.185710047	0.154305853
766	0.170161025	0.185860522	0.154461528
767	0.17031065	0.186022341	0.154598959
768	0.170487275	0.186205948	0.154768602
769	0.170648625	0.186380443	0.154916807
770	0.17079105	0.186543877	0.155038223
771	0.170899575	0.186674248	0.155124902
772	0.171000225	0.186790367	0.155210083
773	0.1710979	0.186901665	0.155294135
774	0.171201575	0.187029555	0.155373595
775	0.17128155	0.187126657	0.155436443
776	0.1713703	0.187235148	0.155505452
777	0.171496075	0.187392015	0.155600135
778	0.171579275	0.187495865	0.155662685
779	0.1716521	0.187582399	0.155721801
780	0.17171845	0.18765573	0.15578117
781	0.171764575	0.187726829	0.155802321
782	0.171822775	0.187809306	0.155836244
783	0.171886675	0.187896489	0.155876861
784	0.171933975	0.187959597	0.155908353
785	0.17198365	0.188021375	0.155945925
786	0.172027575	0.188077048	0.155978102
787	0.172055125	0.188119068	0.155991182
788	0.172058575	0.188134822	0.155982328
789	0.172087025	0.18818014	0.15599391
790	0.17215315	0.188269555	0.156036745
791	0.17216935	0.188304216	0.156034484
792	0.172187725	0.188340717	0.156034733
793	0.172209625	0.18838014	0.15603911
794	0.1722435	0.188429025	0.156057975
795	0.17227545	0.188477647	0.156073253
796	0.17229805	0.188517252	0.156078848
797	0.1722982	0.188533469	0.156062931
798	0.172313425	0.188569442	0.156057408
799	0.17233005	0.188602383	0.156057717
800	0.172344725	0.188625427	0.156064023
801	0.17235155	0.188648772	0.156054328
802	0.172352875	0.188671544	0.156034206
803	0.172349275	0.188692169	0.156006381
804	0.172341225	0.188698009	0.155984441
805	0.172364475	0.188742731	0.155986219
806	0.172393475	0.188793321	0.155993629
807	0.17239865	0.18881054	0.15598676
808	0.17239215	0.188814669	0.155969631
809	0.1723655	0.188802895	0.155928105
810	0.17231085	0.188770328	0.155851372
811	0.17230415	0.188776131	0.155832169
812	0.172276325	0.188763987	0.155788663
813	0.17223395	0.188739116	0.155728784
814	0.17225565	0.188762439	0.155748861
815	0.172197775	0.188713648	0.155681902
816	0.17212405	0.188653632	0.155594468
817	0.172131825	0.188677262	0.155586388
818	0.172116375	0.18867177	0.15556098
819	0.172123025	0.188692148	0.155553902
820	0.17217295	0.18876447	0.15558143
821	0.172099175	0.188696535	0.155501815
822	0.172105375	0.188714484	0.155496266
823	0.17218655	0.188813361	0.155559739
824	0.172171925	0.188821638	0.155522212
825	0.17214035	0.18879833	0.15548237
826	0.17210585	0.188768127	0.155443573
827	0.172093475	0.188771659	0.155415291
828	0.1720911	0.188789112	0.155393088
829	0.1720915	0.188805421	0.155377579
830	0.172092725	0.188813367	0.155372083
831	0.172062625	0.188796782	0.155328468
832	0.17206795	0.188820473	0.155315427
833	0.172105475	0.188879797	0.155331153
834	0.1720657	0.18885251	0.15527889
835	0.172091975	0.188901416	0.155282534
836	0.172150125	0.188983291	0.155316959
837	0.172192525	0.189031436	0.155353614
838	0.1722186	0.189080215	0.155356985
839	0.172216825	0.189101573	0.155332077
840	0.1721714	0.189071157	0.155271643
