Wavelength	Mean	Std+	Std-
350	0.0485608	0.053180143	0.043941457
351	0.0486102	0.053374669	0.043845731
352	0.0485488	0.053546993	0.043550607
353	0.048773	0.053689592	0.043856408
354	0.0491394	0.054000025	0.044278775
355	0.0496068	0.054471102	0.044742498
356	0.0497876	0.054730254	0.044844946
357	0.049912	0.054934596	0.044889404
358	0.0501666	0.055273513	0.045059687
359	0.0510592	0.056236574	0.045881826
360	0.051368	0.056587658	0.046148342
361	0.0515744	0.056851757	0.046297043
362	0.051919	0.057307199	0.046530801
363	0.0524192	0.057786547	0.047051853
364	0.0529404	0.058324793	0.047556007
365	0.0534486	0.058909358	0.047987842
366	0.053641	0.059190427	0.048091573
367	0.0538424	0.059419108	0.048265692
368	0.0541148	0.059701846	0.048527754
369	0.0546776	0.060363565	0.048991635
370	0.0553104	0.061007194	0.049613606
371	0.0559058	0.061609874	0.050201726
372	0.0563626	0.062126824	0.050598376
373	0.0569358	0.062842137	0.051029463
374	0.0575122	0.063537346	0.051487054
375	0.0580734	0.064168655	0.051978145
376	0.05861	0.064793816	0.052426184
377	0.059169	0.065459294	0.052878706
378	0.0597746	0.066165969	0.053383231
379	0.0605084	0.066894988	0.054121812
380	0.06111	0.067544592	0.054675408
381	0.0616094	0.06810326	0.05511554
382	0.0619868	0.068513204	0.055460396
383	0.0629526	0.069590416	0.056314784
384	0.0636538	0.070427924	0.056879676
385	0.0639244	0.07084926	0.05699954
386	0.0650066	0.071939285	0.058073915
387	0.0658542	0.072952213	0.058756187
388	0.0665556	0.07388769	0.05922351
389	0.067431	0.074750146	0.060111854
390	0.0680124	0.075440796	0.060584004
391	0.0685376	0.076090846	0.060984354
392	0.0692232	0.076824271	0.061622129
393	0.0697242	0.077426615	0.062021785
394	0.0702898	0.078095383	0.062484217
395	0.0709578	0.07885656	0.06305904
396	0.071991	0.080052421	0.063929579
397	0.0726828	0.080861467	0.064504133
398	0.0732008	0.081467262	0.064934338
399	0.0740782	0.08244265	0.06571375
400	0.0746012	0.083036071	0.066166329
401	0.07501	0.083499009	0.066520991
402	0.075517	0.084051879	0.066982121
403	0.0759866	0.084563756	0.067409444
404	0.076464	0.085088585	0.067839415
405	0.0769738	0.085654998	0.068292602
406	0.077708	0.0864468	0.0689692
407	0.0783782	0.087206409	0.069549991
408	0.0789872	0.087925892	0.070048508
409	0.0795646	0.088572424	0.070556776
410	0.0801326	0.089245801	0.071019399
411	0.0807036	0.089914884	0.071492316
412	0.0813162	0.090565539	0.072066861
413	0.082008	0.091329858	0.072686142
414	0.0826232	0.09201387	0.07323253
415	0.0831096	0.092553443	0.073665757
416	0.083821	0.093371893	0.074270107
417	0.0844708	0.094106965	0.074834635
418	0.085071	0.094774014	0.075367986
419	0.0858076	0.095606504	0.076008696
420	0.0865424	0.096428294	0.076656506
421	0.0872756	0.097250699	0.077300501
422	0.0880164	0.098101004	0.077931796
423	0.0887402	0.098923585	0.078556815
424	0.0894984	0.099780633	0.079216167
425	0.0903288	0.100715799	0.079941801
426	0.0910518	0.101550133	0.080553467
427	0.0918764	0.102480603	0.081272197
428	0.0928126	0.103518607	0.082106593
429	0.0937524	0.104577341	0.082927459
430	0.094758	0.105731371	0.083784629
431	0.0957794	0.106910149	0.084648651
432	0.0967526	0.108017344	0.085487856
433	0.0978514	0.109280909	0.086421891
434	0.0989264	0.110509394	0.087343406
435	0.0999166	0.111619042	0.088214158
436	0.100843	0.112648322	0.089037678
437	0.1018382	0.1137722	0.0899042
438	0.1029062	0.114993474	0.090818926
439	0.1038804	0.116084642	0.091676158
440	0.104879	0.117231234	0.092526766
441	0.1058808	0.118389399	0.093372201
442	0.106861	0.11948936	0.09423264
