Wavelength	Mean	Std+	Std-
350	0.0549351	0.059393907	0.050476293
351	0.05506405	0.059683024	0.050445076
352	0.055057275	0.059697675	0.050416875
353	0.05535225	0.059816368	0.050888132
354	0.055542525	0.059950712	0.051134338
355	0.0555994	0.060076698	0.051122102
356	0.055558	0.060137008	0.050978992
357	0.055730475	0.060333209	0.051127741
358	0.055975975	0.060563029	0.051388921
359	0.056032625	0.060622843	0.051442407
360	0.056267525	0.06086642	0.05166863
361	0.05641815	0.061024831	0.051811469
362	0.056301375	0.060909024	0.051693726
363	0.056546875	0.061205144	0.051888606
364	0.0567993	0.061509877	0.052088723
365	0.0570205	0.061776103	0.052264897
366	0.057379325	0.062102375	0.052656275
367	0.05770165	0.062427478	0.052975822
368	0.0579418	0.062686487	0.053197113
369	0.057901325	0.062641213	0.053161437
370	0.05835145	0.063089352	0.053613548
371	0.058840725	0.063609131	0.054072319
372	0.059057775	0.063922642	0.054192908
373	0.0592207	0.064090876	0.054350524
374	0.059531175	0.064409875	0.054652475
375	0.0600255	0.064927892	0.055123108
376	0.060316525	0.065156941	0.055476109
377	0.06059475	0.065514465	0.055675035
378	0.0609077	0.065980332	0.055835068
379	0.06143845	0.06649757	0.05637933
380	0.061849225	0.066974659	0.056723791
381	0.062273475	0.06743701	0.05710994
382	0.062830275	0.067897741	0.057762809
383	0.063163075	0.068283536	0.058042614
384	0.063524	0.068716581	0.058331419
385	0.063963975	0.069224369	0.058703581
386	0.064579475	0.069804075	0.059354875
387	0.0651759	0.070427091	0.059924709
388	0.065718625	0.071036807	0.060400443
389	0.0660576	0.071440487	0.060674713
390	0.0664992	0.071921854	0.061076546
391	0.066970675	0.072407281	0.061534069
392	0.067431975	0.07284359	0.06202036
393	0.06782295	0.073295019	0.062350881
394	0.06821765	0.073742892	0.062692408
395	0.068621075	0.074170912	0.063071238
396	0.0691751	0.074832641	0.063517559
397	0.06964085	0.075398709	0.063882991
398	0.070059025	0.075898505	0.064219545
399	0.070586	0.076433446	0.064738554
400	0.0708913	0.076807002	0.064975598
401	0.071152975	0.077127768	0.065178182
402	0.071547875	0.077503726	0.065592024
403	0.07194305	0.07790843	0.06597767
404	0.072265175	0.078235786	0.066294564
405	0.0724985	0.078461661	0.066535339
406	0.07289615	0.078893803	0.066898497
407	0.073273975	0.079303258	0.067244692
408	0.07363905	0.079695605	0.067582495
409	0.074062375	0.080137763	0.067986987
410	0.074443575	0.080560349	0.068326801
411	0.0747946	0.080962151	0.068627049
412	0.075125875	0.081344013	0.068907737
413	0.075524475	0.081734426	0.069314524
414	0.075905925	0.082126413	0.069685437
415	0.0762474	0.082525437	0.069969363
416	0.076693125	0.083015525	0.070370725
417	0.077137225	0.083477046	0.070797404
418	0.0775728	0.083913219	0.071232381
419	0.077988575	0.084389413	0.071587737
420	0.078387525	0.084824579	0.071950471
421	0.078814375	0.085279342	0.072349408
422	0.07936515	0.0858702	0.0728601
423	0.0798288	0.086377444	0.073280156
424	0.080286675	0.086876603	0.073696747
425	0.0807753	0.087401614	0.074148986
426	0.081251475	0.08792206	0.07458089
427	0.081763125	0.088490159	0.075036091
428	0.0823156	0.089108691	0.075522509
429	0.082898975	0.089729321	0.076068629
430	0.083526325	0.090400826	0.076651824
431	0.08416715	0.091095787	0.077238513
432	0.08478705	0.091793339	0.077780761
433	0.0854227	0.092493822	0.078351578
434	0.0860212	0.093158163	0.078884237
435	0.0865548	0.093766609	0.079342991
436	0.087128075	0.094381906	0.079874244
437	0.0877104	0.095006779	0.080414021
438	0.088301425	0.09564345	0.0809594
439	0.08889155	0.096278749	0.081504351
440	0.08946085	0.096905927	0.082015773
441	0.090018825	0.097533582	0.082504068
442	0.090594025	0.098197303	0.082990747
443	0.0911171	0.098736539	0.083497661
444	0.0916094	0.099241541	0.083977259
445	0.092074425	0.09975601	0.08439284
446	0.092553025	0.100270779	0.084835271
447	0.0929984	0.100763299	0.085233501
448	0.093406525	0.10123164	0.08558141
449	0.09378775	0.101653327	0.085922173
450	0.094161875	0.102054561	0.086269189
451	0.094517425	0.102432327	0.086602523
452	0.0948038	0.102757126	0.086850474
453	0.095114825	0.103066366	0.087163284
454	0.095404275	0.1033586	0.08744995
455	0.0956262	0.103624864	0.087627536
456	0.095889925	0.103927317	0.087852533
457	0.0961204	0.104192834	0.088047966
458	0.0963018	0.104404883	0.088198717
459	0.09654685	0.10465025	0.08844345
460	0.096753525	0.104863961	0.088643089
461	0.096932825	0.105052244	0.088813406
462	0.097104475	0.105218218	0.088990732
463	0.097308375	0.105452331	0.089164419
464	0.097511975	0.105687669	0.089336281
465	0.0976856	0.105864854	0.089506346
466	0.09787065	0.106075264	0.089666036
467	0.098056575	0.106280375	0.089832775
468	0.098240575	0.106470166	0.090010984
469	0.09843145	0.106684434	0.090178466
470	0.09863865	0.106919394	0.090357906
471	0.098860725	0.107169279	0.090552171
472	0.099102975	0.107419972	0.090785978
473	0.09930865	0.107647404	0.090969896
474	0.0995132	0.107867676	0.091158724
475	0.099753	0.108095168	0.091410832
476	0.1000067	0.108388047	0.091625353
477	0.1002624	0.108681484	0.091843316
478	0.10051895	0.108961602	0.092076298
479	0.100816975	0.109312788	0.092321162
480	0.101130275	0.109646618	0.092613932
481	0.1014543	0.109967012	0.092941588
482	0.1017743	0.110298674	0.093249926
483	0.102094875	0.110644777	0.093544973
484	0.102425775	0.111005115	0.093846435
485	0.102776625	0.111378339	0.094174911
486	0.103154275	0.111812682	0.094495868
487	0.103548	0.112267503	0.094828497
488	0.1039555	0.11273263	0.09517837
489	0.104378075	0.113191639	0.095564511
490	0.10478095	0.113638024	0.095923876
491	0.10516645	0.114073088	0.096259812
492	0.1055888	0.114544721	0.096632879
493	0.1060275	0.1150234	0.0970316
494	0.10647415	0.115508351	0.097439949
495	0.106923675	0.116005059	0.097842291
496	0.107388325	0.116504373	0.098272277
497	0.107856275	0.117008571	0.098703979
498	0.1083277	0.117524098	0.099131302
499	0.1088678	0.118112018	0.099623582
500	0.10939035	0.118687753	0.100092947
501	0.10989505	0.11925235	0.10053775
502	0.1104189	0.119858045	0.100979755
503	0.110968	0.120467287	0.101468713
504	0.111517075	0.121063534	0.101970616
505	0.1120332	0.121621809	0.102444591
506	0.1125349	0.122177316	0.102892484
507	0.1130478	0.122746135	0.103349465
508	0.113591675	0.123345408	0.103837942
509	0.114111725	0.123926241	0.104297209
510	0.11463565	0.124512395	0.104758905
511	0.115165925	0.125105864	0.105225986
512	0.115682525	0.125681185	0.105683865
513	0.116193775	0.126250136	0.106137414
514	0.116711	0.126820994	0.106601006
515	0.117252875	0.127401301	0.107104449
516	0.11778625	0.12800377	0.10756873
517	0.118324525	0.128621639	0.108027411
518	0.118870525	0.129250204	0.108490846
519	0.119412375	0.129860243	0.108964507
520	0.11997375	0.130488268	0.109459232
