NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
D.spicata,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Grass_dry.8+.2green,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Grass_dry.83+.17NaMont,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Grass_dry.9+.1green,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Marsh,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Marsh,pervious,npv,litter,measured,0.0,0.0,asd,usgs
P.aus.,pervious,npv,litter,measured,0.0,0.0,asd,usgs
P.australis,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Sagebrush,pervious,npv,litter,measured,0.0,0.0,asd,usgs
Willow,pervious,npv,litter,measured,0.0,0.0,asd,usgs
