NAME,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4,LAT,LON,SOURCE,NOTES
FS15R_FS4275,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4276,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4278,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4279,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4280,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4281,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4282,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4283,pervious,bare,soil,measured,-32.85,137.53333333333333,icraf-isric-soil-database,none
FS15R_FS4284,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4285,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4286,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4287,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4288,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4289,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4290,pervious,bare,soil,measured,-26.716666666666665,150.6,icraf-isric-soil-database,none
FS15R_FS4291,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4292,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4293,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4294,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4295,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4296,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4297,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4298,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4299,pervious,bare,soil,measured,-35.35,144.85,icraf-isric-soil-database,none
FS15R_FS4300,pervious,bare,soil,measured,-27.55,151.51666666666668,icraf-isric-soil-database,none
FS15R_FS4301,pervious,bare,soil,measured,-27.55,151.51666666666668,icraf-isric-soil-database,none
