ISO,ID,HORI,TOP,BOT,SAMPLENO,SIO2,AL2O3,FE2O3,CAO,MGO,K2O,NA2O,TIO2,MNO2,P2O5,IGN,TOTAL,RATIOSIAL,RATIOSIFE,RATIOSIR,RATIOALFE,SOELREM,EDITDATE,VERIFIED
"FR",4,3,28,46,"660062",4.9899999999999999e+01,2.0199999999999999e+01,7.9000000000000004e+00,1.0000000000000001e-01,9.5000000000000000e+00,4.7999999999999998e+00,,6.9999999999999996e-01,1.0000000000000001e-01,2.0000000000000001e-01,7.2000000000000002e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",4,4,46,85,"660063",4.9200000000000003e+01,2.0000000000000000e+01,8.0000000000000000e+00,1.0000000000000001e-01,9.8000000000000007e+00,4.9000000000000004e+00,,6.9999999999999996e-01,0.0000000000000000e+00,2.0000000000000001e-01,7.4000000000000004e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",4,5,85,103,"660064",4.8399999999999999e+01,1.9300000000000001e+01,9.1999999999999993e+00,2.0000000000000001e-01,1.0699999999999999e+01,4.5000000000000000e+00,,5.9999999999999998e-01,0.0000000000000000e+00,2.0000000000000001e-01,7.7999999999999998e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",6,1,0,10,"660071",,,,,,,,,,,,,,,,,,"06/19/03 00:00:00","OSP"
"FR",6,2,10,18,"660005",4.6100000000000001e+01,2.4500000000000000e+01,1.3300000000000001e+01,2.9999999999999999e-01,1.8999999999999999e+00,2.2999999999999998e+00,,1.0000000000000000e+00,2.0000000000000001e-01,4.0000000000000002e-01,9.1999999999999993e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",6,3,18,26,"660006",4.6299999999999997e+01,2.4899999999999999e+01,1.3500000000000000e+01,2.0000000000000001e-01,2.0000000000000000e+00,2.2000000000000002e+00,,9.0000000000000002e-01,1.0000000000000001e-01,2.9999999999999999e-01,9.0999999999999996e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",6,4,26,40,"660007",4.6399999999999999e+01,2.4800000000000001e+01,1.3100000000000000e+01,2.0000000000000001e-01,2.2000000000000002e+00,2.5000000000000000e+00,,8.0000000000000004e-01,1.0000000000000001e-01,4.0000000000000002e-01,8.8000000000000007e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",6,5,40,66,"660008",4.7000000000000000e+01,2.4100000000000001e+01,1.2699999999999999e+01,1.0000000000000001e-01,2.3999999999999999e+00,2.7000000000000002e+00,,8.0000000000000004e-01,1.0000000000000001e-01,5.0000000000000000e-01,8.9000000000000004e+00,,,,,,,"06/19/03 00:00:00","OSP"
"FR",8,1,0,13,"660018",4.8399999999999999e+01,2.2100000000000001e+01,1.1500000000000000e+01,1.0000000000000001e-01,1.8999999999999999e+00,3.3999999999999999e+00,,8.0000000000000004e-01,1.0000000000000001e-01,4.0000000000000002e-01,1.1300000000000001e+01,,,,,,,"06/20/03 00:00:00","OSP"
"FR",8,2,13,25,"660019",4.8399999999999999e+01,2.2399999999999999e+01,1.1400000000000000e+01,1.0000000000000001e-01,2.0000000000000000e+00,3.2000000000000002e+00,,8.0000000000000004e-01,1.0000000000000001e-01,2.9999999999999999e-01,1.1400000000000000e+01,,,,,,,"06/20/03 00:00:00","OSP"
