ISO,ID,HORI,TOP,BOT,SAMPLENO,HEAVY,LIGHT,QUARTZ,K_FELDSPAR,PLAGIOCLAS,REST,OPAQUE,SMINREM,EDITDATE,VERIFIED
"IE",9,1,0,7,"670084",,,,,,,,,"08/16/96 00:00:00","OSP"
"IE",9,2,7,40,"670085",1.29999995e+00,9.86999969e+01,81,7,12,,11,,"08/16/96 00:00:00","OSP"
"IE",9,3,40,49,"670086",1.29999995e+00,9.86999969e+01,84,6,10,,19,,"08/16/96 00:00:00","OSP"
"IE",9,4,49,62,"670087",4.19999981e+00,9.58000031e+01,87,6,7,,42,,"08/16/96 00:00:00","OSP"
"IE",9,5,62,87,"670088",3.90000010e+00,9.60999985e+01,82,8,10,,23,,"08/16/96 00:00:00","OSP"
"TH",2,1,0,10,"670111",4.59999990e+00,9.54000015e+01,100,,,,3,,"03/08/94 00:00:00",
"TH",2,2,15,30,"670112",5.19999981e+00,9.48000031e+01,100,,,,9,,"03/08/94 00:00:00",
"TH",2,3,150,170,"670113",1.00000000e+01,9.00000000e+01,100,,,,41,,"03/08/94 00:00:00",
"TH",4,1,2,15,"670116",4.00000000e+00,9.60000000e+01,91,5,4,,32,,"03/08/94 00:00:00",
"TH",4,2,70,80,"670117",1.50000000e+00,9.85000000e+01,89,8,3,,44,,"03/08/94 00:00:00",
"TH",4,3,115,125,"670118",,,88,7,5,,25,,"03/08/94 00:00:00",
"TH",11,1,0,22,"670141",1.00000001e-01,9.99000015e+01,100,,,,24,,"03/08/94 00:00:00",
"TH",11,2,22,39,"670142",1.00000001e-01,9.99000015e+01,99,,1,,17,,"03/08/94 00:00:00",
"TH",11,3,39,85,"670143",2.00000003e-01,9.98000031e+01,100,,,,24,,"03/08/94 00:00:00",
"TH",12,1,0,15,"670144",1.00000001e-01,9.99000015e+01,99,,1,,41,,"03/08/94 00:00:00",
"TH",12,2,15,40,"670145",1.00000001e-01,9.99000015e+01,100,,,,38,,"03/08/94 00:00:00",
"TH",12,3,40,90,"670146",1.00000001e-01,9.99000015e+01,99,,1,,40,,"03/08/94 00:00:00",
"TH",12,4,90,115,"670147",1.00000001e-01,9.99000015e+01,100,,,,33,,"03/08/94 00:00:00",
"TH",13,1,0,13,"670148",1.00000001e-01,9.99000015e+01,100,,,,24,,"03/08/94 00:00:00",
"TH",13,3,25,98,"670150",1.00000001e-01,9.99000015e+01,100,,,,28,,"03/08/94 00:00:00",
"TH",13,4,98,135,"670151",1.00000001e-01,9.99000015e+01,100,,,,22,,"03/08/94 00:00:00",
"SE",14,3,3,10,"680087",4.40000010e+00,9.55999985e+01,55,23,22,,9,,"03/08/94 00:00:00",
"SE",14,5,20,30,"680089",4.90000010e+00,9.50999985e+01,54,32,14,,7,,"03/08/94 00:00:00",
"SE",14,7,48,70,"680091",3.50000000e+00,9.65000000e+01,52,30,18,,8,,"03/08/94 00:00:00",
"SE",17,2,0,15,"680104",2.79999995e+00,9.71999969e+01,68,18,14,,8,,"03/08/94 00:00:00",
"SE",17,3,15,20,"680105",3.29999995e+00,9.66999969e+01,62,21,17,,5,,"03/08/94 00:00:00",
"SE",17,5,35,50,"680107",5.80000019e+00,9.41999969e+01,66,21,13,,2,,"03/08/94 00:00:00",
"SE",17,7,65,80,"680109",6.09999990e+00,9.39000015e+01,68,20,12,,4,,"03/08/94 00:00:00",
"ES",3,1,0,10,"700021",3.00000012e-01,9.96999969e+01,95,2,3,,39,,"03/08/94 00:00:00",
"ES",3,3,25,50,"700023",5.00000000e-01,9.95000000e+01,91,5,4,,34,,"03/08/94 00:00:00",
"ES",3,5,70,90,"700025",3.00000012e-01,9.96999969e+01,93,4,3,,48,,"03/08/94 00:00:00",
"ES",3,7,110,130,"700027",2.00000003e-01,9.98000031e+01,91,3,6,,42,,"03/08/94 00:00:00",
"ES",4,1,0,12,"700028",,,92,6,2,,43,,"03/08/94 00:00:00",
"ES",4,7,40,52,"700034",,,88,7,5,,53,,"03/08/94 00:00:00",
"ES",4,9,75,95,"700036",,,90,7,3,,47,,"03/08/94 00:00:00",
"ES",10,1,0,12,"700064",,,100,,,,57,,"03/08/94 00:00:00",
"MY",51,1,0,10,"730064",1.29999995e+00,9.86999969e+01,100,,,,36,,"03/08/94 00:00:00",
"MY",51,2,7,15,"730065",2.00000003e-01,9.98000031e+01,99,,1,,3,,"03/08/94 00:00:00",
"MY",51,3,30,50,"730066",2.00000003e-01,9.98000031e+01,100,,,,4,,"03/08/94 00:00:00",
"MY",51,4,80,88,"730067",2.00000003e-01,9.98000031e+01,100,,,,58,,"03/08/94 00:00:00",
"MY",51,5,88,92,"730068",3.00000012e-01,9.96999969e+01,100,,,,49,,"03/08/94 00:00:00",
