SAMPLENO,MINERAL,VALUE
"670085","anatase",3
"670085","chloritic matter",65
"670085","epidote",1
"670085","muscovite",25
"670085","tourmaline",1
"670085","zircone",7
"670086","anatase",4
"670086","brookite",1
"670086","chloritic matter",52
"670086","epidote",4
"670086","muscovite",23
"670086","rutile",1
"670086","tourmaline",1
"670086","zircone",14
"670087","anatase",7
"670087","chloritic matter",47
"670087","epidote",3
"670087","muscovite",28
"670087","rutile",2
"670087","zircone",13
"670088","anatase",4
"670088","chloritic matter",68
"670088","epidote",2
"670088","muscovite",24
"670088","zircone",2
"670111","aggregates",1
"670111","augite",3
"670111","epidote",28
"670111","green hornblende",2
"670111","grenate",52
"670111","grossular",14
"670112","epidote",27
"670112","grenate",54
"670112","grossular",19
"670113","aggregates",1
"670113","epidote",33
"670113","grenate",46
"670113","grossular",29
"670113","zircone",1
"670116","anatase",1
"670116","biotite",1
"670116","brookite",1
"670116","epidote",52
"670116","green hornblende",3
"670116","grenate",29
"670116","tourmaline",4
"670116","unknown",1
"670116","zircone",8
"670117","anatase",1
"670117","epidote",71
"670117","green hornblende",6
"670117","grenate",5
"670117","tourmaline",11
"670117","unknown",2
"670117","zircone",4
"670118","anatase",1
"670118","epidote",70
"670118","glaucophane",1
"670118","green hornblende",4
"670118","grenate",7
"670118","muscovite",2
"670118","sillimanite (grains)",1
"670118","tourmaline",12
"670118","unknown",1
"670118","zircone",1
"670141","anatase",4
"670141","andalusite",7
"670141","tourmaline",69
"670141","zircone",20
"670142","anatase",4
"670142","andalusite",12
"670142","green hornblende",1
"670142","grenate",1
"670142","tourmaline",64
"670142","zircone",18
"670143","anatase",6
"670143","andalusite",7
"670143","green hornblende",1
"670143","tourmaline",71
"670143","zircone",15
"670144","anatase",12
"670144","andalusite",3
"670144","green hornblende",1
"670144","rutile",7
"670144","titanite",1
"670144","tourmaline",22
"670144","unknown",3
"670144","zircone",51
"670145","anatase",13
"670145","andalusite",3
"670145","green hornblende",3
"670145","rutile",7
"670145","titanite",2
"670145","tourmaline",33
"670145","zircone",39
"670146","anatase",16
"670146","andalusite",5
"670146","rutile",5
"670146","titanite",1
"670146","tourmaline",30
"670146","zircone",43
"670147","anatase",16
"670147","andalusite",6
"670147","green hornblende",1
"670147","rutile",8
"670147","titanite",2
"670147","tourmaline",28
"670147","unknown",1
"670147","zircone",38
"670148","anatase",8
"670148","andalusite",1
"670148","epidote",1
"670148","rutile",5
"670148","tourmaline",46
"670148","unknown",1
"670148","zircone",38
"670150","anatase",5
"670150","andalusite",2
"670150","epidote",1
"670150","green hornblende",2
"670150","rutile",12
"670150","staurolite",1
"670150","tourmaline",31
"670150","zircone",46
"670151","anatase",9
"670151","andalusite",2
"670151","green hornblende",1
"670151","rutile",8
"670151","titanite",1
"670151","tourmaline",35
"670151","zircone",44
"680087","aggregates",2
"680087","augite",4
"680087","biotite",1
"680087","epidote",13
"680087","green hornblende",40
"680087","grenate",32
"680087","hornblende (strongly pleochroic)",3
"680087","unknown",1
"680087","zircone",4
"680089","aggregates",3
"680089","andalusite",1
"680089","apatite",7
"680089","epidote",17
"680089","green hornblende",51
"680089","grenate",19
"680089","hornblende (strongly pleochroic)",2
"680089","unknown",2
"680091","aggregates",9
"680091","apatite",4
"680091","augite",1
"680091","disthene",1
"680091","epidote",9
"680091","green hornblende",46
"680091","grenate",23
"680091","hornblende (strongly pleochroic)",6
"680091","tourmaline",1
"680104","andalusite",1
"680104","epidote",15
"680104","green hornblende",63
"680104","grenate",16
"680104","sillimanite (fibrous)",3
"680104","titanite",1
"680104","unknown",1
"680105","anatase",1
"680105","andalusite",1
"680105","disthene",1
"680105","epidote",16
"680105","green hornblende",66
"680105","grenate",13
"680105","hypersthene",1
"680105","unknown",1
"680107","andalusite",1
"680107","epidote",17
"680107","green hornblende",70
"680107","grenate",10
"680107","sillimanite (fibrous)",2
"680107","tourmaline",1
"680109","epidote",16
"680109","green hornblende",57
"680109","grenate",23
"680109","rutile",1
"680109","sillimanite (fibrous)",1
"680109","unknown",2
"700021","anatase",1
"700021","andalusite",11
"700021","brookite",4
"700021","epidote",20
"700021","green hornblende",2
"700021","rutile",36
"700021","staurolite",1
"700021","tourmaline",20
"700021","zircone",5
"700023","aggregates",1
"700023","anatase",1
"700023","andalusite",6
"700023","brookite",3
"700023","epidote",31
"700023","green hornblende",2
"700023","rutile",28
