Wavelength	cheat.mn	std-	std+	cheat.st
350	1.36E-02	1.11E-02	1.61E-02	2.51E-03
351	1.37E-02	1.12E-02	1.62E-02	2.53E-03
352	1.36E-02	1.10E-02	1.62E-02	2.60E-03
353	1.39E-02	1.14E-02	1.64E-02	2.52E-03
354	1.40E-02	1.15E-02	1.64E-02	2.45E-03
355	1.39E-02	1.15E-02	1.63E-02	2.40E-03
356	1.42E-02	1.18E-02	1.67E-02	2.46E-03
357	1.43E-02	1.18E-02	1.67E-02	2.46E-03
358	1.42E-02	1.18E-02	1.67E-02	2.44E-03
359	1.45E-02	1.20E-02	1.69E-02	2.46E-03
360	1.46E-02	1.20E-02	1.71E-02	2.53E-03
361	1.46E-02	1.20E-02	1.72E-02	2.56E-03
362	0.014598505	1.21E-02	1.71E-02	2.48E-03
363	0.014583352	1.20E-02	1.72E-02	2.58E-03
364	1.45E-02	1.19E-02	1.71E-02	2.64E-03
365	1.44E-02	1.18E-02	1.70E-02	2.62E-03
366	1.48E-02	1.22E-02	1.74E-02	2.60E-03
367	0.014789336	1.21E-02	1.75E-02	2.66E-03
368	1.46E-02	1.19E-02	1.74E-02	2.73E-03
369	1.50E-02	1.25E-02	1.76E-02	2.56E-03
370	0.015220913	1.26E-02	1.78E-02	2.61E-03
371	1.54E-02	1.27E-02	1.81E-02	2.72E-03
372	1.56E-02	1.28E-02	1.83E-02	2.78E-03
373	1.55E-02	1.28E-02	1.83E-02	2.76E-03
374	0.015577839	1.28E-02	1.84E-02	2.79E-03
375	1.57E-02	1.28E-02	1.86E-02	2.90E-03
376	1.61E-02	1.32E-02	1.90E-02	2.86E-03
377	1.63E-02	1.34E-02	1.92E-02	2.90E-03
378	1.65E-02	1.35E-02	1.94E-02	2.98E-03
379	1.65E-02	1.34E-02	1.96E-02	3.05E-03
380	1.65E-02	1.35E-02	1.94E-02	2.97E-03
381	1.66E-02	1.37E-02	1.95E-02	2.92E-03
382	1.71E-02	1.41E-02	2.01E-02	3.03E-03
383	1.73E-02	1.43E-02	2.04E-02	3.05E-03
384	0.017491277	1.44E-02	2.06E-02	3.11E-03
385	1.76E-02	1.44E-02	2.09E-02	0.003254653
386	1.79E-02	1.46E-02	2.12E-02	3.31E-03
387	1.83E-02	1.49E-02	2.17E-02	3.39E-03
388	1.87E-02	1.52E-02	2.22E-02	3.48E-03
389	1.88E-02	1.53E-02	2.23E-02	3.52E-03
390	1.87E-02	1.52E-02	2.22E-02	3.50E-03
391	1.88E-02	1.53E-02	2.23E-02	3.49E-03
392	1.93E-02	1.57E-02	2.28E-02	3.53E-03
393	1.96E-02	1.60E-02	2.32E-02	3.62E-03
394	2.00E-02	1.63E-02	2.37E-02	3.70E-03
395	2.03E-02	1.66E-02	2.41E-02	3.76E-03
396	0.020601774	1.67E-02	2.45E-02	3.86E-03
397	2.09E-02	1.69E-02	2.48E-02	3.94E-03
398	2.12E-02	1.72E-02	2.52E-02	4.02E-03
399	2.15E-02	1.74E-02	2.56E-02	4.13E-03
