Wavelength	scorpipo.mn	std-	std+	scorpipo.st
350	3.07E-02	2.96E-02	3.18E-02	1.11E-03
351	3.05E-02	2.94E-02	3.17E-02	1.14E-03
352	0.030198136	2.91E-02	3.13E-02	1.14E-03
353	3.02E-02	2.91E-02	3.13E-02	1.14E-03
354	0.030126117	2.90E-02	3.13E-02	1.13E-03
355	3.00E-02	2.89E-02	3.11E-02	1.11E-03
356	2.96E-02	2.85E-02	3.07E-02	1.12E-03
357	2.96E-02	2.85E-02	3.08E-02	1.14E-03
358	0.029728303	2.86E-02	3.09E-02	1.15E-03
359	2.97E-02	2.86E-02	3.07E-02	1.07E-03
360	2.94E-02	2.84E-02	3.05E-02	1.09E-03
361	2.92E-02	2.81E-02	3.04E-02	1.12E-03
362	2.91E-02	2.80E-02	3.02E-02	1.09E-03
363	2.89E-02	2.78E-02	3.00E-02	1.13E-03
364	2.88E-02	2.76E-02	3.00E-02	1.16E-03
365	2.88E-02	2.76E-02	3.00E-02	1.17E-03
366	2.91E-02	2.80E-02	3.02E-02	1.12E-03
367	0.028888751	2.78E-02	3.00E-02	1.11E-03
368	2.84E-02	2.73E-02	2.96E-02	1.13E-03
369	2.83E-02	2.72E-02	2.95E-02	1.16E-03
370	2.79E-02	2.68E-02	2.91E-02	1.14E-03
371	2.78E-02	2.67E-02	2.89E-02	1.11E-03
372	2.83E-02	2.72E-02	2.94E-02	1.11E-03
373	2.83E-02	2.72E-02	2.94E-02	1.09E-03
374	2.83E-02	2.72E-02	2.94E-02	1.09E-03
375	2.82E-02	2.70E-02	2.93E-02	1.14E-03
376	2.78E-02	2.67E-02	2.89E-02	1.11E-03
377	2.76E-02	2.65E-02	2.87E-02	1.10E-03
378	2.76E-02	2.64E-02	2.87E-02	1.14E-03
379	2.74E-02	2.61E-02	2.86E-02	1.23E-03
380	2.75E-02	2.63E-02	2.87E-02	1.23E-03
381	2.76E-02	2.64E-02	2.88E-02	1.19E-03
382	2.74E-02	2.63E-02	2.86E-02	1.14E-03
383	2.74E-02	2.62E-02	2.85E-02	1.14E-03
384	2.73E-02	2.62E-02	2.85E-02	1.15E-03
385	2.73E-02	2.62E-02	2.85E-02	1.16E-03
386	2.70E-02	2.58E-02	2.81E-02	1.17E-03
387	2.68E-02	2.56E-02	2.80E-02	1.17E-03
388	2.68E-02	2.56E-02	2.80E-02	1.16E-03
389	2.71E-02	2.60E-02	2.83E-02	1.15E-03
390	2.70E-02	2.58E-02	2.81E-02	1.15E-03
391	2.68E-02	2.57E-02	2.80E-02	1.17E-03
392	2.72E-02	2.60E-02	2.84E-02	1.19E-03
393	2.70E-02	2.58E-02	2.82E-02	1.21E-03
394	2.70E-02	2.58E-02	2.82E-02	1.24E-03
395	2.72E-02	2.59E-02	2.85E-02	1.27E-03
396	2.74E-02	2.61E-02	2.87E-02	1.26E-03
397	2.74E-02	2.61E-02	2.86E-02	1.25E-03
398	2.73E-02	2.60E-02	2.85E-02	1.24E-03
