Wavelength	woodstrw.mn	std-	std+	woodstrw.st
350	7.91E-02	6.03E-02	9.78E-02	1.87E-02
351	7.90E-02	6.02E-02	9.78E-02	1.88E-02
352	7.90E-02	6.03E-02	9.76E-02	1.86E-02
353	7.91E-02	6.05E-02	9.76E-02	1.86E-02
354	0.079186887	6.07E-02	9.77E-02	1.85E-02
355	7.93E-02	6.09E-02	9.77E-02	1.84E-02
356	7.90E-02	6.06E-02	9.73E-02	1.84E-02
357	7.89E-02	6.06E-02	9.72E-02	1.83E-02
358	7.89E-02	6.08E-02	9.71E-02	1.82E-02
359	7.91E-02	6.09E-02	9.74E-02	1.82E-02
360	7.90E-02	6.08E-02	9.73E-02	1.82E-02
361	7.89E-02	6.06E-02	9.72E-02	1.83E-02
362	7.90E-02	6.06E-02	9.74E-02	1.84E-02
363	7.91E-02	6.06E-02	9.76E-02	1.85E-02
364	0.07919158	6.06E-02	9.77E-02	1.85E-02
365	7.92E-02	6.07E-02	9.77E-02	1.85E-02
366	7.93E-02	6.08E-02	9.77E-02	1.85E-02
367	7.92E-02	6.08E-02	9.76E-02	1.84E-02
368	7.91E-02	6.06E-02	9.75E-02	1.84E-02
369	7.92E-02	6.09E-02	9.76E-02	1.84E-02
370	7.92E-02	6.10E-02	9.75E-02	1.83E-02
371	7.92E-02	6.10E-02	9.74E-02	1.82E-02
372	7.91E-02	6.09E-02	9.74E-02	1.82E-02
373	7.90E-02	6.08E-02	9.73E-02	1.82E-02
374	0.079156868	6.09E-02	9.74E-02	1.83E-02
375	7.95E-02	6.11E-02	9.79E-02	1.84E-02
376	7.97E-02	6.12E-02	9.82E-02	1.85E-02
377	7.98E-02	6.12E-02	9.84E-02	1.86E-02
378	8.00E-02	6.14E-02	9.86E-02	1.86E-02
379	8.00E-02	6.14E-02	9.86E-02	1.86E-02
380	8.01E-02	6.15E-02	9.88E-02	1.86E-02
381	8.01E-02	6.15E-02	9.87E-02	1.86E-02
382	0.079707995	6.11E-02	9.83E-02	1.86E-02
383	8.01E-02	6.16E-02	9.87E-02	1.86E-02
384	8.05E-02	6.19E-02	9.92E-02	1.86E-02
385	8.07E-02	6.19E-02	9.94E-02	1.88E-02
386	8.09E-02	6.20E-02	9.98E-02	1.89E-02
387	8.10E-02	6.19E-02	1.00E-01	1.91E-02
388	8.11E-02	6.19E-02	1.00E-01	0.019252336
389	8.13E-02	6.20E-02	1.01E-01	1.93E-02
390	8.15E-02	6.22E-02	1.01E-01	1.93E-02
