Wavelength	Mean	Std +	Std -
350	0.065634759	0.084336164	0.046933354
351	0.065806517	0.08444385	0.047169184
352	0.066003379	0.084629587	0.047377171
353	0.066116552	0.084774702	0.047458402
354	0.066178345	0.084902588	0.047454102
355	0.066210448	0.085030021	0.047390876
356	0.066347724	0.085214905	0.047480543
357	0.066599207	0.085491402	0.047707012
358	0.066879517	0.085796633	0.047962401
359	0.067023586	0.086014639	0.048032534
360	0.06728131	0.086417272	0.048145349
361	0.067548966	0.086777761	0.04832017
362	0.067749828	0.086923866	0.048575789
363	0.067978276	0.08722451	0.048732042
364	0.068232931	0.087537463	0.048928399
365	0.068524724	0.087856581	0.049192868
366	0.068783828	0.088026779	0.049540876
367	0.068923138	0.088253519	0.049592757
368	0.068995793	0.088501671	0.049489915
369	0.069057793	0.088632076	0.049483511
370	0.069373966	0.088889555	0.049858376
371	0.069715828	0.089169363	0.050262292
372	0.069933034	0.08940939	0.050456679
373	0.070171966	0.089736698	0.050607233
374	0.070538103	0.090161318	0.050914889
375	0.071035517	0.090674378	0.051396657
376	0.070931655	0.090837378	0.051025932
377	0.071094552	0.091144439	0.051044664
378	0.071426103	0.091529422	0.051322784
379	0.07168831	0.091826086	0.051550535
380	0.072002621	0.09219954	0.051805701
381	0.072307793	0.092534972	0.052080615
382	0.072576793	0.092755406	0.05239818
383	0.072690207	0.092989165	0.052391249
384	0.072812552	0.093254489	0.052370614
385	0.072967966	0.093547014	0.052388917
386	0.073425379	0.094119447	0.052731312
387	0.073761724	0.094592877	0.052930572
388	0.074010724	0.094978574	0.053042875
389	0.074272759	0.095289416	0.053256102
390	0.074522483	0.09556896	0.053476005
391	0.074731793	0.09578857	0.053675016
392	0.074886207	0.09593265	0.053839764
393	0.075114207	0.096289541	0.053938873
394	0.075401414	0.096710652	0.054092175
395	0.075720207	0.097131998	0.054308416
396	0.076126862	0.097715454	0.05453827
397	0.076398241	0.098138285	0.054658198
398	0.076587862	0.098455136	0.054720588
399	0.076786241	0.098730693	0.05484179
400	0.077008966	0.099002199	0.055015732
401	0.077206828	0.099214616	0.055199039
402	0.077337379	0.09930394	0.055370819
403	0.077562552	0.099550559	0.055574545
404	0.077799966	0.099804449	0.055795483
405	0.078017138	0.100010416	0.05602386
406	0.078183138	0.100225354	0.056140922
407	0.078376897	0.100479656	0.056274138
408	0.078590655	0.100763831	0.056417479
409	0.078785828	0.101048641	0.056523014
410	0.079004138	0.101332388	0.056675888
411	0.079223138	0.101607799	0.056838477
412	0.079423034	0.101869875	0.056976194
413	0.079641276	0.102098002	0.05718455
414	0.079863793	0.102347253	0.057380333
415	0.080091793	0.10264434	0.057539246
416	0.080200724	0.102794634	0.057606815
417	0.08040769	0.103044984	0.057770395
418	0.080697034	0.103379793	0.058014276
419	0.080907517	0.103625502	0.058189533
420	0.081092379	0.103865978	0.058318781
421	0.081277483	0.104103186	0.058451779
422	0.081515345	0.104352548	0.058678142
423	0.081702621	0.104601432	0.05880381
424	0.081886586	0.10484882	0.058924353
425	0.082084897	0.105092785	0.059077008
426	0.082343345	0.105346972	0.059339718
427	0.082577862	0.105586576	0.059569148
428	0.08279869	0.105835491	0.059761889
429	0.082971862	0.106108727	0.059834998
430	0.083172897	0.106404875	0.059940919
431	0.083401621	0.106726248	0.060076993
432	0.083681345	0.10710198	0.060260709
433	0.083945138	0.107457631	0.060432645
434	0.084191483	0.107777267	0.060605699
435	0.084390966	0.108012426	0.060769505
436	0.084537172	0.108158204	0.06091614
437	0.084707586	0.108339168	0.061076005
438	0.084915069	0.108576577	0.06125356
