Wavelength	Mean	Std+	Std-
350	0.0211827	0.023504905	0.018860495
351	0.0212913	0.023620306	0.018962294
352	0.02134715	0.023671844	0.019022456
353	0.0210959	0.02342996	0.01876184
354	0.02094095	0.023262723	0.018619177
355	0.02093735	0.023220876	0.018653824
356	0.0213782	0.023637085	0.019119315
357	0.021346	0.02359501	0.01909699
358	0.0210809	0.023336076	0.018825724
359	0.0209561	0.023248854	0.018663346
360	0.02101195	0.023299478	0.018724422
361	0.0210679	0.023351426	0.018784374
362	0.0210134	0.023316041	0.018710759
363	0.0214136	0.0237019	0.0191253
364	0.02161045	0.023898996	0.019321904
365	0.0215264	0.023834441	0.019218359
366	0.0211759	0.023486223	0.018865577
367	0.0210594	0.023385825	0.018732975
368	0.02107945	0.023422912	0.018735988
369	0.0210553	0.023375347	0.018735253
370	0.020958	0.023274333	0.018641667
371	0.0209714	0.023274807	0.018667993
372	0.0212764	0.023531858	0.019020942
373	0.02118875	0.023467694	0.018909806
374	0.02104445	0.023362326	0.018726574
375	0.02089705	0.023258349	0.018535751
376	0.02115005	0.023492201	0.018807899
377	0.02120205	0.023551932	0.018852168
378	0.0211414	0.023512891	0.018769909
379	0.021241	0.023606052	0.018875948
380	0.0213598	0.023704922	0.019014678
381	0.02134705	0.023672028	0.019022072
382	0.02102375	0.023338911	0.018708589
383	0.02118275	0.023537252	0.018828248
384	0.02128925	0.023677279	0.018901221
385	0.02123735	0.023642981	0.018831719
386	0.0211059	0.023524052	0.018687748
387	0.0212376	0.023662494	0.018812706
388	0.02150065	0.023928896	0.019072404
389	0.02143335	0.023868668	0.018998032
390	0.0214784	0.023903837	0.019052963
391	0.02148455	0.023910794	0.019058306
392	0.02129665	0.023763375	0.018829925
393	0.0212278	0.0236836	0.018772
394	0.0212217	0.023675268	0.018768132
395	0.02126235	0.023734846	0.018789854
396	0.02112985	0.023613698	0.018646002
397	0.0212013	0.023699844	0.018702756
398	0.02137595	0.02389364	0.01885826
399	0.0213594	0.023903887	0.018814913
400	0.02141845	0.023957093	0.018879807
401	0.0214678	0.023996307	0.018939293
