Wavelength	Mean	Std+	Std-
350	0.0438158	0.053411153	0.034220447
351	0.0437506	0.05335304	0.03414816
352	0.04404675	0.053713682	0.034379818
353	0.0439696	0.053583282	0.034355918
354	0.043984	0.053570752	0.034397248
355	0.04412155	0.053719405	0.034523695
356	0.04422145	0.053845608	0.034597292
357	0.0441279	0.053750673	0.034505127
358	0.0439166	0.053519872	0.034313328
359	0.04367155	0.053247974	0.034095126
360	0.04400335	0.053608808	0.034397892
361	0.0442299	0.053879875	0.034579925
362	0.04390555	0.053594691	0.034216409
363	0.0443475	0.054098078	0.034596922
364	0.0445086	0.054280959	0.034736241
365	0.04428905	0.054041525	0.034536575
366	0.04412775	0.05389172	0.03436378
367	0.04409625	0.053854189	0.034338311
368	0.04415855	0.053904673	0.034412427
369	0.04425885	0.054008744	0.034508956
370	0.04441555	0.054162174	0.034668926
371	0.04448285	0.054217354	0.034748346
372	0.04432115	0.054029791	0.034612509
373	0.0442571	0.053967367	0.034546833
374	0.04431975	0.05405877	0.03458073
375	0.044515	0.054310402	0.034719598
376	0.0446179	0.054475964	0.034759836
377	0.04464125	0.054511944	0.034770556
378	0.04460775	0.054463829	0.034751671
379	0.0445935	0.054482192	0.034704808
380	0.044786	0.054667989	0.034904011
381	0.04495145	0.054806134	0.035096766
382	0.0448927	0.054710338	0.035075062
383	0.0447161	0.054558454	0.034873746
384	0.04470095	0.054579025	0.034822875
385	0.04490015	0.054814929	0.034985371
386	0.044867	0.05483572	0.03489828
387	0.04481945	0.054852757	0.034786143
388	0.04480175	0.054895557	0.034707943
389	0.04501955	0.05510326	0.03493584
390	0.04497055	0.055037095	0.034904005
391	0.04487255	0.054925548	0.034819552
392	0.04492345	0.054980779	0.034866121
393	0.04500515	0.05503852	0.03497178
394	0.045108	0.055152781	0.035063219
395	0.04521585	0.05531909	0.03511261
396	0.04512715	0.055282898	0.034971402
397	0.0451485	0.055357349	0.034939651
398	0.045249	0.055508372	0.034989628
399	0.04535705	0.055644965	0.035069135
400	0.04539615	0.055679435	0.035112865
401	0.0453981	0.055664235	0.035131965
402	0.04537595	0.055623833	0.035128067
403	0.04539565	0.055609052	0.035182248
404	0.04542	0.055607388	0.035232612
405	0.04542905	0.055601775	0.035256325
406	0.04545545	0.055619397	0.035291503
407	0.0454627	0.055629354	0.035296046
408	0.04546345	0.055642915	0.035283985
409	0.04553745	0.05574167	0.03533323
410	0.0456213	0.055830407	0.035412193
411	0.0456611	0.055866332	0.035455868
412	0.0455658	0.055768109	0.035363491
413	0.04558475	0.055796352	0.035373148
414	0.04559495	0.055810247	0.035379653
415	0.04555525	0.055761641	0.035348859
416	0.0456273	0.055837231	0.035417369
417	0.04570215	0.055906044	0.035498256
418	0.0457597	0.055950753	0.035568647
419	0.0456773	0.055874124	0.035480476
420	0.0456426	0.055848547	0.035436653
421	0.0456588	0.055875025	0.035442575
422	0.0457709	0.055996896	0.035544904
423	0.04586435	0.05608392	0.03564478
424	0.0459189	0.056129502	0.035708298
425	0.0459148	0.056117743	0.035711857
426	0.0459021	0.056090029	0.035714171
427	0.0458491	0.056030692	0.035667508
428	0.0457801	0.055967512	0.035592688
429	0.0459091	0.056108445	0.035709755
430	0.0459545	0.056171649	0.035737351
431	0.0459661	0.056203375	0.035728825
432	0.0460243	0.056279491	0.035769109
433	0.04605535	0.05633794	0.03577276
434	0.04609315	0.056394656	0.035791644
435	0.0461408	0.056439143	0.035842457
436	0.046105	0.056386216	0.035823784
437	0.04611155	0.05638046	0.03584264
438	0.04616905	0.056432294	0.035905806
439	0.04617865	0.056432889	0.035924411
440	0.0461978	0.056458788	0.035936812
441	0.04622155	0.056494325	0.035948775
442	0.04627685	0.056551975	0.036001725
443	0.0462942	0.056574396	0.036014004
444	0.04630955	0.05659422	0.03602488
445	0.0463274	0.056609468	0.036045332
446	0.0463282	0.056602825	0.036053575
447	0.0463229	0.056594996	0.036050804
448	0.0463246	0.056602362	0.036046838
449	0.04635355	0.05663482	0.03607228
450	0.04642495	0.056710004	0.036139896
451	0.046487	0.056772024	0.036201976
452	0.0464238	0.056699771	0.036147829
453	0.0464617	0.056731988	0.036191412
454	0.04650445	0.056773816	0.036235084
455	0.04645865	0.056731912	0.036185388
456	0.046537	0.056815198	0.036258802
457	0.04660465	0.056889253	0.036320047
458	0.04664855	0.056943615	0.036353485
459	0.0466732	0.056975911	0.036370489
460	0.0466924	0.056997626	0.036387174
461	0.04669575	0.05699906	0.03639244
462	0.0466817	0.056989005	0.036374395
463	0.046705	0.057013545	0.036396455
464	0.0467468	0.0570523	0.0364413
465	0.04679945	0.057093998	0.036504902
466	0.04684265	0.057146532	0.036538768
467	0.04687175	0.057189357	0.036554143
468	0.04687745	0.057208895	0.036546005
469	0.0468922	0.057231651	0.036552749
470	0.04692165	0.057267472	0.036575828
471	0.04695665	0.057307629	0.036605671
472	0.0470155	0.057382623	0.036648377
473	0.04702635	0.05739668	0.03665602
474	0.04703895	0.057409953	0.036667947
475	0.04708385	0.057457854	0.036709846
476	0.04707095	0.057448427	0.036693473
477	0.0470794	0.057461596	0.036697204
478	0.0471193	0.057505243	0.036733357
479	0.0471742	0.057559913	0.036788487
480	0.0472002	0.057586674	0.036813726
481	0.0471965	0.05758233	0.03681067
482	0.04721525	0.057599553	0.036830947
483	0.04726285	0.057634159	0.036891541
484	0.0473027	0.057661424	0.036943976
485	0.04725575	0.057612319	0.036899181
486	0.0472952	0.057666255	0.036924145
487	0.0473314	0.057722693	0.036940107
488	0.04734455	0.057761714	0.036927386
489	0.04742005	0.05786432	0.03697578
490	0.04751	0.057966156	0.037053844
491	0.0475883	0.058041579	0.037135021
492	0.0475673	0.058015798	0.037118802
493	0.0475703	0.058016586	0.037124014
494	0.0475964	0.058043363	0.037149437
495	0.047637	0.058085196	0.037188804
496	0.047652	0.058102131	0.037201869
497	0.0476895	0.058139745	0.037239255
498	0.04776075	0.058205601	0.037315899
499	0.0477555	0.058198839	0.037312161
500	0.0477807	0.058223019	0.037338381
501	0.04783395	0.058277313	0.037390587
502	0.04785095	0.05831138	0.03739052
503	0.0478585	0.058333934	0.037383066
504	0.0478848	0.058372979	0.037396621
505	0.04799235	0.058489148	0.037495552
506	0.04801335	0.058508883	0.037517817
507	0.04803545	0.058526442	0.037544458
508	0.04809785	0.058583012	0.037612688
509	0.0481122	0.058601312	0.037623088
510	0.0481374	0.058628295	0.037646505
511	0.04817565	0.058665466	0.037685834
512	0.0481983	0.058689294	0.037707306
513	0.04824825	0.058732827	0.037763673
514	0.04830315	0.058776971	0.037829329
515	0.0483164	0.058779587	0.037853213
516	0.0483442	0.058814846	0.037873554
517	0.0483687	0.058857342	0.037880058
518	0.04837875	0.058896148	0.037861352
519	0.0484857	0.059025541	0.037945859
520	0.0485666	0.059120882	0.038012318
521	0.0486034	0.059162836	0.038043964
522	0.04860345	0.059159105	0.038047795
523	0.0486412	0.059189556	0.038092844
524	0.04870315	0.059242963	0.038163337
525	0.04877085	0.05930491	0.03823679
526	0.0487954	0.059332292	0.038258508
527	0.0488245	0.059371523	0.038277477
528	0.04888835	0.059454081	0.038322619
529	0.04893075	0.059500395	0.038361105
530	0.04897035	0.059538379	0.038402321
531	0.04901905	0.059583022	0.038455078
532	0.0490569	0.059612422	0.038501378
533	0.04908395	0.059642796	0.038525104
534	0.04911565	0.059684517	0.038546783
535	0.0492026	0.05977541	0.03862979
536	0.04922115	0.059793841	0.038648459
537	0.0492335	0.059801945	0.038665055
538	0.0492892	0.059848733	0.038729667
539	0.04934225	0.059906763	0.038777737
540	0.0493877	0.059958726	0.038816674
541	0.04942445	0.060001671	0.038847229
542	0.0495107	0.060105759	0.038915641
543	0.0495572	0.060160427	0.038953973
544	0.04958375	0.060188769	0.038978731
545	0.049621	0.060222144	0.039019856
546	0.04966395	0.06026467	0.03906323
547	0.04970725	0.060309718	0.039104782
548	0.0497508	0.060358237	0.039143363
549	0.0498095	0.060421161	0.039197839
550	0.04986075	0.060473118	0.039248382
551	0.04989835	0.060506733	0.039289967
552	0.0499294	0.060541396	0.039317404
553	0.0499834	0.060597376	0.039369424
554	0.050046	0.06066058	0.03943142
555	0.05005525	0.060668926	0.039441574
556	0.0501027	0.06071323	0.03949217
557	0.05014555	0.060751832	0.039539268
558	0.05017035	0.060779675	0.039561025
559	0.0501993	0.060818706	0.039579894
560	0.05024125	0.060865968	0.039616532
561	0.0503127	0.060936474	0.039688926
562	0.0503499	0.06097418	0.03972562
563	0.05037985	0.061003915	0.039755785
564	0.05041145	0.061036084	0.039786816
565	0.0504208	0.061041098	0.039800502
566	0.0504566	0.061081436	0.039831764
