Wavelength	Mean	Std+	Std-
350	0.10764355	0.12492555	0.09036155
351	0.10748645	0.124841994	0.090130906
352	0.1072105	0.124610621	0.089810379
353	0.1074813	0.124922314	0.090040286
354	0.10768375	0.125152412	0.090215088
355	0.10777105	0.125256446	0.090285654
356	0.1076055	0.125107076	0.090103924
357	0.10751715	0.125087571	0.089946729
358	0.10757265	0.125225598	0.089919702
359	0.1080203	0.12569258	0.09034802
360	0.1079664	0.125648181	0.090284619
361	0.10790035	0.125597634	0.090203066
362	0.10805615	0.125779574	0.090332726
363	0.1079626	0.125700306	0.090224894
364	0.1079264	0.12570752	0.09014528
365	0.10800125	0.125859594	0.090142906
366	0.10796595	0.125843963	0.090087937
367	0.10800505	0.125916001	0.090094099
368	0.10805955	0.126022126	0.090096974
369	0.10791395	0.125969696	0.089858204
370	0.10817265	0.126255913	0.090089387
371	0.1083669	0.126466429	0.090267371
372	0.1081431	0.126282687	0.090003513
373	0.10830505	0.126484709	0.090125391
374	0.10846805	0.126681976	0.090254124
375	0.10856825	0.126807828	0.090328672
376	0.10890265	0.127192571	0.090612729
377	0.10886825	0.12719851	0.09053799
378	0.1086319	0.126996319	0.090267481
379	0.1087603	0.127173292	0.090347308
380	0.1089224	0.127344803	0.090499997
381	0.108986	0.127418855	0.090553145
382	0.1088395	0.127325893	0.090353107
383	0.10914285	0.127609742	0.090675958
384	0.1093968	0.127901762	0.090891838
385	0.10948975	0.128113594	0.090865906
386	0.10942555	0.128031266	0.090819834
387	0.1095354	0.128174877	0.090895923
388	0.1097189	0.128422851	0.091014949
389	0.1096083	0.128340189	0.090876411
390	0.10979905	0.128561852	0.091036248
391	0.1100539	0.128846215	0.091261585
392	0.11022485	0.129048966	0.091400734
393	0.11000335	0.128821756	0.091184944
394	0.10996	0.128798939	0.091121061
395	0.1101899	0.129084789	0.091295011
396	0.1102878	0.129220975	0.091354625
397	0.11042265	0.129381759	0.091463541
398	0.11057535	0.129556588	0.091594112
399	0.11061915	0.129632693	0.091605607
400	0.11059425	0.129623708	0.091564792
401	0.11058925	0.129630138	0.091548362
402	0.1106992	0.129757714	0.091640686
403	0.1108227	0.129888699	0.091756701
404	0.11091605	0.130013835	0.091818265
405	0.11094125	0.130101425	0.091781075
406	0.11112645	0.130303636	0.091949264
407	0.111145	0.130334902	0.091955098
408	0.1110504	0.130254855	0.091845945
409	0.11112445	0.130377745	0.091871155
410	0.1112035	0.130472353	0.091934647
411	0.111293	0.130564698	0.092021302
412	0.1114076	0.130687884	0.092127316
413	0.11150115	0.130827593	0.092174707
414	0.1115708	0.130933116	0.092208484
415	0.1116122	0.130983121	0.092241279
416	0.11170675	0.131099408	0.092314092
417	0.111805	0.131219256	0.092390744
418	0.1119044	0.131339504	0.092469296
419	0.11200895	0.131468707	0.092549193
420	0.11210005	0.13158282	0.09261728
421	0.112169	0.131677376	0.092660624
422	0.1122008	0.131747973	0.092653627
423	0.1122942	0.131859289	0.092729111
424	0.11241445	0.131996633	0.092832267
425	0.11255045	0.132155944	0.092944956
426	0.1126109	0.132253202	0.092968598
427	0.1126548	0.132325142	0.092984458
428	0.11271885	0.132411453	0.093026247
429	0.1128972	0.132615686	0.093178714
430	0.1129959	0.132736664	0.093255136
431	0.11306535	0.132822636	0.093308064
432	0.11319195	0.1329532	0.0934307
433	0.1133002	0.133081398	0.093519002
434	0.1133898	0.133197042	0.093582558
435	0.1134186	0.133248963	0.093588237
436	0.11353925	0.133397107	0.093681393
437	0.11364185	0.13352636	0.09375734
438	0.11373175	0.133643623	0.093819877
439	0.1138139	0.133750656	0.093877144
440	0.113959	0.133920908	0.093997092
441	0.11411075	0.134093691	0.094127809
442	0.11422635	0.134229121	0.094223579
443	0.1143035	0.134333622	0.094273378
444	0.11437805	0.134436044	0.094320056
445	0.114429	0.134503835	0.094354165
446	0.1145148	0.134616133	0.094413467
447	0.1146185	0.134743416	0.094493584
448	0.1147601	0.134909514	0.094610686
449	0.11478815	0.134957139	0.094619161
450	0.1148682	0.135060319	0.094676081
451	0.11494775	0.135162896	0.094732604
452	0.11497265	0.135216023	0.094729277
453	0.1150834	0.135348719	0.094818081
454	0.1152232	0.135508905	0.094937495
455	0.11531445	0.135613581	0.095015319
456	0.1153592	0.135679463	0.095038937
457	0.1153843	0.135725211	0.095043389
458	0.11542225	0.13578717	0.09505733
459	0.1155086	0.135887345	0.095129855
460	0.1155886	0.135986333	0.095190867
461	0.11564535	0.136062107	0.095228593
462	0.1157204	0.136159523	0.095281277
463	0.1157835	0.13623762	0.09532938
464	0.1158504	0.136319672	0.095381128
465	0.115937	0.136429103	0.095444897
466	0.1159479	0.136464983	0.095430817
467	0.115991	0.136527355	0.095454645
468	0.11607525	0.136619626	0.095530874
469	0.1161482	0.136699619	0.095596781
470	0.1161945	0.136764429	0.095624571
471	0.11620695	0.136798938	0.095614962
472	0.1162736	0.136880944	0.095666256
473	0.1162999	0.136922986	0.095676814
474	0.1163404	0.136979781	0.095701019
475	0.11640305	0.137049626	0.095756474
476	0.11644115	0.137099801	0.095782499
477	0.11648105	0.137157437	0.095804663
478	0.1165011	0.137196849	0.095805351
479	0.11658905	0.137296882	0.095881218
480	0.1166593	0.137385317	0.095933283
481	0.11669935	0.137443292	0.095955408
482	0.11679985	0.137552145	0.096047555
483	0.11688845	0.137651572	0.096125328
484	0.11697605	0.137758221	0.096193879
485	0.1170122	0.137821387	0.096203013
486	0.1170483	0.137875352	0.096221248
487	0.11710545	0.137943297	0.096267603
488	0.11721485	0.138059795	0.096369905
489	0.11729525	0.138146635	0.096443865
490	0.1173713	0.13823919	0.09650341
491	0.1174257	0.138314704	0.096536696
492	0.11751405	0.138433381	0.096594719
493	0.11757045	0.13851323	0.09662767
494	0.1176295	0.138594518	0.096664482
495	0.1176877	0.138672548	0.096702852
496	0.11782385	0.138822556	0.096825144
497	0.11797805	0.138992433	0.096963667
498	0.1181022	0.1391322	0.0970722
499	0.1181845	0.139233385	0.097135615
500	0.1182598	0.139328621	0.097190979
501	0.118337	0.13942656	0.09724744
502	0.11847785	0.139584046	0.097371654
503	0.11858505	0.139707165	0.097462935
504	0.1186764	0.139814471	0.097538329
505	0.11877475	0.139930201	0.097619299
506	0.11885845	0.140028726	0.097688174
507	0.1189543	0.140141574	0.097767026
508	0.11907805	0.140287505	0.097868595
509	0.11920045	0.140425324	0.097975576
510	0.1193349	0.1405774	0.0980924
511	0.11948265	0.140745576	0.098219724
512	0.1196442	0.140928673	0.098359727
513	0.11975565	0.141059948	0.098451352
514	0.11984605	0.141169316	0.098522784
515	0.11995965	0.141301357	0.098617943
516	0.12006785	0.141423011	0.098712689
517	0.12019795	0.141564492	0.098831408
518	0.12037105	0.14174809	0.09899401
