Wavelength	Mean	Std+	Std-
350	0.070448733	0.091943599	0.048953868
351	0.070545533	0.092203077	0.048887989
352	0.070395867	0.092353351	0.048438382
353	0.0711222	0.09337041	0.04887399
354	0.071566467	0.094023978	0.049108955
355	0.071708267	0.094311314	0.049105219
356	0.072391133	0.095310383	0.049471884
357	0.073092533	0.096294292	0.049890774
358	0.073740467	0.097224337	0.050256597
359	0.0741498	0.097990323	0.050309277
360	0.0745974	0.098712486	0.050482314
361	0.075111267	0.099510453	0.050712081
362	0.075713267	0.10045741	0.050969124
363	0.0763092	0.10147341	0.05114499
364	0.077088933	0.102637419	0.051540448
365	0.0780454	0.103929221	0.052161579
366	0.0782874	0.104447671	0.052127129
367	0.078884	0.105261094	0.052506906
368	0.0796328	0.106216964	0.053048636
369	0.080027333	0.106919973	0.053134693
370	0.0807534	0.107966795	0.053540005
371	0.081653933	0.109194989	0.054112878
372	0.0826892	0.110562846	0.054815554
373	0.082982933	0.111213055	0.054752811
374	0.083632933	0.112271239	0.054994627
375	0.084805467	0.11390465	0.055706284
376	0.085468333	0.114874177	0.05606249
377	0.086052533	0.115792726	0.05631234
378	0.086698733	0.116800511	0.056596956
379	0.0879746	0.118478769	0.057470431
380	0.088575267	0.119419278	0.057731255
381	0.089241733	0.120390739	0.058092727
382	0.0906786	0.122117727	0.059239473
383	0.091406333	0.123212342	0.059600325
384	0.092167733	0.124408642	0.059926825
385	0.093087	0.125829857	0.060344143
386	0.093829267	0.127064401	0.060594132
387	0.094609333	0.128282053	0.060936614
388	0.0954888	0.129537167	0.061440433
389	0.096842333	0.131156764	0.062527903
390	0.097885667	0.132564969	0.063206364
391	0.098729	0.133795831	0.063662169
392	0.099449533	0.134889342	0.064009724
393	0.100406	0.13624777	0.06456423
394	0.1014824	0.137744732	0.065220068
395	0.102605133	0.13928531	0.065924957
396	0.103525733	0.140760298	0.066291169
397	0.1045082	0.142168541	0.066847859
398	0.105517	0.143532694	0.067501306
399	0.106448133	0.144913347	0.067982919
400	0.107430933	0.146243891	0.068617975
401	0.108373467	0.147485141	0.069261793
402	0.1092526	0.148667639	0.069837561
403	0.110258933	0.149973322	0.070544545
404	0.1113292	0.151334145	0.071324255
405	0.112454267	0.152737192	0.072171341
406	0.113382867	0.154059849	0.072705884
407	0.114517133	0.155566442	0.073467825
408	0.1157902	0.157196576	0.074383824
409	0.116876267	0.158681824	0.075070709
410	0.118082067	0.160282847	0.075881287
411	0.119282733	0.161856932	0.076708534
412	0.120364	0.163268011	0.077459989
413	0.121605533	0.164839686	0.078371381
414	0.122827133	0.166390823	0.079263443
415	0.123991533	0.167890939	0.080092128
416	0.125289933	0.169519283	0.081060583
417	0.126525267	0.171088559	0.081961975
418	0.127710933	0.172608784	0.082813083
419	0.129009467	0.174215827	0.083803106
420	0.1302884	0.175797951	0.084778849
421	0.131549667	0.177364581	0.085734752
422	0.132814333	0.178959842	0.086668825
423	0.134068	0.180522293	0.087613707
424	0.135286733	0.182031358	0.088542109
425	0.136461133	0.183476181	0.089446085
426	0.1376946	0.184948211	0.090440989
427	0.138894733	0.186418552	0.091370915
428	0.140101667	0.187940311	0.092263022
429	0.141476333	0.189631243	0.093321424
430	0.142835133	0.191262516	0.09440775
431	0.144133333	0.192830532	0.095436135
432	0.145280067	0.194333684	0.096226449
433	0.146555133	0.195892083	0.097218184
434	0.147804333	0.19741549	0.098193177
435	0.148916933	0.198808646	0.099025221
436	0.1500686	0.200149873	0.099987327
437	0.151199067	0.201474425	0.100923708
438	0.152330267	0.202820765	0.101839768
439	0.153472067	0.204206276	0.102737858
440	0.154595	0.205560079	0.103629921
441	0.1556834	0.206868266	0.104498534
442	0.156819933	0.20825691	0.105382957
443	0.1579526	0.209613943	0.106291257
444	0.159109133	0.2109809	0.107237367
445	0.160262067	0.212315723	0.10820841
446	0.1613108	0.213585493	0.109036107
447	0.162337533	0.214827851	0.109847216
448	0.163392667	0.216100012	0.110685321
449	0.164380067	0.217284497	0.111475636
450	0.165440867	0.218540292	0.112341441
451	0.166507667	0.219789657	0.113225676
452	0.1675274	0.220986798	0.114068002
453	0.1685376	0.222191245	0.114883955
454	0.169567	0.223418728	0.115715272
455	0.1705798	0.224602688	0.116556912
456	0.171494667	0.225723437	0.117265896
457	0.1724182	0.226852334	0.117984066
458	0.173404	0.228047792	0.118760208
459	0.174393867	0.229194096	0.119593638
460	0.175326733	0.230285224	0.120368243
461	0.176197	0.231308811	0.121085189
462	0.177110133	0.232394258	0.121826009
463	0.1780144	0.233455451	0.122573349
464	0.178879867	0.234476242	0.123283491
465	0.1796602	0.235422328	0.123898072
466	0.1805674	0.236457063	0.124677737
467	0.1814444	0.237478373	0.125410427
468	0.182224	0.238424376	0.126023624
469	0.1830912	0.239452241	0.126730159
470	0.1838898	0.240411934	0.127367666
471	0.184609933	0.241281341	0.127938526
472	0.185400467	0.242217061	0.128583873
473	0.186128733	0.243086461	0.129171006
474	0.186851067	0.243950939	0.129751194
475	0.187538733	0.244761002	0.130316465
476	0.188279667	0.245618875	0.130940458
477	0.189005667	0.246474713	0.13153662
478	0.189656067	0.24726035	0.132051784
