Wavelength	Mean	Std+	Std-
350	0.26230075	0.331676398	0.192925102
351	0.26292065	0.332327179	0.193514121
352	0.26287665	0.332360769	0.193392531
353	0.26353185	0.332869626	0.194194074
354	0.26392955	0.333162893	0.194696207
355	0.26406825	0.333266367	0.194870133
356	0.2645158	0.33372272	0.19530888
357	0.26483025	0.334090887	0.195569613
358	0.26507175	0.334403388	0.195740112
359	0.2653274	0.334696396	0.195958404
360	0.2659752	0.335406626	0.196543774
361	0.26646805	0.336026104	0.196909996
362	0.2663454	0.336116889	0.196573911
363	0.2664984	0.336442632	0.196554168
364	0.26678675	0.336893356	0.196680144
365	0.2672501	0.337517782	0.196982418
366	0.2678157	0.338018121	0.197613279
367	0.26822795	0.338436078	0.198019822
368	0.26861445	0.338868585	0.198360315
369	0.2691477	0.339390554	0.198904846
370	0.26953725	0.339740146	0.199334354
371	0.2699163	0.340101338	0.199731262
372	0.27039235	0.340630862	0.200153838
373	0.2708693	0.341247853	0.200490747
374	0.2712421	0.341805295	0.200678905
375	0.2714692	0.342248953	0.200689447
376	0.27216605	0.343080664	0.201251436
377	0.27252075	0.343628701	0.201412799
378	0.27269195	0.344001066	0.201382834
379	0.27329355	0.344654682	0.201932418
380	0.27363415	0.345033725	0.202234575
381	0.27394075	0.345369021	0.202512479
382	0.2745121	0.345987363	0.203036837
383	0.27524125	0.346781331	0.203701169
384	0.27575745	0.347449766	0.204065134
385	0.27593945	0.347880515	0.203998385
386	0.2761243	0.348361838	0.203886762
387	0.276456	0.349003043	0.203908957
388	0.2768887	0.349721161	0.204056239
389	0.27731255	0.35024949	0.20437561
390	0.2777375	0.350734241	0.204740759
391	0.2781645	0.3511758	0.2051532
392	0.2787059	0.351690441	0.205721359
393	0.27905605	0.352141683	0.205970417
394	0.27930815	0.352590534	0.206025766
395	0.27940535	0.35295228	0.20585842
396	0.27989295	0.353741888	0.206044012
397	0.28028605	0.3544107	0.2061614
398	0.2806148	0.354995739	0.206233861
399	0.28076515	0.355360055	0.206170245
400	0.28112785	0.35578496	0.20647074
401	0.28153585	0.356196029	0.206875671
402	0.28188395	0.356547063	0.207220837
403	0.28228815	0.35687853	0.20769777
404	0.2827129	0.357243141	0.208182659
405	0.2830929	0.357577485	0.208608315
406	0.28347275	0.35799826	0.20894724
407	0.28389785	0.358493002	0.209302698
408	0.28434125	0.359031421	0.209651079
409	0.28465685	0.359485748	0.209827952
410	0.2849923	0.359933629	0.210050971
411	0.2853528	0.360384987	0.210320613
412	0.28577195	0.360868129	0.210675771
413	0.28603715	0.361201124	0.210873176
414	0.2863207	0.361547626	0.211093774
415	0.2866865	0.361968782	0.211404218
416	0.28712905	0.362450335	0.211807765
417	0.28753935	0.362911219	0.212167481
418	0.28792255	0.363355886	0.212489214
419	0.2883502	0.363844627	0.212855773
420	0.2887164	0.364283072	0.213149728
421	0.2890671	0.364713544	0.213420656
422	0.2895005	0.365241438	0.213759562
423	0.2898409	0.365651372	0.214030428
424	0.29018595	0.366059636	0.214312264
425	0.29056845	0.366501713	0.214635187
426	0.29092945	0.36687773	0.21498117
427	0.29129765	0.36728319	0.21531211
428	0.2917309	0.367796531	0.215665269
429	0.292108	0.36827077	0.21594523
430	0.2924864	0.368762041	0.216210759
431	0.292854	0.369259555	0.216448445
432	0.2931891	0.369755855	0.216622345
433	0.29345705	0.370177038	0.216737062
434	0.29374975	0.370601901	0.216897599
435	0.29402575	0.370954309	0.217097191
436	0.29441	0.371351508	0.217468492
437	0.29481495	0.37177822	0.21785168
438	0.295255	0.372265399	0.218244601
439	0.2955237	0.37261909	0.21842831
440	0.29588695	0.373071627	0.218702273
441	0.2962493	0.373514639	0.218983961
442	0.2966141	0.373975837	0.219252363
443	0.29693075	0.374392663	0.219468837
444	0.2972964	0.374843465	0.219749335
445	0.2976813	0.375253458	0.220109142
446	0.29803645	0.375697279	0.220375621
447	0.29836535	0.376115064	0.220615636
448	0.29873835	0.376587273	0.220889427
449	0.29907585	0.377004398	0.221147302
450	0.299425	0.377428827	0.221421173
