Wavelength	Mean	Std+	Std-
350	0.030805357	0.03764919	0.023961524
351	0.030959429	0.037852713	0.024066144
352	0.031020143	0.037954818	0.024085468
353	0.030798143	0.037571048	0.024025238
354	0.030867286	0.03764041	0.024094161
355	0.031212357	0.038150859	0.024273855
356	0.030997214	0.038018264	0.023976165
357	0.031168214	0.038183863	0.024152565
358	0.031368	0.038345547	0.024390453
359	0.030819786	0.037818032	0.023821539
360	0.030709071	0.03767066	0.023747483
361	0.030889071	0.037848982	0.023929161
362	0.0313915	0.03845491	0.02432809
363	0.031359786	0.038542788	0.024176783
364	0.031357214	0.038556118	0.024158311
365	0.031444571	0.038547988	0.024341154
366	0.031436357	0.038427634	0.024445081
367	0.031421214	0.038433393	0.024409036
368	0.031459857	0.038570046	0.024349668
369	0.031762857	0.038962471	0.024563243
370	0.031847929	0.039021826	0.024674032
371	0.031845643	0.039011679	0.024679607
372	0.031812429	0.039085737	0.02453912
373	0.032059929	0.039420811	0.024699046
374	0.032275214	0.03968507	0.024865359
375	0.032405643	0.039822933	0.024988353
376	0.032369143	0.039801117	0.024937169
377	0.032400786	0.039841394	0.024960177
378	0.032423429	0.039880374	0.024966483
379	0.032136571	0.03967064	0.024602503
380	0.032457929	0.039944051	0.024971806
381	0.032917	0.040351137	0.025482863
382	0.033162071	0.040642024	0.025682119
383	0.0330715	0.040569291	0.025573709
384	0.033078357	0.040619927	0.025536787
385	0.033268214	0.040886012	0.025650416
386	0.033253214	0.040901551	0.025604877
387	0.033412071	0.041086078	0.025738065
388	0.033633286	0.04132394	0.025942631
389	0.033490357	0.041161449	0.025819265
390	0.033453643	0.041146694	0.025760592
391	0.033543357	0.041292908	0.025793806
392	0.033840071	0.041691183	0.02598896
393	0.033746857	0.041559572	0.025934142
394	0.033831286	0.041643095	0.026019476
395	0.034212286	0.042094186	0.026330386
396	0.034527071	0.042431357	0.026622786
397	0.034537429	0.042424157	0.0266507
398	0.034378786	0.042240467	0.026517105
399	0.034396714	0.042331336	0.026462092
400	0.034409929	0.04237467	0.026445187
401	0.034498571	0.042482643	0.026514499
402	0.034787214	0.042809303	0.026765125
403	0.034839	0.042876613	0.026801387
404	0.034921857	0.042987518	0.026856196
405	0.035108786	0.043224878	0.026992694
406	0.035104714	0.043262138	0.026947291
407	0.035171857	0.043345696	0.026998018
408	0.035296929	0.043472259	0.027121598
409	0.035398071	0.043607017	0.027189125
