Wavelength	Mean	Std+	Std-
350	0.251462933	0.330083885	0.172841982
351	0.251638733	0.330286752	0.172990715
352	0.251389333	0.330165645	0.172613022
353	0.251759533	0.330567803	0.172951264
354	0.251917733	0.330745415	0.173090052
355	0.251827467	0.330675766	0.172979167
356	0.251932933	0.330888043	0.172977823
357	0.252049133	0.331048575	0.173049692
358	0.252206867	0.331224998	0.173188735
359	0.252505733	0.331582514	0.173428953
360	0.252632933	0.331758822	0.173507044
361	0.252746467	0.331919464	0.173573469
362	0.252934933	0.332157563	0.173712303
363	0.2531766	0.332504034	0.173849166
364	0.253350867	0.332778034	0.173923699
365	0.253444867	0.332957298	0.173932435
366	0.253567467	0.333126386	0.174008547
367	0.253694	0.333290373	0.174097627
368	0.253854533	0.333492502	0.174216565
369	0.2541588	0.333881864	0.174435736
370	0.254346733	0.334107673	0.174585794
371	0.2545062	0.334298664	0.174713736
372	0.254686	0.33452931	0.17484269
373	0.2549078	0.334821697	0.174993903
374	0.255091	0.335101462	0.175080538
375	0.255223067	0.335358096	0.175088037
376	0.2554872	0.335679143	0.175295257
377	0.255772	0.336034216	0.175509784
378	0.256072267	0.336415638	0.175728895
379	0.2563572	0.336784661	0.175929739
380	0.2566108	0.337144837	0.176076763
381	0.256804133	0.337418162	0.176190104
382	0.256884133	0.337496389	0.176271878
383	0.257199333	0.337878487	0.176520179
384	0.257517667	0.338280332	0.176755002
385	0.2577968	0.338652223	0.176941377
386	0.258078667	0.339091065	0.177066269
387	0.2583592	0.339494432	0.177223968
388	0.258599	0.339831199	0.177366801
389	0.258618667	0.339949328	0.177288006
390	0.258841533	0.340186892	0.177496175
391	0.259092467	0.340446956	0.177737977
392	0.2592242	0.340655934	0.177792466
393	0.259412467	0.340928069	0.177896864
394	0.259669733	0.341266442	0.178073025
395	0.259992733	0.341663445	0.178322022
396	0.260049533	0.34179457	0.178304497
397	0.260226533	0.342052677	0.17840039
398	0.260466267	0.342380688	0.178551845
399	0.260615467	0.342639724	0.178591209
400	0.260771733	0.342840711	0.178702756
401	0.2609166	0.343010687	0.178822513
402	0.261040533	0.343177855	0.178903211
403	0.2611236	0.34329175	0.17895545
404	0.261236	0.343410554	0.179061446
405	0.2614008	0.34355195	0.17924965
406	0.2615588	0.34375795	0.17935965
407	0.2617238	0.343980184	0.179467416
408	0.261891933	0.344211764	0.179572103
409	0.2620428	0.344426243	0.179659357
410	0.262221133	0.344664284	0.179777983
411	0.262391067	0.344896218	0.179885915
412	0.2625086	0.345089474	0.179927726
413	0.262693867	0.345318871	0.180068862
414	0.262877067	0.345540566	0.180213567
415	0.263039333	0.345744281	0.180334385
416	0.263205467	0.345972826	0.180438107
417	0.263398467	0.346213964	0.18058297
418	0.2636134	0.346463886	0.180762914
419	0.263816467	0.346700301	0.180932633
420	0.263980933	0.346917305	0.181044562
421	0.2641388	0.347133228	0.181144372
422	0.2643386	0.347379092	0.181298108
423	0.264500267	0.347596319	0.181404214
424	0.264688533	0.347833351	0.181543716
425	0.264938933	0.34811759	0.181760277
426	0.265088267	0.348313623	0.18186291
427	0.2653026	0.348577272	0.182027928
428	0.265582667	0.348909569	0.182255764
429	0.265766067	0.349154568	0.182377565
430	0.265984067	0.349439251	0.182528882
431	0.266211467	0.349737911	0.182685022
432	0.2664096	0.350015099	0.182804101
433	0.2666496	0.350335794	0.182963406
434	0.2668958	0.350657908	0.183133692
435	0.267137	0.350966866	0.183307134
436	0.267343733	0.351222686	0.183464781
437	0.267538533	0.351460256	0.183616811
438	0.267728067	0.35168883	0.183767303
439	0.2679576	0.351967152	0.183948048
440	0.268167067	0.352232394	0.184101739
441	0.268379	0.352502464	0.184255536
442	0.2686558	0.352832932	0.184478668
443	0.2688624	0.353094647	0.184630153
444	0.269047133	0.353332978	0.184761289
445	0.269232333	0.353567456	0.184897211
446	0.269444333	0.353814136	0.185074531
447	0.269637867	0.354051297	0.185224437
448	0.269809467	0.354277564	0.185341369
449	0.270016267	0.354528509	0.185504025
450	0.270205333	0.354762599	0.185648067
451	0.270378333	0.354979365	0.185777302
452	0.2705262	0.35516394	0.18588846
453	0.2707236	0.355388703	0.186058497
454	0.270919467	0.35561569	0.186223243
455	0.271072933	0.355814791	0.186331076
456	0.271236133	0.356029866	0.1864424
457	0.271410933	0.356257105	0.186564761
458	0.271595667	0.35649331	0.186698023
459	0.271744333	0.356668671	0.186819996
460	0.271888267	0.356837086	0.186939447
461	0.272032267	0.35700801	0.187056523
462	0.272194533	0.357216196	0.187172871
463	0.272352933	0.357408478	0.187297389
464	0.272499733	0.35758436	0.187415107
465	0.272621133	0.357733602	0.187508665
466	0.272773867	0.357918572	0.187629161
467	0.272916667	0.35810003	0.187733304
468	0.273039067	0.358268372	0.187809762
469	0.273206667	0.358473649	0.187939684
470	0.273336933	0.358650239	0.188023628
471	0.273448	0.358811377	0.188084623
472	0.273614333	0.359012193	0.188216473
473	0.273762333	0.359192033	0.188332634
474	0.2738962	0.359358185	0.188434215
475	0.274014133	0.359512002	0.188516265
476	0.2741572	0.359681633	0.188632767
477	0.2742896	0.35984442	0.18873478
478	0.274402067	0.359994676	0.188809458
479	0.2746144	0.360247237	0.188981563
480	0.274789133	0.360459277	0.18911899
481	0.274936667	0.360640629	0.189232704
482	0.2751226	0.360849976	0.189395224
483	0.275282133	0.361038517	0.18952575
484	0.275437733	0.361227219	0.189648248
485	0.2756116	0.361437461	0.189785739
486	0.275751533	0.361607094	0.189895973
487	0.275899867	0.361791976	0.190007757
488	0.2760702	0.362011431	0.190128969
489	0.276219133	0.362225038	0.190213228
490	0.276415067	0.362471584	0.19035855
491	0.276639	0.362732861	0.190545139
492	0.276785467	0.3629138	0.190657133
493	0.276949867	0.363110427	0.190789306
494	0.277133	0.363326616	0.190939384
495	0.277349067	0.363581663	0.19111647
496	0.277541	0.363813276	0.191268724
497	0.277717133	0.36402679	0.191407477
498	0.2778786	0.364222784	0.191534416
499	0.2780726	0.364462256	0.191682944
500	0.278278933	0.364718232	0.191839635
501	0.278491733	0.364983249	0.192000218
502	0.278673133	0.365214276	0.192131991
503	0.2788512	0.365434638	0.192267762
504	0.279026267	0.365647965	0.192404568
505	0.279200533	0.365860324	0.192540742
506	0.279368	0.366055113	0.192680887
507	0.279544733	0.366260467	0.192829
508	0.279742467	0.366494606	0.192990328
509	0.279934067	0.366722176	0.193145957
510	0.280120733	0.36694559	0.193295876
511	0.2803046	0.36716684	0.19344236
512	0.280499133	0.367397403	0.193600864
513	0.280694067	0.367632913	0.19375522
514	0.2808858	0.367867423	0.193904177
515	0.281060467	0.368084056	0.194036877
516	0.281269067	0.368331519	0.194206614
517	0.2814792	0.368580543	0.194377857
518	0.281671	0.368812611	0.194529389
519	0.2818676	0.369070308	0.194664892
520	0.282060933	0.369319538	0.194802328
521	0.2822492	0.369555087	0.194943313
522	0.2824408	0.369788364	0.195093236
523	0.282645467	0.37002799	0.195262943
524	0.282852067	0.370267148	0.195436985
525	0.283032267	0.370486949	0.195577584
526	0.283214933	0.370708056	0.195721811
527	0.283410067	0.370940884	0.195879249
528	0.283630267	0.371197727	0.196062806
529	0.283832267	0.371451755	0.196212778
530	0.284022	0.371689534	0.196354466
531	0.284199467	0.371908397	0.196490536
532	0.284375867	0.372119547	0.196632186
533	0.284573	0.372350966	0.196795034
534	0.284780933	0.372593532	0.196968334
535	0.284971867	0.372820131	0.197123602
536	0.285153133	0.373041623	0.197264644
537	0.285327067	0.37325549	0.197398643
538	0.2854932	0.373457298	0.197529102
539	0.2856748	0.373676488	0.197673112
540	0.285853067	0.373893573	0.19781256
541	0.286024267	0.374104127	0.197944406
542	0.2862068	0.374316022	0.198097578
543	0.286391933	0.374536169	0.198247698
544	0.286575	0.374756048	0.198393952
545	0.286744133	0.374952324	0.198535942
546	0.286926467	0.375165869	0.198687064
547	0.287108067	0.375377728	0.198838405
548	0.2872766	0.375571011	0.198982189
549	0.287468133	0.375795628	0.199140638
550	0.287653467	0.376018221	0.199288712
551	0.2878256	0.376231367	0.199419833
552	0.2879878	0.376429139	0.199546461
553	0.288180533	0.376656611	0.199704456
554	0.288388267	0.376897032	0.199879501
555	0.288545333	0.37707727	0.200013396
556	0.288712867	0.377274622	0.200151111
557	0.288882333	0.377478946	0.200285721
558	0.289043333	0.377681031	0.200405635
559	0.289201067	0.377866048	0.200536085
560	0.289378333	0.378077419	0.200679247
561	0.289584067	0.378330511	0.200837623
562	0.289745933	0.37851882	0.200973047
563	0.289900867	0.378699663	0.201102071
564	0.290054333	0.37887927	0.201229397
565	0.290229333	0.379084715	0.201373951
566	0.2903894	0.379278942	0.201499858
567	0.2905434	0.379470554	0.201616246
568	0.290698133	0.379668846	0.201727421
569	0.290857533	0.379853517	0.20186155
570	0.291011733	0.380031378	0.201992089
571	0.291154267	0.38020101	0.202107524
572	0.2913092	0.380395117	0.202223283
573	0.291466	0.380589081	0.202342919
574	0.291626333	0.380782686	0.202469981
575	0.291807133	0.380981827	0.20263244
576	0.291957067	0.381163568	0.202750565
577	0.292099267	0.381341971	0.202856563
